fut2
,გადებინებ,ვადებინებ,,გადებინებთ,ვადებინებ,
მადებინებ,,ადებინებ,გვადებინებ,,ადებინებ,
მადებინებს,გადებინებს,ადებინებს,გვადებინებს,გადებინებთ,ადებინებს,
,გადებინებთ,ვადებინებთ,,გადებინებთ,ვადებინებთ,
მადებინებთ,,ადებინებთ,გვადებინებთ,,ადებინებთ,
მადებინებენ,გადებინებენ,ადებინებენ,გვადებინებენ,გადებინებენ,ადებინებენ,
fut2_prfv
,გადაგადებინებ,გადავადებინებ,,გადაგადებინებთ,გადავადებინებ,
გადამადებინებ,,გადაადებინებ,გადაგვადებინებ,,გადაადებინებ,
გადამადებინებს,გადაგადებინებს,გადაადებინებს,გადაგვადებინებს,გადაგადებინებთ,გადაადებინებს,
,გადაგადებინებთ,გადავადებინებთ,,გადაგადებინებთ,გადავადებინებთ,
გადამადებინებთ,,გადაადებინებთ,გადაგვადებინებთ,,გადაადებინებთ,
გადამადებინებენ,გადაგადებინებენ,გადაადებინებენ,გადაგვადებინებენ,გადაგადებინებენ,გადაადებინებენ,
cond2
,გადებინებდი,ვადებინებდი,,გადებინებდით,ვადებინებდი,
მადებინებდი,,ადებინებდი,გვადებინებდი,,ადებინებდი,
მადებინებდა,გადებინებდა,ადებინებდა,გვადებინებდა,გადებინებდათ,ადებინებდა,
,გადებინებდით,ვადებინებდით,,გადებინებდით,ვადებინებდით,
მადებინებდით,,ადებინებდით,გვადებინებდით,,ადებინებდით,
მადებინებდნენ,გადებინებდნენ,ადებინებდნენ,გვადებინებდნენ,გადებინებდნენ,ადებინებდნენ,
cond2_prfv
,გადაგადებინებდი,გადავადებინებდი,,გადაგადებინებდით,გადავადებინებდი,
გადამადებინებდი,,გადაადებინებდი,გადაგვადებინებდი,,გადაადებინებდი,
გადამადებინებდა,გადაგადებინებდა,გადაადებინებდა,გადაგვადებინებდა,გადაგადებინებდათ,გადაადებინებდა,
,გადაგადებინებდით,გადავადებინებდით,,გადაგადებინებდით,გადავადებინებდით,
გადამადებინებდით,,გადაადებინებდით,გადაგვადებინებდით,,გადაადებინებდით,
გადამადებინებდნენ,გადაგადებინებდნენ,გადაადებინებდნენ,გადაგვადებინებდნენ,გადაგადებინებდნენ,გადაადებინებდნენ,
fut2_subj
,გადებინებდე,ვადებინებდე,,გადებინებდეთ,ვადებინებდე,
მადებინებდე,,ადებინებდე,გვადებინებდე,,ადებინებდე,
მადებინებდეს,გადებინებდეს,ადებინებდეს,გვადებინებდეს,გადებინებდეთ,ადებინებდეს,
,გადებინებდეთ,ვადებინებდეთ,,გადებინებდეთ,ვადებინებდეთ,
მადებინებდეთ,,ადებინებდეთ,გვადებინებდეთ,,ადებინებდეთ,
მადებინებდნენ,გადებინებდნენ,ადებინებდნენ,გვადებინებდნენ,გადებინებდნენ,ადებინებდნენ,
fut2_subj_prfv
,გადაგადებინებდე,გადავადებინებდე,,გადაგადებინებდეთ,გადავადებინებდე,
გადამადებინებდე,,გადაადებინებდე,გადაგვადებინებდე,,გადაადებინებდე,
გადამადებინებდეს,გადაგადებინებდეს,გადაადებინებდეს,გადაგვადებინებდეს,გადაგადებინებდეთ,გადაადებინებდეს,
,გადაგადებინებდეთ,გადავადებინებდეთ,,გადაგადებინებდეთ,გადავადებინებდეთ,
გადამადებინებდეთ,,გადაადებინებდეთ,გადაგვადებინებდეთ,,გადაადებინებდეთ,
გადამადებინებდნენ,გადაგადებინებდნენ,გადაადებინებდნენ,გადაგვადებინებდნენ,გადაგადებინებდნენ,გადაადებინებდნენ,
aor2
,გადებინე,ვადებინე,,გადებინეთ,ვადებინე,
მადებინე,,ადებინე,გვადებინე,,ადებინე,
