fut2
,გაქებ,ვაქებ,,გაქებთ,ვაქებ,
მაქებ,,აქებ,გვაქებ,,აქებ,
მაქებს,გაქებს,აქებს,გვაქებს,გაქებთ,აქებს,
,გაქებთ,ვაქებთ,,გაქებთ,ვაქებთ,
მაქებთ,,აქებთ,გვაქებთ,,აქებთ,
მაქებენ,გაქებენ,აქებენ,გვაქებენ,გაქებენ,აქებენ,
fut2_prfv
,გადაგაქებ,გადავაქებ,,გადაგაქებთ,გადავაქებ,
გადამაქებ,,გადააქებ,გადაგვაქებ,,გადააქებ,
გადამაქებს,გადაგაქებს,გადააქებს,გადაგვაქებს,გადაგაქებთ,გადააქებს,
,გადაგაქებთ,გადავაქებთ,,გადაგაქებთ,გადავაქებთ,
გადამაქებთ,,გადააქებთ,გადაგვაქებთ,,გადააქებთ,
გადამაქებენ,გადაგაქებენ,გადააქებენ,გადაგვაქებენ,გადაგაქებენ,გადააქებენ,
cond2
,გაქებდი,ვაქებდი,,გაქებდით,ვაქებდი,
მაქებდი,,აქებდი,გვაქებდი,,აქებდი,
მაქებდა,გაქებდა,აქებდა,გვაქებდა,გაქებდათ,აქებდა,
,გაქებდით,ვაქებდით,,გაქებდით,ვაქებდით,
მაქებდით,,აქებდით,გვაქებდით,,აქებდით,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
cond2_prfv
,გადაგაქებდი,გადავაქებდი,,გადაგაქებდით,გადავაქებდი,
გადამაქებდი,,გადააქებდი,გადაგვაქებდი,,გადააქებდი,
გადამაქებდა,გადაგაქებდა,გადააქებდა,გადაგვაქებდა,გადაგაქებდათ,გადააქებდა,
,გადაგაქებდით,გადავაქებდით,,გადაგაქებდით,გადავაქებდით,
გადამაქებდით,,გადააქებდით,გადაგვაქებდით,,გადააქებდით,
გადამაქებდნენ,გადაგაქებდნენ,გადააქებდნენ,გადაგვაქებდნენ,გადაგაქებდნენ,გადააქებდნენ,
fut2_subj
,გაქებდე,ვაქებდე,,გაქებდეთ,ვაქებდე,
მაქებდე,,აქებდე,გვაქებდე,,აქებდე,
მაქებდეს,გაქებდეს,აქებდეს,გვაქებდეს,გაქებდეთ,აქებდეს,
,გაქებდეთ,ვაქებდეთ,,გაქებდეთ,ვაქებდეთ,
მაქებდეთ,,აქებდეთ,გვაქებდეთ,,აქებდეთ,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
fut2_subj_prfv
,გადაგაქებდე,გადავაქებდე,,გადაგაქებდეთ,გადავაქებდე,
გადამაქებდე,,გადააქებდე,გადაგვაქებდე,,გადააქებდე,
გადამაქებდეს,გადაგაქებდეს,გადააქებდეს,გადაგვაქებდეს,გადაგაქებდეთ,გადააქებდეს,
,გადაგაქებდეთ,გადავაქებდეთ,,გადაგაქებდეთ,გადავაქებდეთ,
გადამაქებდეთ,,გადააქებდეთ,გადაგვაქებდეთ,,გადააქებდეთ,
გადამაქებდნენ,გადაგაქებდნენ,გადააქებდნენ,გადაგვაქებდნენ,გადაგაქებდნენ,გადააქებდნენ,
aor2
,გაქე,ვაქე,,გაქეთ,ვაქე,
მაქე,,აქე,გვაქე,,აქე,
მაქო,გაქო,აქო,გვაქო,გაქოთ,აქო,
,გაქეთ,ვაქეთ,,გაქეთ,ვაქეთ,
მაქეთ,,აქეთ,გვაქეთ,,აქეთ,
მაქეს,გაქეს,აქეს,გვაქეს,გაქეს,აქეს,
aor2_prfv
,გადაგაქე,გადავაქე,,გადაგაქეთ,გადავაქე,
გადამაქე,,გადააქე,გადაგვაქე,,გადააქე,
გადამაქო,გადაგაქო,გადააქო,გადაგვაქო,გადაგაქოთ,გადააქო,
,გადაგაქეთ,გადავაქეთ,,გადაგაქეთ,გადავაქეთ,
გადამაქეთ,,გადააქეთ,გადაგვაქეთ,,გადააქეთ,
გადამაქეს,გადაგაქეს,გადააქეს,გადაგვაქეს,გადაგაქეს,გადააქეს,
IIsubj2
,გაქო,ვაქო,,გაქოთ,ვაქო,
მაქო,,აქო,გვაქო,,აქო,
მაქოს,გაქოს,აქოს,გვაქოს,გაქოთ,აქოს,
,გაქოთ,ვაქოთ,,გაქოთ,ვაქოთ,
მაქოთ,,აქოთ,გვაქოთ,,აქოთ,
მაქონ,გაქონ,აქონ,გვაქონ,გაქონ,აქონ,
IIsubj2_prfv
,გადაგაქო,გადავაქო,,გადაგაქოთ,გადავაქო,
გადამაქო,,გადააქო,გადაგვაქო,,გადააქო,
გადამაქოს,გადაგაქოს,გადააქოს,გადაგვაქოს,გადაგაქოთ,გადააქოს,
,გადაგაქოთ,გადავაქოთ,,გადაგაქოთ,გადავაქოთ,
გადამაქოთ,,გადააქოთ,გადაგვაქოთ,,გადააქოთ,
გადამაქონ,გადაგაქონ,გადააქონ,გადაგვაქონ,გადაგაქონ,გადააქონ,
Iturm
,მიქიხარ,მიქია,,მიქიხართ,მიქია,
გიქივარ,,გიქია,გიქივართ,,გიქია,
ვუქივარ,უქიხარ,უქია,ვუქივართ,უქიხართ,უქია,
,გვიქიხარ,გვიქია,,გვიქიხართ,გვიქია,
გიქივართ,,გიქიათ,გიქივართ,,გიქიათ,
ვუქივარ,უქიხარ,უქიათ,ვუქივართ,უქიხართ,უქიათ,
Iturm_prfv
,გადამიქიხარ,გადამიქია,,გადამიქიხართ,გადამიქია,
გადაგიქივარ,,გადაგიქია,გადაგიქივართ,,გადაგიქია,
გადავუქივარ,გადაუქიხარ,გადაუქია,გადავუქივართ,გადაუქიხართ,გადაუქია,
,გადაგვიქიხარ,გადაგვიქია,,გადაგვიქიხართ,გადაგვიქია,
გადაგიქივართ,,გადაგიქიათ,გადაგიქივართ,,გადაგიქიათ,
გადავუქივარ,გადაუქიხარ,გადაუქიათ,გადავუქივართ,გადაუქიხართ,გადაუქიათ,
IIturm
,მექე,მექო,,მექეთ,მექოთ,
გექე,,გექო,გექეთ,,გექოთ,
ვექე,ექე,ექო,ვექეთ,ექეთ,ექოთ,
,გვექე,გვექო,,გვექეთ,გვექოთ,
გექეთ,,გექოთ,გექეთ,,გექოთ,
ვექე,ექე,ექოთ,ვექეთ,ექეთ,ექოთთ,
IIturm_prfv
,გადამექე,გადამექო,,გადამექეთ,გადამექოთ,
გადაგექე,,გადაგექო,გადაგექეთ,,გადაგექოთ,
გადავექე,გადაექე,გადაექო,გადავექეთ,გადაექეთ,გადაექოთ,
,გადაგვექე,გადაგვექო,,გადაგვექეთ,გადაგვექოთ,
გადაგექეთ,,გადაგექოთ,გადაგექეთ,,გადაგექოთ,
გადავექე,გადაექე,გადაექოთ,გადავექეთ,გადაექეთ,გადაექოთთ,
IIIsubj
,მექო,მექოს,,მექოთ,მექოს,
გექო,,გექოს,გექოთ,,გექოს,
ვექო,ექო,ექოს,ვექოთ,ექოთ,ექოს,
,გვექო,გვექოს,,გვექოთ,გვექოს,
გექოთ,,გექოთ,გექოთ,,გექოთ,
ვექო,ექო,ექოთ,ვექოთ,ექოთ,ექოთ,
IIIsubj_prfv
,გადამექო,გადამექოს,,გადამექოთ,გადამექოს,
გადაგექო,,გადაგექოს,გადაგექოთ,,გადაგექოს,
გადავექო,გადაექო,გადაექოს,გადავექოთ,გადაექოთ,გადაექოს,
,გადაგვექო,გადაგვექოს,,გადაგვექოთ,გადაგვექოს,
გადაგექოთ,,გადაგექოთ,გადაგექოთ,,გადაგექოთ,
გადავექო,გადაექო,გადაექოთ,გადავექოთ,გადაექოთ,გადაექოთ,
