fut2
,გაშენებ,ვაშენებ,,გაშენებთ,ვაშენებ,
მაშენებ,,აშენებ,გვაშენებ,,აშენებ,
მაშენებს,გაშენებს,აშენებს,გვაშენებს,გაშენებთ,აშენებს,
,გაშენებთ,ვაშენებთ,,გაშენებთ,ვაშენებთ,
მაშენებთ,,აშენებთ,გვაშენებთ,,აშენებთ,
მაშენებენ,გაშენებენ,აშენებენ,გვაშენებენ,გაშენებენ,აშენებენ,
fut2_prfv
,გადაგაშენებ,გადავაშენებ,,გადაგაშენებთ,გადავაშენებ,
გადამაშენებ,,გადააშენებ,გადაგვაშენებ,,გადააშენებ,
გადამაშენებს,გადაგაშენებს,გადააშენებს,გადაგვაშენებს,გადაგაშენებთ,გადააშენებს,
,გადაგაშენებთ,გადავაშენებთ,,გადაგაშენებთ,გადავაშენებთ,
გადამაშენებთ,,გადააშენებთ,გადაგვაშენებთ,,გადააშენებთ,
გადამაშენებენ,გადაგაშენებენ,გადააშენებენ,გადაგვაშენებენ,გადაგაშენებენ,გადააშენებენ,
cond2
,გაშენებდი,ვაშენებდი,,გაშენებდით,ვაშენებდი,
მაშენებდი,,აშენებდი,გვაშენებდი,,აშენებდი,
მაშენებდა,გაშენებდა,აშენებდა,გვაშენებდა,გაშენებდათ,აშენებდა,
,გაშენებდით,ვაშენებდით,,გაშენებდით,ვაშენებდით,
მაშენებდით,,აშენებდით,გვაშენებდით,,აშენებდით,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
cond2_prfv
,გადაგაშენებდი,გადავაშენებდი,,გადაგაშენებდით,გადავაშენებდი,
გადამაშენებდი,,გადააშენებდი,გადაგვაშენებდი,,გადააშენებდი,
გადამაშენებდა,გადაგაშენებდა,გადააშენებდა,გადაგვაშენებდა,გადაგაშენებდათ,გადააშენებდა,
,გადაგაშენებდით,გადავაშენებდით,,გადაგაშენებდით,გადავაშენებდით,
გადამაშენებდით,,გადააშენებდით,გადაგვაშენებდით,,გადააშენებდით,
გადამაშენებდნენ,გადაგაშენებდნენ,გადააშენებდნენ,გადაგვაშენებდნენ,გადაგაშენებდნენ,გადააშენებდნენ,
fut2_subj
,გაშენებდე,ვაშენებდე,,გაშენებდეთ,ვაშენებდე,
მაშენებდე,,აშენებდე,გვაშენებდე,,აშენებდე,
მაშენებდეს,გაშენებდეს,აშენებდეს,გვაშენებდეს,გაშენებდეთ,აშენებდეს,
,გაშენებდეთ,ვაშენებდეთ,,გაშენებდეთ,ვაშენებდეთ,
მაშენებდეთ,,აშენებდეთ,გვაშენებდეთ,,აშენებდეთ,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
fut2_subj_prfv
,გადაგაშენებდე,გადავაშენებდე,,გადაგაშენებდეთ,გადავაშენებდე,
გადამაშენებდე,,გადააშენებდე,გადაგვაშენებდე,,გადააშენებდე,
გადამაშენებდეს,გადაგაშენებდეს,გადააშენებდეს,გადაგვაშენებდეს,გადაგაშენებდეთ,გადააშენებდეს,
,გადაგაშენებდეთ,გადავაშენებდეთ,,გადაგაშენებდეთ,გადავაშენებდეთ,
გადამაშენებდეთ,,გადააშენებდეთ,გადაგვაშენებდეთ,,გადააშენებდეთ,
გადამაშენებდნენ,გადაგაშენებდნენ,გადააშენებდნენ,გადაგვაშენებდნენ,გადაგაშენებდნენ,გადააშენებდნენ,
aor2
,გაშენე,ვაშენე,,გაშენეთ,ვაშენე,
მაშენე,,აშენე,გვაშენე,,აშენე,
მაშენა,გაშენა,აშენა,გვაშენა,გაშენათ,აშენა,
,გაშენეთ,ვაშენეთ,,გაშენეთ,ვაშენეთ,
მაშენეთ,,აშენეთ,გვაშენეთ,,აშენეთ,
მაშენეს,გაშენეს,აშენეს,გვაშენეს,გაშენეს,აშენეს,
aor2_prfv
,გადაგაშენე,გადავაშენე,,გადაგაშენეთ,გადავაშენე,
გადამაშენე,,გადააშენე,გადაგვაშენე,,გადააშენე,
გადამაშენა,გადაგაშენა,გადააშენა,გადაგვაშენა,გადაგაშენათ,გადააშენა,
,გადაგაშენეთ,გადავაშენეთ,,გადაგაშენეთ,გადავაშენეთ,
გადამაშენეთ,,გადააშენეთ,გადაგვაშენეთ,,გადააშენეთ,
გადამაშენეს,გადაგაშენეს,გადააშენეს,გადაგვაშენეს,გადაგაშენეს,გადააშენეს,
IIsubj2
,გაშენო,ვაშენო,,გაშენოთ,ვაშენო,
მაშენო,,აშენო,გვაშენო,,აშენო,
მაშენოს,გაშენოს,აშენოს,გვაშენოს,გაშენოთ,აშენოს,
,გაშენოთ,ვაშენოთ,,გაშენოთ,ვაშენოთ,
მაშენოთ,,აშენოთ,გვაშენოთ,,აშენოთ,
მაშენონ,გაშენონ,აშენონ,გვაშენონ,გაშენონ,აშენონ,
IIsubj2_prfv
,გადაგაშენო,გადავაშენო,,გადაგაშენოთ,გადავაშენო,
გადამაშენო,,გადააშენო,გადაგვაშენო,,გადააშენო,
გადამაშენოს,გადაგაშენოს,გადააშენოს,გადაგვაშენოს,გადაგაშენოთ,გადააშენოს,
,გადაგაშენოთ,გადავაშენოთ,,გადაგაშენოთ,გადავაშენოთ,
გადამაშენოთ,,გადააშენოთ,გადაგვაშენოთ,,გადააშენოთ,
გადამაშენონ,გადაგაშენონ,გადააშენონ,გადაგვაშენონ,გადაგაშენონ,გადააშენონ,
Iturm
,მიშენებიხარ,მიშენებია,,მიშენებიხართ,მიშენებია,
გიშენებივარ,,გიშენებია,გიშენებივართ,,გიშენებია,
ვუშენებივარ,უშენებიხარ,უშენებია,ვუშენებივართ,უშენებიხართ,უშენებია,
,გვიშენებიხარ,გვიშენებია,,გვიშენებიხართ,გვიშენებია,
გიშენებივართ,,გიშენებიათ,გიშენებივართ,,გიშენებიათ,
ვუშენებივარ,უშენებიხარ,უშენებიათ,ვუშენებივართ,უშენებიხართ,უშენებიათ,
Iturm_prfv
,გადამიშენებიხარ,გადამიშენებია,,გადამიშენებიხართ,გადამიშენებია,
გადაგიშენებივარ,,გადაგიშენებია,გადაგიშენებივართ,,გადაგიშენებია,
გადავუშენებივარ,გადაუშენებიხარ,გადაუშენებია,გადავუშენებივართ,გადაუშენებიხართ,გადაუშენებია,
,გადაგვიშენებიხარ,გადაგვიშენებია,,გადაგვიშენებიხართ,გადაგვიშენებია,
გადაგიშენებივართ,,გადაგიშენებიათ,გადაგიშენებივართ,,გადაგიშენებიათ,
გადავუშენებივარ,გადაუშენებიხარ,გადაუშენებიათ,გადავუშენებივართ,გადაუშენებიხართ,გადაუშენებიათ,
IIturm
,მეშენებინე,მეშენებინა,,მეშენებინეთ,მეშენებინა,
გეშენებინე,,გეშენებინა,გეშენებინეთ,,გეშენებინა,
ვეშენებინე,ეშენებინე,ეშენებინა,ვეშენებინეთ,ეშენებინეთ,ეშენებინა,
,გვეშენებინე,გვეშენებინა,,გვეშენებინეთ,გვეშენებინა,
გეშენებინეთ,,გეშენებინათ,გეშენებინეთ,,გეშენებინათ,
ვეშენებინე,ეშენებინე,ეშენებინათ,ვეშენებინეთ,ეშენებინეთ,ეშენებინათ,
IIturm_prfv
,გადამეშენებინე,გადამეშენებინა,,გადამეშენებინეთ,გადამეშენებინა,
გადაგეშენებინე,,გადაგეშენებინა,გადაგეშენებინეთ,,გადაგეშენებინა,
გადავეშენებინე,გადაეშენებინე,გადაეშენებინა,გადავეშენებინეთ,გადაეშენებინეთ,გადაეშენებინა,
,გადაგვეშენებინე,გადაგვეშენებინა,,გადაგვეშენებინეთ,გადაგვეშენებინა,
გადაგეშენებინეთ,,გადაგეშენებინათ,გადაგეშენებინეთ,,გადაგეშენებინათ,
გადავეშენებინე,გადაეშენებინე,გადაეშენებინათ,გადავეშენებინეთ,გადაეშენებინეთ,გადაეშენებინათ,
IIIsubj
,მეშენებინო,მეშენებინოს,,მეშენებინოთ,მეშენებინოს,
გეშენებინო,,გეშენებინოს,გეშენებინოთ,,გეშენებინოს,
ვეშენებინო,ეშენებინო,ეშენებინოს,ვეშენებინოთ,ეშენებინოთ,ეშენებინოს,
,გვეშენებინო,გვეშენებინოს,,გვეშენებინოთ,გვეშენებინოს,
გეშენებინოთ,,გეშენებინოთ,გეშენებინოთ,,გეშენებინოთ,
ვეშენებინო,ეშენებინო,ეშენებინოთ,ვეშენებინოთ,ეშენებინოთ,ეშენებინოთ,
IIIsubj_prfv
,გადამეშენებინო,გადამეშენებინოს,,გადამეშენებინოთ,გადამეშენებინოს,
გადაგეშენებინო,,გადაგეშენებინოს,გადაგეშენებინოთ,,გადაგეშენებინოს,
გადავეშენებინო,გადაეშენებინო,გადაეშენებინოს,გადავეშენებინოთ,გადაეშენებინოთ,გადაეშენებინოს,
,გადაგვეშენებინო,გადაგვეშენებინოს,,გადაგვეშენებინოთ,გადაგვეშენებინოს,
გადაგეშენებინოთ,,გადაგეშენებინოთ,გადაგეშენებინოთ,,გადაგეშენებინოთ,
გადავეშენებინო,გადაეშენებინო,გადაეშენებინოთ,გადავეშენებინოთ,გადაეშენებინოთ,გადაეშენებინოთ,
