pres
,გზრდი,ვზრდი,,გზრდით,ვზრდი,
მზრდი,,ზრდი,გვზრდი,,ზრდი,
მზრდის,გზრდის,ზრდის,გვზრდის,გზრდით,ზრდის,
,გზრდით,ვზრდით,,გზრდით,ვზრდით,
მზრდით,,ზრდით,გვზრდით,,ზრდით,
მზრდიან,გზრდიან,ზრდიან,გვზრდიან,გზრდიან,ზრდიან,
fut
,გადაგზრდი,გადავზრდი,,გადაგზრდით,გადავზრდი,
გადამზრდი,,გადაზრდი,გადაგვზრდი,,გადაზრდი,
გადამზრდის,გადაგზრდის,გადაზრდის,გადაგვზრდის,გადაგზრდით,გადაზრდის,
,გადაგზრდით,გადავზრდით,,გადაგზრდით,გადავზრდით,
გადამზრდით,,გადაზრდით,გადაგვზრდით,,გადაზრდით,
გადამზრდიან,გადაგზრდიან,გადაზრდიან,გადაგვზრდიან,გადაგზრდიან,გადაზრდიან,
impf
,გზრდიდი,ვზრდიდი,,გზრდიდით,ვზრდიდი,
მზრდიდი,,ზრდიდი,გვზრდიდი,,ზრდიდი,
მზრდიდა,გზრდიდა,ზრდიდა,გვზრდიდა,გზრდიდათ,ზრდიდა,
,გზრდიდით,ვზრდიდით,,გზრდიდით,ვზრდიდით,
მზრდიდით,,ზრდიდით,გვზრდიდით,,ზრდიდით,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
cond
,გადაგზრდიდი,გადავზრდიდი,,გადაგზრდიდით,გადავზრდიდი,
გადამზრდიდი,,გადაზრდიდი,გადაგვზრდიდი,,გადაზრდიდი,
გადამზრდიდა,გადაგზრდიდა,გადაზრდიდა,გადაგვზრდიდა,გადაგზრდიდათ,გადაზრდიდა,
,გადაგზრდიდით,გადავზრდიდით,,გადაგზრდიდით,გადავზრდიდით,
გადამზრდიდით,,გადაზრდიდით,გადაგვზრდიდით,,გადაზრდიდით,
გადამზრდიდნენ,გადაგზრდიდნენ,გადაზრდიდნენ,გადაგვზრდიდნენ,გადაგზრდიდნენ,გადაზრდიდნენ,
subj
,გზრდიდე,ვზრდიდე,,გზრდიდეთ,ვზრდიდე,
მზრდიდე,,ზრდიდე,გვზრდიდე,,ზრდიდე,
მზრდიდეს,გზრდიდეს,ზრდიდეს,გვზრდიდეს,გზრდიდეთ,ზრდიდეს,
,გზრდიდეთ,ვზრდიდეთ,,გზრდიდეთ,ვზრდიდეთ,
მზრდიდეთ,,ზრდიდეთ,გვზრდიდეთ,,ზრდიდეთ,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
fut_subj
,გადაგზრდიდე,გადავზრდიდე,,გადაგზრდიდეთ,გადავზრდიდე,
გადამზრდიდე,,გადაზრდიდე,გადაგვზრდიდე,,გადაზრდიდე,
გადამზრდიდეს,გადაგზრდიდეს,გადაზრდიდეს,გადაგვზრდიდეს,გადაგზრდიდეთ,გადაზრდიდეს,
,გადაგზრდიდეთ,გადავზრდიდეთ,,გადაგზრდიდეთ,გადავზრდიდეთ,
გადამზრდიდეთ,,გადაზრდიდეთ,გადაგვზრდიდეთ,,გადაზრდიდეთ,
გადამზრდიდნენ,გადაგზრდიდნენ,გადაზრდიდნენ,გადაგვზრდიდნენ,გადაგზრდიდნენ,გადაზრდიდნენ,
aor
,გზარდე,ვზარდე,,გზარდეთ,ვზარდე,
მზარდე,,ზარდე,გვზარდე,,ზარდე,
მზარდა,გზარდა,ზარდა,გვზარდა,გზარდათ,ზარდა,
,გზარდეთ,ვზარდეთ,,გზარდეთ,ვზარდეთ,
მზარდეთ,,ზარდეთ,გვზარდეთ,,ზარდეთ,
მზარდეს,გზარდეს,ზარდეს,გვზარდეს,გზარდეს,ზარდეს,
aor_prfv
,გადაგზარდე,გადავზარდე,,გადაგზარდეთ,გადავზარდე,
გადამზარდე,,გადაზარდე,გადაგვზარდე,,გადაზარდე,
გადამზარდა,გადაგზარდა,გადაზარდა,გადაგვზარდა,გადაგზარდათ,გადაზარდა,
,გადაგზარდეთ,გადავზარდეთ,,გადაგზარდეთ,გადავზარდეთ,
გადამზარდეთ,,გადაზარდეთ,გადაგვზარდეთ,,გადაზარდეთ,
გადამზარდეს,გადაგზარდეს,გადაზარდეს,გადაგვზარდეს,გადაგზარდეს,გადაზარდეს,
IIsubj
,გზარდო,ვზარდო,,გზარდოთ,ვზარდო,
მზარდო,,ზარდო,გვზარდო,,ზარდო,
მზარდოს,გზარდოს,ზარდოს,გვზარდოს,გზარდოთ,ზარდოს,
,გზარდოთ,ვზარდოთ,,გზარდოთ,ვზარდოთ,
მზარდოთ,,ზარდოთ,გვზარდოთ,,ზარდოთ,
მზარდონ,გზარდონ,ზარდონ,გვზარდონ,გზარდონ,ზარდონ,
IIsubj_prfv
,გადაგზარდო,გადავზარდო,,გადაგზარდოთ,გადავზარდო,
გადამზარდო,,გადაზარდო,გადაგვზარდო,,გადაზარდო,
გადამზარდოს,გადაგზარდოს,გადაზარდოს,გადაგვზარდოს,გადაგზარდოთ,გადაზარდოს,
,გადაგზარდოთ,გადავზარდოთ,,გადაგზარდოთ,გადავზარდოთ,
გადამზარდოთ,,გადაზარდოთ,გადაგვზარდოთ,,გადაზარდოთ,
გადამზარდონ,გადაგზარდონ,გადაზარდონ,გადაგვზარდონ,გადაგზარდონ,გადაზარდონ,
Iturm
,მიზრდიხარ,მიზრდია,,მიზრდიხართ,მიზრდია,
გიზრდივარ,,გიზრდია,გიზრდივართ,,გიზრდია,
ვუზრდივარ,უზრდიხარ,უზრდია,ვუზრდივართ,უზრდიხართ,უზრდია,
,გვიზრდიხარ,გვიზრდია,,გვიზრდიხართ,გვიზრდია,
გიზრდივართ,,გიზრდიათ,გიზრდივართ,,გიზრდიათ,
ვუზრდივარ,უზრდიხარ,უზრდიათ,ვუზრდივართ,უზრდიხართ,უზრდიათ,
Iturm_prfv
,გადამიზრდიხარ,გადამიზრდია,,გადამიზრდიხართ,გადამიზრდია,
გადაგიზრდივარ,,გადაგიზრდია,გადაგიზრდივართ,,გადაგიზრდია,
გადავუზრდივარ,გადაუზრდიხარ,გადაუზრდია,გადავუზრდივართ,გადაუზრდიხართ,გადაუზრდია,
,გადაგვიზრდიხარ,გადაგვიზრდია,,გადაგვიზრდიხართ,გადაგვიზრდია,
გადაგიზრდივართ,,გადაგიზრდიათ,გადაგიზრდივართ,,გადაგიზრდიათ,
გადავუზრდივარ,გადაუზრდიხარ,გადაუზრდიათ,გადავუზრდივართ,გადაუზრდიხართ,გადაუზრდიათ,
IIturm
,მეზარდე,მეზარდა,,მეზარდეთ,მეზარდა,
გეზარდე,,გეზარდა,გეზარდეთ,,გეზარდა,
ვეზარდე,ეზარდე,ეზარდა,ვეზარდეთ,ეზარდეთ,ეზარდა,
,გვეზარდე,გვეზარდა,,გვეზარდეთ,გვეზარდა,
გეზარდეთ,,გეზარდათ,გეზარდეთ,,გეზარდათ,
ვეზარდე,ეზარდე,ეზარდათ,ვეზარდეთ,ეზარდეთ,ეზარდათ,
IIturm_prfv
,გადამეზარდე,გადამეზარდა,,გადამეზარდეთ,გადამეზარდა,
გადაგეზარდე,,გადაგეზარდა,გადაგეზარდეთ,,გადაგეზარდა,
გადავეზარდე,გადაეზარდე,გადაეზარდა,გადავეზარდეთ,გადაეზარდეთ,გადაეზარდა,
,გადაგვეზარდე,გადაგვეზარდა,,გადაგვეზარდეთ,გადაგვეზარდა,
გადაგეზარდეთ,,გადაგეზარდათ,გადაგეზარდეთ,,გადაგეზარდათ,
გადავეზარდე,გადაეზარდე,გადაეზარდათ,გადავეზარდეთ,გადაეზარდეთ,გადაეზარდათ,
IIIsubj
,მეზარდო,მეზარდოს,,მეზარდოთ,მეზარდოს,
გეზარდო,,გეზარდოს,გეზარდოთ,,გეზარდოს,
ვეზარდო,ეზარდო,ეზარდოს,ვეზარდოთ,ეზარდოთ,ეზარდოს,
,გვეზარდო,გვეზარდოს,,გვეზარდოთ,გვეზარდოს,
გეზარდოთ,,გეზარდოთ,გეზარდოთ,,გეზარდოთ,
ვეზარდო,ეზარდო,ეზარდოთ,ვეზარდოთ,ეზარდოთ,ეზარდოთ,
IIIsubj_prfv
,გადამეზარდო,გადამეზარდოს,,გადამეზარდოთ,გადამეზარდოს,
გადაგეზარდო,,გადაგეზარდოს,გადაგეზარდოთ,,გადაგეზარდოს,
გადავეზარდო,გადაეზარდო,გადაეზარდოს,გადავეზარდოთ,გადაეზარდოთ,გადაეზარდოს,
,გადაგვეზარდო,გადაგვეზარდოს,,გადაგვეზარდოთ,გადაგვეზარდოს,
გადაგეზარდოთ,,გადაგეზარდოთ,გადაგეზარდოთ,,გადაგეზარდოთ,
გადავეზარდო,გადაეზარდო,გადაეზარდოთ,გადავეზარდოთ,გადაეზარდოთ,გადაეზარდოთ,
