fut2
,გინახავ,ვინახავ,,გინახავთ,ვინახავ,
მინახავ,,ინახავ,გვინახავ,,ინახავ,
მინახავს,გინახავს,ინახავს,გვინახავს,გინახავთ,ინახავს,
,გინახავთ,ვინახავთ,,გინახავთ,ვინახავთ,
მინახავთ,,ინახავთ,გვინახავთ,,ინახავთ,
მინახავენ,გინახავენ,ინახავენ,გვინახავენ,გინახავენ,ინახავენ,
fut2_prfv
,გადაგინახავ,გადავინახავ,,გადაგინახავთ,გადავინახავ,
გადამინახავ,,გადაინახავ,გადაგვინახავ,,გადაინახავ,
გადამინახავს,გადაგინახავს,გადაინახავს,გადაგვინახავს,გადაგინახავთ,გადაინახავს,
,გადაგინახავთ,გადავინახავთ,,გადაგინახავთ,გადავინახავთ,
გადამინახავთ,,გადაინახავთ,გადაგვინახავთ,,გადაინახავთ,
გადამინახავენ,გადაგინახავენ,გადაინახავენ,გადაგვინახავენ,გადაგინახავენ,გადაინახავენ,
cond2
,გინახავდი,ვინახავდი,,გინახავდით,ვინახავდი,
მინახავდი,,ინახავდი,გვინახავდი,,ინახავდი,
მინახავდა,გინახავდა,ინახავდა,გვინახავდა,გინახავდათ,ინახავდა,
,გინახავდით,ვინახავდით,,გინახავდით,ვინახავდით,
მინახავდით,,ინახავდით,გვინახავდით,,ინახავდით,
მინახავდნენ,გინახავდნენ,ინახავდნენ,გვინახავდნენ,გინახავდნენ,ინახავდნენ,
cond2_prfv
,გადაგინახავდი,გადავინახავდი,,გადაგინახავდით,გადავინახავდი,
გადამინახავდი,,გადაინახავდი,გადაგვინახავდი,,გადაინახავდი,
გადამინახავდა,გადაგინახავდა,გადაინახავდა,გადაგვინახავდა,გადაგინახავდათ,გადაინახავდა,
,გადაგინახავდით,გადავინახავდით,,გადაგინახავდით,გადავინახავდით,
გადამინახავდით,,გადაინახავდით,გადაგვინახავდით,,გადაინახავდით,
გადამინახავდნენ,გადაგინახავდნენ,გადაინახავდნენ,გადაგვინახავდნენ,გადაგინახავდნენ,გადაინახავდნენ,
fut2_subj
,გინახავდე,ვინახავდე,,გინახავდეთ,ვინახავდე,
მინახავდე,,ინახავდე,გვინახავდე,,ინახავდე,
მინახავდეს,გინახავდეს,ინახავდეს,გვინახავდეს,გინახავდეთ,ინახავდეს,
,გინახავდეთ,ვინახავდეთ,,გინახავდეთ,ვინახავდეთ,
მინახავდეთ,,ინახავდეთ,გვინახავდეთ,,ინახავდეთ,
მინახავდნენ,გინახავდნენ,ინახავდნენ,გვინახავდნენ,გინახავდნენ,ინახავდნენ,
fut2_subj_prfv
,გადაგინახავდე,გადავინახავდე,,გადაგინახავდეთ,გადავინახავდე,
გადამინახავდე,,გადაინახავდე,გადაგვინახავდე,,გადაინახავდე,
გადამინახავდეს,გადაგინახავდეს,გადაინახავდეს,გადაგვინახავდეს,გადაგინახავდეთ,გადაინახავდეს,
,გადაგინახავდეთ,გადავინახავდეთ,,გადაგინახავდეთ,გადავინახავდეთ,
გადამინახავდეთ,,გადაინახავდეთ,გადაგვინახავდეთ,,გადაინახავდეთ,
გადამინახავდნენ,გადაგინახავდნენ,გადაინახავდნენ,გადაგვინახავდნენ,გადაგინახავდნენ,გადაინახავდნენ,
aor2
,გინახე,ვინახე,,გინახეთ,ვინახე,
მინახე,,ინახე,გვინახე,,ინახე,
მინახა,გინახა,ინახა,გვინახა,გინახათ,ინახა,
,გინახეთ,ვინახეთ,,გინახეთ,ვინახეთ,
მინახეთ,,ინახეთ,გვინახეთ,,ინახეთ,
მინახეს,გინახეს,ინახეს,გვინახეს,გინახეს,ინახეს,
aor2_prfv
,გადაგინახე,გადავინახე,,გადაგინახეთ,გადავინახე,
გადამინახე,,გადაინახე,გადაგვინახე,,გადაინახე,
გადამინახა,გადაგინახა,გადაინახა,გადაგვინახა,გადაგინახათ,გადაინახა,
,გადაგინახეთ,გადავინახეთ,,გადაგინახეთ,გადავინახეთ,
გადამინახეთ,,გადაინახეთ,გადაგვინახეთ,,გადაინახეთ,
გადამინახეს,გადაგინახეს,გადაინახეს,გადაგვინახეს,გადაგინახეს,გადაინახეს,
IIsubj2
,გინახო,ვინახო,,გინახოთ,ვინახო,
მინახო,,ინახო,გვინახო,,ინახო,
მინახოს,გინახოს,ინახოს,გვინახოს,გინახოთ,ინახოს,
,გინახოთ,ვინახოთ,,გინახოთ,ვინახოთ,
მინახოთ,,ინახოთ,გვინახოთ,,ინახოთ,
მინახონ,გინახონ,ინახონ,გვინახონ,გინახონ,ინახონ,
IIsubj2_prfv
,გადაგინახო,გადავინახო,,გადაგინახოთ,გადავინახო,
გადამინახო,,გადაინახო,გადაგვინახო,,გადაინახო,
გადამინახოს,გადაგინახოს,გადაინახოს,გადაგვინახოს,გადაგინახოთ,გადაინახოს,
,გადაგინახოთ,გადავინახოთ,,გადაგინახოთ,გადავინახოთ,
გადამინახოთ,,გადაინახოთ,გადაგვინახოთ,,გადაინახოთ,
გადამინახონ,გადაგინახონ,გადაინახონ,გადაგვინახონ,გადაგინახონ,გადაინახონ,
Iturm
,მინახიხარ,მინახია,,მინახიხართ,მინახია,
გინახივარ,,გინახია,გინახივართ,,გინახია,
ვუნახივარ,უნახიხარ,უნახია,ვუნახივართ,უნახიხართ,უნახია,
,გვინახიხარ,გვინახია,,გვინახიხართ,გვინახია,
გინახივართ,,გინახიათ,გინახივართ,,გინახიათ,
ვუნახივარ,უნახიხარ,უნახიათ,ვუნახივართ,უნახიხართ,უნახიათ,
Iturm_prfv
,გადამინახიხარ,გადამინახია,,გადამინახიხართ,გადამინახია,
გადაგინახივარ,,გადაგინახია,გადაგინახივართ,,გადაგინახია,
გადავუნახივარ,გადაუნახიხარ,გადაუნახია,გადავუნახივართ,გადაუნახიხართ,გადაუნახია,
,გადაგვინახიხარ,გადაგვინახია,,გადაგვინახიხართ,გადაგვინახია,
გადაგინახივართ,,გადაგინახიათ,გადაგინახივართ,,გადაგინახიათ,
გადავუნახივარ,გადაუნახიხარ,გადაუნახიათ,გადავუნახივართ,გადაუნახიხართ,გადაუნახიათ,
Iturm_th
,მინახავხარ,მინახავს,,მინახავხართ,მინახავს,
გინახავვარ,,გინახავს,გინახავვართ,,გინახავს,
ვუნახავვარ,უნახავხარ,უნახავს,ვუნახავვართ,უნახავხართ,უნახავს,
,გვინახავხარ,გვინახავს,,გვინახავხართ,გვინახავს,
გინახავვართ,,გინახავთ,გინახავვართ,,გინახავთ,
ვუნახავვარ,უნახავხარ,უნახავთ,ვუნახავვართ,უნახავხართ,უნახავთ,
Iturm_th_prfv
,გადამინახავხარ,გადამინახავს,,გადამინახავხართ,გადამინახავს,
გადაგინახავვარ,,გადაგინახავს,გადაგინახავვართ,,გადაგინახავს,
გადავუნახავვარ,გადაუნახავხარ,გადაუნახავს,გადავუნახავვართ,გადაუნახავხართ,გადაუნახავს,
,გადაგვინახავხარ,გადაგვინახავს,,გადაგვინახავხართ,გადაგვინახავს,
გადაგინახავვართ,,გადაგინახავთ,გადაგინახავვართ,,გადაგინახავთ,
გადავუნახავვარ,გადაუნახავხარ,გადაუნახავთ,გადავუნახავვართ,გადაუნახავხართ,გადაუნახავთ,
IIturm
,მენახე,მენახა,,მენახეთ,მენახა,
