pres
,გკრავ,ვკრავ,,გკრავთ,ვკრავ,
მკრავ,,კრავ,გვკრავ,,კრავ,
მკრავს,გკრავს,კრავს,გვკრავს,გკრავთ,კრავს,
,გკრავთ,ვკრავთ,,გკრავთ,ვკრავთ,
მკრავთ,,კრავთ,გვკრავთ,,კრავთ,
მკრავენ,გკრავენ,კრავენ,გვკრავენ,გკრავენ,კრავენ,
fut
,გადაგკრავ,გადავკრავ,,გადაგკრავთ,გადავკრავ,
გადამკრავ,,გადაკრავ,გადაგვკრავ,,გადაკრავ,
გადამკრავს,გადაგკრავს,გადაკრავს,გადაგვკრავს,გადაგკრავთ,გადაკრავს,
,გადაგკრავთ,გადავკრავთ,,გადაგკრავთ,გადავკრავთ,
გადამკრავთ,,გადაკრავთ,გადაგვკრავთ,,გადაკრავთ,
გადამკრავენ,გადაგკრავენ,გადაკრავენ,გადაგვკრავენ,გადაგკრავენ,გადაკრავენ,
impf
,გკრავდი,ვკრავდი,,გკრავდით,ვკრავდი,
მკრავდი,,კრავდი,გვკრავდი,,კრავდი,
მკრავდა,გკრავდა,კრავდა,გვკრავდა,გკრავდათ,კრავდა,
,გკრავდით,ვკრავდით,,გკრავდით,ვკრავდით,
მკრავდით,,კრავდით,გვკრავდით,,კრავდით,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
cond
,გადაგკრავდი,გადავკრავდი,,გადაგკრავდით,გადავკრავდი,
გადამკრავდი,,გადაკრავდი,გადაგვკრავდი,,გადაკრავდი,
გადამკრავდა,გადაგკრავდა,გადაკრავდა,გადაგვკრავდა,გადაგკრავდათ,გადაკრავდა,
,გადაგკრავდით,გადავკრავდით,,გადაგკრავდით,გადავკრავდით,
გადამკრავდით,,გადაკრავდით,გადაგვკრავდით,,გადაკრავდით,
გადამკრავდნენ,გადაგკრავდნენ,გადაკრავდნენ,გადაგვკრავდნენ,გადაგკრავდნენ,გადაკრავდნენ,
subj
,გკრავდე,ვკრავდე,,გკრავდეთ,ვკრავდე,
მკრავდე,,კრავდე,გვკრავდე,,კრავდე,
მკრავდეს,გკრავდეს,კრავდეს,გვკრავდეს,გკრავდეთ,კრავდეს,
,გკრავდეთ,ვკრავდეთ,,გკრავდეთ,ვკრავდეთ,
მკრავდეთ,,კრავდეთ,გვკრავდეთ,,კრავდეთ,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
fut_subj
,გადაგკრავდე,გადავკრავდე,,გადაგკრავდეთ,გადავკრავდე,
გადამკრავდე,,გადაკრავდე,გადაგვკრავდე,,გადაკრავდე,
გადამკრავდეს,გადაგკრავდეს,გადაკრავდეს,გადაგვკრავდეს,გადაგკრავდეთ,გადაკრავდეს,
,გადაგკრავდეთ,გადავკრავდეთ,,გადაგკრავდეთ,გადავკრავდეთ,
გადამკრავდეთ,,გადაკრავდეთ,გადაგვკრავდეთ,,გადაკრავდეთ,
გადამკრავდნენ,გადაგკრავდნენ,გადაკრავდნენ,გადაგვკრავდნენ,გადაგკრავდნენ,გადაკრავდნენ,
aor
,გკარი,ვკარი,,გკარით,ვკარი,
მკარი,,კარი,გვკარი,,კარი,
მკრა,გკრა,კრა,გვკრა,გკრათ,კრა,
