pres
,გჩქმეტ,ვჩქმეტ,,გჩქმეტთ,ვჩქმეტ,
მჩქმეტ,,ჩქმეტ,გვჩქმეტ,,ჩქმეტ,
მჩქმეტს,გჩქმეტს,ჩქმეტს,გვჩქმეტს,გჩქმეტთ,ჩქმეტს,
,გჩქმეტთ,ვჩქმეტთ,,გჩქმეტთ,ვჩქმეტთ,
მჩქმეტთ,,ჩქმეტთ,გვჩქმეტთ,,ჩქმეტთ,
მჩქმეტენ,გჩქმეტენ,ჩქმეტენ,გვჩქმეტენ,გჩქმეტენ,ჩქმეტენ,
fut
,გადაგჩქმეტ,გადავჩქმეტ,,გადაგჩქმეტთ,გადავჩქმეტ,
გადამჩქმეტ,,გადაჩქმეტ,გადაგვჩქმეტ,,გადაჩქმეტ,
გადამჩქმეტს,გადაგჩქმეტს,გადაჩქმეტს,გადაგვჩქმეტს,გადაგჩქმეტთ,გადაჩქმეტს,
,გადაგჩქმეტთ,გადავჩქმეტთ,,გადაგჩქმეტთ,გადავჩქმეტთ,
გადამჩქმეტთ,,გადაჩქმეტთ,გადაგვჩქმეტთ,,გადაჩქმეტთ,
გადამჩქმეტენ,გადაგჩქმეტენ,გადაჩქმეტენ,გადაგვჩქმეტენ,გადაგჩქმეტენ,გადაჩქმეტენ,
fut2
,გიჩქმეტ,ვუჩქმეტ,,გიჩქმეტთ,ვუჩქმეტ,
მიჩქმეტ,,უჩქმეტ,გვიჩქმეტ,,უჩქმეტ,
მიჩქმეტს,გიჩქმეტს,უჩქმეტს,გვიჩქმეტს,გიჩქმეტთ,უჩქმეტს,
,გიჩქმეტთ,ვუჩქმეტთ,,გიჩქმეტთ,ვუჩქმეტთ,
მიჩქმეტთ,,უჩქმეტთ,გვიჩქმეტთ,,უჩქმეტთ,
მიჩქმეტენ,გიჩქმეტენ,უჩქმეტენ,გვიჩქმეტენ,გიჩქმეტენ,უჩქმეტენ,
impf
,გჩქმეტდი,ვჩქმეტდი,,გჩქმეტდით,ვჩქმეტდი,
მჩქმეტდი,,ჩქმეტდი,გვჩქმეტდი,,ჩქმეტდი,
მჩქმეტდა,გჩქმეტდა,ჩქმეტდა,გვჩქმეტდა,გჩქმეტდათ,ჩქმეტდა,
,გჩქმეტდით,ვჩქმეტდით,,გჩქმეტდით,ვჩქმეტდით,
მჩქმეტდით,,ჩქმეტდით,გვჩქმეტდით,,ჩქმეტდით,
მჩქმეტდნენ,გჩქმეტდნენ,ჩქმეტდნენ,გვჩქმეტდნენ,გჩქმეტდნენ,ჩქმეტდნენ,
cond
,გადაგჩქმეტდი,გადავჩქმეტდი,,გადაგჩქმეტდით,გადავჩქმეტდი,
გადამჩქმეტდი,,გადაჩქმეტდი,გადაგვჩქმეტდი,,გადაჩქმეტდი,
გადამჩქმეტდა,გადაგჩქმეტდა,გადაჩქმეტდა,გადაგვჩქმეტდა,გადაგჩქმეტდათ,გადაჩქმეტდა,
,გადაგჩქმეტდით,გადავჩქმეტდით,,გადაგჩქმეტდით,გადავჩქმეტდით,
გადამჩქმეტდით,,გადაჩქმეტდით,გადაგვჩქმეტდით,,გადაჩქმეტდით,
გადამჩქმეტდნენ,გადაგჩქმეტდნენ,გადაჩქმეტდნენ,გადაგვჩქმეტდნენ,გადაგჩქმეტდნენ,გადაჩქმეტდნენ,
cond2
,გიჩქმეტდი,ვუჩქმეტდი,,გიჩქმეტდით,ვუჩქმეტდი,
მიჩქმეტდი,,უჩქმეტდი,გვიჩქმეტდი,,უჩქმეტდი,
მიჩქმეტდა,გიჩქმეტდა,უჩქმეტდა,გვიჩქმეტდა,გიჩქმეტდათ,უჩქმეტდა,
,გიჩქმეტდით,ვუჩქმეტდით,,გიჩქმეტდით,ვუჩქმეტდით,
მიჩქმეტდით,,უჩქმეტდით,გვიჩქმეტდით,,უჩქმეტდით,
მიჩქმეტდნენ,გიჩქმეტდნენ,უჩქმეტდნენ,გვიჩქმეტდნენ,გიჩქმეტდნენ,უჩქმეტდნენ,
subj
