pres
,გცრი,ვცრი,,გცრით,ვცრი,
მცრი,,ცრი,გვცრი,,ცრი,
მცრის,გცრის,ცრის,გვცრის,გცრით,ცრის,
,გცრით,ვცრით,,გცრით,ვცრით,
მცრით,,ცრით,გვცრით,,ცრით,
მცრიან,გცრიან,ცრიან,გვცრიან,გცრიან,ცრიან,
fut
,გადაგცრი,გადავცრი,,გადაგცრით,გადავცრი,
გადამცრი,,გადაცრი,გადაგვცრი,,გადაცრი,
გადამცრის,გადაგცრის,გადაცრის,გადაგვცრის,გადაგცრით,გადაცრის,
,გადაგცრით,გადავცრით,,გადაგცრით,გადავცრით,
გადამცრით,,გადაცრით,გადაგვცრით,,გადაცრით,
გადამცრიან,გადაგცრიან,გადაცრიან,გადაგვცრიან,გადაგცრიან,გადაცრიან,
impf
,გცრიდი,ვცრიდი,,გცრიდით,ვცრიდი,
მცრიდი,,ცრიდი,გვცრიდი,,ცრიდი,
მცრიდა,გცრიდა,ცრიდა,გვცრიდა,გცრიდათ,ცრიდა,
,გცრიდით,ვცრიდით,,გცრიდით,ვცრიდით,
მცრიდით,,ცრიდით,გვცრიდით,,ცრიდით,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
cond
,გადაგცრიდი,გადავცრიდი,,გადაგცრიდით,გადავცრიდი,
გადამცრიდი,,გადაცრიდი,გადაგვცრიდი,,გადაცრიდი,
გადამცრიდა,გადაგცრიდა,გადაცრიდა,გადაგვცრიდა,გადაგცრიდათ,გადაცრიდა,
,გადაგცრიდით,გადავცრიდით,,გადაგცრიდით,გადავცრიდით,
გადამცრიდით,,გადაცრიდით,გადაგვცრიდით,,გადაცრიდით,
გადამცრიდნენ,გადაგცრიდნენ,გადაცრიდნენ,გადაგვცრიდნენ,გადაგცრიდნენ,გადაცრიდნენ,
subj
,გცრიდე,ვცრიდე,,გცრიდეთ,ვცრიდე,
მცრიდე,,ცრიდე,გვცრიდე,,ცრიდე,
მცრიდეს,გცრიდეს,ცრიდეს,გვცრიდეს,გცრიდეთ,ცრიდეს,
,გცრიდეთ,ვცრიდეთ,,გცრიდეთ,ვცრიდეთ,
მცრიდეთ,,ცრიდეთ,გვცრიდეთ,,ცრიდეთ,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
fut_subj
,გადაგცრიდე,გადავცრიდე,,გადაგცრიდეთ,გადავცრიდე,
გადამცრიდე,,გადაცრიდე,გადაგვცრიდე,,გადაცრიდე,
გადამცრიდეს,გადაგცრიდეს,გადაცრიდეს,გადაგვცრიდეს,გადაგცრიდეთ,გადაცრიდეს,
,გადაგცრიდეთ,გადავცრიდეთ,,გადაგცრიდეთ,გადავცრიდეთ,
გადამცრიდეთ,,გადაცრიდეთ,გადაგვცრიდეთ,,გადაცრიდეთ,
გადამცრიდნენ,გადაგცრიდნენ,გადაცრიდნენ,გადაგვცრიდნენ,გადაგცრიდნენ,გადაცრიდნენ,
aor
,გცერი,ვცერი,,გცერით,ვცერი,
მცერი,,ცერი,გვცერი,,ცერი,
მცრა,გცრა,ცრა,გვცრა,გცრათ,ცრა,
,გცერით,ვცერით,,გცერით,ვცერით,
მცერით,,ცერით,გვცერით,,ცერით,
მცრეს,გცრეს,ცრეს,გვცრეს,გცრეს,ცრეს,
aor_prfv
,გადაგცერი,გადავცერი,,გადაგცერით,გადავცერი,
გადამცერი,,გადაცერი,გადაგვცერი,,გადაცერი,
გადამცრა,გადაგცრა,გადაცრა,გადაგვცრა,გადაგცრათ,გადაცრა,
,გადაგცერით,გადავცერით,,გადაგცერით,გადავცერით,
გადამცერით,,გადაცერით,გადაგვცერით,,გადაცერით,
გადამცრეს,გადაგცრეს,გადაცრეს,გადაგვცრეს,გადაგცრეს,გადაცრეს,
IIsubj
,გცრა,ვცრა,,გცრათ,ვცრა,
მცრა,,ცრა,გვცრა,,ცრა,
მცრას,გცრას,ცრას,გვცრას,გცრათ,ცრას,
,გცრათ,ვცრათ,,გცრათ,ვცრათ,
მცრათ,,ცრათ,გვცრათ,,ცრათ,
მცრან,გცრან,ცრან,გვცრან,გცრან,ცრან,
IIsubj_prfv
,გადაგცრა,გადავცრა,,გადაგცრათ,გადავცრა,
გადამცრა,,გადაცრა,გადაგვცრა,,გადაცრა,
გადამცრას,გადაგცრას,გადაცრას,გადაგვცრას,გადაგცრათ,გადაცრას,
,გადაგცრათ,გადავცრათ,,გადაგცრათ,გადავცრათ,
გადამცრათ,,გადაცრათ,გადაგვცრათ,,გადაცრათ,
გადამცრან,გადაგცრან,გადაცრან,გადაგვცრან,გადაგცრან,გადაცრან,
Iturm
,მიცრიხარ,მიცრია,,მიცრიხართ,მიცრია,
გიცრივარ,,გიცრია,გიცრივართ,,გიცრია,
ვუცრივარ,უცრიხარ,უცრია,ვუცრივართ,უცრიხართ,უცრია,
,გვიცრიხარ,გვიცრია,,გვიცრიხართ,გვიცრია,
გიცრივართ,,გიცრიათ,გიცრივართ,,გიცრიათ,
ვუცრივარ,უცრიხარ,უცრიათ,ვუცრივართ,უცრიხართ,უცრიათ,
Iturm_prfv
,გადამიცრიხარ,გადამიცრია,,გადამიცრიხართ,გადამიცრია,
გადაგიცრივარ,,გადაგიცრია,გადაგიცრივართ,,გადაგიცრია,
გადავუცრივარ,გადაუცრიხარ,გადაუცრია,გადავუცრივართ,გადაუცრიხართ,გადაუცრია,
,გადაგვიცრიხარ,გადაგვიცრია,,გადაგვიცრიხართ,გადაგვიცრია,
გადაგიცრივართ,,გადაგიცრიათ,გადაგიცრივართ,,გადაგიცრიათ,
გადავუცრივარ,გადაუცრიხარ,გადაუცრიათ,გადავუცრივართ,გადაუცრიხართ,გადაუცრიათ,
IIturm
,მეცერი,მეცრა,,მეცერით,მეცრა,
გეცერი,,გეცრა,გეცერით,,გეცრა,
ვეცერი,ეცერი,ეცრა,ვეცერით,ეცერით,ეცრა,
,გვეცერი,გვეცრა,,გვეცერით,გვეცრა,
გეცერით,,გეცრათ,გეცერით,,გეცრათ,
ვეცერი,ეცერი,ეცრათ,ვეცერით,ეცერით,ეცრათ,
IIturm_prfv
,გადამეცერი,გადამეცრა,,გადამეცერით,გადამეცრა,
გადაგეცერი,,გადაგეცრა,გადაგეცერით,,გადაგეცრა,
გადავეცერი,გადაეცერი,გადაეცრა,გადავეცერით,გადაეცერით,გადაეცრა,
,გადაგვეცერი,გადაგვეცრა,,გადაგვეცერით,გადაგვეცრა,
გადაგეცერით,,გადაგეცრათ,გადაგეცერით,,გადაგეცრათ,
გადავეცერი,გადაეცერი,გადაეცრათ,გადავეცერით,გადაეცერით,გადაეცრათ,
IIIsubj
,მეცრა,მეცრას,,მეცრათ,მეცრას,
გეცრა,,გეცრას,გეცრათ,,გეცრას,
ვეცრა,ეცრა,ეცრას,ვეცრათ,ეცრათ,ეცრას,
,გვეცრა,გვეცრას,,გვეცრათ,გვეცრას,
გეცრათ,,გეცრათ,გეცრათ,,გეცრათ,
ვეცრა,ეცრა,ეცრათ,ვეცრათ,ეცრათ,ეცრათ,
IIIsubj_prfv
,გადამეცრა,გადამეცრას,,გადამეცრათ,გადამეცრას,
გადაგეცრა,,გადაგეცრას,გადაგეცრათ,,გადაგეცრას,
გადავეცრა,გადაეცრა,გადაეცრას,გადავეცრათ,გადაეცრათ,გადაეცრას,
,გადაგვეცრა,გადაგვეცრას,,გადაგვეცრათ,გადაგვეცრას,
გადაგეცრათ,,გადაგეცრათ,გადაგეცრათ,,გადაგეცრათ,
გადავეცრა,გადაეცრა,გადაეცრათ,გადავეცრათ,გადაეცრათ,გადაეცრათ,
