pres
,გწერ,ვწერ,,გწერთ,ვწერ,
მწერ,,წერ,გვწერ,,წერ,
მწერს,გწერს,წერს,გვწერს,გწერთ,წერს,
,გწერთ,ვწერთ,,გწერთ,ვწერთ,
მწერთ,,წერთ,გვწერთ,,წერთ,
მწერენ,გწერენ,წერენ,გვწერენ,გწერენ,წერენ,
fut
,გადაგწერ,გადავწერ,,გადაგწერთ,გადავწერ,
გადამწერ,,გადაწერ,გადაგვწერ,,გადაწერ,
გადამწერს,გადაგწერს,გადაწერს,გადაგვწერს,გადაგწერთ,გადაწერს,
,გადაგწერთ,გადავწერთ,,გადაგწერთ,გადავწერთ,
გადამწერთ,,გადაწერთ,გადაგვწერთ,,გადაწერთ,
გადამწერენ,გადაგწერენ,გადაწერენ,გადაგვწერენ,გადაგწერენ,გადაწერენ,
impf
,გწერდი,ვწერდი,,გწერდით,ვწერდი,
მწერდი,,წერდი,გვწერდი,,წერდი,
მწერდა,გწერდა,წერდა,გვწერდა,გწერდათ,წერდა,
,გწერდით,ვწერდით,,გწერდით,ვწერდით,
მწერდით,,წერდით,გვწერდით,,წერდით,
მწერდნენ,გწერდნენ,წერდნენ,გვწერდნენ,გწერდნენ,წერდნენ,
cond
,გადაგწერდი,გადავწერდი,,გადაგწერდით,გადავწერდი,
გადამწერდი,,გადაწერდი,გადაგვწერდი,,გადაწერდი,
გადამწერდა,გადაგწერდა,გადაწერდა,გადაგვწერდა,გადაგწერდათ,გადაწერდა,
,გადაგწერდით,გადავწერდით,,გადაგწერდით,გადავწერდით,
გადამწერდით,,გადაწერდით,გადაგვწერდით,,გადაწერდით,
გადამწერდნენ,გადაგწერდნენ,გადაწერდნენ,გადაგვწერდნენ,გადაგწერდნენ,გადაწერდნენ,
subj
,გწერდე,ვწერდე,,გწერდეთ,ვწერდე,
მწერდე,,წერდე,გვწერდე,,წერდე,
მწერდეს,გწერდეს,წერდეს,გვწერდეს,გწერდეთ,წერდეს,
,გწერდეთ,ვწერდეთ,,გწერდეთ,ვწერდეთ,
მწერდეთ,,წერდეთ,გვწერდეთ,,წერდეთ,
მწერდნენ,გწერდნენ,წერდნენ,გვწერდნენ,გწერდნენ,წერდნენ,
fut_subj
,გადაგწერდე,გადავწერდე,,გადაგწერდეთ,გადავწერდე,
გადამწერდე,,გადაწერდე,გადაგვწერდე,,გადაწერდე,
გადამწერდეს,გადაგწერდეს,გადაწერდეს,გადაგვწერდეს,გადაგწერდეთ,გადაწერდეს,
,გადაგწერდეთ,გადავწერდეთ,,გადაგწერდეთ,გადავწერდეთ,
გადამწერდეთ,,გადაწერდეთ,გადაგვწერდეთ,,გადაწერდეთ,
გადამწერდნენ,გადაგწერდნენ,გადაწერდნენ,გადაგვწერდნენ,გადაგწერდნენ,გადაწერდნენ,
aor
,გწერე,ვწერე,,გწერეთ,ვწერე,
მწერე,,წერე,გვწერე,,წერე,
მწერა,გწერა,წერა,გვწერა,გწერათ,წერა,
,გწერეთ,ვწერეთ,,გწერეთ,ვწერეთ,
მწერეთ,,წერეთ,გვწერეთ,,წერეთ,
მწერეს,გწერეს,წერეს,გვწერეს,გწერეს,წერეს,
aor_prfv
,გადაგწერე,გადავწერე,,გადაგწერეთ,გადავწერე,
გადამწერე,,გადაწერე,გადაგვწერე,,გადაწერე,
გადამწერა,გადაგწერა,გადაწერა,გადაგვწერა,გადაგწერათ,გადაწერა,
,გადაგწერეთ,გადავწერეთ,,გადაგწერეთ,გადავწერეთ,
გადამწერეთ,,გადაწერეთ,გადაგვწერეთ,,გადაწერეთ,
გადამწერეს,გადაგწერეს,გადაწერეს,გადაგვწერეს,გადაგწერეს,გადაწერეს,
IIsubj
,გწერო,ვწერო,,გწეროთ,ვწერო,
მწერო,,წერო,გვწერო,,წერო,
მწეროს,გწეროს,წეროს,გვწეროს,გწეროთ,წეროს,
,გწეროთ,ვწეროთ,,გწეროთ,ვწეროთ,
მწეროთ,,წეროთ,გვწეროთ,,წეროთ,
მწერონ,გწერონ,წერონ,გვწერონ,გწერონ,წერონ,
IIsubj_prfv
,გადაგწერო,გადავწერო,,გადაგწეროთ,გადავწერო,
გადამწერო,,გადაწერო,გადაგვწერო,,გადაწერო,
გადამწეროს,გადაგწეროს,გადაწეროს,გადაგვწეროს,გადაგწეროთ,გადაწეროს,
,გადაგწეროთ,გადავწეროთ,,გადაგწეროთ,გადავწეროთ,
გადამწეროთ,,გადაწეროთ,გადაგვწეროთ,,გადაწეროთ,
გადამწერონ,გადაგწერონ,გადაწერონ,გადაგვწერონ,გადაგწერონ,გადაწერონ,
Iturm
,მიწერიხარ,მიწერია,,მიწერიხართ,მიწერია,
გიწერივარ,,გიწერია,გიწერივართ,,გიწერია,
ვუწერივარ,უწერიხარ,უწერია,ვუწერივართ,უწერიხართ,უწერია,
,გვიწერიხარ,გვიწერია,,გვიწერიხართ,გვიწერია,
გიწერივართ,,გიწერიათ,გიწერივართ,,გიწერიათ,
ვუწერივარ,უწერიხარ,უწერიათ,ვუწერივართ,უწერიხართ,უწერიათ,
Iturm_prfv
,გადამიწერიხარ,გადამიწერია,,გადამიწერიხართ,გადამიწერია,
გადაგიწერივარ,,გადაგიწერია,გადაგიწერივართ,,გადაგიწერია,
გადავუწერივარ,გადაუწერიხარ,გადაუწერია,გადავუწერივართ,გადაუწერიხართ,გადაუწერია,
,გადაგვიწერიხარ,გადაგვიწერია,,გადაგვიწერიხართ,გადაგვიწერია,
გადაგიწერივართ,,გადაგიწერიათ,გადაგიწერივართ,,გადაგიწერიათ,
გადავუწერივარ,გადაუწერიხარ,გადაუწერიათ,გადავუწერივართ,გადაუწერიხართ,გადაუწერიათ,
IIturm
,მეწერე,მეწერა,,მეწერეთ,მეწერა,
გეწერე,,გეწერა,გეწერეთ,,გეწერა,
ვეწერე,ეწერე,ეწერა,ვეწერეთ,ეწერეთ,ეწერა,
