pres
,გჭამ,ვჭამ,,გჭამთ,ვჭამ,
მჭამ,,ჭამ,გვჭამ,,ჭამ,
მჭამს,გჭამს,ჭამს,გვჭამს,გჭამთ,ჭამს,
,გჭამთ,ვჭამთ,,გჭამთ,ვჭამთ,
მჭამთ,,ჭამთ,გვჭამთ,,ჭამთ,
მჭამენ,გჭამენ,ჭამენ,გვჭამენ,გჭამენ,ჭამენ,
fut
,გადაგჭამ,გადავჭამ,,გადაგჭამთ,გადავჭამ,
გადამჭამ,,გადაჭამ,გადაგვჭამ,,გადაჭამ,
გადამჭამს,გადაგჭამს,გადაჭამს,გადაგვჭამს,გადაგჭამთ,გადაჭამს,
,გადაგჭამთ,გადავჭამთ,,გადაგჭამთ,გადავჭამთ,
გადამჭამთ,,გადაჭამთ,გადაგვჭამთ,,გადაჭამთ,
გადამჭამენ,გადაგჭამენ,გადაჭამენ,გადაგვჭამენ,გადაგჭამენ,გადაჭამენ,
impf
,გჭამდი,ვჭამდი,,გჭამდით,ვჭამდი,
მჭამდი,,ჭამდი,გვჭამდი,,ჭამდი,
მჭამდა,გჭამდა,ჭამდა,გვჭამდა,გჭამდათ,ჭამდა,
,გჭამდით,ვჭამდით,,გჭამდით,ვჭამდით,
მჭამდით,,ჭამდით,გვჭამდით,,ჭამდით,
მჭამდნენ,გჭამდნენ,ჭამდნენ,გვჭამდნენ,გჭამდნენ,ჭამდნენ,
cond
,გადაგჭამდი,გადავჭამდი,,გადაგჭამდით,გადავჭამდი,
გადამჭამდი,,გადაჭამდი,გადაგვჭამდი,,გადაჭამდი,
გადამჭამდა,გადაგჭამდა,გადაჭამდა,გადაგვჭამდა,გადაგჭამდათ,გადაჭამდა,
,გადაგჭამდით,გადავჭამდით,,გადაგჭამდით,გადავჭამდით,
გადამჭამდით,,გადაჭამდით,გადაგვჭამდით,,გადაჭამდით,
გადამჭამდნენ,გადაგჭამდნენ,გადაჭამდნენ,გადაგვჭამდნენ,გადაგჭამდნენ,გადაჭამდნენ,
subj
,გჭამდე,ვჭამდე,,გჭამდეთ,ვჭამდე,
მჭამდე,,ჭამდე,გვჭამდე,,ჭამდე,
მჭამდეს,გჭამდეს,ჭამდეს,გვჭამდეს,გჭამდეთ,ჭამდეს,
,გჭამდეთ,ვჭამდეთ,,გჭამდეთ,ვჭამდეთ,
მჭამდეთ,,ჭამდეთ,გვჭამდეთ,,ჭამდეთ,
მჭამდნენ,გჭამდნენ,ჭამდნენ,გვჭამდნენ,გჭამდნენ,ჭამდნენ,
fut_subj
,გადაგჭამდე,გადავჭამდე,,გადაგჭამდეთ,გადავჭამდე,
გადამჭამდე,,გადაჭამდე,გადაგვჭამდე,,გადაჭამდე,
გადამჭამდეს,გადაგჭამდეს,გადაჭამდეს,გადაგვჭამდეს,გადაგჭამდეთ,გადაჭამდეს,
,გადაგჭამდეთ,გადავჭამდეთ,,გადაგჭამდეთ,გადავჭამდეთ,
გადამჭამდეთ,,გადაჭამდეთ,გადაგვჭამდეთ,,გადაჭამდეთ,
გადამჭამდნენ,გადაგჭამდნენ,გადაჭამდნენ,გადაგვჭამდნენ,გადაგჭამდნენ,გადაჭამდნენ,
aor
,გჭამე,ვჭამე,,გჭამეთ,ვჭამე,
მჭამე,,ჭამე,გვჭამე,,ჭამე,
მჭამა,გჭამა,ჭამა,გვჭამა,გჭამათ,ჭამა,
,გჭამეთ,ვჭამეთ,,გჭამეთ,ვჭამეთ,
მჭამეთ,,ჭამეთ,გვჭამეთ,,ჭამეთ,
მჭამეს,გჭამეს,ჭამეს,გვჭამეს,გჭამეს,ჭამეს,
aor_prfv
,გადაგჭამე,გადავჭამე,,გადაგჭამეთ,გადავჭამე,
გადამჭამე,,გადაჭამე,გადაგვჭამე,,გადაჭამე,
გადამჭამა,გადაგჭამა,გადაჭამა,გადაგვჭამა,გადაგჭამათ,გადაჭამა,
,გადაგჭამეთ,გადავჭამეთ,,გადაგჭამეთ,გადავჭამეთ,
გადამჭამეთ,,გადაჭამეთ,გადაგვჭამეთ,,გადაჭამეთ,
გადამჭამეს,გადაგჭამეს,გადაჭამეს,გადაგვჭამეს,გადაგჭამეს,გადაჭამეს,
IIsubj
,გჭამო,ვჭამო,,გჭამოთ,ვჭამო,
მჭამო,,ჭამო,გვჭამო,,ჭამო,
მჭამოს,გჭამოს,ჭამოს,გვჭამოს,გჭამოთ,ჭამოს,
,გჭამოთ,ვჭამოთ,,გჭამოთ,ვჭამოთ,
მჭამოთ,,ჭამოთ,გვჭამოთ,,ჭამოთ,
მჭამონ,გჭამონ,ჭამონ,გვჭამონ,გჭამონ,ჭამონ,
IIsubj_prfv
,გადაგჭამო,გადავჭამო,,გადაგჭამოთ,გადავჭამო,
გადამჭამო,,გადაჭამო,გადაგვჭამო,,გადაჭამო,
გადამჭამოს,გადაგჭამოს,გადაჭამოს,გადაგვჭამოს,გადაგჭამოთ,გადაჭამოს,
,გადაგჭამოთ,გადავჭამოთ,,გადაგჭამოთ,გადავჭამოთ,
გადამჭამოთ,,გადაჭამოთ,გადაგვჭამოთ,,გადაჭამოთ,
გადამჭამონ,გადაგჭამონ,გადაჭამონ,გადაგვჭამონ,გადაგჭამონ,გადაჭამონ,
Iturm
,მიჭამიხარ,მიჭამია,,მიჭამიხართ,მიჭამია,
გიჭამივარ,,გიჭამია,გიჭამივართ,,გიჭამია,
ვუჭამივარ,უჭამიხარ,უჭამია,ვუჭამივართ,უჭამიხართ,უჭამია,
,გვიჭამიხარ,გვიჭამია,,გვიჭამიხართ,გვიჭამია,
გიჭამივართ,,გიჭამიათ,გიჭამივართ,,გიჭამიათ,
ვუჭამივარ,უჭამიხარ,უჭამიათ,ვუჭამივართ,უჭამიხართ,უჭამიათ,
Iturm_prfv
,გადამიჭამიხარ,გადამიჭამია,,გადამიჭამიხართ,გადამიჭამია,
გადაგიჭამივარ,,გადაგიჭამია,გადაგიჭამივართ,,გადაგიჭამია,
გადავუჭამივარ,გადაუჭამიხარ,გადაუჭამია,გადავუჭამივართ,გადაუჭამიხართ,გადაუჭამია,
,გადაგვიჭამიხარ,გადაგვიჭამია,,გადაგვიჭამიხართ,გადაგვიჭამია,
გადაგიჭამივართ,,გადაგიჭამიათ,გადაგიჭამივართ,,გადაგიჭამიათ,
გადავუჭამივარ,გადაუჭამიხარ,გადაუჭამიათ,გადავუჭამივართ,გადაუჭამიხართ,გადაუჭამიათ,
IIturm
,მეჭამე,მეჭამა,,მეჭამეთ,მეჭამა,
გეჭამე,,გეჭამა,გეჭამეთ,,გეჭამა,
ვეჭამე,ეჭამე,ეჭამა,ვეჭამეთ,ეჭამეთ,ეჭამა,
,გვეჭამე,გვეჭამა,,გვეჭამეთ,გვეჭამა,
გეჭამეთ,,გეჭამათ,გეჭამეთ,,გეჭამათ,
ვეჭამე,ეჭამე,ეჭამათ,ვეჭამეთ,ეჭამეთ,ეჭამათ,
IIturm_prfv
,გადამეჭამე,გადამეჭამა,,გადამეჭამეთ,გადამეჭამა,
გადაგეჭამე,,გადაგეჭამა,გადაგეჭამეთ,,გადაგეჭამა,
გადავეჭამე,გადაეჭამე,გადაეჭამა,გადავეჭამეთ,გადაეჭამეთ,გადაეჭამა,
,გადაგვეჭამე,გადაგვეჭამა,,გადაგვეჭამეთ,გადაგვეჭამა,
გადაგეჭამეთ,,გადაგეჭამათ,გადაგეჭამეთ,,გადაგეჭამათ,
