fut2
,გათბობ,ვათბობ,,გათბობთ,ვათბობ,
მათბობ,,ათბობ,გვათბობ,,ათბობ,
მათბობს,გათბობს,ათბობს,გვათბობს,გათბობთ,ათბობს,
,გათბობთ,ვათბობთ,,გათბობთ,ვათბობთ,
მათბობთ,,ათბობთ,გვათბობთ,,ათბობთ,
მათბობენ,გათბობენ,ათბობენ,გვათბობენ,გათბობენ,ათბობენ,
fut2_prfv
,გადმოგათბობ,გადმოვათბობ,,გადმოგათბობთ,გადმოვათბობ,
გადმომათბობ,,გადმოათბობ,გადმოგვათბობ,,გადმოათბობ,
გადმომათბობს,გადმოგათბობს,გადმოათბობს,გადმოგვათბობს,გადმოგათბობთ,გადმოათბობს,
,გადმოგათბობთ,გადმოვათბობთ,,გადმოგათბობთ,გადმოვათბობთ,
გადმომათბობთ,,გადმოათბობთ,გადმოგვათბობთ,,გადმოათბობთ,
გადმომათბობენ,გადმოგათბობენ,გადმოათბობენ,გადმოგვათბობენ,გადმოგათბობენ,გადმოათბობენ,
cond2
,გათბობდი,ვათბობდი,,გათბობდით,ვათბობდი,
მათბობდი,,ათბობდი,გვათბობდი,,ათბობდი,
მათბობდა,გათბობდა,ათბობდა,გვათბობდა,გათბობდათ,ათბობდა,
,გათბობდით,ვათბობდით,,გათბობდით,ვათბობდით,
მათბობდით,,ათბობდით,გვათბობდით,,ათბობდით,
მათბობდნენ,გათბობდნენ,ათბობდნენ,გვათბობდნენ,გათბობდნენ,ათბობდნენ,
cond2_prfv
,გადმოგათბობდი,გადმოვათბობდი,,გადმოგათბობდით,გადმოვათბობდი,
გადმომათბობდი,,გადმოათბობდი,გადმოგვათბობდი,,გადმოათბობდი,
გადმომათბობდა,გადმოგათბობდა,გადმოათბობდა,გადმოგვათბობდა,გადმოგათბობდათ,გადმოათბობდა,
,გადმოგათბობდით,გადმოვათბობდით,,გადმოგათბობდით,გადმოვათბობდით,
გადმომათბობდით,,გადმოათბობდით,გადმოგვათბობდით,,გადმოათბობდით,
გადმომათბობდნენ,გადმოგათბობდნენ,გადმოათბობდნენ,გადმოგვათბობდნენ,გადმოგათბობდნენ,გადმოათბობდნენ,
fut2_subj
,გათბობდე,ვათბობდე,,გათბობდეთ,ვათბობდე,
მათბობდე,,ათბობდე,გვათბობდე,,ათბობდე,
მათბობდეს,გათბობდეს,ათბობდეს,გვათბობდეს,გათბობდეთ,ათბობდეს,
,გათბობდეთ,ვათბობდეთ,,გათბობდეთ,ვათბობდეთ,
მათბობდეთ,,ათბობდეთ,გვათბობდეთ,,ათბობდეთ,
მათბობდნენ,გათბობდნენ,ათბობდნენ,გვათბობდნენ,გათბობდნენ,ათბობდნენ,
fut2_subj_prfv
,გადმოგათბობდე,გადმოვათბობდე,,გადმოგათბობდეთ,გადმოვათბობდე,
გადმომათბობდე,,გადმოათბობდე,გადმოგვათბობდე,,გადმოათბობდე,
გადმომათბობდეს,გადმოგათბობდეს,გადმოათბობდეს,გადმოგვათბობდეს,გადმოგათბობდეთ,გადმოათბობდეს,
,გადმოგათბობდეთ,გადმოვათბობდეთ,,გადმოგათბობდეთ,გადმოვათბობდეთ,
გადმომათბობდეთ,,გადმოათბობდეთ,გადმოგვათბობდეთ,,გადმოათბობდეთ,
გადმომათბობდნენ,გადმოგათბობდნენ,გადმოათბობდნენ,გადმოგვათბობდნენ,გადმოგათბობდნენ,გადმოათბობდნენ,
aor2
,გათბე,ვათბე,,გათბეთ,ვათბე,
მათბე,,ათბე,გვათბე,,ათბე,
მათბო,გათბო,ათბო,გვათბო,გათბოთ,ათბო,
,გათბეთ,ვათბეთ,,გათბეთ,ვათბეთ,
მათბეთ,,ათბეთ,გვათბეთ,,ათბეთ,
მათბეს,გათბეს,ათბეს,გვათბეს,გათბეს,ათბეს,
aor2_prfv
,გადმოგათბე,გადმოვათბე,,გადმოგათბეთ,გადმოვათბე,
გადმომათბე,,გადმოათბე,გადმოგვათბე,,გადმოათბე,
გადმომათბო,გადმოგათბო,გადმოათბო,გადმოგვათბო,გადმოგათბოთ,გადმოათბო,
,გადმოგათბეთ,გადმოვათბეთ,,გადმოგათბეთ,გადმოვათბეთ,
გადმომათბეთ,,გადმოათბეთ,გადმოგვათბეთ,,გადმოათბეთ,
გადმომათბეს,გადმოგათბეს,გადმოათბეს,გადმოგვათბეს,გადმოგათბეს,გადმოათბეს,
IIsubj2
,გათბო,ვათბო,,გათბოთ,ვათბო,
მათბო,,ათბო,გვათბო,,ათბო,
მათბოს,გათბოს,ათბოს,გვათბოს,გათბოთ,ათბოს,
,გათბოთ,ვათბოთ,,გათბოთ,ვათბოთ,
მათბოთ,,ათბოთ,გვათბოთ,,ათბოთ,
მათბონ,გათბონ,ათბონ,გვათბონ,გათბონ,ათბონ,
IIsubj2_prfv
,გადმოგათბო,გადმოვათბო,,გადმოგათბოთ,გადმოვათბო,
გადმომათბო,,გადმოათბო,გადმოგვათბო,,გადმოათბო,
გადმომათბოს,გადმოგათბოს,გადმოათბოს,გადმოგვათბოს,გადმოგათბოთ,გადმოათბოს,
,გადმოგათბოთ,გადმოვათბოთ,,გადმოგათბოთ,გადმოვათბოთ,
გადმომათბოთ,,გადმოათბოთ,გადმოგვათბოთ,,გადმოათბოთ,
გადმომათბონ,გადმოგათბონ,გადმოათბონ,გადმოგვათბონ,გადმოგათბონ,გადმოათბონ,
Iturm
,მითბიხარ,მითბია,,მითბიხართ,მითბია,
გითბივარ,,გითბია,გითბივართ,,გითბია,
ვუთბივარ,უთბიხარ,უთბია,ვუთბივართ,უთბიხართ,უთბია,
,გვითბიხარ,გვითბია,,გვითბიხართ,გვითბია,
გითბივართ,,გითბიათ,გითბივართ,,გითბიათ,
ვუთბივარ,უთბიხარ,უთბიათ,ვუთბივართ,უთბიხართ,უთბიათ,
Iturm_prfv
,გადმომითბიხარ,გადმომითბია,,გადმომითბიხართ,გადმომითბია,
გადმოგითბივარ,,გადმოგითბია,გადმოგითბივართ,,გადმოგითბია,
გადმოვუთბივარ,გადმოუთბიხარ,გადმოუთბია,გადმოვუთბივართ,გადმოუთბიხართ,გადმოუთბია,
,გადმოგვითბიხარ,გადმოგვითბია,,გადმოგვითბიხართ,გადმოგვითბია,
გადმოგითბივართ,,გადმოგითბიათ,გადმოგითბივართ,,გადმოგითბიათ,
გადმოვუთბივარ,გადმოუთბიხარ,გადმოუთბიათ,გადმოვუთბივართ,გადმოუთბიხართ,გადმოუთბიათ,
IIturm
,მეთბე,მეთბო,,მეთბეთ,მეთბოთ,
გეთბე,,გეთბო,გეთბეთ,,გეთბოთ,
ვეთბე,ეთბე,ეთბო,ვეთბეთ,ეთბეთ,ეთბოთ,
,გვეთბე,გვეთბო,,გვეთბეთ,გვეთბოთ,
გეთბეთ,,გეთბოთ,გეთბეთ,,გეთბოთ,
ვეთბე,ეთბე,ეთბოთ,ვეთბეთ,ეთბეთ,ეთბოთთ,
IIturm_prfv
,გადმომეთბე,გადმომეთბო,,გადმომეთბეთ,გადმომეთბოთ,
გადმოგეთბე,,გადმოგეთბო,გადმოგეთბეთ,,გადმოგეთბოთ,
გადმოვეთბე,გადმოეთბე,გადმოეთბო,გადმოვეთბეთ,გადმოეთბეთ,გადმოეთბოთ,
,გადმოგვეთბე,გადმოგვეთბო,,გადმოგვეთბეთ,გადმოგვეთბოთ,
გადმოგეთბეთ,,გადმოგეთბოთ,გადმოგეთბეთ,,გადმოგეთბოთ,
გადმოვეთბე,გადმოეთბე,გადმოეთბოთ,გადმოვეთბეთ,გადმოეთბეთ,გადმოეთბოთთ,
IIIsubj
,მეთბო,მეთბოს,,მეთბოთ,მეთბოს,
გეთბო,,გეთბოს,გეთბოთ,,გეთბოს,
ვეთბო,ეთბო,ეთბოს,ვეთბოთ,ეთბოთ,ეთბოს,
,გვეთბო,გვეთბოს,,გვეთბოთ,გვეთბოს,
გეთბოთ,,გეთბოთ,გეთბოთ,,გეთბოთ,
ვეთბო,ეთბო,ეთბოთ,ვეთბოთ,ეთბოთ,ეთბოთ,
IIIsubj_prfv
,გადმომეთბო,გადმომეთბოს,,გადმომეთბოთ,გადმომეთბოს,
გადმოგეთბო,,გადმოგეთბოს,გადმოგეთბოთ,,გადმოგეთბოს,
გადმოვეთბო,გადმოეთბო,გადმოეთბოს,გადმოვეთბოთ,გადმოეთბოთ,გადმოეთბოს,
,გადმოგვეთბო,გადმოგვეთბოს,,გადმოგვეთბოთ,გადმოგვეთბოს,
გადმოგეთბოთ,,გადმოგეთბოთ,გადმოგეთბოთ,,გადმოგეთბოთ,
გადმოვეთბო,გადმოეთბო,გადმოეთბოთ,გადმოვეთბოთ,გადმოეთბოთ,გადმოეთბოთ,
