fut2
,გაქებ,ვაქებ,,გაქებთ,ვაქებ,
მაქებ,,აქებ,გვაქებ,,აქებ,
მაქებს,გაქებს,აქებს,გვაქებს,გაქებთ,აქებს,
,გაქებთ,ვაქებთ,,გაქებთ,ვაქებთ,
მაქებთ,,აქებთ,გვაქებთ,,აქებთ,
მაქებენ,გაქებენ,აქებენ,გვაქებენ,გაქებენ,აქებენ,
fut2_prfv
,გადმოგაქებ,გადმოვაქებ,,გადმოგაქებთ,გადმოვაქებ,
გადმომაქებ,,გადმოაქებ,გადმოგვაქებ,,გადმოაქებ,
გადმომაქებს,გადმოგაქებს,გადმოაქებს,გადმოგვაქებს,გადმოგაქებთ,გადმოაქებს,
,გადმოგაქებთ,გადმოვაქებთ,,გადმოგაქებთ,გადმოვაქებთ,
გადმომაქებთ,,გადმოაქებთ,გადმოგვაქებთ,,გადმოაქებთ,
გადმომაქებენ,გადმოგაქებენ,გადმოაქებენ,გადმოგვაქებენ,გადმოგაქებენ,გადმოაქებენ,
cond2
,გაქებდი,ვაქებდი,,გაქებდით,ვაქებდი,
მაქებდი,,აქებდი,გვაქებდი,,აქებდი,
მაქებდა,გაქებდა,აქებდა,გვაქებდა,გაქებდათ,აქებდა,
,გაქებდით,ვაქებდით,,გაქებდით,ვაქებდით,
მაქებდით,,აქებდით,გვაქებდით,,აქებდით,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
cond2_prfv
,გადმოგაქებდი,გადმოვაქებდი,,გადმოგაქებდით,გადმოვაქებდი,
გადმომაქებდი,,გადმოაქებდი,გადმოგვაქებდი,,გადმოაქებდი,
გადმომაქებდა,გადმოგაქებდა,გადმოაქებდა,გადმოგვაქებდა,გადმოგაქებდათ,გადმოაქებდა,
,გადმოგაქებდით,გადმოვაქებდით,,გადმოგაქებდით,გადმოვაქებდით,
გადმომაქებდით,,გადმოაქებდით,გადმოგვაქებდით,,გადმოაქებდით,
გადმომაქებდნენ,გადმოგაქებდნენ,გადმოაქებდნენ,გადმოგვაქებდნენ,გადმოგაქებდნენ,გადმოაქებდნენ,
fut2_subj
,გაქებდე,ვაქებდე,,გაქებდეთ,ვაქებდე,
მაქებდე,,აქებდე,გვაქებდე,,აქებდე,
მაქებდეს,გაქებდეს,აქებდეს,გვაქებდეს,გაქებდეთ,აქებდეს,
,გაქებდეთ,ვაქებდეთ,,გაქებდეთ,ვაქებდეთ,
მაქებდეთ,,აქებდეთ,გვაქებდეთ,,აქებდეთ,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
fut2_subj_prfv
,გადმოგაქებდე,გადმოვაქებდე,,გადმოგაქებდეთ,გადმოვაქებდე,
გადმომაქებდე,,გადმოაქებდე,გადმოგვაქებდე,,გადმოაქებდე,
გადმომაქებდეს,გადმოგაქებდეს,გადმოაქებდეს,გადმოგვაქებდეს,გადმოგაქებდეთ,გადმოაქებდეს,
,გადმოგაქებდეთ,გადმოვაქებდეთ,,გადმოგაქებდეთ,გადმოვაქებდეთ,
გადმომაქებდეთ,,გადმოაქებდეთ,გადმოგვაქებდეთ,,გადმოაქებდეთ,
გადმომაქებდნენ,გადმოგაქებდნენ,გადმოაქებდნენ,გადმოგვაქებდნენ,გადმოგაქებდნენ,გადმოაქებდნენ,
aor2
,გაქე,ვაქე,,გაქეთ,ვაქე,
მაქე,,აქე,გვაქე,,აქე,
მაქო,გაქო,აქო,გვაქო,გაქოთ,აქო,
,გაქეთ,ვაქეთ,,გაქეთ,ვაქეთ,
მაქეთ,,აქეთ,გვაქეთ,,აქეთ,
მაქეს,გაქეს,აქეს,გვაქეს,გაქეს,აქეს,
aor2_prfv
,გადმოგაქე,გადმოვაქე,,გადმოგაქეთ,გადმოვაქე,
გადმომაქე,,გადმოაქე,გადმოგვაქე,,გადმოაქე,
გადმომაქო,გადმოგაქო,გადმოაქო,გადმოგვაქო,გადმოგაქოთ,გადმოაქო,
,გადმოგაქეთ,გადმოვაქეთ,,გადმოგაქეთ,გადმოვაქეთ,
გადმომაქეთ,,გადმოაქეთ,გადმოგვაქეთ,,გადმოაქეთ,
გადმომაქეს,გადმოგაქეს,გადმოაქეს,გადმოგვაქეს,გადმოგაქეს,გადმოაქეს,
IIsubj2
,გაქო,ვაქო,,გაქოთ,ვაქო,
მაქო,,აქო,გვაქო,,აქო,
მაქოს,გაქოს,აქოს,გვაქოს,გაქოთ,აქოს,
,გაქოთ,ვაქოთ,,გაქოთ,ვაქოთ,
მაქოთ,,აქოთ,გვაქოთ,,აქოთ,
მაქონ,გაქონ,აქონ,გვაქონ,გაქონ,აქონ,
IIsubj2_prfv
,გადმოგაქო,გადმოვაქო,,გადმოგაქოთ,გადმოვაქო,
გადმომაქო,,გადმოაქო,გადმოგვაქო,,გადმოაქო,
გადმომაქოს,გადმოგაქოს,გადმოაქოს,გადმოგვაქოს,გადმოგაქოთ,გადმოაქოს,
,გადმოგაქოთ,გადმოვაქოთ,,გადმოგაქოთ,გადმოვაქოთ,
გადმომაქოთ,,გადმოაქოთ,გადმოგვაქოთ,,გადმოაქოთ,
გადმომაქონ,გადმოგაქონ,გადმოაქონ,გადმოგვაქონ,გადმოგაქონ,გადმოაქონ,
Iturm
,მიქიხარ,მიქია,,მიქიხართ,მიქია,
გიქივარ,,გიქია,გიქივართ,,გიქია,
ვუქივარ,უქიხარ,უქია,ვუქივართ,უქიხართ,უქია,
,გვიქიხარ,გვიქია,,გვიქიხართ,გვიქია,
გიქივართ,,გიქიათ,გიქივართ,,გიქიათ,
ვუქივარ,უქიხარ,უქიათ,ვუქივართ,უქიხართ,უქიათ,
Iturm_prfv
,გადმომიქიხარ,გადმომიქია,,გადმომიქიხართ,გადმომიქია,
გადმოგიქივარ,,გადმოგიქია,გადმოგიქივართ,,გადმოგიქია,
გადმოვუქივარ,გადმოუქიხარ,გადმოუქია,გადმოვუქივართ,გადმოუქიხართ,გადმოუქია,
,გადმოგვიქიხარ,გადმოგვიქია,,გადმოგვიქიხართ,გადმოგვიქია,
გადმოგიქივართ,,გადმოგიქიათ,გადმოგიქივართ,,გადმოგიქიათ,
გადმოვუქივარ,გადმოუქიხარ,გადმოუქიათ,გადმოვუქივართ,გადმოუქიხართ,გადმოუქიათ,
IIturm
,მექე,მექო,,მექეთ,მექოთ,
გექე,,გექო,გექეთ,,გექოთ,
ვექე,ექე,ექო,ვექეთ,ექეთ,ექოთ,
,გვექე,გვექო,,გვექეთ,გვექოთ,
გექეთ,,გექოთ,გექეთ,,გექოთ,
ვექე,ექე,ექოთ,ვექეთ,ექეთ,ექოთთ,
IIturm_prfv
,გადმომექე,გადმომექო,,გადმომექეთ,გადმომექოთ,
გადმოგექე,,გადმოგექო,გადმოგექეთ,,გადმოგექოთ,
გადმოვექე,გადმოექე,გადმოექო,გადმოვექეთ,გადმოექეთ,გადმოექოთ,
,გადმოგვექე,გადმოგვექო,,გადმოგვექეთ,გადმოგვექოთ,
გადმოგექეთ,,გადმოგექოთ,გადმოგექეთ,,გადმოგექოთ,
გადმოვექე,გადმოექე,გადმოექოთ,გადმოვექეთ,გადმოექეთ,გადმოექოთთ,
IIIsubj
,მექო,მექოს,,მექოთ,მექოს,
გექო,,გექოს,გექოთ,,გექოს,
ვექო,ექო,ექოს,ვექოთ,ექოთ,ექოს,
,გვექო,გვექოს,,გვექოთ,გვექოს,
გექოთ,,გექოთ,გექოთ,,გექოთ,
ვექო,ექო,ექოთ,ვექოთ,ექოთ,ექოთ,
IIIsubj_prfv
,გადმომექო,გადმომექოს,,გადმომექოთ,გადმომექოს,
გადმოგექო,,გადმოგექოს,გადმოგექოთ,,გადმოგექოს,
გადმოვექო,გადმოექო,გადმოექოს,გადმოვექოთ,გადმოექოთ,გადმოექოს,
,გადმოგვექო,გადმოგვექოს,,გადმოგვექოთ,გადმოგვექოს,
გადმოგექოთ,,გადმოგექოთ,გადმოგექოთ,,გადმოგექოთ,
გადმოვექო,გადმოექო,გადმოექოთ,გადმოვექოთ,გადმოექოთ,გადმოექოთ,
