fut2
,გაწვენ,ვაწვენ,,გაწვენთ,ვაწვენ,
მაწვენ,,აწვენ,გვაწვენ,,აწვენ,
მაწვენს,გაწვენს,აწვენს,გვაწვენს,გაწვენთ,აწვენს,
,გაწვენთ,ვაწვენთ,,გაწვენთ,ვაწვენთ,
მაწვენთ,,აწვენთ,გვაწვენთ,,აწვენთ,
მაწვენენ,გაწვენენ,აწვენენ,გვაწვენენ,გაწვენენ,აწვენენ,
fut2_prfv
,გადმოგაწვენ,გადმოვაწვენ,,გადმოგაწვენთ,გადმოვაწვენ,
გადმომაწვენ,,გადმოაწვენ,გადმოგვაწვენ,,გადმოაწვენ,
გადმომაწვენს,გადმოგაწვენს,გადმოაწვენს,გადმოგვაწვენს,გადმოგაწვენთ,გადმოაწვენს,
,გადმოგაწვენთ,გადმოვაწვენთ,,გადმოგაწვენთ,გადმოვაწვენთ,
გადმომაწვენთ,,გადმოაწვენთ,გადმოგვაწვენთ,,გადმოაწვენთ,
გადმომაწვენენ,გადმოგაწვენენ,გადმოაწვენენ,გადმოგვაწვენენ,გადმოგაწვენენ,გადმოაწვენენ,
cond2
,გაწვენდი,ვაწვენდი,,გაწვენდით,ვაწვენდი,
მაწვენდი,,აწვენდი,გვაწვენდი,,აწვენდი,
მაწვენდა,გაწვენდა,აწვენდა,გვაწვენდა,გაწვენდათ,აწვენდა,
,გაწვენდით,ვაწვენდით,,გაწვენდით,ვაწვენდით,
მაწვენდით,,აწვენდით,გვაწვენდით,,აწვენდით,
მაწვენდნენ,გაწვენდნენ,აწვენდნენ,გვაწვენდნენ,გაწვენდნენ,აწვენდნენ,
cond2_prfv
,გადმოგაწვენდი,გადმოვაწვენდი,,გადმოგაწვენდით,გადმოვაწვენდი,
გადმომაწვენდი,,გადმოაწვენდი,გადმოგვაწვენდი,,გადმოაწვენდი,
გადმომაწვენდა,გადმოგაწვენდა,გადმოაწვენდა,გადმოგვაწვენდა,გადმოგაწვენდათ,გადმოაწვენდა,
,გადმოგაწვენდით,გადმოვაწვენდით,,გადმოგაწვენდით,გადმოვაწვენდით,
გადმომაწვენდით,,გადმოაწვენდით,გადმოგვაწვენდით,,გადმოაწვენდით,
გადმომაწვენდნენ,გადმოგაწვენდნენ,გადმოაწვენდნენ,გადმოგვაწვენდნენ,გადმოგაწვენდნენ,გადმოაწვენდნენ,
fut2_subj
,გაწვენდე,ვაწვენდე,,გაწვენდეთ,ვაწვენდე,
მაწვენდე,,აწვენდე,გვაწვენდე,,აწვენდე,
მაწვენდეს,გაწვენდეს,აწვენდეს,გვაწვენდეს,გაწვენდეთ,აწვენდეს,
,გაწვენდეთ,ვაწვენდეთ,,გაწვენდეთ,ვაწვენდეთ,
მაწვენდეთ,,აწვენდეთ,გვაწვენდეთ,,აწვენდეთ,
მაწვენდნენ,გაწვენდნენ,აწვენდნენ,გვაწვენდნენ,გაწვენდნენ,აწვენდნენ,
fut2_subj_prfv
,გადმოგაწვენდე,გადმოვაწვენდე,,გადმოგაწვენდეთ,გადმოვაწვენდე,
გადმომაწვენდე,,გადმოაწვენდე,გადმოგვაწვენდე,,გადმოაწვენდე,
გადმომაწვენდეს,გადმოგაწვენდეს,გადმოაწვენდეს,გადმოგვაწვენდეს,გადმოგაწვენდეთ,გადმოაწვენდეს,
,გადმოგაწვენდეთ,გადმოვაწვენდეთ,,გადმოგაწვენდეთ,გადმოვაწვენდეთ,
გადმომაწვენდეთ,,გადმოაწვენდეთ,გადმოგვაწვენდეთ,,გადმოაწვენდეთ,
გადმომაწვენდნენ,გადმოგაწვენდნენ,გადმოაწვენდნენ,გადმოგვაწვენდნენ,გადმოგაწვენდნენ,გადმოაწვენდნენ,
aor2
,გაწვინე,ვაწვინე,,გაწვინეთ,ვაწვინე,
მაწვინე,,აწვინე,გვაწვინე,,აწვინე,
მაწვინა,გაწვინა,აწვინა,გვაწვინა,გაწვინათ,აწვინა,
,გაწვინეთ,ვაწვინეთ,,გაწვინეთ,ვაწვინეთ,
მაწვინეთ,,აწვინეთ,გვაწვინეთ,,აწვინეთ,
მაწვინეს,გაწვინეს,აწვინეს,გვაწვინეს,გაწვინეს,აწვინეს,
aor2_prfv
,გადმოგაწვინე,გადმოვაწვინე,,გადმოგაწვინეთ,გადმოვაწვინე,
