pres
,გზრდი,ვზრდი,,გზრდით,ვზრდი,
მზრდი,,ზრდი,გვზრდი,,ზრდი,
მზრდის,გზრდის,ზრდის,გვზრდის,გზრდით,ზრდის,
,გზრდით,ვზრდით,,გზრდით,ვზრდით,
მზრდით,,ზრდით,გვზრდით,,ზრდით,
მზრდიან,გზრდიან,ზრდიან,გვზრდიან,გზრდიან,ზრდიან,
fut
,გადმოგზრდი,გადმოვზრდი,,გადმოგზრდით,გადმოვზრდი,
გადმომზრდი,,გადმოზრდი,გადმოგვზრდი,,გადმოზრდი,
გადმომზრდის,გადმოგზრდის,გადმოზრდის,გადმოგვზრდის,გადმოგზრდით,გადმოზრდის,
,გადმოგზრდით,გადმოვზრდით,,გადმოგზრდით,გადმოვზრდით,
გადმომზრდით,,გადმოზრდით,გადმოგვზრდით,,გადმოზრდით,
გადმომზრდიან,გადმოგზრდიან,გადმოზრდიან,გადმოგვზრდიან,გადმოგზრდიან,გადმოზრდიან,
impf
,გზრდიდი,ვზრდიდი,,გზრდიდით,ვზრდიდი,
მზრდიდი,,ზრდიდი,გვზრდიდი,,ზრდიდი,
მზრდიდა,გზრდიდა,ზრდიდა,გვზრდიდა,გზრდიდათ,ზრდიდა,
,გზრდიდით,ვზრდიდით,,გზრდიდით,ვზრდიდით,
მზრდიდით,,ზრდიდით,გვზრდიდით,,ზრდიდით,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
cond
,გადმოგზრდიდი,გადმოვზრდიდი,,გადმოგზრდიდით,გადმოვზრდიდი,
გადმომზრდიდი,,გადმოზრდიდი,გადმოგვზრდიდი,,გადმოზრდიდი,
გადმომზრდიდა,გადმოგზრდიდა,გადმოზრდიდა,გადმოგვზრდიდა,გადმოგზრდიდათ,გადმოზრდიდა,
,გადმოგზრდიდით,გადმოვზრდიდით,,გადმოგზრდიდით,გადმოვზრდიდით,
გადმომზრდიდით,,გადმოზრდიდით,გადმოგვზრდიდით,,გადმოზრდიდით,
გადმომზრდიდნენ,გადმოგზრდიდნენ,გადმოზრდიდნენ,გადმოგვზრდიდნენ,გადმოგზრდიდნენ,გადმოზრდიდნენ,
subj
,გზრდიდე,ვზრდიდე,,გზრდიდეთ,ვზრდიდე,
მზრდიდე,,ზრდიდე,გვზრდიდე,,ზრდიდე,
მზრდიდეს,გზრდიდეს,ზრდიდეს,გვზრდიდეს,გზრდიდეთ,ზრდიდეს,
,გზრდიდეთ,ვზრდიდეთ,,გზრდიდეთ,ვზრდიდეთ,
მზრდიდეთ,,ზრდიდეთ,გვზრდიდეთ,,ზრდიდეთ,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
fut_subj
,გადმოგზრდიდე,გადმოვზრდიდე,,გადმოგზრდიდეთ,გადმოვზრდიდე,
გადმომზრდიდე,,გადმოზრდიდე,გადმოგვზრდიდე,,გადმოზრდიდე,
გადმომზრდიდეს,გადმოგზრდიდეს,გადმოზრდიდეს,გადმოგვზრდიდეს,გადმოგზრდიდეთ,გადმოზრდიდეს,
,გადმოგზრდიდეთ,გადმოვზრდიდეთ,,გადმოგზრდიდეთ,გადმოვზრდიდეთ,
გადმომზრდიდეთ,,გადმოზრდიდეთ,გადმოგვზრდიდეთ,,გადმოზრდიდეთ,
გადმომზრდიდნენ,გადმოგზრდიდნენ,გადმოზრდიდნენ,გადმოგვზრდიდნენ,გადმოგზრდიდნენ,გადმოზრდიდნენ,
aor
,გზარდე,ვზარდე,,გზარდეთ,ვზარდე,
მზარდე,,ზარდე,გვზარდე,,ზარდე,
მზარდა,გზარდა,ზარდა,გვზარდა,გზარდათ,ზარდა,
,გზარდეთ,ვზარდეთ,,გზარდეთ,ვზარდეთ,
მზარდეთ,,ზარდეთ,გვზარდეთ,,ზარდეთ,
მზარდეს,გზარდეს,ზარდეს,გვზარდეს,გზარდეს,ზარდეს,
aor_prfv
,გადმოგზარდე,გადმოვზარდე,,გადმოგზარდეთ,გადმოვზარდე,
გადმომზარდე,,გადმოზარდე,გადმოგვზარდე,,გადმოზარდე,
გადმომზარდა,გადმოგზარდა,გადმოზარდა,გადმოგვზარდა,გადმოგზარდათ,გადმოზარდა,
,გადმოგზარდეთ,გადმოვზარდეთ,,გადმოგზარდეთ,გადმოვზარდეთ,
გადმომზარდეთ,,გადმოზარდეთ,გადმოგვზარდეთ,,გადმოზარდეთ,
გადმომზარდეს,გადმოგზარდეს,გადმოზარდეს,გადმოგვზარდეს,გადმოგზარდეს,გადმოზარდეს,
IIsubj
,გზარდო,ვზარდო,,გზარდოთ,ვზარდო,
მზარდო,,ზარდო,გვზარდო,,ზარდო,
მზარდოს,გზარდოს,ზარდოს,გვზარდოს,გზარდოთ,ზარდოს,
,გზარდოთ,ვზარდოთ,,გზარდოთ,ვზარდოთ,
მზარდოთ,,ზარდოთ,გვზარდოთ,,ზარდოთ,
მზარდონ,გზარდონ,ზარდონ,გვზარდონ,გზარდონ,ზარდონ,
IIsubj_prfv
,გადმოგზარდო,გადმოვზარდო,,გადმოგზარდოთ,გადმოვზარდო,
გადმომზარდო,,გადმოზარდო,გადმოგვზარდო,,გადმოზარდო,
გადმომზარდოს,გადმოგზარდოს,გადმოზარდოს,გადმოგვზარდოს,გადმოგზარდოთ,გადმოზარდოს,
,გადმოგზარდოთ,გადმოვზარდოთ,,გადმოგზარდოთ,გადმოვზარდოთ,
გადმომზარდოთ,,გადმოზარდოთ,გადმოგვზარდოთ,,გადმოზარდოთ,
გადმომზარდონ,გადმოგზარდონ,გადმოზარდონ,გადმოგვზარდონ,გადმოგზარდონ,გადმოზარდონ,
Iturm
,მიზრდიხარ,მიზრდია,,მიზრდიხართ,მიზრდია,
გიზრდივარ,,გიზრდია,გიზრდივართ,,გიზრდია,
ვუზრდივარ,უზრდიხარ,უზრდია,ვუზრდივართ,უზრდიხართ,უზრდია,
,გვიზრდიხარ,გვიზრდია,,გვიზრდიხართ,გვიზრდია,
გიზრდივართ,,გიზრდიათ,გიზრდივართ,,გიზრდიათ,
ვუზრდივარ,უზრდიხარ,უზრდიათ,ვუზრდივართ,უზრდიხართ,უზრდიათ,
Iturm_prfv
,გადმომიზრდიხარ,გადმომიზრდია,,გადმომიზრდიხართ,გადმომიზრდია,
გადმოგიზრდივარ,,გადმოგიზრდია,გადმოგიზრდივართ,,გადმოგიზრდია,
გადმოვუზრდივარ,გადმოუზრდიხარ,გადმოუზრდია,გადმოვუზრდივართ,გადმოუზრდიხართ,გადმოუზრდია,
,გადმოგვიზრდიხარ,გადმოგვიზრდია,,გადმოგვიზრდიხართ,გადმოგვიზრდია,
გადმოგიზრდივართ,,გადმოგიზრდიათ,გადმოგიზრდივართ,,გადმოგიზრდიათ,
გადმოვუზრდივარ,გადმოუზრდიხარ,გადმოუზრდიათ,გადმოვუზრდივართ,გადმოუზრდიხართ,გადმოუზრდიათ,
IIturm
,მეზარდე,მეზარდა,,მეზარდეთ,მეზარდა,
გეზარდე,,გეზარდა,გეზარდეთ,,გეზარდა,
ვეზარდე,ეზარდე,ეზარდა,ვეზარდეთ,ეზარდეთ,ეზარდა,
,გვეზარდე,გვეზარდა,,გვეზარდეთ,გვეზარდა,
გეზარდეთ,,გეზარდათ,გეზარდეთ,,გეზარდათ,
ვეზარდე,ეზარდე,ეზარდათ,ვეზარდეთ,ეზარდეთ,ეზარდათ,
IIturm_prfv
,გადმომეზარდე,გადმომეზარდა,,გადმომეზარდეთ,გადმომეზარდა,
გადმოგეზარდე,,გადმოგეზარდა,გადმოგეზარდეთ,,გადმოგეზარდა,
გადმოვეზარდე,გადმოეზარდე,გადმოეზარდა,გადმოვეზარდეთ,გადმოეზარდეთ,გადმოეზარდა,
,გადმოგვეზარდე,გადმოგვეზარდა,,გადმოგვეზარდეთ,გადმოგვეზარდა,
გადმოგეზარდეთ,,გადმოგეზარდათ,გადმოგეზარდეთ,,გადმოგეზარდათ,
გადმოვეზარდე,გადმოეზარდე,გადმოეზარდათ,გადმოვეზარდეთ,გადმოეზარდეთ,გადმოეზარდათ,
IIIsubj
,მეზარდო,მეზარდოს,,მეზარდოთ,მეზარდოს,
გეზარდო,,გეზარდოს,გეზარდოთ,,გეზარდოს,
ვეზარდო,ეზარდო,ეზარდოს,ვეზარდოთ,ეზარდოთ,ეზარდოს,
,გვეზარდო,გვეზარდოს,,გვეზარდოთ,გვეზარდოს,
გეზარდოთ,,გეზარდოთ,გეზარდოთ,,გეზარდოთ,
ვეზარდო,ეზარდო,ეზარდოთ,ვეზარდოთ,ეზარდოთ,ეზარდოთ,
IIIsubj_prfv
,გადმომეზარდო,გადმომეზარდოს,,გადმომეზარდოთ,გადმომეზარდოს,
გადმოგეზარდო,,გადმოგეზარდოს,გადმოგეზარდოთ,,გადმოგეზარდოს,
გადმოვეზარდო,გადმოეზარდო,გადმოეზარდოს,გადმოვეზარდოთ,გადმოეზარდოთ,გადმოეზარდოს,
,გადმოგვეზარდო,გადმოგვეზარდოს,,გადმოგვეზარდოთ,გადმოგვეზარდოს,
გადმოგეზარდოთ,,გადმოგეზარდოთ,გადმოგეზარდოთ,,გადმოგეზარდოთ,
გადმოვეზარდო,გადმოეზარდო,გადმოეზარდოთ,გადმოვეზარდოთ,გადმოეზარდოთ,გადმოეზარდოთ,
