fut2
,გითმენ,ვუთმენ,,გითმენთ,ვუთმენ,
მითმენ,,უთმენ,გვითმენ,,უთმენ,
მითმენს,გითმენს,უთმენს,გვითმენს,გითმენთ,უთმენს,
,გითმენთ,ვუთმენთ,,გითმენთ,ვუთმენთ,
მითმენთ,,უთმენთ,გვითმენთ,,უთმენთ,
მითმენენ,გითმენენ,უთმენენ,გვითმენენ,გითმენენ,უთმენენ,
fut2_prfv
,გადმოგითმენ,გადმოვუთმენ,,გადმოგითმენთ,გადმოვუთმენ,
გადმომითმენ,,გადმოუთმენ,გადმოგვითმენ,,გადმოუთმენ,
გადმომითმენს,გადმოგითმენს,გადმოუთმენს,გადმოგვითმენს,გადმოგითმენთ,გადმოუთმენს,
,გადმოგითმენთ,გადმოვუთმენთ,,გადმოგითმენთ,გადმოვუთმენთ,
გადმომითმენთ,,გადმოუთმენთ,გადმოგვითმენთ,,გადმოუთმენთ,
გადმომითმენენ,გადმოგითმენენ,გადმოუთმენენ,გადმოგვითმენენ,გადმოგითმენენ,გადმოუთმენენ,
cond2
,გითმენდი,ვუთმენდი,,გითმენდით,ვუთმენდი,
მითმენდი,,უთმენდი,გვითმენდი,,უთმენდი,
მითმენდა,გითმენდა,უთმენდა,გვითმენდა,გითმენდათ,უთმენდა,
,გითმენდით,ვუთმენდით,,გითმენდით,ვუთმენდით,
მითმენდით,,უთმენდით,გვითმენდით,,უთმენდით,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
cond2_prfv
,გადმოგითმენდი,გადმოვუთმენდი,,გადმოგითმენდით,გადმოვუთმენდი,
გადმომითმენდი,,გადმოუთმენდი,გადმოგვითმენდი,,გადმოუთმენდი,
გადმომითმენდა,გადმოგითმენდა,გადმოუთმენდა,გადმოგვითმენდა,გადმოგითმენდათ,გადმოუთმენდა,
,გადმოგითმენდით,გადმოვუთმენდით,,გადმოგითმენდით,გადმოვუთმენდით,
გადმომითმენდით,,გადმოუთმენდით,გადმოგვითმენდით,,გადმოუთმენდით,
გადმომითმენდნენ,გადმოგითმენდნენ,გადმოუთმენდნენ,გადმოგვითმენდნენ,გადმოგითმენდნენ,გადმოუთმენდნენ,
fut2_subj
,გითმენდე,ვუთმენდე,,გითმენდეთ,ვუთმენდე,
მითმენდე,,უთმენდე,გვითმენდე,,უთმენდე,
მითმენდეს,გითმენდეს,უთმენდეს,გვითმენდეს,გითმენდეთ,უთმენდეს,
,გითმენდეთ,ვუთმენდეთ,,გითმენდეთ,ვუთმენდეთ,
მითმენდეთ,,უთმენდეთ,გვითმენდეთ,,უთმენდეთ,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
fut2_subj_prfv
,გადმოგითმენდე,გადმოვუთმენდე,,გადმოგითმენდეთ,გადმოვუთმენდე,
გადმომითმენდე,,გადმოუთმენდე,გადმოგვითმენდე,,გადმოუთმენდე,
გადმომითმენდეს,გადმოგითმენდეს,გადმოუთმენდეს,გადმოგვითმენდეს,გადმოგითმენდეთ,გადმოუთმენდეს,
,გადმოგითმენდეთ,გადმოვუთმენდეთ,,გადმოგითმენდეთ,გადმოვუთმენდეთ,
გადმომითმენდეთ,,გადმოუთმენდეთ,გადმოგვითმენდეთ,,გადმოუთმენდეთ,
გადმომითმენდნენ,გადმოგითმენდნენ,გადმოუთმენდნენ,გადმოგვითმენდნენ,გადმოგითმენდნენ,გადმოუთმენდნენ,
aor2
,გითმინე,ვუთმინე,,გითმინეთ,ვუთმინე,
მითმინე,,უთმინე,გვითმინე,,უთმინე,
მითმინა,გითმინა,უთმინა,გვითმინა,გითმინათ,უთმინა,
,გითმინეთ,ვუთმინეთ,,გითმინეთ,ვუთმინეთ,
მითმინეთ,,უთმინეთ,გვითმინეთ,,უთმინეთ,
მითმინეს,გითმინეს,უთმინეს,გვითმინეს,გითმინეს,უთმინეს,
aor2_prfv
,გადმოგითმინე,გადმოვუთმინე,,გადმოგითმინეთ,გადმოვუთმინე,
გადმომითმინე,,გადმოუთმინე,გადმოგვითმინე,,გადმოუთმინე,
გადმომითმინა,გადმოგითმინა,გადმოუთმინა,გადმოგვითმინა,გადმოგითმინათ,გადმოუთმინა,
,გადმოგითმინეთ,გადმოვუთმინეთ,,გადმოგითმინეთ,გადმოვუთმინეთ,
გადმომითმინეთ,,გადმოუთმინეთ,გადმოგვითმინეთ,,გადმოუთმინეთ,
გადმომითმინეს,გადმოგითმინეს,გადმოუთმინეს,გადმოგვითმინეს,გადმოგითმინეს,გადმოუთმინეს,
IIsubj2
,გითმინო,ვუთმინო,,გითმინოთ,ვუთმინო,
მითმინო,,უთმინო,გვითმინო,,უთმინო,
მითმინოს,გითმინოს,უთმინოს,გვითმინოს,გითმინოთ,უთმინოს,
,გითმინოთ,ვუთმინოთ,,გითმინოთ,ვუთმინოთ,
მითმინოთ,,უთმინოთ,გვითმინოთ,,უთმინოთ,
მითმინონ,გითმინონ,უთმინონ,გვითმინონ,გითმინონ,უთმინონ,
IIsubj2_prfv
,გადმოგითმინო,გადმოვუთმინო,,გადმოგითმინოთ,გადმოვუთმინო,
გადმომითმინო,,გადმოუთმინო,გადმოგვითმინო,,გადმოუთმინო,
გადმომითმინოს,გადმოგითმინოს,გადმოუთმინოს,გადმოგვითმინოს,გადმოგითმინოთ,გადმოუთმინოს,
