pres
,გჩქმეტ,ვჩქმეტ,,გჩქმეტთ,ვჩქმეტ,
მჩქმეტ,,ჩქმეტ,გვჩქმეტ,,ჩქმეტ,
მჩქმეტს,გჩქმეტს,ჩქმეტს,გვჩქმეტს,გჩქმეტთ,ჩქმეტს,
,გჩქმეტთ,ვჩქმეტთ,,გჩქმეტთ,ვჩქმეტთ,
მჩქმეტთ,,ჩქმეტთ,გვჩქმეტთ,,ჩქმეტთ,
მჩქმეტენ,გჩქმეტენ,ჩქმეტენ,გვჩქმეტენ,გჩქმეტენ,ჩქმეტენ,
fut
,გადმოგჩქმეტ,გადმოვჩქმეტ,,გადმოგჩქმეტთ,გადმოვჩქმეტ,
გადმომჩქმეტ,,გადმოჩქმეტ,გადმოგვჩქმეტ,,გადმოჩქმეტ,
გადმომჩქმეტს,გადმოგჩქმეტს,გადმოჩქმეტს,გადმოგვჩქმეტს,გადმოგჩქმეტთ,გადმოჩქმეტს,
,გადმოგჩქმეტთ,გადმოვჩქმეტთ,,გადმოგჩქმეტთ,გადმოვჩქმეტთ,
გადმომჩქმეტთ,,გადმოჩქმეტთ,გადმოგვჩქმეტთ,,გადმოჩქმეტთ,
გადმომჩქმეტენ,გადმოგჩქმეტენ,გადმოჩქმეტენ,გადმოგვჩქმეტენ,გადმოგჩქმეტენ,გადმოჩქმეტენ,
fut2
,გიჩქმეტ,ვუჩქმეტ,,გიჩქმეტთ,ვუჩქმეტ,
მიჩქმეტ,,უჩქმეტ,გვიჩქმეტ,,უჩქმეტ,
მიჩქმეტს,გიჩქმეტს,უჩქმეტს,გვიჩქმეტს,გიჩქმეტთ,უჩქმეტს,
,გიჩქმეტთ,ვუჩქმეტთ,,გიჩქმეტთ,ვუჩქმეტთ,
მიჩქმეტთ,,უჩქმეტთ,გვიჩქმეტთ,,უჩქმეტთ,
მიჩქმეტენ,გიჩქმეტენ,უჩქმეტენ,გვიჩქმეტენ,გიჩქმეტენ,უჩქმეტენ,
impf
,გჩქმეტდი,ვჩქმეტდი,,გჩქმეტდით,ვჩქმეტდი,
მჩქმეტდი,,ჩქმეტდი,გვჩქმეტდი,,ჩქმეტდი,
მჩქმეტდა,გჩქმეტდა,ჩქმეტდა,გვჩქმეტდა,გჩქმეტდათ,ჩქმეტდა,
,გჩქმეტდით,ვჩქმეტდით,,გჩქმეტდით,ვჩქმეტდით,
მჩქმეტდით,,ჩქმეტდით,გვჩქმეტდით,,ჩქმეტდით,
მჩქმეტდნენ,გჩქმეტდნენ,ჩქმეტდნენ,გვჩქმეტდნენ,გჩქმეტდნენ,ჩქმეტდნენ,
cond
,გადმოგჩქმეტდი,გადმოვჩქმეტდი,,გადმოგჩქმეტდით,გადმოვჩქმეტდი,
გადმომჩქმეტდი,,გადმოჩქმეტდი,გადმოგვჩქმეტდი,,გადმოჩქმეტდი,
გადმომჩქმეტდა,გადმოგჩქმეტდა,გადმოჩქმეტდა,გადმოგვჩქმეტდა,გადმოგჩქმეტდათ,გადმოჩქმეტდა,
,გადმოგჩქმეტდით,გადმოვჩქმეტდით,,გადმოგჩქმეტდით,გადმოვჩქმეტდით,
გადმომჩქმეტდით,,გადმოჩქმეტდით,გადმოგვჩქმეტდით,,გადმოჩქმეტდით,
გადმომჩქმეტდნენ,გადმოგჩქმეტდნენ,გადმოჩქმეტდნენ,გადმოგვჩქმეტდნენ,გადმოგჩქმეტდნენ,გადმოჩქმეტდნენ,
cond2
,გიჩქმეტდი,ვუჩქმეტდი,,გიჩქმეტდით,ვუჩქმეტდი,
მიჩქმეტდი,,უჩქმეტდი,გვიჩქმეტდი,,უჩქმეტდი,
მიჩქმეტდა,გიჩქმეტდა,უჩქმეტდა,გვიჩქმეტდა,გიჩქმეტდათ,უჩქმეტდა,
,გიჩქმეტდით,ვუჩქმეტდით,,გიჩქმეტდით,ვუჩქმეტდით,
მიჩქმეტდით,,უჩქმეტდით,გვიჩქმეტდით,,უჩქმეტდით,
