pres
,გცრი,ვცრი,,გცრით,ვცრი,
მცრი,,ცრი,გვცრი,,ცრი,
მცრის,გცრის,ცრის,გვცრის,გცრით,ცრის,
,გცრით,ვცრით,,გცრით,ვცრით,
მცრით,,ცრით,გვცრით,,ცრით,
მცრიან,გცრიან,ცრიან,გვცრიან,გცრიან,ცრიან,
fut
,გადმოგცრი,გადმოვცრი,,გადმოგცრით,გადმოვცრი,
გადმომცრი,,გადმოცრი,გადმოგვცრი,,გადმოცრი,
გადმომცრის,გადმოგცრის,გადმოცრის,გადმოგვცრის,გადმოგცრით,გადმოცრის,
,გადმოგცრით,გადმოვცრით,,გადმოგცრით,გადმოვცრით,
გადმომცრით,,გადმოცრით,გადმოგვცრით,,გადმოცრით,
გადმომცრიან,გადმოგცრიან,გადმოცრიან,გადმოგვცრიან,გადმოგცრიან,გადმოცრიან,
impf
,გცრიდი,ვცრიდი,,გცრიდით,ვცრიდი,
მცრიდი,,ცრიდი,გვცრიდი,,ცრიდი,
მცრიდა,გცრიდა,ცრიდა,გვცრიდა,გცრიდათ,ცრიდა,
,გცრიდით,ვცრიდით,,გცრიდით,ვცრიდით,
მცრიდით,,ცრიდით,გვცრიდით,,ცრიდით,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
cond
,გადმოგცრიდი,გადმოვცრიდი,,გადმოგცრიდით,გადმოვცრიდი,
გადმომცრიდი,,გადმოცრიდი,გადმოგვცრიდი,,გადმოცრიდი,
გადმომცრიდა,გადმოგცრიდა,გადმოცრიდა,გადმოგვცრიდა,გადმოგცრიდათ,გადმოცრიდა,
,გადმოგცრიდით,გადმოვცრიდით,,გადმოგცრიდით,გადმოვცრიდით,
გადმომცრიდით,,გადმოცრიდით,გადმოგვცრიდით,,გადმოცრიდით,
გადმომცრიდნენ,გადმოგცრიდნენ,გადმოცრიდნენ,გადმოგვცრიდნენ,გადმოგცრიდნენ,გადმოცრიდნენ,
subj
,გცრიდე,ვცრიდე,,გცრიდეთ,ვცრიდე,
მცრიდე,,ცრიდე,გვცრიდე,,ცრიდე,
მცრიდეს,გცრიდეს,ცრიდეს,გვცრიდეს,გცრიდეთ,ცრიდეს,
,გცრიდეთ,ვცრიდეთ,,გცრიდეთ,ვცრიდეთ,
მცრიდეთ,,ცრიდეთ,გვცრიდეთ,,ცრიდეთ,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
fut_subj
,გადმოგცრიდე,გადმოვცრიდე,,გადმოგცრიდეთ,გადმოვცრიდე,
გადმომცრიდე,,გადმოცრიდე,გადმოგვცრიდე,,გადმოცრიდე,
გადმომცრიდეს,გადმოგცრიდეს,გადმოცრიდეს,გადმოგვცრიდეს,გადმოგცრიდეთ,გადმოცრიდეს,
,გადმოგცრიდეთ,გადმოვცრიდეთ,,გადმოგცრიდეთ,გადმოვცრიდეთ,
გადმომცრიდეთ,,გადმოცრიდეთ,გადმოგვცრიდეთ,,გადმოცრიდეთ,
გადმომცრიდნენ,გადმოგცრიდნენ,გადმოცრიდნენ,გადმოგვცრიდნენ,გადმოგცრიდნენ,გადმოცრიდნენ,
aor
,გცერი,ვცერი,,გცერით,ვცერი,
მცერი,,ცერი,გვცერი,,ცერი,
მცრა,გცრა,ცრა,გვცრა,გცრათ,ცრა,
,გცერით,ვცერით,,გცერით,ვცერით,
მცერით,,ცერით,გვცერით,,ცერით,
მცრეს,გცრეს,ცრეს,გვცრეს,გცრეს,ცრეს,
aor_prfv
,გადმოგცერი,გადმოვცერი,,გადმოგცერით,გადმოვცერი,
გადმომცერი,,გადმოცერი,გადმოგვცერი,,გადმოცერი,
გადმომცრა,გადმოგცრა,გადმოცრა,გადმოგვცრა,გადმოგცრათ,გადმოცრა,
,გადმოგცერით,გადმოვცერით,,გადმოგცერით,გადმოვცერით,
გადმომცერით,,გადმოცერით,გადმოგვცერით,,გადმოცერით,
გადმომცრეს,გადმოგცრეს,გადმოცრეს,გადმოგვცრეს,გადმოგცრეს,გადმოცრეს,
IIsubj
,გცრა,ვცრა,,გცრათ,ვცრა,
მცრა,,ცრა,გვცრა,,ცრა,
მცრას,გცრას,ცრას,გვცრას,გცრათ,ცრას,
,გცრათ,ვცრათ,,გცრათ,ვცრათ,
მცრათ,,ცრათ,გვცრათ,,ცრათ,
მცრან,გცრან,ცრან,გვცრან,გცრან,ცრან,
IIsubj_prfv
,გადმოგცრა,გადმოვცრა,,გადმოგცრათ,გადმოვცრა,
გადმომცრა,,გადმოცრა,გადმოგვცრა,,გადმოცრა,
გადმომცრას,გადმოგცრას,გადმოცრას,გადმოგვცრას,გადმოგცრათ,გადმოცრას,
,გადმოგცრათ,გადმოვცრათ,,გადმოგცრათ,გადმოვცრათ,
გადმომცრათ,,გადმოცრათ,გადმოგვცრათ,,გადმოცრათ,
გადმომცრან,გადმოგცრან,გადმოცრან,გადმოგვცრან,გადმოგცრან,გადმოცრან,
Iturm
,მიცრიხარ,მიცრია,,მიცრიხართ,მიცრია,
გიცრივარ,,გიცრია,გიცრივართ,,გიცრია,
ვუცრივარ,უცრიხარ,უცრია,ვუცრივართ,უცრიხართ,უცრია,
,გვიცრიხარ,გვიცრია,,გვიცრიხართ,გვიცრია,
გიცრივართ,,გიცრიათ,გიცრივართ,,გიცრიათ,
ვუცრივარ,უცრიხარ,უცრიათ,ვუცრივართ,უცრიხართ,უცრიათ,
Iturm_prfv
,გადმომიცრიხარ,გადმომიცრია,,გადმომიცრიხართ,გადმომიცრია,
გადმოგიცრივარ,,გადმოგიცრია,გადმოგიცრივართ,,გადმოგიცრია,
გადმოვუცრივარ,გადმოუცრიხარ,გადმოუცრია,გადმოვუცრივართ,გადმოუცრიხართ,გადმოუცრია,
,გადმოგვიცრიხარ,გადმოგვიცრია,,გადმოგვიცრიხართ,გადმოგვიცრია,
გადმოგიცრივართ,,გადმოგიცრიათ,გადმოგიცრივართ,,გადმოგიცრიათ,
გადმოვუცრივარ,გადმოუცრიხარ,გადმოუცრიათ,გადმოვუცრივართ,გადმოუცრიხართ,გადმოუცრიათ,
IIturm
,მეცერი,მეცრა,,მეცერით,მეცრა,
გეცერი,,გეცრა,გეცერით,,გეცრა,
ვეცერი,ეცერი,ეცრა,ვეცერით,ეცერით,ეცრა,
,გვეცერი,გვეცრა,,გვეცერით,გვეცრა,
გეცერით,,გეცრათ,გეცერით,,გეცრათ,
ვეცერი,ეცერი,ეცრათ,ვეცერით,ეცერით,ეცრათ,
IIturm_prfv
,გადმომეცერი,გადმომეცრა,,გადმომეცერით,გადმომეცრა,
გადმოგეცერი,,გადმოგეცრა,გადმოგეცერით,,გადმოგეცრა,
გადმოვეცერი,გადმოეცერი,გადმოეცრა,გადმოვეცერით,გადმოეცერით,გადმოეცრა,
,გადმოგვეცერი,გადმოგვეცრა,,გადმოგვეცერით,გადმოგვეცრა,
გადმოგეცერით,,გადმოგეცრათ,გადმოგეცერით,,გადმოგეცრათ,
გადმოვეცერი,გადმოეცერი,გადმოეცრათ,გადმოვეცერით,გადმოეცერით,გადმოეცრათ,
IIIsubj
,მეცრა,მეცრას,,მეცრათ,მეცრას,
გეცრა,,გეცრას,გეცრათ,,გეცრას,
ვეცრა,ეცრა,ეცრას,ვეცრათ,ეცრათ,ეცრას,
,გვეცრა,გვეცრას,,გვეცრათ,გვეცრას,
გეცრათ,,გეცრათ,გეცრათ,,გეცრათ,
ვეცრა,ეცრა,ეცრათ,ვეცრათ,ეცრათ,ეცრათ,
IIIsubj_prfv
,გადმომეცრა,გადმომეცრას,,გადმომეცრათ,გადმომეცრას,
გადმოგეცრა,,გადმოგეცრას,გადმოგეცრათ,,გადმოგეცრას,
გადმოვეცრა,გადმოეცრა,გადმოეცრას,გადმოვეცრათ,გადმოეცრათ,გადმოეცრას,
,გადმოგვეცრა,გადმოგვეცრას,,გადმოგვეცრათ,გადმოგვეცრას,
გადმოგეცრათ,,გადმოგეცრათ,გადმოგეცრათ,,გადმოგეცრათ,
გადმოვეცრა,გადმოეცრა,გადმოეცრათ,გადმოვეცრათ,გადმოეცრათ,გადმოეცრათ,
