pres
,გწერ,ვწერ,,გწერთ,ვწერ,
მწერ,,წერ,გვწერ,,წერ,
მწერს,გწერს,წერს,გვწერს,გწერთ,წერს,
,გწერთ,ვწერთ,,გწერთ,ვწერთ,
მწერთ,,წერთ,გვწერთ,,წერთ,
მწერენ,გწერენ,წერენ,გვწერენ,გწერენ,წერენ,
fut
,გადმოგწერ,გადმოვწერ,,გადმოგწერთ,გადმოვწერ,
გადმომწერ,,გადმოწერ,გადმოგვწერ,,გადმოწერ,
გადმომწერს,გადმოგწერს,გადმოწერს,გადმოგვწერს,გადმოგწერთ,გადმოწერს,
,გადმოგწერთ,გადმოვწერთ,,გადმოგწერთ,გადმოვწერთ,
გადმომწერთ,,გადმოწერთ,გადმოგვწერთ,,გადმოწერთ,
გადმომწერენ,გადმოგწერენ,გადმოწერენ,გადმოგვწერენ,გადმოგწერენ,გადმოწერენ,
impf
,გწერდი,ვწერდი,,გწერდით,ვწერდი,
მწერდი,,წერდი,გვწერდი,,წერდი,
მწერდა,გწერდა,წერდა,გვწერდა,გწერდათ,წერდა,
,გწერდით,ვწერდით,,გწერდით,ვწერდით,
მწერდით,,წერდით,გვწერდით,,წერდით,
მწერდნენ,გწერდნენ,წერდნენ,გვწერდნენ,გწერდნენ,წერდნენ,
cond
,გადმოგწერდი,გადმოვწერდი,,გადმოგწერდით,გადმოვწერდი,
გადმომწერდი,,გადმოწერდი,გადმოგვწერდი,,გადმოწერდი,
გადმომწერდა,გადმოგწერდა,გადმოწერდა,გადმოგვწერდა,გადმოგწერდათ,გადმოწერდა,
,გადმოგწერდით,გადმოვწერდით,,გადმოგწერდით,გადმოვწერდით,
გადმომწერდით,,გადმოწერდით,გადმოგვწერდით,,გადმოწერდით,
გადმომწერდნენ,გადმოგწერდნენ,გადმოწერდნენ,გადმოგვწერდნენ,გადმოგწერდნენ,გადმოწერდნენ,
subj
,გწერდე,ვწერდე,,გწერდეთ,ვწერდე,
მწერდე,,წერდე,გვწერდე,,წერდე,
მწერდეს,გწერდეს,წერდეს,გვწერდეს,გწერდეთ,წერდეს,
,გწერდეთ,ვწერდეთ,,გწერდეთ,ვწერდეთ,
მწერდეთ,,წერდეთ,გვწერდეთ,,წერდეთ,
მწერდნენ,გწერდნენ,წერდნენ,გვწერდნენ,გწერდნენ,წერდნენ,
fut_subj
,გადმოგწერდე,გადმოვწერდე,,გადმოგწერდეთ,გადმოვწერდე,
გადმომწერდე,,გადმოწერდე,გადმოგვწერდე,,გადმოწერდე,
გადმომწერდეს,გადმოგწერდეს,გადმოწერდეს,გადმოგვწერდეს,გადმოგწერდეთ,გადმოწერდეს,
,გადმოგწერდეთ,გადმოვწერდეთ,,გადმოგწერდეთ,გადმოვწერდეთ,
გადმომწერდეთ,,გადმოწერდეთ,გადმოგვწერდეთ,,გადმოწერდეთ,
გადმომწერდნენ,გადმოგწერდნენ,გადმოწერდნენ,გადმოგვწერდნენ,გადმოგწერდნენ,გადმოწერდნენ,
aor
,გწერე,ვწერე,,გწერეთ,ვწერე,
მწერე,,წერე,გვწერე,,წერე,
მწერა,გწერა,წერა,გვწერა,გწერათ,წერა,
,გწერეთ,ვწერეთ,,გწერეთ,ვწერეთ,
მწერეთ,,წერეთ,გვწერეთ,,წერეთ,
მწერეს,გწერეს,წერეს,გვწერეს,გწერეს,წერეს,
aor_prfv
,გადმოგწერე,გადმოვწერე,,გადმოგწერეთ,გადმოვწერე,
გადმომწერე,,გადმოწერე,გადმოგვწერე,,გადმოწერე,
გადმომწერა,გადმოგწერა,გადმოწერა,გადმოგვწერა,გადმოგწერათ,გადმოწერა,
,გადმოგწერეთ,გადმოვწერეთ,,გადმოგწერეთ,გადმოვწერეთ,
გადმომწერეთ,,გადმოწერეთ,გადმოგვწერეთ,,გადმოწერეთ,
გადმომწერეს,გადმოგწერეს,გადმოწერეს,გადმოგვწერეს,გადმოგწერეს,გადმოწერეს,
IIsubj
,გწერო,ვწერო,,გწეროთ,ვწერო,
მწერო,,წერო,გვწერო,,წერო,
მწეროს,გწეროს,წეროს,გვწეროს,გწეროთ,წეროს,
,გწეროთ,ვწეროთ,,გწეროთ,ვწეროთ,
მწეროთ,,წეროთ,გვწეროთ,,წეროთ,
მწერონ,გწერონ,წერონ,გვწერონ,გწერონ,წერონ,
IIsubj_prfv
,გადმოგწერო,გადმოვწერო,,გადმოგწეროთ,გადმოვწერო,
გადმომწერო,,გადმოწერო,გადმოგვწერო,,გადმოწერო,
გადმომწეროს,გადმოგწეროს,გადმოწეროს,გადმოგვწეროს,გადმოგწეროთ,გადმოწეროს,
,გადმოგწეროთ,გადმოვწეროთ,,გადმოგწეროთ,გადმოვწეროთ,
გადმომწეროთ,,გადმოწეროთ,გადმოგვწეროთ,,გადმოწეროთ,
გადმომწერონ,გადმოგწერონ,გადმოწერონ,გადმოგვწერონ,გადმოგწერონ,გადმოწერონ,
Iturm
,მიწერიხარ,მიწერია,,მიწერიხართ,მიწერია,
გიწერივარ,,გიწერია,გიწერივართ,,გიწერია,
ვუწერივარ,უწერიხარ,უწერია,ვუწერივართ,უწერიხართ,უწერია,
,გვიწერიხარ,გვიწერია,,გვიწერიხართ,გვიწერია,
გიწერივართ,,გიწერიათ,გიწერივართ,,გიწერიათ,
ვუწერივარ,უწერიხარ,უწერიათ,ვუწერივართ,უწერიხართ,უწერიათ,
Iturm_prfv
,გადმომიწერიხარ,გადმომიწერია,,გადმომიწერიხართ,გადმომიწერია,
გადმოგიწერივარ,,გადმოგიწერია,გადმოგიწერივართ,,გადმოგიწერია,
გადმოვუწერივარ,გადმოუწერიხარ,გადმოუწერია,გადმოვუწერივართ,გადმოუწერიხართ,გადმოუწერია,
,გადმოგვიწერიხარ,გადმოგვიწერია,,გადმოგვიწერიხართ,გადმოგვიწერია,
