pres
,გჭამ,ვჭამ,,გჭამთ,ვჭამ,
მჭამ,,ჭამ,გვჭამ,,ჭამ,
მჭამს,გჭამს,ჭამს,გვჭამს,გჭამთ,ჭამს,
,გჭამთ,ვჭამთ,,გჭამთ,ვჭამთ,
მჭამთ,,ჭამთ,გვჭამთ,,ჭამთ,
მჭამენ,გჭამენ,ჭამენ,გვჭამენ,გჭამენ,ჭამენ,
fut
,გადმოგჭამ,გადმოვჭამ,,გადმოგჭამთ,გადმოვჭამ,
გადმომჭამ,,გადმოჭამ,გადმოგვჭამ,,გადმოჭამ,
გადმომჭამს,გადმოგჭამს,გადმოჭამს,გადმოგვჭამს,გადმოგჭამთ,გადმოჭამს,
,გადმოგჭამთ,გადმოვჭამთ,,გადმოგჭამთ,გადმოვჭამთ,
გადმომჭამთ,,გადმოჭამთ,გადმოგვჭამთ,,გადმოჭამთ,
გადმომჭამენ,გადმოგჭამენ,გადმოჭამენ,გადმოგვჭამენ,გადმოგჭამენ,გადმოჭამენ,
impf
,გჭამდი,ვჭამდი,,გჭამდით,ვჭამდი,
მჭამდი,,ჭამდი,გვჭამდი,,ჭამდი,
მჭამდა,გჭამდა,ჭამდა,გვჭამდა,გჭამდათ,ჭამდა,
,გჭამდით,ვჭამდით,,გჭამდით,ვჭამდით,
მჭამდით,,ჭამდით,გვჭამდით,,ჭამდით,
მჭამდნენ,გჭამდნენ,ჭამდნენ,გვჭამდნენ,გჭამდნენ,ჭამდნენ,
cond
,გადმოგჭამდი,გადმოვჭამდი,,გადმოგჭამდით,გადმოვჭამდი,
გადმომჭამდი,,გადმოჭამდი,გადმოგვჭამდი,,გადმოჭამდი,
გადმომჭამდა,გადმოგჭამდა,გადმოჭამდა,გადმოგვჭამდა,გადმოგჭამდათ,გადმოჭამდა,
,გადმოგჭამდით,გადმოვჭამდით,,გადმოგჭამდით,გადმოვჭამდით,
გადმომჭამდით,,გადმოჭამდით,გადმოგვჭამდით,,გადმოჭამდით,
გადმომჭამდნენ,გადმოგჭამდნენ,გადმოჭამდნენ,გადმოგვჭამდნენ,გადმოგჭამდნენ,გადმოჭამდნენ,
subj
,გჭამდე,ვჭამდე,,გჭამდეთ,ვჭამდე,
მჭამდე,,ჭამდე,გვჭამდე,,ჭამდე,
მჭამდეს,გჭამდეს,ჭამდეს,გვჭამდეს,გჭამდეთ,ჭამდეს,
,გჭამდეთ,ვჭამდეთ,,გჭამდეთ,ვჭამდეთ,
მჭამდეთ,,ჭამდეთ,გვჭამდეთ,,ჭამდეთ,
მჭამდნენ,გჭამდნენ,ჭამდნენ,გვჭამდნენ,გჭამდნენ,ჭამდნენ,
fut_subj
,გადმოგჭამდე,გადმოვჭამდე,,გადმოგჭამდეთ,გადმოვჭამდე,
გადმომჭამდე,,გადმოჭამდე,გადმოგვჭამდე,,გადმოჭამდე,
გადმომჭამდეს,გადმოგჭამდეს,გადმოჭამდეს,გადმოგვჭამდეს,გადმოგჭამდეთ,გადმოჭამდეს,
,გადმოგჭამდეთ,გადმოვჭამდეთ,,გადმოგჭამდეთ,გადმოვჭამდეთ,
გადმომჭამდეთ,,გადმოჭამდეთ,გადმოგვჭამდეთ,,გადმოჭამდეთ,
გადმომჭამდნენ,გადმოგჭამდნენ,გადმოჭამდნენ,გადმოგვჭამდნენ,გადმოგჭამდნენ,გადმოჭამდნენ,
aor
,გჭამე,ვჭამე,,გჭამეთ,ვჭამე,
მჭამე,,ჭამე,გვჭამე,,ჭამე,
მჭამა,გჭამა,ჭამა,გვჭამა,გჭამათ,ჭამა,
,გჭამეთ,ვჭამეთ,,გჭამეთ,ვჭამეთ,
მჭამეთ,,ჭამეთ,გვჭამეთ,,ჭამეთ,
მჭამეს,გჭამეს,ჭამეს,გვჭამეს,გჭამეს,ჭამეს,
aor_prfv
,გადმოგჭამე,გადმოვჭამე,,გადმოგჭამეთ,გადმოვჭამე,
გადმომჭამე,,გადმოჭამე,გადმოგვჭამე,,გადმოჭამე,
გადმომჭამა,გადმოგჭამა,გადმოჭამა,გადმოგვჭამა,გადმოგჭამათ,გადმოჭამა,
,გადმოგჭამეთ,გადმოვჭამეთ,,გადმოგჭამეთ,გადმოვჭამეთ,
გადმომჭამეთ,,გადმოჭამეთ,გადმოგვჭამეთ,,გადმოჭამეთ,
გადმომჭამეს,გადმოგჭამეს,გადმოჭამეს,გადმოგვჭამეს,გადმოგჭამეს,გადმოჭამეს,
IIsubj
,გჭამო,ვჭამო,,გჭამოთ,ვჭამო,
მჭამო,,ჭამო,გვჭამო,,ჭამო,
მჭამოს,გჭამოს,ჭამოს,გვჭამოს,გჭამოთ,ჭამოს,
,გჭამოთ,ვჭამოთ,,გჭამოთ,ვჭამოთ,
მჭამოთ,,ჭამოთ,გვჭამოთ,,ჭამოთ,
მჭამონ,გჭამონ,ჭამონ,გვჭამონ,გჭამონ,ჭამონ,
IIsubj_prfv
,გადმოგჭამო,გადმოვჭამო,,გადმოგჭამოთ,გადმოვჭამო,
გადმომჭამო,,გადმოჭამო,გადმოგვჭამო,,გადმოჭამო,
გადმომჭამოს,გადმოგჭამოს,გადმოჭამოს,გადმოგვჭამოს,გადმოგჭამოთ,გადმოჭამოს,
,გადმოგჭამოთ,გადმოვჭამოთ,,გადმოგჭამოთ,გადმოვჭამოთ,
გადმომჭამოთ,,გადმოჭამოთ,გადმოგვჭამოთ,,გადმოჭამოთ,
გადმომჭამონ,გადმოგჭამონ,გადმოჭამონ,გადმოგვჭამონ,გადმოგჭამონ,გადმოჭამონ,
Iturm
,მიჭამიხარ,მიჭამია,,მიჭამიხართ,მიჭამია,
გიჭამივარ,,გიჭამია,გიჭამივართ,,გიჭამია,
ვუჭამივარ,უჭამიხარ,უჭამია,ვუჭამივართ,უჭამიხართ,უჭამია,
,გვიჭამიხარ,გვიჭამია,,გვიჭამიხართ,გვიჭამია,
გიჭამივართ,,გიჭამიათ,გიჭამივართ,,გიჭამიათ,
ვუჭამივარ,უჭამიხარ,უჭამიათ,ვუჭამივართ,უჭამიხართ,უჭამიათ,
Iturm_prfv
,გადმომიჭამიხარ,გადმომიჭამია,,გადმომიჭამიხართ,გადმომიჭამია,
გადმოგიჭამივარ,,გადმოგიჭამია,გადმოგიჭამივართ,,გადმოგიჭამია,
გადმოვუჭამივარ,გადმოუჭამიხარ,გადმოუჭამია,გადმოვუჭამივართ,გადმოუჭამიხართ,გადმოუჭამია,
,გადმოგვიჭამიხარ,გადმოგვიჭამია,,გადმოგვიჭამიხართ,გადმოგვიჭამია,
გადმოგიჭამივართ,,გადმოგიჭამიათ,გადმოგიჭამივართ,,გადმოგიჭამიათ,
გადმოვუჭამივარ,გადმოუჭამიხარ,გადმოუჭამიათ,გადმოვუჭამივართ,გადმოუჭამიხართ,გადმოუჭამიათ,
IIturm
,მეჭამე,მეჭამა,,მეჭამეთ,მეჭამა,
გეჭამე,,გეჭამა,გეჭამეთ,,გეჭამა,
ვეჭამე,ეჭამე,ეჭამა,ვეჭამეთ,ეჭამეთ,ეჭამა,
,გვეჭამე,გვეჭამა,,გვეჭამეთ,გვეჭამა,
გეჭამეთ,,გეჭამათ,გეჭამეთ,,გეჭამათ,
ვეჭამე,ეჭამე,ეჭამათ,ვეჭამეთ,ეჭამეთ,ეჭამათ,
IIturm_prfv
,გადმომეჭამე,გადმომეჭამა,,გადმომეჭამეთ,გადმომეჭამა,
გადმოგეჭამე,,გადმოგეჭამა,გადმოგეჭამეთ,,გადმოგეჭამა,
