fut2
,გადებინებ,ვადებინებ,,გადებინებთ,ვადებინებ,
მადებინებ,,ადებინებ,გვადებინებ,,ადებინებ,
მადებინებს,გადებინებს,ადებინებს,გვადებინებს,გადებინებთ,ადებინებს,
,გადებინებთ,ვადებინებთ,,გადებინებთ,ვადებინებთ,
მადებინებთ,,ადებინებთ,გვადებინებთ,,ადებინებთ,
მადებინებენ,გადებინებენ,ადებინებენ,გვადებინებენ,გადებინებენ,ადებინებენ,
fut2_prfv
,განგადებინებ,განვადებინებ,,განგადებინებთ,განვადებინებ,
განმადებინებ,,განადებინებ,განგვადებინებ,,განადებინებ,
განმადებინებს,განგადებინებს,განადებინებს,განგვადებინებს,განგადებინებთ,განადებინებს,
,განგადებინებთ,განვადებინებთ,,განგადებინებთ,განვადებინებთ,
განმადებინებთ,,განადებინებთ,განგვადებინებთ,,განადებინებთ,
განმადებინებენ,განგადებინებენ,განადებინებენ,განგვადებინებენ,განგადებინებენ,განადებინებენ,
cond2
,გადებინებდი,ვადებინებდი,,გადებინებდით,ვადებინებდი,
მადებინებდი,,ადებინებდი,გვადებინებდი,,ადებინებდი,
მადებინებდა,გადებინებდა,ადებინებდა,გვადებინებდა,გადებინებდათ,ადებინებდა,
,გადებინებდით,ვადებინებდით,,გადებინებდით,ვადებინებდით,
მადებინებდით,,ადებინებდით,გვადებინებდით,,ადებინებდით,
მადებინებდნენ,გადებინებდნენ,ადებინებდნენ,გვადებინებდნენ,გადებინებდნენ,ადებინებდნენ,
cond2_prfv
,განგადებინებდი,განვადებინებდი,,განგადებინებდით,განვადებინებდი,
განმადებინებდი,,განადებინებდი,განგვადებინებდი,,განადებინებდი,
განმადებინებდა,განგადებინებდა,განადებინებდა,განგვადებინებდა,განგადებინებდათ,განადებინებდა,
,განგადებინებდით,განვადებინებდით,,განგადებინებდით,განვადებინებდით,
განმადებინებდით,,განადებინებდით,განგვადებინებდით,,განადებინებდით,
განმადებინებდნენ,განგადებინებდნენ,განადებინებდნენ,განგვადებინებდნენ,განგადებინებდნენ,განადებინებდნენ,
fut2_subj
,გადებინებდე,ვადებინებდე,,გადებინებდეთ,ვადებინებდე,
მადებინებდე,,ადებინებდე,გვადებინებდე,,ადებინებდე,
მადებინებდეს,გადებინებდეს,ადებინებდეს,გვადებინებდეს,გადებინებდეთ,ადებინებდეს,
,გადებინებდეთ,ვადებინებდეთ,,გადებინებდეთ,ვადებინებდეთ,
მადებინებდეთ,,ადებინებდეთ,გვადებინებდეთ,,ადებინებდეთ,
მადებინებდნენ,გადებინებდნენ,ადებინებდნენ,გვადებინებდნენ,გადებინებდნენ,ადებინებდნენ,
fut2_subj_prfv
,განგადებინებდე,განვადებინებდე,,განგადებინებდეთ,განვადებინებდე,
განმადებინებდე,,განადებინებდე,განგვადებინებდე,,განადებინებდე,
განმადებინებდეს,განგადებინებდეს,განადებინებდეს,განგვადებინებდეს,განგადებინებდეთ,განადებინებდეს,
,განგადებინებდეთ,განვადებინებდეთ,,განგადებინებდეთ,განვადებინებდეთ,
განმადებინებდეთ,,განადებინებდეთ,განგვადებინებდეთ,,განადებინებდეთ,
განმადებინებდნენ,განგადებინებდნენ,განადებინებდნენ,განგვადებინებდნენ,განგადებინებდნენ,განადებინებდნენ,
aor2
,გადებინე,ვადებინე,,გადებინეთ,ვადებინე,
მადებინე,,ადებინე,გვადებინე,,ადებინე,
მადებინა,გადებინა,ადებინა,გვადებინა,გადებინათ,ადებინა,
,გადებინეთ,ვადებინეთ,,გადებინეთ,ვადებინეთ,
მადებინეთ,,ადებინეთ,გვადებინეთ,,ადებინეთ,
მადებინეს,გადებინეს,ადებინეს,გვადებინეს,გადებინეს,ადებინეს,
