fut2
,გაშენებ,ვაშენებ,,გაშენებთ,ვაშენებ,
მაშენებ,,აშენებ,გვაშენებ,,აშენებ,
მაშენებს,გაშენებს,აშენებს,გვაშენებს,გაშენებთ,აშენებს,
,გაშენებთ,ვაშენებთ,,გაშენებთ,ვაშენებთ,
მაშენებთ,,აშენებთ,გვაშენებთ,,აშენებთ,
მაშენებენ,გაშენებენ,აშენებენ,გვაშენებენ,გაშენებენ,აშენებენ,
fut2_prfv
,განგაშენებ,განვაშენებ,,განგაშენებთ,განვაშენებ,
განმაშენებ,,განაშენებ,განგვაშენებ,,განაშენებ,
განმაშენებს,განგაშენებს,განაშენებს,განგვაშენებს,განგაშენებთ,განაშენებს,
,განგაშენებთ,განვაშენებთ,,განგაშენებთ,განვაშენებთ,
განმაშენებთ,,განაშენებთ,განგვაშენებთ,,განაშენებთ,
განმაშენებენ,განგაშენებენ,განაშენებენ,განგვაშენებენ,განგაშენებენ,განაშენებენ,
cond2
,გაშენებდი,ვაშენებდი,,გაშენებდით,ვაშენებდი,
მაშენებდი,,აშენებდი,გვაშენებდი,,აშენებდი,
მაშენებდა,გაშენებდა,აშენებდა,გვაშენებდა,გაშენებდათ,აშენებდა,
,გაშენებდით,ვაშენებდით,,გაშენებდით,ვაშენებდით,
მაშენებდით,,აშენებდით,გვაშენებდით,,აშენებდით,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
cond2_prfv
,განგაშენებდი,განვაშენებდი,,განგაშენებდით,განვაშენებდი,
განმაშენებდი,,განაშენებდი,განგვაშენებდი,,განაშენებდი,
განმაშენებდა,განგაშენებდა,განაშენებდა,განგვაშენებდა,განგაშენებდათ,განაშენებდა,
,განგაშენებდით,განვაშენებდით,,განგაშენებდით,განვაშენებდით,
განმაშენებდით,,განაშენებდით,განგვაშენებდით,,განაშენებდით,
განმაშენებდნენ,განგაშენებდნენ,განაშენებდნენ,განგვაშენებდნენ,განგაშენებდნენ,განაშენებდნენ,
fut2_subj
,გაშენებდე,ვაშენებდე,,გაშენებდეთ,ვაშენებდე,
მაშენებდე,,აშენებდე,გვაშენებდე,,აშენებდე,
მაშენებდეს,გაშენებდეს,აშენებდეს,გვაშენებდეს,გაშენებდეთ,აშენებდეს,
,გაშენებდეთ,ვაშენებდეთ,,გაშენებდეთ,ვაშენებდეთ,
მაშენებდეთ,,აშენებდეთ,გვაშენებდეთ,,აშენებდეთ,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
fut2_subj_prfv
,განგაშენებდე,განვაშენებდე,,განგაშენებდეთ,განვაშენებდე,
განმაშენებდე,,განაშენებდე,განგვაშენებდე,,განაშენებდე,
განმაშენებდეს,განგაშენებდეს,განაშენებდეს,განგვაშენებდეს,განგაშენებდეთ,განაშენებდეს,
,განგაშენებდეთ,განვაშენებდეთ,,განგაშენებდეთ,განვაშენებდეთ,
განმაშენებდეთ,,განაშენებდეთ,განგვაშენებდეთ,,განაშენებდეთ,
განმაშენებდნენ,განგაშენებდნენ,განაშენებდნენ,განგვაშენებდნენ,განგაშენებდნენ,განაშენებდნენ,
aor2
,გაშენე,ვაშენე,,გაშენეთ,ვაშენე,
მაშენე,,აშენე,გვაშენე,,აშენე,
მაშენა,გაშენა,აშენა,გვაშენა,გაშენათ,აშენა,
,გაშენეთ,ვაშენეთ,,გაშენეთ,ვაშენეთ,
მაშენეთ,,აშენეთ,გვაშენეთ,,აშენეთ,
მაშენეს,გაშენეს,აშენეს,გვაშენეს,გაშენეს,აშენეს,
aor2_prfv
,განგაშენე,განვაშენე,,განგაშენეთ,განვაშენე,
განმაშენე,,განაშენე,განგვაშენე,,განაშენე,
განმაშენა,განგაშენა,განაშენა,განგვაშენა,განგაშენათ,განაშენა,
,განგაშენეთ,განვაშენეთ,,განგაშენეთ,განვაშენეთ,
განმაშენეთ,,განაშენეთ,განგვაშენეთ,,განაშენეთ,
განმაშენეს,განგაშენეს,განაშენეს,განგვაშენეს,განგაშენეს,განაშენეს,
IIsubj2
,გაშენო,ვაშენო,,გაშენოთ,ვაშენო,
მაშენო,,აშენო,გვაშენო,,აშენო,
მაშენოს,გაშენოს,აშენოს,გვაშენოს,გაშენოთ,აშენოს,
,გაშენოთ,ვაშენოთ,,გაშენოთ,ვაშენოთ,
მაშენოთ,,აშენოთ,გვაშენოთ,,აშენოთ,
მაშენონ,გაშენონ,აშენონ,გვაშენონ,გაშენონ,აშენონ,
IIsubj2_prfv
,განგაშენო,განვაშენო,,განგაშენოთ,განვაშენო,
განმაშენო,,განაშენო,განგვაშენო,,განაშენო,
განმაშენოს,განგაშენოს,განაშენოს,განგვაშენოს,განგაშენოთ,განაშენოს,
,განგაშენოთ,განვაშენოთ,,განგაშენოთ,განვაშენოთ,
განმაშენოთ,,განაშენოთ,განგვაშენოთ,,განაშენოთ,
განმაშენონ,განგაშენონ,განაშენონ,განგვაშენონ,განგაშენონ,განაშენონ,
Iturm
,მიშენებიხარ,მიშენებია,,მიშენებიხართ,მიშენებია,
გიშენებივარ,,გიშენებია,გიშენებივართ,,გიშენებია,
ვუშენებივარ,უშენებიხარ,უშენებია,ვუშენებივართ,უშენებიხართ,უშენებია,
,გვიშენებიხარ,გვიშენებია,,გვიშენებიხართ,გვიშენებია,
გიშენებივართ,,გიშენებიათ,გიშენებივართ,,გიშენებიათ,
ვუშენებივარ,უშენებიხარ,უშენებიათ,ვუშენებივართ,უშენებიხართ,უშენებიათ,
Iturm_prfv
,განმიშენებიხარ,განმიშენებია,,განმიშენებიხართ,განმიშენებია,
განგიშენებივარ,,განგიშენებია,განგიშენებივართ,,განგიშენებია,
განვუშენებივარ,განუშენებიხარ,განუშენებია,განვუშენებივართ,განუშენებიხართ,განუშენებია,
,განგვიშენებიხარ,განგვიშენებია,,განგვიშენებიხართ,განგვიშენებია,
განგიშენებივართ,,განგიშენებიათ,განგიშენებივართ,,განგიშენებიათ,
განვუშენებივარ,განუშენებიხარ,განუშენებიათ,განვუშენებივართ,განუშენებიხართ,განუშენებიათ,
IIturm
,მეშენებინე,მეშენებინა,,მეშენებინეთ,მეშენებინა,
გეშენებინე,,გეშენებინა,გეშენებინეთ,,გეშენებინა,
ვეშენებინე,ეშენებინე,ეშენებინა,ვეშენებინეთ,ეშენებინეთ,ეშენებინა,
,გვეშენებინე,გვეშენებინა,,გვეშენებინეთ,გვეშენებინა,
გეშენებინეთ,,გეშენებინათ,გეშენებინეთ,,გეშენებინათ,
ვეშენებინე,ეშენებინე,ეშენებინათ,ვეშენებინეთ,ეშენებინეთ,ეშენებინათ,
IIturm_prfv
,განმეშენებინე,განმეშენებინა,,განმეშენებინეთ,განმეშენებინა,
განგეშენებინე,,განგეშენებინა,განგეშენებინეთ,,განგეშენებინა,
განვეშენებინე,განეშენებინე,განეშენებინა,განვეშენებინეთ,განეშენებინეთ,განეშენებინა,
,განგვეშენებინე,განგვეშენებინა,,განგვეშენებინეთ,განგვეშენებინა,
განგეშენებინეთ,,განგეშენებინათ,განგეშენებინეთ,,განგეშენებინათ,
განვეშენებინე,განეშენებინე,განეშენებინათ,განვეშენებინეთ,განეშენებინეთ,განეშენებინათ,
IIIsubj
,მეშენებინო,მეშენებინოს,,მეშენებინოთ,მეშენებინოს,
გეშენებინო,,გეშენებინოს,გეშენებინოთ,,გეშენებინოს,
ვეშენებინო,ეშენებინო,ეშენებინოს,ვეშენებინოთ,ეშენებინოთ,ეშენებინოს,
,გვეშენებინო,გვეშენებინოს,,გვეშენებინოთ,გვეშენებინოს,
გეშენებინოთ,,გეშენებინოთ,გეშენებინოთ,,გეშენებინოთ,
ვეშენებინო,ეშენებინო,ეშენებინოთ,ვეშენებინოთ,ეშენებინოთ,ეშენებინოთ,
IIIsubj_prfv
,განმეშენებინო,განმეშენებინოს,,განმეშენებინოთ,განმეშენებინოს,
განგეშენებინო,,განგეშენებინოს,განგეშენებინოთ,,განგეშენებინოს,
განვეშენებინო,განეშენებინო,განეშენებინოს,განვეშენებინოთ,განეშენებინოთ,განეშენებინოს,
,განგვეშენებინო,განგვეშენებინოს,,განგვეშენებინოთ,განგვეშენებინოს,
განგეშენებინოთ,,განგეშენებინოთ,განგეშენებინოთ,,განგეშენებინოთ,
განვეშენებინო,განეშენებინო,განეშენებინოთ,განვეშენებინოთ,განეშენებინოთ,განეშენებინოთ,
