fut2
,გეწერები,ვეწერები,,გეწერებით,ვეწერები,
მეწერები,,ეწერები,გვეწერები,,ეწერები,
მეწერება,გეწერება,ეწერება,გვეწერება,გეწერებათ,ეწერება,
,გეწერებით,ვეწერებით,,გეწერებით,ვეწერებით,
მეწერებით,,ეწერებით,გვეწერებით,,ეწერებით,
მეწერებიან,გეწერებიან,ეწერებიან,გვეწერებიან,გეწერებიან,ეწერებიან,
fut2_prfv
,განგეწერები,განვეწერები,,განგეწერებით,განვეწერები,
განმეწერები,,განეწერები,განგვეწერები,,განეწერები,
განმეწერება,განგეწერება,განეწერება,განგვეწერება,განგეწერებათ,განეწერება,
,განგეწერებით,განვეწერებით,,განგეწერებით,განვეწერებით,
განმეწერებით,,განეწერებით,განგვეწერებით,,განეწერებით,
განმეწერებიან,განგეწერებიან,განეწერებიან,განგვეწერებიან,განგეწერებიან,განეწერებიან,
cond2
,გეწერებოდი,ვეწერებოდი,,გეწერებოდით,ვეწერებოდი,
მეწერებოდი,,ეწერებოდი,გვეწერებოდი,,ეწერებოდი,
მეწერებოდა,გეწერებოდა,ეწერებოდა,გვეწერებოდა,გეწერებოდათ,ეწერებოდა,
,გეწერებოდით,ვეწერებოდით,,გეწერებოდით,ვეწერებოდით,
მეწერებოდით,,ეწერებოდით,გვეწერებოდით,,ეწერებოდით,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
cond2_prfv
,განგეწერებოდი,განვეწერებოდი,,განგეწერებოდით,განვეწერებოდი,
განმეწერებოდი,,განეწერებოდი,განგვეწერებოდი,,განეწერებოდი,
განმეწერებოდა,განგეწერებოდა,განეწერებოდა,განგვეწერებოდა,განგეწერებოდათ,განეწერებოდა,
,განგეწერებოდით,განვეწერებოდით,,განგეწერებოდით,განვეწერებოდით,
განმეწერებოდით,,განეწერებოდით,განგვეწერებოდით,,განეწერებოდით,
განმეწერებოდნენ,განგეწერებოდნენ,განეწერებოდნენ,განგვეწერებოდნენ,განგეწერებოდნენ,განეწერებოდნენ,
fut2_subj
,გეწერებოდე,ვეწერებოდე,,გეწერებოდეთ,ვეწერებოდე,
მეწერებოდე,,ეწერებოდე,გვეწერებოდე,,ეწერებოდე,
მეწერებოდეს,გეწერებოდეს,ეწერებოდეს,გვეწერებოდეს,გეწერებოდეთ,ეწერებოდეს,
,გეწერებოდეთ,ვეწერებოდეთ,,გეწერებოდეთ,ვეწერებოდეთ,
მეწერებოდეთ,,ეწერებოდეთ,გვეწერებოდეთ,,ეწერებოდეთ,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
fut2_subj_prfv
,განგეწერებოდე,განვეწერებოდე,,განგეწერებოდეთ,განვეწერებოდე,
განმეწერებოდე,,განეწერებოდე,განგვეწერებოდე,,განეწერებოდე,
განმეწერებოდეს,განგეწერებოდეს,განეწერებოდეს,განგვეწერებოდეს,განგეწერებოდეთ,განეწერებოდეს,
,განგეწერებოდეთ,განვეწერებოდეთ,,განგეწერებოდეთ,განვეწერებოდეთ,
განმეწერებოდეთ,,განეწერებოდეთ,განგვეწერებოდეთ,,განეწერებოდეთ,
განმეწერებოდნენ,განგეწერებოდნენ,განეწერებოდნენ,განგვეწერებოდნენ,განგეწერებოდნენ,განეწერებოდნენ,
aor2
,გეწერე,ვეწერე,,გეწერეთ,ვეწერე,
მეწერე,,ეწერე,გვეწერე,,ეწერე,
მეწერა,გეწერა,ეწერა,გვეწერა,გეწერათ,ეწერა,
,გეწერეთ,ვეწერეთ,,გეწერეთ,ვეწერეთ,
მეწერეთ,,ეწერეთ,გვეწერეთ,,ეწერეთ,
მეწერნენ,გეწერნენ,ეწერნენ,გვეწერნენ,გეწერნენ,ეწერნენ,
aor2_prfv
