fut2
,გინახავ,ვინახავ,,გინახავთ,ვინახავ,
მინახავ,,ინახავ,გვინახავ,,ინახავ,
მინახავს,გინახავს,ინახავს,გვინახავს,გინახავთ,ინახავს,
,გინახავთ,ვინახავთ,,გინახავთ,ვინახავთ,
მინახავთ,,ინახავთ,გვინახავთ,,ინახავთ,
მინახავენ,გინახავენ,ინახავენ,გვინახავენ,გინახავენ,ინახავენ,
fut2_prfv
,განგინახავ,განვინახავ,,განგინახავთ,განვინახავ,
განმინახავ,,განინახავ,განგვინახავ,,განინახავ,
განმინახავს,განგინახავს,განინახავს,განგვინახავს,განგინახავთ,განინახავს,
,განგინახავთ,განვინახავთ,,განგინახავთ,განვინახავთ,
განმინახავთ,,განინახავთ,განგვინახავთ,,განინახავთ,
განმინახავენ,განგინახავენ,განინახავენ,განგვინახავენ,განგინახავენ,განინახავენ,
cond2
,გინახავდი,ვინახავდი,,გინახავდით,ვინახავდი,
მინახავდი,,ინახავდი,გვინახავდი,,ინახავდი,
მინახავდა,გინახავდა,ინახავდა,გვინახავდა,გინახავდათ,ინახავდა,
,გინახავდით,ვინახავდით,,გინახავდით,ვინახავდით,
მინახავდით,,ინახავდით,გვინახავდით,,ინახავდით,
მინახავდნენ,გინახავდნენ,ინახავდნენ,გვინახავდნენ,გინახავდნენ,ინახავდნენ,
cond2_prfv
,განგინახავდი,განვინახავდი,,განგინახავდით,განვინახავდი,
განმინახავდი,,განინახავდი,განგვინახავდი,,განინახავდი,
განმინახავდა,განგინახავდა,განინახავდა,განგვინახავდა,განგინახავდათ,განინახავდა,
,განგინახავდით,განვინახავდით,,განგინახავდით,განვინახავდით,
განმინახავდით,,განინახავდით,განგვინახავდით,,განინახავდით,
განმინახავდნენ,განგინახავდნენ,განინახავდნენ,განგვინახავდნენ,განგინახავდნენ,განინახავდნენ,
fut2_subj
,გინახავდე,ვინახავდე,,გინახავდეთ,ვინახავდე,
მინახავდე,,ინახავდე,გვინახავდე,,ინახავდე,
მინახავდეს,გინახავდეს,ინახავდეს,გვინახავდეს,გინახავდეთ,ინახავდეს,
,გინახავდეთ,ვინახავდეთ,,გინახავდეთ,ვინახავდეთ,
მინახავდეთ,,ინახავდეთ,გვინახავდეთ,,ინახავდეთ,
მინახავდნენ,გინახავდნენ,ინახავდნენ,გვინახავდნენ,გინახავდნენ,ინახავდნენ,
fut2_subj_prfv
,განგინახავდე,განვინახავდე,,განგინახავდეთ,განვინახავდე,
განმინახავდე,,განინახავდე,განგვინახავდე,,განინახავდე,
განმინახავდეს,განგინახავდეს,განინახავდეს,განგვინახავდეს,განგინახავდეთ,განინახავდეს,
,განგინახავდეთ,განვინახავდეთ,,განგინახავდეთ,განვინახავდეთ,
განმინახავდეთ,,განინახავდეთ,განგვინახავდეთ,,განინახავდეთ,
განმინახავდნენ,განგინახავდნენ,განინახავდნენ,განგვინახავდნენ,განგინახავდნენ,განინახავდნენ,
aor2
,გინახე,ვინახე,,გინახეთ,ვინახე,
მინახე,,ინახე,გვინახე,,ინახე,
მინახა,გინახა,ინახა,გვინახა,გინახათ,ინახა,
,გინახეთ,ვინახეთ,,გინახეთ,ვინახეთ,
მინახეთ,,ინახეთ,გვინახეთ,,ინახეთ,
მინახეს,გინახეს,ინახეს,გვინახეს,გინახეს,ინახეს,
aor2_prfv
,განგინახე,განვინახე,,განგინახეთ,განვინახე,
განმინახე,,განინახე,განგვინახე,,განინახე,
განმინახა,განგინახა,განინახა,განგვინახა,განგინახათ,განინახა,
,განგინახეთ,განვინახეთ,,განგინახეთ,განვინახეთ,
განმინახეთ,,განინახეთ,განგვინახეთ,,განინახეთ,
განმინახეს,განგინახეს,განინახეს,განგვინახეს,განგინახეს,განინახეს,
IIsubj2
,გინახო,ვინახო,,გინახოთ,ვინახო,
მინახო,,ინახო,გვინახო,,ინახო,
მინახოს,გინახოს,ინახოს,გვინახოს,გინახოთ,ინახოს,
,გინახოთ,ვინახოთ,,გინახოთ,ვინახოთ,
მინახოთ,,ინახოთ,გვინახოთ,,ინახოთ,
მინახონ,გინახონ,ინახონ,გვინახონ,გინახონ,ინახონ,
IIsubj2_prfv
,განგინახო,განვინახო,,განგინახოთ,განვინახო,
განმინახო,,განინახო,განგვინახო,,განინახო,
განმინახოს,განგინახოს,განინახოს,განგვინახოს,განგინახოთ,განინახოს,
,განგინახოთ,განვინახოთ,,განგინახოთ,განვინახოთ,
განმინახოთ,,განინახოთ,განგვინახოთ,,განინახოთ,
განმინახონ,განგინახონ,განინახონ,განგვინახონ,განგინახონ,განინახონ,
Iturm
,მინახიხარ,მინახია,,მინახიხართ,მინახია,
გინახივარ,,გინახია,გინახივართ,,გინახია,
ვუნახივარ,უნახიხარ,უნახია,ვუნახივართ,უნახიხართ,უნახია,
,გვინახიხარ,გვინახია,,გვინახიხართ,გვინახია,
გინახივართ,,გინახიათ,გინახივართ,,გინახიათ,
ვუნახივარ,უნახიხარ,უნახიათ,ვუნახივართ,უნახიხართ,უნახიათ,
Iturm_prfv
,განმინახიხარ,განმინახია,,განმინახიხართ,განმინახია,
განგინახივარ,,განგინახია,განგინახივართ,,განგინახია,
განვუნახივარ,განუნახიხარ,განუნახია,განვუნახივართ,განუნახიხართ,განუნახია,
,განგვინახიხარ,განგვინახია,,განგვინახიხართ,განგვინახია,
განგინახივართ,,განგინახიათ,განგინახივართ,,განგინახიათ,
განვუნახივარ,განუნახიხარ,განუნახიათ,განვუნახივართ,განუნახიხართ,განუნახიათ,
Iturm_th
,მინახავხარ,მინახავს,,მინახავხართ,მინახავს,
გინახავვარ,,გინახავს,გინახავვართ,,გინახავს,
ვუნახავვარ,უნახავხარ,უნახავს,ვუნახავვართ,უნახავხართ,უნახავს,
,გვინახავხარ,გვინახავს,,გვინახავხართ,გვინახავს,
გინახავვართ,,გინახავთ,გინახავვართ,,გინახავთ,
ვუნახავვარ,უნახავხარ,უნახავთ,ვუნახავვართ,უნახავხართ,უნახავთ,
Iturm_th_prfv
,განმინახავხარ,განმინახავს,,განმინახავხართ,განმინახავს,
განგინახავვარ,,განგინახავს,განგინახავვართ,,განგინახავს,
განვუნახავვარ,განუნახავხარ,განუნახავს,განვუნახავვართ,განუნახავხართ,განუნახავს,
,განგვინახავხარ,განგვინახავს,,განგვინახავხართ,განგვინახავს,
განგინახავვართ,,განგინახავთ,განგინახავვართ,,განგინახავთ,
განვუნახავვარ,განუნახავხარ,განუნახავთ,განვუნახავვართ,განუნახავხართ,განუნახავთ,
IIturm
,მენახე,მენახა,,მენახეთ,მენახა,
გენახე,,გენახა,გენახეთ,,გენახა,
ვენახე,ენახე,ენახა,ვენახეთ,ენახეთ,ენახა,
,გვენახე,გვენახა,,გვენახეთ,გვენახა,
გენახეთ,,გენახათ,გენახეთ,,გენახათ,
ვენახე,ენახე,ენახათ,ვენახეთ,ენახეთ,ენახათ,
IIturm_prfv
,განმენახე,განმენახა,,განმენახეთ,განმენახა,
განგენახე,,განგენახა,განგენახეთ,,განგენახა,
განვენახე,განენახე,განენახა,განვენახეთ,განენახეთ,განენახა,
,განგვენახე,განგვენახა,,განგვენახეთ,განგვენახა,
განგენახეთ,,განგენახათ,განგენახეთ,,განგენახათ,
