pres
,გკრავ,ვკრავ,,გკრავთ,ვკრავ,
მკრავ,,კრავ,გვკრავ,,კრავ,
მკრავს,გკრავს,კრავს,გვკრავს,გკრავთ,კრავს,
,გკრავთ,ვკრავთ,,გკრავთ,ვკრავთ,
მკრავთ,,კრავთ,გვკრავთ,,კრავთ,
მკრავენ,გკრავენ,კრავენ,გვკრავენ,გკრავენ,კრავენ,
fut
,განგკრავ,განვკრავ,,განგკრავთ,განვკრავ,
განმკრავ,,განკრავ,განგვკრავ,,განკრავ,
განმკრავს,განგკრავს,განკრავს,განგვკრავს,განგკრავთ,განკრავს,
,განგკრავთ,განვკრავთ,,განგკრავთ,განვკრავთ,
განმკრავთ,,განკრავთ,განგვკრავთ,,განკრავთ,
განმკრავენ,განგკრავენ,განკრავენ,განგვკრავენ,განგკრავენ,განკრავენ,
impf
,გკრავდი,ვკრავდი,,გკრავდით,ვკრავდი,
მკრავდი,,კრავდი,გვკრავდი,,კრავდი,
მკრავდა,გკრავდა,კრავდა,გვკრავდა,გკრავდათ,კრავდა,
,გკრავდით,ვკრავდით,,გკრავდით,ვკრავდით,
მკრავდით,,კრავდით,გვკრავდით,,კრავდით,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
cond
,განგკრავდი,განვკრავდი,,განგკრავდით,განვკრავდი,
განმკრავდი,,განკრავდი,განგვკრავდი,,განკრავდი,
განმკრავდა,განგკრავდა,განკრავდა,განგვკრავდა,განგკრავდათ,განკრავდა,
,განგკრავდით,განვკრავდით,,განგკრავდით,განვკრავდით,
განმკრავდით,,განკრავდით,განგვკრავდით,,განკრავდით,
განმკრავდნენ,განგკრავდნენ,განკრავდნენ,განგვკრავდნენ,განგკრავდნენ,განკრავდნენ,
subj
,გკრავდე,ვკრავდე,,გკრავდეთ,ვკრავდე,
მკრავდე,,კრავდე,გვკრავდე,,კრავდე,
მკრავდეს,გკრავდეს,კრავდეს,გვკრავდეს,გკრავდეთ,კრავდეს,
,გკრავდეთ,ვკრავდეთ,,გკრავდეთ,ვკრავდეთ,
მკრავდეთ,,კრავდეთ,გვკრავდეთ,,კრავდეთ,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
fut_subj
,განგკრავდე,განვკრავდე,,განგკრავდეთ,განვკრავდე,
განმკრავდე,,განკრავდე,განგვკრავდე,,განკრავდე,
განმკრავდეს,განგკრავდეს,განკრავდეს,განგვკრავდეს,განგკრავდეთ,განკრავდეს,
,განგკრავდეთ,განვკრავდეთ,,განგკრავდეთ,განვკრავდეთ,
განმკრავდეთ,,განკრავდეთ,განგვკრავდეთ,,განკრავდეთ,
განმკრავდნენ,განგკრავდნენ,განკრავდნენ,განგვკრავდნენ,განგკრავდნენ,განკრავდნენ,
aor
,გკარი,ვკარი,,გკარით,ვკარი,
მკარი,,კარი,გვკარი,,კარი,
მკრა,გკრა,კრა,გვკრა,გკრათ,კრა,
,გკარით,ვკარით,,გკარით,ვკარით,
მკარით,,კარით,გვკარით,,კარით,
მკრეს,გკრეს,კრეს,გვკრეს,გკრეს,კრეს,
aor_prfv
,განგკარი,განვკარი,,განგკარით,განვკარი,
განმკარი,,განკარი,განგვკარი,,განკარი,
