pres
,გნანობ,ვნანობ,,გნანობთ,ვნანობ,
მნანობ,,ნანობ,გვნანობ,,ნანობ,
მნანობს,გნანობს,ნანობს,გვნანობს,გნანობთ,ნანობს,
,გნანობთ,ვნანობთ,,გნანობთ,ვნანობთ,
მნანობთ,,ნანობთ,გვნანობთ,,ნანობთ,
მნანობენ,გნანობენ,ნანობენ,გვნანობენ,გნანობენ,ნანობენ,
fut2
,გინანებ,ვინანებ,,გინანებთ,ვინანებ,
მინანებ,,ინანებ,გვინანებ,,ინანებ,
მინანებს,გინანებს,ინანებს,გვინანებს,გინანებთ,ინანებს,
,გინანებთ,ვინანებთ,,გინანებთ,ვინანებთ,
მინანებთ,,ინანებთ,გვინანებთ,,ინანებთ,
მინანებენ,გინანებენ,ინანებენ,გვინანებენ,გინანებენ,ინანებენ,
fut2_prfv
,განგინანებ,განვინანებ,,განგინანებთ,განვინანებ,
განმინანებ,,განინანებ,განგვინანებ,,განინანებ,
განმინანებს,განგინანებს,განინანებს,განგვინანებს,განგინანებთ,განინანებს,
,განგინანებთ,განვინანებთ,,განგინანებთ,განვინანებთ,
განმინანებთ,,განინანებთ,განგვინანებთ,,განინანებთ,
განმინანებენ,განგინანებენ,განინანებენ,განგვინანებენ,განგინანებენ,განინანებენ,
impf
,გნანობდი,ვნანობდი,,გნანობდით,ვნანობდი,
მნანობდი,,ნანობდი,გვნანობდი,,ნანობდი,
მნანობდა,გნანობდა,ნანობდა,გვნანობდა,გნანობდათ,ნანობდა,
,გნანობდით,ვნანობდით,,გნანობდით,ვნანობდით,
მნანობდით,,ნანობდით,გვნანობდით,,ნანობდით,
მნანობდნენ,გნანობდნენ,ნანობდნენ,გვნანობდნენ,გნანობდნენ,ნანობდნენ,
cond2
,გინანებდი,ვინანებდი,,გინანებდით,ვინანებდი,
მინანებდი,,ინანებდი,გვინანებდი,,ინანებდი,
მინანებდა,გინანებდა,ინანებდა,გვინანებდა,გინანებდათ,ინანებდა,
,გინანებდით,ვინანებდით,,გინანებდით,ვინანებდით,
მინანებდით,,ინანებდით,გვინანებდით,,ინანებდით,
მინანებდნენ,გინანებდნენ,ინანებდნენ,გვინანებდნენ,გინანებდნენ,ინანებდნენ,
cond2_prfv
,განგინანებდი,განვინანებდი,,განგინანებდით,განვინანებდი,
განმინანებდი,,განინანებდი,განგვინანებდი,,განინანებდი,
განმინანებდა,განგინანებდა,განინანებდა,განგვინანებდა,განგინანებდათ,განინანებდა,
,განგინანებდით,განვინანებდით,,განგინანებდით,განვინანებდით,
განმინანებდით,,განინანებდით,განგვინანებდით,,განინანებდით,
განმინანებდნენ,განგინანებდნენ,განინანებდნენ,განგვინანებდნენ,განგინანებდნენ,განინანებდნენ,
subj
,გნანობდე,ვნანობდე,,გნანობდეთ,ვნანობდე,
მნანობდე,,ნანობდე,გვნანობდე,,ნანობდე,
მნანობდეს,გნანობდეს,ნანობდეს,გვნანობდეს,გნანობდეთ,ნანობდეს,
,გნანობდეთ,ვნანობდეთ,,გნანობდეთ,ვნანობდეთ,
მნანობდეთ,,ნანობდეთ,გვნანობდეთ,,ნანობდეთ,
მნანობდნენ,გნანობდნენ,ნანობდნენ,გვნანობდნენ,გნანობდნენ,ნანობდნენ,
fut2_subj
,გინანებდე,ვინანებდე,,გინანებდეთ,ვინანებდე,
მინანებდე,,ინანებდე,გვინანებდე,,ინანებდე,
მინანებდეს,გინანებდეს,ინანებდეს,გვინანებდეს,გინანებდეთ,ინანებდეს,
,გინანებდეთ,ვინანებდეთ,,გინანებდეთ,ვინანებდეთ,
მინანებდეთ,,ინანებდეთ,გვინანებდეთ,,ინანებდეთ,
მინანებდნენ,გინანებდნენ,ინანებდნენ,გვინანებდნენ,გინანებდნენ,ინანებდნენ,
fut2_subj_prfv
,განგინანებდე,განვინანებდე,,განგინანებდეთ,განვინანებდე,
განმინანებდე,,განინანებდე,განგვინანებდე,,განინანებდე,
განმინანებდეს,განგინანებდეს,განინანებდეს,განგვინანებდეს,განგინანებდეთ,განინანებდეს,
,განგინანებდეთ,განვინანებდეთ,,განგინანებდეთ,განვინანებდეთ,
განმინანებდეთ,,განინანებდეთ,განგვინანებდეთ,,განინანებდეთ,
განმინანებდნენ,განგინანებდნენ,განინანებდნენ,განგვინანებდნენ,განგინანებდნენ,განინანებდნენ,
aor2
,გინანე,ვინანე,,გინანეთ,ვინანე,
მინანე,,ინანე,გვინანე,,ინანე,
მინანა,გინანა,ინანა,გვინანა,გინანათ,ინანა,
,გინანეთ,ვინანეთ,,გინანეთ,ვინანეთ,
მინანეთ,,ინანეთ,გვინანეთ,,ინანეთ,
მინანეს,გინანეს,ინანეს,გვინანეს,გინანეს,ინანეს,
aor2_prfv
,განგინანე,განვინანე,,განგინანეთ,განვინანე,
განმინანე,,განინანე,განგვინანე,,განინანე,
განმინანა,განგინანა,განინანა,განგვინანა,განგინანათ,განინანა,
,განგინანეთ,განვინანეთ,,განგინანეთ,განვინანეთ,
განმინანეთ,,განინანეთ,განგვინანეთ,,განინანეთ,
