fut2
,გითმენ,ვუთმენ,,გითმენთ,ვუთმენ,
მითმენ,,უთმენ,გვითმენ,,უთმენ,
მითმენს,გითმენს,უთმენს,გვითმენს,გითმენთ,უთმენს,
,გითმენთ,ვუთმენთ,,გითმენთ,ვუთმენთ,
მითმენთ,,უთმენთ,გვითმენთ,,უთმენთ,
მითმენენ,გითმენენ,უთმენენ,გვითმენენ,გითმენენ,უთმენენ,
fut2_prfv
,განგითმენ,განვუთმენ,,განგითმენთ,განვუთმენ,
განმითმენ,,განუთმენ,განგვითმენ,,განუთმენ,
განმითმენს,განგითმენს,განუთმენს,განგვითმენს,განგითმენთ,განუთმენს,
,განგითმენთ,განვუთმენთ,,განგითმენთ,განვუთმენთ,
განმითმენთ,,განუთმენთ,განგვითმენთ,,განუთმენთ,
განმითმენენ,განგითმენენ,განუთმენენ,განგვითმენენ,განგითმენენ,განუთმენენ,
cond2
,გითმენდი,ვუთმენდი,,გითმენდით,ვუთმენდი,
მითმენდი,,უთმენდი,გვითმენდი,,უთმენდი,
მითმენდა,გითმენდა,უთმენდა,გვითმენდა,გითმენდათ,უთმენდა,
,გითმენდით,ვუთმენდით,,გითმენდით,ვუთმენდით,
მითმენდით,,უთმენდით,გვითმენდით,,უთმენდით,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
cond2_prfv
,განგითმენდი,განვუთმენდი,,განგითმენდით,განვუთმენდი,
განმითმენდი,,განუთმენდი,განგვითმენდი,,განუთმენდი,
განმითმენდა,განგითმენდა,განუთმენდა,განგვითმენდა,განგითმენდათ,განუთმენდა,
,განგითმენდით,განვუთმენდით,,განგითმენდით,განვუთმენდით,
განმითმენდით,,განუთმენდით,განგვითმენდით,,განუთმენდით,
განმითმენდნენ,განგითმენდნენ,განუთმენდნენ,განგვითმენდნენ,განგითმენდნენ,განუთმენდნენ,
fut2_subj
,გითმენდე,ვუთმენდე,,გითმენდეთ,ვუთმენდე,
მითმენდე,,უთმენდე,გვითმენდე,,უთმენდე,
მითმენდეს,გითმენდეს,უთმენდეს,გვითმენდეს,გითმენდეთ,უთმენდეს,
,გითმენდეთ,ვუთმენდეთ,,გითმენდეთ,ვუთმენდეთ,
მითმენდეთ,,უთმენდეთ,გვითმენდეთ,,უთმენდეთ,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
fut2_subj_prfv
,განგითმენდე,განვუთმენდე,,განგითმენდეთ,განვუთმენდე,
განმითმენდე,,განუთმენდე,განგვითმენდე,,განუთმენდე,
განმითმენდეს,განგითმენდეს,განუთმენდეს,განგვითმენდეს,განგითმენდეთ,განუთმენდეს,
,განგითმენდეთ,განვუთმენდეთ,,განგითმენდეთ,განვუთმენდეთ,
განმითმენდეთ,,განუთმენდეთ,განგვითმენდეთ,,განუთმენდეთ,
განმითმენდნენ,განგითმენდნენ,განუთმენდნენ,განგვითმენდნენ,განგითმენდნენ,განუთმენდნენ,
aor2
,გითმინე,ვუთმინე,,გითმინეთ,ვუთმინე,
მითმინე,,უთმინე,გვითმინე,,უთმინე,
მითმინა,გითმინა,უთმინა,გვითმინა,გითმინათ,უთმინა,
,გითმინეთ,ვუთმინეთ,,გითმინეთ,ვუთმინეთ,
მითმინეთ,,უთმინეთ,გვითმინეთ,,უთმინეთ,
მითმინეს,გითმინეს,უთმინეს,გვითმინეს,გითმინეს,უთმინეს,
aor2_prfv
,განგითმინე,განვუთმინე,,განგითმინეთ,განვუთმინე,
განმითმინე,,განუთმინე,განგვითმინე,,განუთმინე,
განმითმინა,განგითმინა,განუთმინა,განგვითმინა,განგითმინათ,განუთმინა,
,განგითმინეთ,განვუთმინეთ,,განგითმინეთ,განვუთმინეთ,
განმითმინეთ,,განუთმინეთ,განგვითმინეთ,,განუთმინეთ,
განმითმინეს,განგითმინეს,განუთმინეს,განგვითმინეს,განგითმინეს,განუთმინეს,
IIsubj2
,გითმინო,ვუთმინო,,გითმინოთ,ვუთმინო,
მითმინო,,უთმინო,გვითმინო,,უთმინო,
მითმინოს,გითმინოს,უთმინოს,გვითმინოს,გითმინოთ,უთმინოს,
,გითმინოთ,ვუთმინოთ,,გითმინოთ,ვუთმინოთ,
მითმინოთ,,უთმინოთ,გვითმინოთ,,უთმინოთ,
მითმინონ,გითმინონ,უთმინონ,გვითმინონ,გითმინონ,უთმინონ,
IIsubj2_prfv
,განგითმინო,განვუთმინო,,განგითმინოთ,განვუთმინო,
განმითმინო,,განუთმინო,განგვითმინო,,განუთმინო,
განმითმინოს,განგითმინოს,განუთმინოს,განგვითმინოს,განგითმინოთ,განუთმინოს,
,განგითმინოთ,განვუთმინოთ,,განგითმინოთ,განვუთმინოთ,
განმითმინოთ,,განუთმინოთ,განგვითმინოთ,,განუთმინოთ,
განმითმინონ,განგითმინონ,განუთმინონ,განგვითმინონ,განგითმინონ,განუთმინონ,
Iturm
,მითმენიხარ,მითმენია,,მითმენიხართ,მითმენია,
გითმენივარ,,გითმენია,გითმენივართ,,გითმენია,
ვუთმენივარ,უთმენიხარ,უთმენია,ვუთმენივართ,უთმენიხართ,უთმენია,
,გვითმენიხარ,გვითმენია,,გვითმენიხართ,გვითმენია,
გითმენივართ,,გითმენიათ,გითმენივართ,,გითმენიათ,
ვუთმენივარ,უთმენიხარ,უთმენიათ,ვუთმენივართ,უთმენიხართ,უთმენიათ,
