fut2
,გაგზავნი,ვაგზავნი,,გაგზავნით,ვაგზავნი,
მაგზავნი,,აგზავნი,გვაგზავნი,,აგზავნი,
მაგზავნის,გაგზავნის,აგზავნის,გვაგზავნის,გაგზავნით,აგზავნის,
,გაგზავნით,ვაგზავნით,,გაგზავნით,ვაგზავნით,
მაგზავნით,,აგზავნით,გვაგზავნით,,აგზავნით,
მაგზავნიან,გაგზავნიან,აგზავნიან,გვაგზავნიან,გაგზავნიან,აგზავნიან,
fut2_prfv
,განმოგაგზავნი,განმოვაგზავნი,,განმოგაგზავნით,განმოვაგზავნი,
განმომაგზავნი,,განმოაგზავნი,განმოგვაგზავნი,,განმოაგზავნი,
განმომაგზავნის,განმოგაგზავნის,განმოაგზავნის,განმოგვაგზავნის,განმოგაგზავნით,განმოაგზავნის,
,განმოგაგზავნით,განმოვაგზავნით,,განმოგაგზავნით,განმოვაგზავნით,
განმომაგზავნით,,განმოაგზავნით,განმოგვაგზავნით,,განმოაგზავნით,
განმომაგზავნიან,განმოგაგზავნიან,განმოაგზავნიან,განმოგვაგზავნიან,განმოგაგზავნიან,განმოაგზავნიან,
cond2
,გაგზავნიდი,ვაგზავნიდი,,გაგზავნიდით,ვაგზავნიდი,
მაგზავნიდი,,აგზავნიდი,გვაგზავნიდი,,აგზავნიდი,
მაგზავნიდა,გაგზავნიდა,აგზავნიდა,გვაგზავნიდა,გაგზავნიდათ,აგზავნიდა,
,გაგზავნიდით,ვაგზავნიდით,,გაგზავნიდით,ვაგზავნიდით,
მაგზავნიდით,,აგზავნიდით,გვაგზავნიდით,,აგზავნიდით,
მაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,გვაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,
cond2_prfv
,განმოგაგზავნიდი,განმოვაგზავნიდი,,განმოგაგზავნიდით,განმოვაგზავნიდი,
განმომაგზავნიდი,,განმოაგზავნიდი,განმოგვაგზავნიდი,,განმოაგზავნიდი,
განმომაგზავნიდა,განმოგაგზავნიდა,განმოაგზავნიდა,განმოგვაგზავნიდა,განმოგაგზავნიდათ,განმოაგზავნიდა,
,განმოგაგზავნიდით,განმოვაგზავნიდით,,განმოგაგზავნიდით,განმოვაგზავნიდით,
განმომაგზავნიდით,,განმოაგზავნიდით,განმოგვაგზავნიდით,,განმოაგზავნიდით,
განმომაგზავნიდნენ,განმოგაგზავნიდნენ,განმოაგზავნიდნენ,განმოგვაგზავნიდნენ,განმოგაგზავნიდნენ,განმოაგზავნიდნენ,
fut2_subj
,გაგზავნიდე,ვაგზავნიდე,,გაგზავნიდეთ,ვაგზავნიდე,
მაგზავნიდე,,აგზავნიდე,გვაგზავნიდე,,აგზავნიდე,
მაგზავნიდეს,გაგზავნიდეს,აგზავნიდეს,გვაგზავნიდეს,გაგზავნიდეთ,აგზავნიდეს,
,გაგზავნიდეთ,ვაგზავნიდეთ,,გაგზავნიდეთ,ვაგზავნიდეთ,
მაგზავნიდეთ,,აგზავნიდეთ,გვაგზავნიდეთ,,აგზავნიდეთ,
მაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,გვაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,
fut2_subj_prfv
,განმოგაგზავნიდე,განმოვაგზავნიდე,,განმოგაგზავნიდეთ,განმოვაგზავნიდე,
განმომაგზავნიდე,,განმოაგზავნიდე,განმოგვაგზავნიდე,,განმოაგზავნიდე,
განმომაგზავნიდეს,განმოგაგზავნიდეს,განმოაგზავნიდეს,განმოგვაგზავნიდეს,განმოგაგზავნიდეთ,განმოაგზავნიდეს,
,განმოგაგზავნიდეთ,განმოვაგზავნიდეთ,,განმოგაგზავნიდეთ,განმოვაგზავნიდეთ,
განმომაგზავნიდეთ,,განმოაგზავნიდეთ,განმოგვაგზავნიდეთ,,განმოაგზავნიდეთ,
განმომაგზავნიდნენ,განმოგაგზავნიდნენ,განმოაგზავნიდნენ,განმოგვაგზავნიდნენ,განმოგაგზავნიდნენ,განმოაგზავნიდნენ,
aor2
,გაგზავნე,ვაგზავნე,,გაგზავნეთ,ვაგზავნე,
მაგზავნე,,აგზავნე,გვაგზავნე,,აგზავნე,
მაგზავნა,გაგზავნა,აგზავნა,გვაგზავნა,გაგზავნათ,აგზავნა,
,გაგზავნეთ,ვაგზავნეთ,,გაგზავნეთ,ვაგზავნეთ,
მაგზავნეთ,,აგზავნეთ,გვაგზავნეთ,,აგზავნეთ,
მაგზავნეს,გაგზავნეს,აგზავნეს,გვაგზავნეს,გაგზავნეს,აგზავნეს,
aor2_prfv
,განმოგაგზავნე,განმოვაგზავნე,,განმოგაგზავნეთ,განმოვაგზავნე,
განმომაგზავნე,,განმოაგზავნე,განმოგვაგზავნე,,განმოაგზავნე,
განმომაგზავნა,განმოგაგზავნა,განმოაგზავნა,განმოგვაგზავნა,განმოგაგზავნათ,განმოაგზავნა,
,განმოგაგზავნეთ,განმოვაგზავნეთ,,განმოგაგზავნეთ,განმოვაგზავნეთ,
განმომაგზავნეთ,,განმოაგზავნეთ,განმოგვაგზავნეთ,,განმოაგზავნეთ,
განმომაგზავნეს,განმოგაგზავნეს,განმოაგზავნეს,განმოგვაგზავნეს,განმოგაგზავნეს,განმოაგზავნეს,
IIsubj2
,გაგზავნო,ვაგზავნო,,გაგზავნოთ,ვაგზავნო,
მაგზავნო,,აგზავნო,გვაგზავნო,,აგზავნო,
მაგზავნოს,გაგზავნოს,აგზავნოს,გვაგზავნოს,გაგზავნოთ,აგზავნოს,
,გაგზავნოთ,ვაგზავნოთ,,გაგზავნოთ,ვაგზავნოთ,
მაგზავნოთ,,აგზავნოთ,გვაგზავნოთ,,აგზავნოთ,
მაგზავნონ,გაგზავნონ,აგზავნონ,გვაგზავნონ,გაგზავნონ,აგზავნონ,
IIsubj2_prfv
,განმოგაგზავნო,განმოვაგზავნო,,განმოგაგზავნოთ,განმოვაგზავნო,
განმომაგზავნო,,განმოაგზავნო,განმოგვაგზავნო,,განმოაგზავნო,
განმომაგზავნოს,განმოგაგზავნოს,განმოაგზავნოს,განმოგვაგზავნოს,განმოგაგზავნოთ,განმოაგზავნოს,
,განმოგაგზავნოთ,განმოვაგზავნოთ,,განმოგაგზავნოთ,განმოვაგზავნოთ,
განმომაგზავნოთ,,განმოაგზავნოთ,განმოგვაგზავნოთ,,განმოაგზავნოთ,
განმომაგზავნონ,განმოგაგზავნონ,განმოაგზავნონ,განმოგვაგზავნონ,განმოგაგზავნონ,განმოაგზავნონ,
Iturm
,მიგზავნიხარ,მიგზავნია,,მიგზავნიხართ,მიგზავნია,
გიგზავნივარ,,გიგზავნია,გიგზავნივართ,,გიგზავნია,
ვუგზავნივარ,უგზავნიხარ,უგზავნია,ვუგზავნივართ,უგზავნიხართ,უგზავნია,
,გვიგზავნიხარ,გვიგზავნია,,გვიგზავნიხართ,გვიგზავნია,
გიგზავნივართ,,გიგზავნიათ,გიგზავნივართ,,გიგზავნიათ,
ვუგზავნივარ,უგზავნიხარ,უგზავნიათ,ვუგზავნივართ,უგზავნიხართ,უგზავნიათ,
Iturm_prfv
,განმომიგზავნიხარ,განმომიგზავნია,,განმომიგზავნიხართ,განმომიგზავნია,
განმოგიგზავნივარ,,განმოგიგზავნია,განმოგიგზავნივართ,,განმოგიგზავნია,
