fut2
,გადებინებ,ვადებინებ,,გადებინებთ,ვადებინებ,
მადებინებ,,ადებინებ,გვადებინებ,,ადებინებ,
მადებინებს,გადებინებს,ადებინებს,გვადებინებს,გადებინებთ,ადებინებს,
,გადებინებთ,ვადებინებთ,,გადებინებთ,ვადებინებთ,
მადებინებთ,,ადებინებთ,გვადებინებთ,,ადებინებთ,
მადებინებენ,გადებინებენ,ადებინებენ,გვადებინებენ,გადებინებენ,ადებინებენ,
fut2_prfv
,განმოგადებინებ,განმოვადებინებ,,განმოგადებინებთ,განმოვადებინებ,
განმომადებინებ,,განმოადებინებ,განმოგვადებინებ,,განმოადებინებ,
განმომადებინებს,განმოგადებინებს,განმოადებინებს,განმოგვადებინებს,განმოგადებინებთ,განმოადებინებს,
,განმოგადებინებთ,განმოვადებინებთ,,განმოგადებინებთ,განმოვადებინებთ,
განმომადებინებთ,,განმოადებინებთ,განმოგვადებინებთ,,განმოადებინებთ,
განმომადებინებენ,განმოგადებინებენ,განმოადებინებენ,განმოგვადებინებენ,განმოგადებინებენ,განმოადებინებენ,
cond2
,გადებინებდი,ვადებინებდი,,გადებინებდით,ვადებინებდი,
მადებინებდი,,ადებინებდი,გვადებინებდი,,ადებინებდი,
მადებინებდა,გადებინებდა,ადებინებდა,გვადებინებდა,გადებინებდათ,ადებინებდა,
,გადებინებდით,ვადებინებდით,,გადებინებდით,ვადებინებდით,
მადებინებდით,,ადებინებდით,გვადებინებდით,,ადებინებდით,
მადებინებდნენ,გადებინებდნენ,ადებინებდნენ,გვადებინებდნენ,გადებინებდნენ,ადებინებდნენ,
cond2_prfv
,განმოგადებინებდი,განმოვადებინებდი,,განმოგადებინებდით,განმოვადებინებდი,
განმომადებინებდი,,განმოადებინებდი,განმოგვადებინებდი,,განმოადებინებდი,
განმომადებინებდა,განმოგადებინებდა,განმოადებინებდა,განმოგვადებინებდა,განმოგადებინებდათ,განმოადებინებდა,
,განმოგადებინებდით,განმოვადებინებდით,,განმოგადებინებდით,განმოვადებინებდით,
განმომადებინებდით,,განმოადებინებდით,განმოგვადებინებდით,,განმოადებინებდით,
განმომადებინებდნენ,განმოგადებინებდნენ,განმოადებინებდნენ,განმოგვადებინებდნენ,განმოგადებინებდნენ,განმოადებინებდნენ,
fut2_subj
,გადებინებდე,ვადებინებდე,,გადებინებდეთ,ვადებინებდე,
მადებინებდე,,ადებინებდე,გვადებინებდე,,ადებინებდე,
მადებინებდეს,გადებინებდეს,ადებინებდეს,გვადებინებდეს,გადებინებდეთ,ადებინებდეს,
,გადებინებდეთ,ვადებინებდეთ,,გადებინებდეთ,ვადებინებდეთ,
მადებინებდეთ,,ადებინებდეთ,გვადებინებდეთ,,ადებინებდეთ,
მადებინებდნენ,გადებინებდნენ,ადებინებდნენ,გვადებინებდნენ,გადებინებდნენ,ადებინებდნენ,
fut2_subj_prfv
,განმოგადებინებდე,განმოვადებინებდე,,განმოგადებინებდეთ,განმოვადებინებდე,
განმომადებინებდე,,განმოადებინებდე,განმოგვადებინებდე,,განმოადებინებდე,
განმომადებინებდეს,განმოგადებინებდეს,განმოადებინებდეს,განმოგვადებინებდეს,განმოგადებინებდეთ,განმოადებინებდეს,
,განმოგადებინებდეთ,განმოვადებინებდეთ,,განმოგადებინებდეთ,განმოვადებინებდეთ,
განმომადებინებდეთ,,განმოადებინებდეთ,განმოგვადებინებდეთ,,განმოადებინებდეთ,
განმომადებინებდნენ,განმოგადებინებდნენ,განმოადებინებდნენ,განმოგვადებინებდნენ,განმოგადებინებდნენ,განმოადებინებდნენ,
aor2
,გადებინე,ვადებინე,,გადებინეთ,ვადებინე,
მადებინე,,ადებინე,გვადებინე,,ადებინე,
