fut2
,გათბობ,ვათბობ,,გათბობთ,ვათბობ,
მათბობ,,ათბობ,გვათბობ,,ათბობ,
მათბობს,გათბობს,ათბობს,გვათბობს,გათბობთ,ათბობს,
,გათბობთ,ვათბობთ,,გათბობთ,ვათბობთ,
მათბობთ,,ათბობთ,გვათბობთ,,ათბობთ,
მათბობენ,გათბობენ,ათბობენ,გვათბობენ,გათბობენ,ათბობენ,
fut2_prfv
,განმოგათბობ,განმოვათბობ,,განმოგათბობთ,განმოვათბობ,
განმომათბობ,,განმოათბობ,განმოგვათბობ,,განმოათბობ,
განმომათბობს,განმოგათბობს,განმოათბობს,განმოგვათბობს,განმოგათბობთ,განმოათბობს,
,განმოგათბობთ,განმოვათბობთ,,განმოგათბობთ,განმოვათბობთ,
განმომათბობთ,,განმოათბობთ,განმოგვათბობთ,,განმოათბობთ,
განმომათბობენ,განმოგათბობენ,განმოათბობენ,განმოგვათბობენ,განმოგათბობენ,განმოათბობენ,
cond2
,გათბობდი,ვათბობდი,,გათბობდით,ვათბობდი,
მათბობდი,,ათბობდი,გვათბობდი,,ათბობდი,
მათბობდა,გათბობდა,ათბობდა,გვათბობდა,გათბობდათ,ათბობდა,
,გათბობდით,ვათბობდით,,გათბობდით,ვათბობდით,
მათბობდით,,ათბობდით,გვათბობდით,,ათბობდით,
მათბობდნენ,გათბობდნენ,ათბობდნენ,გვათბობდნენ,გათბობდნენ,ათბობდნენ,
cond2_prfv
,განმოგათბობდი,განმოვათბობდი,,განმოგათბობდით,განმოვათბობდი,
განმომათბობდი,,განმოათბობდი,განმოგვათბობდი,,განმოათბობდი,
განმომათბობდა,განმოგათბობდა,განმოათბობდა,განმოგვათბობდა,განმოგათბობდათ,განმოათბობდა,
,განმოგათბობდით,განმოვათბობდით,,განმოგათბობდით,განმოვათბობდით,
განმომათბობდით,,განმოათბობდით,განმოგვათბობდით,,განმოათბობდით,
განმომათბობდნენ,განმოგათბობდნენ,განმოათბობდნენ,განმოგვათბობდნენ,განმოგათბობდნენ,განმოათბობდნენ,
fut2_subj
,გათბობდე,ვათბობდე,,გათბობდეთ,ვათბობდე,
მათბობდე,,ათბობდე,გვათბობდე,,ათბობდე,
მათბობდეს,გათბობდეს,ათბობდეს,გვათბობდეს,გათბობდეთ,ათბობდეს,
,გათბობდეთ,ვათბობდეთ,,გათბობდეთ,ვათბობდეთ,
მათბობდეთ,,ათბობდეთ,გვათბობდეთ,,ათბობდეთ,
მათბობდნენ,გათბობდნენ,ათბობდნენ,გვათბობდნენ,გათბობდნენ,ათბობდნენ,
fut2_subj_prfv
,განმოგათბობდე,განმოვათბობდე,,განმოგათბობდეთ,განმოვათბობდე,
განმომათბობდე,,განმოათბობდე,განმოგვათბობდე,,განმოათბობდე,
განმომათბობდეს,განმოგათბობდეს,განმოათბობდეს,განმოგვათბობდეს,განმოგათბობდეთ,განმოათბობდეს,
,განმოგათბობდეთ,განმოვათბობდეთ,,განმოგათბობდეთ,განმოვათბობდეთ,
განმომათბობდეთ,,განმოათბობდეთ,განმოგვათბობდეთ,,განმოათბობდეთ,
განმომათბობდნენ,განმოგათბობდნენ,განმოათბობდნენ,განმოგვათბობდნენ,განმოგათბობდნენ,განმოათბობდნენ,
aor2
,გათბე,ვათბე,,გათბეთ,ვათბე,
მათბე,,ათბე,გვათბე,,ათბე,
მათბო,გათბო,ათბო,გვათბო,გათბოთ,ათბო,
,გათბეთ,ვათბეთ,,გათბეთ,ვათბეთ,
მათბეთ,,ათბეთ,გვათბეთ,,ათბეთ,
მათბეს,გათბეს,ათბეს,გვათბეს,გათბეს,ათბეს,
aor2_prfv
,განმოგათბე,განმოვათბე,,განმოგათბეთ,განმოვათბე,
განმომათბე,,განმოათბე,განმოგვათბე,,განმოათბე,
განმომათბო,განმოგათბო,განმოათბო,განმოგვათბო,განმოგათბოთ,განმოათბო,
,განმოგათბეთ,განმოვათბეთ,,განმოგათბეთ,განმოვათბეთ,
განმომათბეთ,,განმოათბეთ,განმოგვათბეთ,,განმოათბეთ,
განმომათბეს,განმოგათბეს,განმოათბეს,განმოგვათბეს,განმოგათბეს,განმოათბეს,
IIsubj2
,გათბო,ვათბო,,გათბოთ,ვათბო,
მათბო,,ათბო,გვათბო,,ათბო,
მათბოს,გათბოს,ათბოს,გვათბოს,გათბოთ,ათბოს,
,გათბოთ,ვათბოთ,,გათბოთ,ვათბოთ,
მათბოთ,,ათბოთ,გვათბოთ,,ათბოთ,
მათბონ,გათბონ,ათბონ,გვათბონ,გათბონ,ათბონ,
IIsubj2_prfv
,განმოგათბო,განმოვათბო,,განმოგათბოთ,განმოვათბო,
განმომათბო,,განმოათბო,განმოგვათბო,,განმოათბო,
განმომათბოს,განმოგათბოს,განმოათბოს,განმოგვათბოს,განმოგათბოთ,განმოათბოს,
,განმოგათბოთ,განმოვათბოთ,,განმოგათბოთ,განმოვათბოთ,
განმომათბოთ,,განმოათბოთ,განმოგვათბოთ,,განმოათბოთ,
განმომათბონ,განმოგათბონ,განმოათბონ,განმოგვათბონ,განმოგათბონ,განმოათბონ,
Iturm
,მითბიხარ,მითბია,,მითბიხართ,მითბია,
გითბივარ,,გითბია,გითბივართ,,გითბია,
ვუთბივარ,უთბიხარ,უთბია,ვუთბივართ,უთბიხართ,უთბია,
,გვითბიხარ,გვითბია,,გვითბიხართ,გვითბია,
გითბივართ,,გითბიათ,გითბივართ,,გითბიათ,
ვუთბივარ,უთბიხარ,უთბიათ,ვუთბივართ,უთბიხართ,უთბიათ,
Iturm_prfv
,განმომითბიხარ,განმომითბია,,განმომითბიხართ,განმომითბია,
განმოგითბივარ,,განმოგითბია,განმოგითბივართ,,განმოგითბია,
განმოვუთბივარ,განმოუთბიხარ,განმოუთბია,განმოვუთბივართ,განმოუთბიხართ,განმოუთბია,
,განმოგვითბიხარ,განმოგვითბია,,განმოგვითბიხართ,განმოგვითბია,
განმოგითბივართ,,განმოგითბიათ,განმოგითბივართ,,განმოგითბიათ,
განმოვუთბივარ,განმოუთბიხარ,განმოუთბიათ,განმოვუთბივართ,განმოუთბიხართ,განმოუთბიათ,
IIturm
,მეთბე,მეთბო,,მეთბეთ,მეთბოთ,
გეთბე,,გეთბო,გეთბეთ,,გეთბოთ,
ვეთბე,ეთბე,ეთბო,ვეთბეთ,ეთბეთ,ეთბოთ,
,გვეთბე,გვეთბო,,გვეთბეთ,გვეთბოთ,
გეთბეთ,,გეთბოთ,გეთბეთ,,გეთბოთ,
ვეთბე,ეთბე,ეთბოთ,ვეთბეთ,ეთბეთ,ეთბოთთ,
IIturm_prfv
,განმომეთბე,განმომეთბო,,განმომეთბეთ,განმომეთბოთ,
განმოგეთბე,,განმოგეთბო,განმოგეთბეთ,,განმოგეთბოთ,
განმოვეთბე,განმოეთბე,განმოეთბო,განმოვეთბეთ,განმოეთბეთ,განმოეთბოთ,
,განმოგვეთბე,განმოგვეთბო,,განმოგვეთბეთ,განმოგვეთბოთ,
განმოგეთბეთ,,განმოგეთბოთ,განმოგეთბეთ,,განმოგეთბოთ,
განმოვეთბე,განმოეთბე,განმოეთბოთ,განმოვეთბეთ,განმოეთბეთ,განმოეთბოთთ,
IIIsubj
,მეთბო,მეთბოს,,მეთბოთ,მეთბოს,
გეთბო,,გეთბოს,გეთბოთ,,გეთბოს,
ვეთბო,ეთბო,ეთბოს,ვეთბოთ,ეთბოთ,ეთბოს,
,გვეთბო,გვეთბოს,,გვეთბოთ,გვეთბოს,
გეთბოთ,,გეთბოთ,გეთბოთ,,გეთბოთ,
ვეთბო,ეთბო,ეთბოთ,ვეთბოთ,ეთბოთ,ეთბოთ,
IIIsubj_prfv
,განმომეთბო,განმომეთბოს,,განმომეთბოთ,განმომეთბოს,
განმოგეთბო,,განმოგეთბოს,განმოგეთბოთ,,განმოგეთბოს,
განმოვეთბო,განმოეთბო,განმოეთბოს,განმოვეთბოთ,განმოეთბოთ,განმოეთბოს,
,განმოგვეთბო,განმოგვეთბოს,,განმოგვეთბოთ,განმოგვეთბოს,
განმოგეთბოთ,,განმოგეთბოთ,განმოგეთბოთ,,განმოგეთბოთ,
განმოვეთბო,განმოეთბო,განმოეთბოთ,განმოვეთბოთ,განმოეთბოთ,განმოეთბოთ,
