fut2
,გაკლებ,ვაკლებ,,გაკლებთ,ვაკლებ,
მაკლებ,,აკლებ,გვაკლებ,,აკლებ,
მაკლებს,გაკლებს,აკლებს,გვაკლებს,გაკლებთ,აკლებს,
,გაკლებთ,ვაკლებთ,,გაკლებთ,ვაკლებთ,
მაკლებთ,,აკლებთ,გვაკლებთ,,აკლებთ,
მაკლებენ,გაკლებენ,აკლებენ,გვაკლებენ,გაკლებენ,აკლებენ,
fut2_prfv
,განმოგაკლებ,განმოვაკლებ,,განმოგაკლებთ,განმოვაკლებ,
განმომაკლებ,,განმოაკლებ,განმოგვაკლებ,,განმოაკლებ,
განმომაკლებს,განმოგაკლებს,განმოაკლებს,განმოგვაკლებს,განმოგაკლებთ,განმოაკლებს,
,განმოგაკლებთ,განმოვაკლებთ,,განმოგაკლებთ,განმოვაკლებთ,
განმომაკლებთ,,განმოაკლებთ,განმოგვაკლებთ,,განმოაკლებთ,
განმომაკლებენ,განმოგაკლებენ,განმოაკლებენ,განმოგვაკლებენ,განმოგაკლებენ,განმოაკლებენ,
cond2
,გაკლებდი,ვაკლებდი,,გაკლებდით,ვაკლებდი,
მაკლებდი,,აკლებდი,გვაკლებდი,,აკლებდი,
მაკლებდა,გაკლებდა,აკლებდა,გვაკლებდა,გაკლებდათ,აკლებდა,
,გაკლებდით,ვაკლებდით,,გაკლებდით,ვაკლებდით,
მაკლებდით,,აკლებდით,გვაკლებდით,,აკლებდით,
მაკლებდნენ,გაკლებდნენ,აკლებდნენ,გვაკლებდნენ,გაკლებდნენ,აკლებდნენ,
cond2_prfv
,განმოგაკლებდი,განმოვაკლებდი,,განმოგაკლებდით,განმოვაკლებდი,
განმომაკლებდი,,განმოაკლებდი,განმოგვაკლებდი,,განმოაკლებდი,
განმომაკლებდა,განმოგაკლებდა,განმოაკლებდა,განმოგვაკლებდა,განმოგაკლებდათ,განმოაკლებდა,
,განმოგაკლებდით,განმოვაკლებდით,,განმოგაკლებდით,განმოვაკლებდით,
განმომაკლებდით,,განმოაკლებდით,განმოგვაკლებდით,,განმოაკლებდით,
განმომაკლებდნენ,განმოგაკლებდნენ,განმოაკლებდნენ,განმოგვაკლებდნენ,განმოგაკლებდნენ,განმოაკლებდნენ,
fut2_subj
,გაკლებდე,ვაკლებდე,,გაკლებდეთ,ვაკლებდე,
მაკლებდე,,აკლებდე,გვაკლებდე,,აკლებდე,
მაკლებდეს,გაკლებდეს,აკლებდეს,გვაკლებდეს,გაკლებდეთ,აკლებდეს,
,გაკლებდეთ,ვაკლებდეთ,,გაკლებდეთ,ვაკლებდეთ,
მაკლებდეთ,,აკლებდეთ,გვაკლებდეთ,,აკლებდეთ,
მაკლებდნენ,გაკლებდნენ,აკლებდნენ,გვაკლებდნენ,გაკლებდნენ,აკლებდნენ,
fut2_subj_prfv
,განმოგაკლებდე,განმოვაკლებდე,,განმოგაკლებდეთ,განმოვაკლებდე,
განმომაკლებდე,,განმოაკლებდე,განმოგვაკლებდე,,განმოაკლებდე,
განმომაკლებდეს,განმოგაკლებდეს,განმოაკლებდეს,განმოგვაკლებდეს,განმოგაკლებდეთ,განმოაკლებდეს,
,განმოგაკლებდეთ,განმოვაკლებდეთ,,განმოგაკლებდეთ,განმოვაკლებდეთ,
განმომაკლებდეთ,,განმოაკლებდეთ,განმოგვაკლებდეთ,,განმოაკლებდეთ,
განმომაკლებდნენ,განმოგაკლებდნენ,განმოაკლებდნენ,განმოგვაკლებდნენ,განმოგაკლებდნენ,განმოაკლებდნენ,
aor2
,გაკელი,ვაკელი,,გაკელით,ვაკელი,
მაკელი,,აკელი,გვაკელი,,აკელი,
მაკლო,გაკლო,აკლო,გვაკლო,გაკლოთ,აკლო,
,გაკელით,ვაკელით,,გაკელით,ვაკელით,
მაკელით,,აკელით,გვაკელით,,აკელით,
მაკლეს,გაკლეს,აკლეს,გვაკლეს,გაკლეს,აკლეს,
aor2_prfv
,განმოგაკელი,განმოვაკელი,,განმოგაკელით,განმოვაკელი,
