fut2
,გარტყამ,ვარტყამ,,გარტყამთ,ვარტყამ,
მარტყამ,,არტყამ,გვარტყამ,,არტყამ,
მარტყამს,გარტყამს,არტყამს,გვარტყამს,გარტყამთ,არტყამს,
,გარტყამთ,ვარტყამთ,,გარტყამთ,ვარტყამთ,
მარტყამთ,,არტყამთ,გვარტყამთ,,არტყამთ,
მარტყამენ,გარტყამენ,არტყამენ,გვარტყამენ,გარტყამენ,არტყამენ,
fut2_prfv
,განმოგარტყამ,განმოვარტყამ,,განმოგარტყამთ,განმოვარტყამ,
განმომარტყამ,,განმოარტყამ,განმოგვარტყამ,,განმოარტყამ,
განმომარტყამს,განმოგარტყამს,განმოარტყამს,განმოგვარტყამს,განმოგარტყამთ,განმოარტყამს,
,განმოგარტყამთ,განმოვარტყამთ,,განმოგარტყამთ,განმოვარტყამთ,
განმომარტყამთ,,განმოარტყამთ,განმოგვარტყამთ,,განმოარტყამთ,
განმომარტყამენ,განმოგარტყამენ,განმოარტყამენ,განმოგვარტყამენ,განმოგარტყამენ,განმოარტყამენ,
cond2
,გარტყამდი,ვარტყამდი,,გარტყამდით,ვარტყამდი,
მარტყამდი,,არტყამდი,გვარტყამდი,,არტყამდი,
მარტყამდა,გარტყამდა,არტყამდა,გვარტყამდა,გარტყამდათ,არტყამდა,
,გარტყამდით,ვარტყამდით,,გარტყამდით,ვარტყამდით,
მარტყამდით,,არტყამდით,გვარტყამდით,,არტყამდით,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
cond2_prfv
,განმოგარტყამდი,განმოვარტყამდი,,განმოგარტყამდით,განმოვარტყამდი,
განმომარტყამდი,,განმოარტყამდი,განმოგვარტყამდი,,განმოარტყამდი,
განმომარტყამდა,განმოგარტყამდა,განმოარტყამდა,განმოგვარტყამდა,განმოგარტყამდათ,განმოარტყამდა,
,განმოგარტყამდით,განმოვარტყამდით,,განმოგარტყამდით,განმოვარტყამდით,
განმომარტყამდით,,განმოარტყამდით,განმოგვარტყამდით,,განმოარტყამდით,
განმომარტყამდნენ,განმოგარტყამდნენ,განმოარტყამდნენ,განმოგვარტყამდნენ,განმოგარტყამდნენ,განმოარტყამდნენ,
fut2_subj
,გარტყამდე,ვარტყამდე,,გარტყამდეთ,ვარტყამდე,
მარტყამდე,,არტყამდე,გვარტყამდე,,არტყამდე,
მარტყამდეს,გარტყამდეს,არტყამდეს,გვარტყამდეს,გარტყამდეთ,არტყამდეს,
,გარტყამდეთ,ვარტყამდეთ,,გარტყამდეთ,ვარტყამდეთ,
მარტყამდეთ,,არტყამდეთ,გვარტყამდეთ,,არტყამდეთ,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
fut2_subj_prfv
,განმოგარტყამდე,განმოვარტყამდე,,განმოგარტყამდეთ,განმოვარტყამდე,
განმომარტყამდე,,განმოარტყამდე,განმოგვარტყამდე,,განმოარტყამდე,
განმომარტყამდეს,განმოგარტყამდეს,განმოარტყამდეს,განმოგვარტყამდეს,განმოგარტყამდეთ,განმოარტყამდეს,
,განმოგარტყამდეთ,განმოვარტყამდეთ,,განმოგარტყამდეთ,განმოვარტყამდეთ,
განმომარტყამდეთ,,განმოარტყამდეთ,განმოგვარტყამდეთ,,განმოარტყამდეთ,
განმომარტყამდნენ,განმოგარტყამდნენ,განმოარტყამდნენ,განმოგვარტყამდნენ,განმოგარტყამდნენ,განმოარტყამდნენ,
aor2
,გარტყი,ვარტყი,,გარტყით,ვარტყი,
მარტყი,,არტყი,გვარტყი,,არტყი,
მარტყა,გარტყა,არტყა,გვარტყა,გარტყათ,არტყა,
,გარტყით,ვარტყით,,გარტყით,ვარტყით,
მარტყით,,არტყით,გვარტყით,,არტყით,
მარტყეს,გარტყეს,არტყეს,გვარტყეს,გარტყეს,არტყეს,
aor2_prfv
,განმოგარტყი,განმოვარტყი,,განმოგარტყით,განმოვარტყი,
განმომარტყი,,განმოარტყი,განმოგვარტყი,,განმოარტყი,
განმომარტყა,განმოგარტყა,განმოარტყა,განმოგვარტყა,განმოგარტყათ,განმოარტყა,
,განმოგარტყით,განმოვარტყით,,განმოგარტყით,განმოვარტყით,
განმომარტყით,,განმოარტყით,განმოგვარტყით,,განმოარტყით,
განმომარტყეს,განმოგარტყეს,განმოარტყეს,განმოგვარტყეს,განმოგარტყეს,განმოარტყეს,
IIsubj2
,გარტყა,ვარტყა,,გარტყათ,ვარტყა,
მარტყა,,არტყა,გვარტყა,,არტყა,
მარტყას,გარტყას,არტყას,გვარტყას,გარტყათ,არტყას,
,გარტყათ,ვარტყათ,,გარტყათ,ვარტყათ,
მარტყათ,,არტყათ,გვარტყათ,,არტყათ,
მარტყან,გარტყან,არტყან,გვარტყან,გარტყან,არტყან,
IIsubj2_prfv
,განმოგარტყა,განმოვარტყა,,განმოგარტყათ,განმოვარტყა,
განმომარტყა,,განმოარტყა,განმოგვარტყა,,განმოარტყა,
განმომარტყას,განმოგარტყას,განმოარტყას,განმოგვარტყას,განმოგარტყათ,განმოარტყას,
,განმოგარტყათ,განმოვარტყათ,,განმოგარტყათ,განმოვარტყათ,
განმომარტყათ,,განმოარტყათ,განმოგვარტყათ,,განმოარტყათ,
განმომარტყან,განმოგარტყან,განმოარტყან,განმოგვარტყან,განმოგარტყან,განმოარტყან,
Iturm
,მირტყიხარ,მირტყია,,მირტყიხართ,მირტყია,
გირტყივარ,,გირტყია,გირტყივართ,,გირტყია,
ვურტყივარ,ურტყიხარ,ურტყია,ვურტყივართ,ურტყიხართ,ურტყია,
,გვირტყიხარ,გვირტყია,,გვირტყიხართ,გვირტყია,
გირტყივართ,,გირტყიათ,გირტყივართ,,გირტყიათ,
ვურტყივარ,ურტყიხარ,ურტყიათ,ვურტყივართ,ურტყიხართ,ურტყიათ,
Iturm_prfv
,განმომირტყიხარ,განმომირტყია,,განმომირტყიხართ,განმომირტყია,
განმოგირტყივარ,,განმოგირტყია,განმოგირტყივართ,,განმოგირტყია,
განმოვურტყივარ,განმოურტყიხარ,განმოურტყია,განმოვურტყივართ,განმოურტყიხართ,განმოურტყია,
,განმოგვირტყიხარ,განმოგვირტყია,,განმოგვირტყიხართ,განმოგვირტყია,
განმოგირტყივართ,,განმოგირტყიათ,განმოგირტყივართ,,განმოგირტყიათ,
განმოვურტყივარ,განმოურტყიხარ,განმოურტყიათ,განმოვურტყივართ,განმოურტყიხართ,განმოურტყიათ,
Iturm_th
,მირტყამხარ,მირტყამს,,მირტყამხართ,მირტყამს,
გირტყამვარ,,გირტყამს,გირტყამვართ,,გირტყამს,
ვურტყამვარ,ურტყამხარ,ურტყამს,ვურტყამვართ,ურტყამხართ,ურტყამს,
,გვირტყამხარ,გვირტყამს,,გვირტყამხართ,გვირტყამს,
გირტყამვართ,,გირტყამთ,გირტყამვართ,,გირტყამთ,
ვურტყამვარ,ურტყამხარ,ურტყამთ,ვურტყამვართ,ურტყამხართ,ურტყამთ,
Iturm_th_prfv
,განმომირტყამხარ,განმომირტყამს,,განმომირტყამხართ,განმომირტყამს,
განმოგირტყამვარ,,განმოგირტყამს,განმოგირტყამვართ,,განმოგირტყამს,
განმოვურტყამვარ,განმოურტყამხარ,განმოურტყამს,განმოვურტყამვართ,განმოურტყამხართ,განმოურტყამს,
,განმოგვირტყამხარ,განმოგვირტყამს,,განმოგვირტყამხართ,განმოგვირტყამს,
განმოგირტყამვართ,,განმოგირტყამთ,განმოგირტყამვართ,,განმოგირტყამთ,
განმოვურტყამვარ,განმოურტყამხარ,განმოურტყამთ,განმოვურტყამვართ,განმოურტყამხართ,განმოურტყამთ,
IIturm
,მერტყი,მერტყა,,მერტყით,მერტყა,
გერტყი,,გერტყა,გერტყით,,გერტყა,
ვერტყი,ერტყი,ერტყა,ვერტყით,ერტყით,ერტყა,
,გვერტყი,გვერტყა,,გვერტყით,გვერტყა,
გერტყით,,გერტყათ,გერტყით,,გერტყათ,
