fut2
,გაქებ,ვაქებ,,გაქებთ,ვაქებ,
მაქებ,,აქებ,გვაქებ,,აქებ,
მაქებს,გაქებს,აქებს,გვაქებს,გაქებთ,აქებს,
,გაქებთ,ვაქებთ,,გაქებთ,ვაქებთ,
მაქებთ,,აქებთ,გვაქებთ,,აქებთ,
მაქებენ,გაქებენ,აქებენ,გვაქებენ,გაქებენ,აქებენ,
fut2_prfv
,განმოგაქებ,განმოვაქებ,,განმოგაქებთ,განმოვაქებ,
განმომაქებ,,განმოაქებ,განმოგვაქებ,,განმოაქებ,
განმომაქებს,განმოგაქებს,განმოაქებს,განმოგვაქებს,განმოგაქებთ,განმოაქებს,
,განმოგაქებთ,განმოვაქებთ,,განმოგაქებთ,განმოვაქებთ,
განმომაქებთ,,განმოაქებთ,განმოგვაქებთ,,განმოაქებთ,
განმომაქებენ,განმოგაქებენ,განმოაქებენ,განმოგვაქებენ,განმოგაქებენ,განმოაქებენ,
cond2
,გაქებდი,ვაქებდი,,გაქებდით,ვაქებდი,
მაქებდი,,აქებდი,გვაქებდი,,აქებდი,
მაქებდა,გაქებდა,აქებდა,გვაქებდა,გაქებდათ,აქებდა,
,გაქებდით,ვაქებდით,,გაქებდით,ვაქებდით,
მაქებდით,,აქებდით,გვაქებდით,,აქებდით,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
cond2_prfv
,განმოგაქებდი,განმოვაქებდი,,განმოგაქებდით,განმოვაქებდი,
განმომაქებდი,,განმოაქებდი,განმოგვაქებდი,,განმოაქებდი,
განმომაქებდა,განმოგაქებდა,განმოაქებდა,განმოგვაქებდა,განმოგაქებდათ,განმოაქებდა,
,განმოგაქებდით,განმოვაქებდით,,განმოგაქებდით,განმოვაქებდით,
განმომაქებდით,,განმოაქებდით,განმოგვაქებდით,,განმოაქებდით,
განმომაქებდნენ,განმოგაქებდნენ,განმოაქებდნენ,განმოგვაქებდნენ,განმოგაქებდნენ,განმოაქებდნენ,
fut2_subj
,გაქებდე,ვაქებდე,,გაქებდეთ,ვაქებდე,
მაქებდე,,აქებდე,გვაქებდე,,აქებდე,
მაქებდეს,გაქებდეს,აქებდეს,გვაქებდეს,გაქებდეთ,აქებდეს,
,გაქებდეთ,ვაქებდეთ,,გაქებდეთ,ვაქებდეთ,
მაქებდეთ,,აქებდეთ,გვაქებდეთ,,აქებდეთ,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
fut2_subj_prfv
,განმოგაქებდე,განმოვაქებდე,,განმოგაქებდეთ,განმოვაქებდე,
განმომაქებდე,,განმოაქებდე,განმოგვაქებდე,,განმოაქებდე,
განმომაქებდეს,განმოგაქებდეს,განმოაქებდეს,განმოგვაქებდეს,განმოგაქებდეთ,განმოაქებდეს,
,განმოგაქებდეთ,განმოვაქებდეთ,,განმოგაქებდეთ,განმოვაქებდეთ,
განმომაქებდეთ,,განმოაქებდეთ,განმოგვაქებდეთ,,განმოაქებდეთ,
განმომაქებდნენ,განმოგაქებდნენ,განმოაქებდნენ,განმოგვაქებდნენ,განმოგაქებდნენ,განმოაქებდნენ,
aor2
,გაქე,ვაქე,,გაქეთ,ვაქე,
მაქე,,აქე,გვაქე,,აქე,
მაქო,გაქო,აქო,გვაქო,გაქოთ,აქო,
,გაქეთ,ვაქეთ,,გაქეთ,ვაქეთ,
მაქეთ,,აქეთ,გვაქეთ,,აქეთ,
მაქეს,გაქეს,აქეს,გვაქეს,გაქეს,აქეს,
aor2_prfv
,განმოგაქე,განმოვაქე,,განმოგაქეთ,განმოვაქე,
განმომაქე,,განმოაქე,განმოგვაქე,,განმოაქე,
განმომაქო,განმოგაქო,განმოაქო,განმოგვაქო,განმოგაქოთ,განმოაქო,
,განმოგაქეთ,განმოვაქეთ,,განმოგაქეთ,განმოვაქეთ,
განმომაქეთ,,განმოაქეთ,განმოგვაქეთ,,განმოაქეთ,
განმომაქეს,განმოგაქეს,განმოაქეს,განმოგვაქეს,განმოგაქეს,განმოაქეს,
IIsubj2
,გაქო,ვაქო,,გაქოთ,ვაქო,
მაქო,,აქო,გვაქო,,აქო,
მაქოს,გაქოს,აქოს,გვაქოს,გაქოთ,აქოს,
,გაქოთ,ვაქოთ,,გაქოთ,ვაქოთ,
მაქოთ,,აქოთ,გვაქოთ,,აქოთ,
მაქონ,გაქონ,აქონ,გვაქონ,გაქონ,აქონ,
IIsubj2_prfv
,განმოგაქო,განმოვაქო,,განმოგაქოთ,განმოვაქო,
განმომაქო,,განმოაქო,განმოგვაქო,,განმოაქო,
განმომაქოს,განმოგაქოს,განმოაქოს,განმოგვაქოს,განმოგაქოთ,განმოაქოს,
,განმოგაქოთ,განმოვაქოთ,,განმოგაქოთ,განმოვაქოთ,
განმომაქოთ,,განმოაქოთ,განმოგვაქოთ,,განმოაქოთ,
განმომაქონ,განმოგაქონ,განმოაქონ,განმოგვაქონ,განმოგაქონ,განმოაქონ,
Iturm
,მიქიხარ,მიქია,,მიქიხართ,მიქია,
გიქივარ,,გიქია,გიქივართ,,გიქია,
ვუქივარ,უქიხარ,უქია,ვუქივართ,უქიხართ,უქია,
,გვიქიხარ,გვიქია,,გვიქიხართ,გვიქია,
გიქივართ,,გიქიათ,გიქივართ,,გიქიათ,
ვუქივარ,უქიხარ,უქიათ,ვუქივართ,უქიხართ,უქიათ,
Iturm_prfv
,განმომიქიხარ,განმომიქია,,განმომიქიხართ,განმომიქია,
განმოგიქივარ,,განმოგიქია,განმოგიქივართ,,განმოგიქია,
განმოვუქივარ,განმოუქიხარ,განმოუქია,განმოვუქივართ,განმოუქიხართ,განმოუქია,
,განმოგვიქიხარ,განმოგვიქია,,განმოგვიქიხართ,განმოგვიქია,
განმოგიქივართ,,განმოგიქიათ,განმოგიქივართ,,განმოგიქიათ,
განმოვუქივარ,განმოუქიხარ,განმოუქიათ,განმოვუქივართ,განმოუქიხართ,განმოუქიათ,
IIturm
,მექე,მექო,,მექეთ,მექოთ,
გექე,,გექო,გექეთ,,გექოთ,
ვექე,ექე,ექო,ვექეთ,ექეთ,ექოთ,
,გვექე,გვექო,,გვექეთ,გვექოთ,
გექეთ,,გექოთ,გექეთ,,გექოთ,
ვექე,ექე,ექოთ,ვექეთ,ექეთ,ექოთთ,
IIturm_prfv
,განმომექე,განმომექო,,განმომექეთ,განმომექოთ,
განმოგექე,,განმოგექო,განმოგექეთ,,განმოგექოთ,
განმოვექე,განმოექე,განმოექო,განმოვექეთ,განმოექეთ,განმოექოთ,
,განმოგვექე,განმოგვექო,,განმოგვექეთ,განმოგვექოთ,
განმოგექეთ,,განმოგექოთ,განმოგექეთ,,განმოგექოთ,
განმოვექე,განმოექე,განმოექოთ,განმოვექეთ,განმოექეთ,განმოექოთთ,
IIIsubj
,მექო,მექოს,,მექოთ,მექოს,
გექო,,გექოს,გექოთ,,გექოს,
ვექო,ექო,ექოს,ვექოთ,ექოთ,ექოს,
,გვექო,გვექოს,,გვექოთ,გვექოს,
გექოთ,,გექოთ,გექოთ,,გექოთ,
ვექო,ექო,ექოთ,ვექოთ,ექოთ,ექოთ,
IIIsubj_prfv
,განმომექო,განმომექოს,,განმომექოთ,განმომექოს,
განმოგექო,,განმოგექოს,განმოგექოთ,,განმოგექოს,
განმოვექო,განმოექო,განმოექოს,განმოვექოთ,განმოექოთ,განმოექოს,
,განმოგვექო,განმოგვექოს,,განმოგვექოთ,განმოგვექოს,
განმოგექოთ,,განმოგექოთ,განმოგექოთ,,განმოგექოთ,
განმოვექო,განმოექო,განმოექოთ,განმოვექოთ,განმოექოთ,განმოექოთ,
