fut2
,გაშენებ,ვაშენებ,,გაშენებთ,ვაშენებ,
მაშენებ,,აშენებ,გვაშენებ,,აშენებ,
მაშენებს,გაშენებს,აშენებს,გვაშენებს,გაშენებთ,აშენებს,
,გაშენებთ,ვაშენებთ,,გაშენებთ,ვაშენებთ,
მაშენებთ,,აშენებთ,გვაშენებთ,,აშენებთ,
მაშენებენ,გაშენებენ,აშენებენ,გვაშენებენ,გაშენებენ,აშენებენ,
fut2_prfv
,განმოგაშენებ,განმოვაშენებ,,განმოგაშენებთ,განმოვაშენებ,
განმომაშენებ,,განმოაშენებ,განმოგვაშენებ,,განმოაშენებ,
განმომაშენებს,განმოგაშენებს,განმოაშენებს,განმოგვაშენებს,განმოგაშენებთ,განმოაშენებს,
,განმოგაშენებთ,განმოვაშენებთ,,განმოგაშენებთ,განმოვაშენებთ,
განმომაშენებთ,,განმოაშენებთ,განმოგვაშენებთ,,განმოაშენებთ,
განმომაშენებენ,განმოგაშენებენ,განმოაშენებენ,განმოგვაშენებენ,განმოგაშენებენ,განმოაშენებენ,
cond2
,გაშენებდი,ვაშენებდი,,გაშენებდით,ვაშენებდი,
მაშენებდი,,აშენებდი,გვაშენებდი,,აშენებდი,
მაშენებდა,გაშენებდა,აშენებდა,გვაშენებდა,გაშენებდათ,აშენებდა,
,გაშენებდით,ვაშენებდით,,გაშენებდით,ვაშენებდით,
მაშენებდით,,აშენებდით,გვაშენებდით,,აშენებდით,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
cond2_prfv
,განმოგაშენებდი,განმოვაშენებდი,,განმოგაშენებდით,განმოვაშენებდი,
განმომაშენებდი,,განმოაშენებდი,განმოგვაშენებდი,,განმოაშენებდი,
განმომაშენებდა,განმოგაშენებდა,განმოაშენებდა,განმოგვაშენებდა,განმოგაშენებდათ,განმოაშენებდა,
,განმოგაშენებდით,განმოვაშენებდით,,განმოგაშენებდით,განმოვაშენებდით,
განმომაშენებდით,,განმოაშენებდით,განმოგვაშენებდით,,განმოაშენებდით,
განმომაშენებდნენ,განმოგაშენებდნენ,განმოაშენებდნენ,განმოგვაშენებდნენ,განმოგაშენებდნენ,განმოაშენებდნენ,
fut2_subj
,გაშენებდე,ვაშენებდე,,გაშენებდეთ,ვაშენებდე,
მაშენებდე,,აშენებდე,გვაშენებდე,,აშენებდე,
მაშენებდეს,გაშენებდეს,აშენებდეს,გვაშენებდეს,გაშენებდეთ,აშენებდეს,
,გაშენებდეთ,ვაშენებდეთ,,გაშენებდეთ,ვაშენებდეთ,
მაშენებდეთ,,აშენებდეთ,გვაშენებდეთ,,აშენებდეთ,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
fut2_subj_prfv
,განმოგაშენებდე,განმოვაშენებდე,,განმოგაშენებდეთ,განმოვაშენებდე,
განმომაშენებდე,,განმოაშენებდე,განმოგვაშენებდე,,განმოაშენებდე,
განმომაშენებდეს,განმოგაშენებდეს,განმოაშენებდეს,განმოგვაშენებდეს,განმოგაშენებდეთ,განმოაშენებდეს,
,განმოგაშენებდეთ,განმოვაშენებდეთ,,განმოგაშენებდეთ,განმოვაშენებდეთ,
განმომაშენებდეთ,,განმოაშენებდეთ,განმოგვაშენებდეთ,,განმოაშენებდეთ,
განმომაშენებდნენ,განმოგაშენებდნენ,განმოაშენებდნენ,განმოგვაშენებდნენ,განმოგაშენებდნენ,განმოაშენებდნენ,
aor2
,გაშენე,ვაშენე,,გაშენეთ,ვაშენე,
მაშენე,,აშენე,გვაშენე,,აშენე,
მაშენა,გაშენა,აშენა,გვაშენა,გაშენათ,აშენა,
,გაშენეთ,ვაშენეთ,,გაშენეთ,ვაშენეთ,
მაშენეთ,,აშენეთ,გვაშენეთ,,აშენეთ,
მაშენეს,გაშენეს,აშენეს,გვაშენეს,გაშენეს,აშენეს,
aor2_prfv
,განმოგაშენე,განმოვაშენე,,განმოგაშენეთ,განმოვაშენე,
განმომაშენე,,განმოაშენე,განმოგვაშენე,,განმოაშენე,
განმომაშენა,განმოგაშენა,განმოაშენა,განმოგვაშენა,განმოგაშენათ,განმოაშენა,
,განმოგაშენეთ,განმოვაშენეთ,,განმოგაშენეთ,განმოვაშენეთ,
განმომაშენეთ,,განმოაშენეთ,განმოგვაშენეთ,,განმოაშენეთ,
განმომაშენეს,განმოგაშენეს,განმოაშენეს,განმოგვაშენეს,განმოგაშენეს,განმოაშენეს,
IIsubj2
,გაშენო,ვაშენო,,გაშენოთ,ვაშენო,
მაშენო,,აშენო,გვაშენო,,აშენო,
მაშენოს,გაშენოს,აშენოს,გვაშენოს,გაშენოთ,აშენოს,
,გაშენოთ,ვაშენოთ,,გაშენოთ,ვაშენოთ,
მაშენოთ,,აშენოთ,გვაშენოთ,,აშენოთ,
მაშენონ,გაშენონ,აშენონ,გვაშენონ,გაშენონ,აშენონ,
IIsubj2_prfv
,განმოგაშენო,განმოვაშენო,,განმოგაშენოთ,განმოვაშენო,
განმომაშენო,,განმოაშენო,განმოგვაშენო,,განმოაშენო,
განმომაშენოს,განმოგაშენოს,განმოაშენოს,განმოგვაშენოს,განმოგაშენოთ,განმოაშენოს,
,განმოგაშენოთ,განმოვაშენოთ,,განმოგაშენოთ,განმოვაშენოთ,
განმომაშენოთ,,განმოაშენოთ,განმოგვაშენოთ,,განმოაშენოთ,
განმომაშენონ,განმოგაშენონ,განმოაშენონ,განმოგვაშენონ,განმოგაშენონ,განმოაშენონ,
Iturm
,მიშენებიხარ,მიშენებია,,მიშენებიხართ,მიშენებია,
გიშენებივარ,,გიშენებია,გიშენებივართ,,გიშენებია,
ვუშენებივარ,უშენებიხარ,უშენებია,ვუშენებივართ,უშენებიხართ,უშენებია,
,გვიშენებიხარ,გვიშენებია,,გვიშენებიხართ,გვიშენებია,
გიშენებივართ,,გიშენებიათ,გიშენებივართ,,გიშენებიათ,
ვუშენებივარ,უშენებიხარ,უშენებიათ,ვუშენებივართ,უშენებიხართ,უშენებიათ,
Iturm_prfv
,განმომიშენებიხარ,განმომიშენებია,,განმომიშენებიხართ,განმომიშენებია,
განმოგიშენებივარ,,განმოგიშენებია,განმოგიშენებივართ,,განმოგიშენებია,
განმოვუშენებივარ,განმოუშენებიხარ,განმოუშენებია,განმოვუშენებივართ,განმოუშენებიხართ,განმოუშენებია,
,განმოგვიშენებიხარ,განმოგვიშენებია,,განმოგვიშენებიხართ,განმოგვიშენებია,
განმოგიშენებივართ,,განმოგიშენებიათ,განმოგიშენებივართ,,განმოგიშენებიათ,
განმოვუშენებივარ,განმოუშენებიხარ,განმოუშენებიათ,განმოვუშენებივართ,განმოუშენებიხართ,განმოუშენებიათ,
IIturm
,მეშენებინე,მეშენებინა,,მეშენებინეთ,მეშენებინა,
გეშენებინე,,გეშენებინა,გეშენებინეთ,,გეშენებინა,
ვეშენებინე,ეშენებინე,ეშენებინა,ვეშენებინეთ,ეშენებინეთ,ეშენებინა,
,გვეშენებინე,გვეშენებინა,,გვეშენებინეთ,გვეშენებინა,
გეშენებინეთ,,გეშენებინათ,გეშენებინეთ,,გეშენებინათ,
ვეშენებინე,ეშენებინე,ეშენებინათ,ვეშენებინეთ,ეშენებინეთ,ეშენებინათ,
IIturm_prfv
,განმომეშენებინე,განმომეშენებინა,,განმომეშენებინეთ,განმომეშენებინა,
განმოგეშენებინე,,განმოგეშენებინა,განმოგეშენებინეთ,,განმოგეშენებინა,
განმოვეშენებინე,განმოეშენებინე,განმოეშენებინა,განმოვეშენებინეთ,განმოეშენებინეთ,განმოეშენებინა,
,განმოგვეშენებინე,განმოგვეშენებინა,,განმოგვეშენებინეთ,განმოგვეშენებინა,
განმოგეშენებინეთ,,განმოგეშენებინათ,განმოგეშენებინეთ,,განმოგეშენებინათ,
განმოვეშენებინე,განმოეშენებინე,განმოეშენებინათ,განმოვეშენებინეთ,განმოეშენებინეთ,განმოეშენებინათ,
IIIsubj
,მეშენებინო,მეშენებინოს,,მეშენებინოთ,მეშენებინოს,
გეშენებინო,,გეშენებინოს,გეშენებინოთ,,გეშენებინოს,
ვეშენებინო,ეშენებინო,ეშენებინოს,ვეშენებინოთ,ეშენებინოთ,ეშენებინოს,
,გვეშენებინო,გვეშენებინოს,,გვეშენებინოთ,გვეშენებინოს,
გეშენებინოთ,,გეშენებინოთ,გეშენებინოთ,,გეშენებინოთ,
ვეშენებინო,ეშენებინო,ეშენებინოთ,ვეშენებინოთ,ეშენებინოთ,ეშენებინოთ,
IIIsubj_prfv
,განმომეშენებინო,განმომეშენებინოს,,განმომეშენებინოთ,განმომეშენებინოს,
განმოგეშენებინო,,განმოგეშენებინოს,განმოგეშენებინოთ,,განმოგეშენებინოს,
განმოვეშენებინო,განმოეშენებინო,განმოეშენებინოს,განმოვეშენებინოთ,განმოეშენებინოთ,განმოეშენებინოს,
,განმოგვეშენებინო,განმოგვეშენებინოს,,განმოგვეშენებინოთ,განმოგვეშენებინოს,
განმოგეშენებინოთ,,განმოგეშენებინოთ,განმოგეშენებინოთ,,განმოგეშენებინოთ,
განმოვეშენებინო,განმოეშენებინო,განმოეშენებინოთ,განმოვეშენებინოთ,განმოეშენებინოთ,განმოეშენებინოთ,
