fut2
,გეწერები,ვეწერები,,გეწერებით,ვეწერები,
მეწერები,,ეწერები,გვეწერები,,ეწერები,
მეწერება,გეწერება,ეწერება,გვეწერება,გეწერებათ,ეწერება,
,გეწერებით,ვეწერებით,,გეწერებით,ვეწერებით,
მეწერებით,,ეწერებით,გვეწერებით,,ეწერებით,
მეწერებიან,გეწერებიან,ეწერებიან,გვეწერებიან,გეწერებიან,ეწერებიან,
fut2_prfv
,განმოგეწერები,განმოვეწერები,,განმოგეწერებით,განმოვეწერები,
განმომეწერები,,განმოეწერები,განმოგვეწერები,,განმოეწერები,
განმომეწერება,განმოგეწერება,განმოეწერება,განმოგვეწერება,განმოგეწერებათ,განმოეწერება,
,განმოგეწერებით,განმოვეწერებით,,განმოგეწერებით,განმოვეწერებით,
განმომეწერებით,,განმოეწერებით,განმოგვეწერებით,,განმოეწერებით,
განმომეწერებიან,განმოგეწერებიან,განმოეწერებიან,განმოგვეწერებიან,განმოგეწერებიან,განმოეწერებიან,
cond2
,გეწერებოდი,ვეწერებოდი,,გეწერებოდით,ვეწერებოდი,
მეწერებოდი,,ეწერებოდი,გვეწერებოდი,,ეწერებოდი,
მეწერებოდა,გეწერებოდა,ეწერებოდა,გვეწერებოდა,გეწერებოდათ,ეწერებოდა,
,გეწერებოდით,ვეწერებოდით,,გეწერებოდით,ვეწერებოდით,
მეწერებოდით,,ეწერებოდით,გვეწერებოდით,,ეწერებოდით,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
cond2_prfv
,განმოგეწერებოდი,განმოვეწერებოდი,,განმოგეწერებოდით,განმოვეწერებოდი,
განმომეწერებოდი,,განმოეწერებოდი,განმოგვეწერებოდი,,განმოეწერებოდი,
განმომეწერებოდა,განმოგეწერებოდა,განმოეწერებოდა,განმოგვეწერებოდა,განმოგეწერებოდათ,განმოეწერებოდა,
,განმოგეწერებოდით,განმოვეწერებოდით,,განმოგეწერებოდით,განმოვეწერებოდით,
განმომეწერებოდით,,განმოეწერებოდით,განმოგვეწერებოდით,,განმოეწერებოდით,
განმომეწერებოდნენ,განმოგეწერებოდნენ,განმოეწერებოდნენ,განმოგვეწერებოდნენ,განმოგეწერებოდნენ,განმოეწერებოდნენ,
fut2_subj
,გეწერებოდე,ვეწერებოდე,,გეწერებოდეთ,ვეწერებოდე,
მეწერებოდე,,ეწერებოდე,გვეწერებოდე,,ეწერებოდე,
მეწერებოდეს,გეწერებოდეს,ეწერებოდეს,გვეწერებოდეს,გეწერებოდეთ,ეწერებოდეს,
,გეწერებოდეთ,ვეწერებოდეთ,,გეწერებოდეთ,ვეწერებოდეთ,
მეწერებოდეთ,,ეწერებოდეთ,გვეწერებოდეთ,,ეწერებოდეთ,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
fut2_subj_prfv
,განმოგეწერებოდე,განმოვეწერებოდე,,განმოგეწერებოდეთ,განმოვეწერებოდე,
განმომეწერებოდე,,განმოეწერებოდე,განმოგვეწერებოდე,,განმოეწერებოდე,
განმომეწერებოდეს,განმოგეწერებოდეს,განმოეწერებოდეს,განმოგვეწერებოდეს,განმოგეწერებოდეთ,განმოეწერებოდეს,
,განმოგეწერებოდეთ,განმოვეწერებოდეთ,,განმოგეწერებოდეთ,განმოვეწერებოდეთ,
განმომეწერებოდეთ,,განმოეწერებოდეთ,განმოგვეწერებოდეთ,,განმოეწერებოდეთ,
განმომეწერებოდნენ,განმოგეწერებოდნენ,განმოეწერებოდნენ,განმოგვეწერებოდნენ,განმოგეწერებოდნენ,განმოეწერებოდნენ,
aor2
,გეწერე,ვეწერე,,გეწერეთ,ვეწერე,
მეწერე,,ეწერე,გვეწერე,,ეწერე,
მეწერა,გეწერა,ეწერა,გვეწერა,გეწერათ,ეწერა,
