pres
,გზრდი,ვზრდი,,გზრდით,ვზრდი,
მზრდი,,ზრდი,გვზრდი,,ზრდი,
მზრდის,გზრდის,ზრდის,გვზრდის,გზრდით,ზრდის,
,გზრდით,ვზრდით,,გზრდით,ვზრდით,
მზრდით,,ზრდით,გვზრდით,,ზრდით,
მზრდიან,გზრდიან,ზრდიან,გვზრდიან,გზრდიან,ზრდიან,
fut
,განმოგზრდი,განმოვზრდი,,განმოგზრდით,განმოვზრდი,
განმომზრდი,,განმოზრდი,განმოგვზრდი,,განმოზრდი,
განმომზრდის,განმოგზრდის,განმოზრდის,განმოგვზრდის,განმოგზრდით,განმოზრდის,
,განმოგზრდით,განმოვზრდით,,განმოგზრდით,განმოვზრდით,
განმომზრდით,,განმოზრდით,განმოგვზრდით,,განმოზრდით,
განმომზრდიან,განმოგზრდიან,განმოზრდიან,განმოგვზრდიან,განმოგზრდიან,განმოზრდიან,
impf
,გზრდიდი,ვზრდიდი,,გზრდიდით,ვზრდიდი,
მზრდიდი,,ზრდიდი,გვზრდიდი,,ზრდიდი,
მზრდიდა,გზრდიდა,ზრდიდა,გვზრდიდა,გზრდიდათ,ზრდიდა,
,გზრდიდით,ვზრდიდით,,გზრდიდით,ვზრდიდით,
მზრდიდით,,ზრდიდით,გვზრდიდით,,ზრდიდით,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
cond
,განმოგზრდიდი,განმოვზრდიდი,,განმოგზრდიდით,განმოვზრდიდი,
განმომზრდიდი,,განმოზრდიდი,განმოგვზრდიდი,,განმოზრდიდი,
განმომზრდიდა,განმოგზრდიდა,განმოზრდიდა,განმოგვზრდიდა,განმოგზრდიდათ,განმოზრდიდა,
,განმოგზრდიდით,განმოვზრდიდით,,განმოგზრდიდით,განმოვზრდიდით,
განმომზრდიდით,,განმოზრდიდით,განმოგვზრდიდით,,განმოზრდიდით,
განმომზრდიდნენ,განმოგზრდიდნენ,განმოზრდიდნენ,განმოგვზრდიდნენ,განმოგზრდიდნენ,განმოზრდიდნენ,
subj
,გზრდიდე,ვზრდიდე,,გზრდიდეთ,ვზრდიდე,
მზრდიდე,,ზრდიდე,გვზრდიდე,,ზრდიდე,
მზრდიდეს,გზრდიდეს,ზრდიდეს,გვზრდიდეს,გზრდიდეთ,ზრდიდეს,
,გზრდიდეთ,ვზრდიდეთ,,გზრდიდეთ,ვზრდიდეთ,
მზრდიდეთ,,ზრდიდეთ,გვზრდიდეთ,,ზრდიდეთ,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
fut_subj
,განმოგზრდიდე,განმოვზრდიდე,,განმოგზრდიდეთ,განმოვზრდიდე,
განმომზრდიდე,,განმოზრდიდე,განმოგვზრდიდე,,განმოზრდიდე,
განმომზრდიდეს,განმოგზრდიდეს,განმოზრდიდეს,განმოგვზრდიდეს,განმოგზრდიდეთ,განმოზრდიდეს,
,განმოგზრდიდეთ,განმოვზრდიდეთ,,განმოგზრდიდეთ,განმოვზრდიდეთ,
განმომზრდიდეთ,,განმოზრდიდეთ,განმოგვზრდიდეთ,,განმოზრდიდეთ,
განმომზრდიდნენ,განმოგზრდიდნენ,განმოზრდიდნენ,განმოგვზრდიდნენ,განმოგზრდიდნენ,განმოზრდიდნენ,
aor
,გზარდე,ვზარდე,,გზარდეთ,ვზარდე,
მზარდე,,ზარდე,გვზარდე,,ზარდე,
მზარდა,გზარდა,ზარდა,გვზარდა,გზარდათ,ზარდა,
,გზარდეთ,ვზარდეთ,,გზარდეთ,ვზარდეთ,
მზარდეთ,,ზარდეთ,გვზარდეთ,,ზარდეთ,
მზარდეს,გზარდეს,ზარდეს,გვზარდეს,გზარდეს,ზარდეს,
aor_prfv
,განმოგზარდე,განმოვზარდე,,განმოგზარდეთ,განმოვზარდე,
განმომზარდე,,განმოზარდე,განმოგვზარდე,,განმოზარდე,
განმომზარდა,განმოგზარდა,განმოზარდა,განმოგვზარდა,განმოგზარდათ,განმოზარდა,
,განმოგზარდეთ,განმოვზარდეთ,,განმოგზარდეთ,განმოვზარდეთ,
განმომზარდეთ,,განმოზარდეთ,განმოგვზარდეთ,,განმოზარდეთ,
განმომზარდეს,განმოგზარდეს,განმოზარდეს,განმოგვზარდეს,განმოგზარდეს,განმოზარდეს,
IIsubj
,გზარდო,ვზარდო,,გზარდოთ,ვზარდო,
მზარდო,,ზარდო,გვზარდო,,ზარდო,
მზარდოს,გზარდოს,ზარდოს,გვზარდოს,გზარდოთ,ზარდოს,
,გზარდოთ,ვზარდოთ,,გზარდოთ,ვზარდოთ,
მზარდოთ,,ზარდოთ,გვზარდოთ,,ზარდოთ,
მზარდონ,გზარდონ,ზარდონ,გვზარდონ,გზარდონ,ზარდონ,
IIsubj_prfv
,განმოგზარდო,განმოვზარდო,,განმოგზარდოთ,განმოვზარდო,
განმომზარდო,,განმოზარდო,განმოგვზარდო,,განმოზარდო,
განმომზარდოს,განმოგზარდოს,განმოზარდოს,განმოგვზარდოს,განმოგზარდოთ,განმოზარდოს,
,განმოგზარდოთ,განმოვზარდოთ,,განმოგზარდოთ,განმოვზარდოთ,
განმომზარდოთ,,განმოზარდოთ,განმოგვზარდოთ,,განმოზარდოთ,
განმომზარდონ,განმოგზარდონ,განმოზარდონ,განმოგვზარდონ,განმოგზარდონ,განმოზარდონ,
Iturm
,მიზრდიხარ,მიზრდია,,მიზრდიხართ,მიზრდია,
გიზრდივარ,,გიზრდია,გიზრდივართ,,გიზრდია,
ვუზრდივარ,უზრდიხარ,უზრდია,ვუზრდივართ,უზრდიხართ,უზრდია,
,გვიზრდიხარ,გვიზრდია,,გვიზრდიხართ,გვიზრდია,
გიზრდივართ,,გიზრდიათ,გიზრდივართ,,გიზრდიათ,
ვუზრდივარ,უზრდიხარ,უზრდიათ,ვუზრდივართ,უზრდიხართ,უზრდიათ,
Iturm_prfv
,განმომიზრდიხარ,განმომიზრდია,,განმომიზრდიხართ,განმომიზრდია,
განმოგიზრდივარ,,განმოგიზრდია,განმოგიზრდივართ,,განმოგიზრდია,
განმოვუზრდივარ,განმოუზრდიხარ,განმოუზრდია,განმოვუზრდივართ,განმოუზრდიხართ,განმოუზრდია,
,განმოგვიზრდიხარ,განმოგვიზრდია,,განმოგვიზრდიხართ,განმოგვიზრდია,
განმოგიზრდივართ,,განმოგიზრდიათ,განმოგიზრდივართ,,განმოგიზრდიათ,
განმოვუზრდივარ,განმოუზრდიხარ,განმოუზრდიათ,განმოვუზრდივართ,განმოუზრდიხართ,განმოუზრდიათ,
IIturm
,მეზარდე,მეზარდა,,მეზარდეთ,მეზარდა,
გეზარდე,,გეზარდა,გეზარდეთ,,გეზარდა,
ვეზარდე,ეზარდე,ეზარდა,ვეზარდეთ,ეზარდეთ,ეზარდა,
,გვეზარდე,გვეზარდა,,გვეზარდეთ,გვეზარდა,
გეზარდეთ,,გეზარდათ,გეზარდეთ,,გეზარდათ,
ვეზარდე,ეზარდე,ეზარდათ,ვეზარდეთ,ეზარდეთ,ეზარდათ,
IIturm_prfv
,განმომეზარდე,განმომეზარდა,,განმომეზარდეთ,განმომეზარდა,
განმოგეზარდე,,განმოგეზარდა,განმოგეზარდეთ,,განმოგეზარდა,
განმოვეზარდე,განმოეზარდე,განმოეზარდა,განმოვეზარდეთ,განმოეზარდეთ,განმოეზარდა,
,განმოგვეზარდე,განმოგვეზარდა,,განმოგვეზარდეთ,განმოგვეზარდა,
განმოგეზარდეთ,,განმოგეზარდათ,განმოგეზარდეთ,,განმოგეზარდათ,
განმოვეზარდე,განმოეზარდე,განმოეზარდათ,განმოვეზარდეთ,განმოეზარდეთ,განმოეზარდათ,
IIIsubj
,მეზარდო,მეზარდოს,,მეზარდოთ,მეზარდოს,
გეზარდო,,გეზარდოს,გეზარდოთ,,გეზარდოს,
ვეზარდო,ეზარდო,ეზარდოს,ვეზარდოთ,ეზარდოთ,ეზარდოს,
,გვეზარდო,გვეზარდოს,,გვეზარდოთ,გვეზარდოს,
გეზარდოთ,,გეზარდოთ,გეზარდოთ,,გეზარდოთ,
ვეზარდო,ეზარდო,ეზარდოთ,ვეზარდოთ,ეზარდოთ,ეზარდოთ,
IIIsubj_prfv
,განმომეზარდო,განმომეზარდოს,,განმომეზარდოთ,განმომეზარდოს,
განმოგეზარდო,,განმოგეზარდოს,განმოგეზარდოთ,,განმოგეზარდოს,
განმოვეზარდო,განმოეზარდო,განმოეზარდოს,განმოვეზარდოთ,განმოეზარდოთ,განმოეზარდოს,
,განმოგვეზარდო,განმოგვეზარდოს,,განმოგვეზარდოთ,განმოგვეზარდოს,
განმოგეზარდოთ,,განმოგეზარდოთ,განმოგეზარდოთ,,განმოგეზარდოთ,
განმოვეზარდო,განმოეზარდო,განმოეზარდოთ,განმოვეზარდოთ,განმოეზარდოთ,განმოეზარდოთ,
