pres
,გკრავ,ვკრავ,,გკრავთ,ვკრავ,
მკრავ,,კრავ,გვკრავ,,კრავ,
მკრავს,გკრავს,კრავს,გვკრავს,გკრავთ,კრავს,
,გკრავთ,ვკრავთ,,გკრავთ,ვკრავთ,
მკრავთ,,კრავთ,გვკრავთ,,კრავთ,
მკრავენ,გკრავენ,კრავენ,გვკრავენ,გკრავენ,კრავენ,
fut
,განმოგკრავ,განმოვკრავ,,განმოგკრავთ,განმოვკრავ,
განმომკრავ,,განმოკრავ,განმოგვკრავ,,განმოკრავ,
განმომკრავს,განმოგკრავს,განმოკრავს,განმოგვკრავს,განმოგკრავთ,განმოკრავს,
,განმოგკრავთ,განმოვკრავთ,,განმოგკრავთ,განმოვკრავთ,
განმომკრავთ,,განმოკრავთ,განმოგვკრავთ,,განმოკრავთ,
განმომკრავენ,განმოგკრავენ,განმოკრავენ,განმოგვკრავენ,განმოგკრავენ,განმოკრავენ,
impf
,გკრავდი,ვკრავდი,,გკრავდით,ვკრავდი,
მკრავდი,,კრავდი,გვკრავდი,,კრავდი,
მკრავდა,გკრავდა,კრავდა,გვკრავდა,გკრავდათ,კრავდა,
,გკრავდით,ვკრავდით,,გკრავდით,ვკრავდით,
მკრავდით,,კრავდით,გვკრავდით,,კრავდით,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
cond
,განმოგკრავდი,განმოვკრავდი,,განმოგკრავდით,განმოვკრავდი,
განმომკრავდი,,განმოკრავდი,განმოგვკრავდი,,განმოკრავდი,
განმომკრავდა,განმოგკრავდა,განმოკრავდა,განმოგვკრავდა,განმოგკრავდათ,განმოკრავდა,
,განმოგკრავდით,განმოვკრავდით,,განმოგკრავდით,განმოვკრავდით,
განმომკრავდით,,განმოკრავდით,განმოგვკრავდით,,განმოკრავდით,
განმომკრავდნენ,განმოგკრავდნენ,განმოკრავდნენ,განმოგვკრავდნენ,განმოგკრავდნენ,განმოკრავდნენ,
subj
,გკრავდე,ვკრავდე,,გკრავდეთ,ვკრავდე,
მკრავდე,,კრავდე,გვკრავდე,,კრავდე,
მკრავდეს,გკრავდეს,კრავდეს,გვკრავდეს,გკრავდეთ,კრავდეს,
,გკრავდეთ,ვკრავდეთ,,გკრავდეთ,ვკრავდეთ,
მკრავდეთ,,კრავდეთ,გვკრავდეთ,,კრავდეთ,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
fut_subj
,განმოგკრავდე,განმოვკრავდე,,განმოგკრავდეთ,განმოვკრავდე,
განმომკრავდე,,განმოკრავდე,განმოგვკრავდე,,განმოკრავდე,
განმომკრავდეს,განმოგკრავდეს,განმოკრავდეს,განმოგვკრავდეს,განმოგკრავდეთ,განმოკრავდეს,
,განმოგკრავდეთ,განმოვკრავდეთ,,განმოგკრავდეთ,განმოვკრავდეთ,
განმომკრავდეთ,,განმოკრავდეთ,განმოგვკრავდეთ,,განმოკრავდეთ,
განმომკრავდნენ,განმოგკრავდნენ,განმოკრავდნენ,განმოგვკრავდნენ,განმოგკრავდნენ,განმოკრავდნენ,
aor
,გკარი,ვკარი,,გკარით,ვკარი,
მკარი,,კარი,გვკარი,,კარი,
