pres
,გცრი,ვცრი,,გცრით,ვცრი,
მცრი,,ცრი,გვცრი,,ცრი,
მცრის,გცრის,ცრის,გვცრის,გცრით,ცრის,
,გცრით,ვცრით,,გცრით,ვცრით,
მცრით,,ცრით,გვცრით,,ცრით,
მცრიან,გცრიან,ცრიან,გვცრიან,გცრიან,ცრიან,
fut
,განმოგცრი,განმოვცრი,,განმოგცრით,განმოვცრი,
განმომცრი,,განმოცრი,განმოგვცრი,,განმოცრი,
განმომცრის,განმოგცრის,განმოცრის,განმოგვცრის,განმოგცრით,განმოცრის,
,განმოგცრით,განმოვცრით,,განმოგცრით,განმოვცრით,
განმომცრით,,განმოცრით,განმოგვცრით,,განმოცრით,
განმომცრიან,განმოგცრიან,განმოცრიან,განმოგვცრიან,განმოგცრიან,განმოცრიან,
impf
,გცრიდი,ვცრიდი,,გცრიდით,ვცრიდი,
მცრიდი,,ცრიდი,გვცრიდი,,ცრიდი,
მცრიდა,გცრიდა,ცრიდა,გვცრიდა,გცრიდათ,ცრიდა,
,გცრიდით,ვცრიდით,,გცრიდით,ვცრიდით,
მცრიდით,,ცრიდით,გვცრიდით,,ცრიდით,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
cond
,განმოგცრიდი,განმოვცრიდი,,განმოგცრიდით,განმოვცრიდი,
განმომცრიდი,,განმოცრიდი,განმოგვცრიდი,,განმოცრიდი,
განმომცრიდა,განმოგცრიდა,განმოცრიდა,განმოგვცრიდა,განმოგცრიდათ,განმოცრიდა,
,განმოგცრიდით,განმოვცრიდით,,განმოგცრიდით,განმოვცრიდით,
განმომცრიდით,,განმოცრიდით,განმოგვცრიდით,,განმოცრიდით,
განმომცრიდნენ,განმოგცრიდნენ,განმოცრიდნენ,განმოგვცრიდნენ,განმოგცრიდნენ,განმოცრიდნენ,
subj
,გცრიდე,ვცრიდე,,გცრიდეთ,ვცრიდე,
მცრიდე,,ცრიდე,გვცრიდე,,ცრიდე,
მცრიდეს,გცრიდეს,ცრიდეს,გვცრიდეს,გცრიდეთ,ცრიდეს,
,გცრიდეთ,ვცრიდეთ,,გცრიდეთ,ვცრიდეთ,
მცრიდეთ,,ცრიდეთ,გვცრიდეთ,,ცრიდეთ,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
fut_subj
,განმოგცრიდე,განმოვცრიდე,,განმოგცრიდეთ,განმოვცრიდე,
განმომცრიდე,,განმოცრიდე,განმოგვცრიდე,,განმოცრიდე,
განმომცრიდეს,განმოგცრიდეს,განმოცრიდეს,განმოგვცრიდეს,განმოგცრიდეთ,განმოცრიდეს,
,განმოგცრიდეთ,განმოვცრიდეთ,,განმოგცრიდეთ,განმოვცრიდეთ,
განმომცრიდეთ,,განმოცრიდეთ,განმოგვცრიდეთ,,განმოცრიდეთ,
განმომცრიდნენ,განმოგცრიდნენ,განმოცრიდნენ,განმოგვცრიდნენ,განმოგცრიდნენ,განმოცრიდნენ,
aor
,გცერი,ვცერი,,გცერით,ვცერი,
მცერი,,ცერი,გვცერი,,ცერი,
მცრა,გცრა,ცრა,გვცრა,გცრათ,ცრა,
,გცერით,ვცერით,,გცერით,ვცერით,
მცერით,,ცერით,გვცერით,,ცერით,
მცრეს,გცრეს,ცრეს,გვცრეს,გცრეს,ცრეს,
aor_prfv
,განმოგცერი,განმოვცერი,,განმოგცერით,განმოვცერი,
განმომცერი,,განმოცერი,განმოგვცერი,,განმოცერი,
განმომცრა,განმოგცრა,განმოცრა,განმოგვცრა,განმოგცრათ,განმოცრა,
,განმოგცერით,განმოვცერით,,განმოგცერით,განმოვცერით,
განმომცერით,,განმოცერით,განმოგვცერით,,განმოცერით,
განმომცრეს,განმოგცრეს,განმოცრეს,განმოგვცრეს,განმოგცრეს,განმოცრეს,
IIsubj
,გცრა,ვცრა,,გცრათ,ვცრა,
მცრა,,ცრა,გვცრა,,ცრა,
მცრას,გცრას,ცრას,გვცრას,გცრათ,ცრას,
,გცრათ,ვცრათ,,გცრათ,ვცრათ,
მცრათ,,ცრათ,გვცრათ,,ცრათ,
მცრან,გცრან,ცრან,გვცრან,გცრან,ცრან,
IIsubj_prfv
,განმოგცრა,განმოვცრა,,განმოგცრათ,განმოვცრა,
განმომცრა,,განმოცრა,განმოგვცრა,,განმოცრა,
განმომცრას,განმოგცრას,განმოცრას,განმოგვცრას,განმოგცრათ,განმოცრას,
,განმოგცრათ,განმოვცრათ,,განმოგცრათ,განმოვცრათ,
განმომცრათ,,განმოცრათ,განმოგვცრათ,,განმოცრათ,
განმომცრან,განმოგცრან,განმოცრან,განმოგვცრან,განმოგცრან,განმოცრან,
Iturm
,მიცრიხარ,მიცრია,,მიცრიხართ,მიცრია,
გიცრივარ,,გიცრია,გიცრივართ,,გიცრია,
ვუცრივარ,უცრიხარ,უცრია,ვუცრივართ,უცრიხართ,უცრია,
,გვიცრიხარ,გვიცრია,,გვიცრიხართ,გვიცრია,
გიცრივართ,,გიცრიათ,გიცრივართ,,გიცრიათ,
ვუცრივარ,უცრიხარ,უცრიათ,ვუცრივართ,უცრიხართ,უცრიათ,
Iturm_prfv
,განმომიცრიხარ,განმომიცრია,,განმომიცრიხართ,განმომიცრია,
განმოგიცრივარ,,განმოგიცრია,განმოგიცრივართ,,განმოგიცრია,
განმოვუცრივარ,განმოუცრიხარ,განმოუცრია,განმოვუცრივართ,განმოუცრიხართ,განმოუცრია,
,განმოგვიცრიხარ,განმოგვიცრია,,განმოგვიცრიხართ,განმოგვიცრია,
განმოგიცრივართ,,განმოგიცრიათ,განმოგიცრივართ,,განმოგიცრიათ,
განმოვუცრივარ,განმოუცრიხარ,განმოუცრიათ,განმოვუცრივართ,განმოუცრიხართ,განმოუცრიათ,
IIturm
,მეცერი,მეცრა,,მეცერით,მეცრა,
გეცერი,,გეცრა,გეცერით,,გეცრა,
ვეცერი,ეცერი,ეცრა,ვეცერით,ეცერით,ეცრა,
,გვეცერი,გვეცრა,,გვეცერით,გვეცრა,
გეცერით,,გეცრათ,გეცერით,,გეცრათ,
ვეცერი,ეცერი,ეცრათ,ვეცერით,ეცერით,ეცრათ,
IIturm_prfv
,განმომეცერი,განმომეცრა,,განმომეცერით,განმომეცრა,
განმოგეცერი,,განმოგეცრა,განმოგეცერით,,განმოგეცრა,
განმოვეცერი,განმოეცერი,განმოეცრა,განმოვეცერით,განმოეცერით,განმოეცრა,
,განმოგვეცერი,განმოგვეცრა,,განმოგვეცერით,განმოგვეცრა,
განმოგეცერით,,განმოგეცრათ,განმოგეცერით,,განმოგეცრათ,
განმოვეცერი,განმოეცერი,განმოეცრათ,განმოვეცერით,განმოეცერით,განმოეცრათ,
IIIsubj
,მეცრა,მეცრას,,მეცრათ,მეცრას,
გეცრა,,გეცრას,გეცრათ,,გეცრას,
ვეცრა,ეცრა,ეცრას,ვეცრათ,ეცრათ,ეცრას,
,გვეცრა,გვეცრას,,გვეცრათ,გვეცრას,
გეცრათ,,გეცრათ,გეცრათ,,გეცრათ,
ვეცრა,ეცრა,ეცრათ,ვეცრათ,ეცრათ,ეცრათ,
IIIsubj_prfv
,განმომეცრა,განმომეცრას,,განმომეცრათ,განმომეცრას,
განმოგეცრა,,განმოგეცრას,განმოგეცრათ,,განმოგეცრას,
განმოვეცრა,განმოეცრა,განმოეცრას,განმოვეცრათ,განმოეცრათ,განმოეცრას,
,განმოგვეცრა,განმოგვეცრას,,განმოგვეცრათ,განმოგვეცრას,
განმოგეცრათ,,განმოგეცრათ,განმოგეცრათ,,განმოგეცრათ,
განმოვეცრა,განმოეცრა,განმოეცრათ,განმოვეცრათ,განმოეცრათ,განმოეცრათ,
