pres
,გწერ,ვწერ,,გწერთ,ვწერ,
მწერ,,წერ,გვწერ,,წერ,
მწერს,გწერს,წერს,გვწერს,გწერთ,წერს,
,გწერთ,ვწერთ,,გწერთ,ვწერთ,
მწერთ,,წერთ,გვწერთ,,წერთ,
მწერენ,გწერენ,წერენ,გვწერენ,გწერენ,წერენ,
fut
,განმოგწერ,განმოვწერ,,განმოგწერთ,განმოვწერ,
განმომწერ,,განმოწერ,განმოგვწერ,,განმოწერ,
განმომწერს,განმოგწერს,განმოწერს,განმოგვწერს,განმოგწერთ,განმოწერს,
,განმოგწერთ,განმოვწერთ,,განმოგწერთ,განმოვწერთ,
განმომწერთ,,განმოწერთ,განმოგვწერთ,,განმოწერთ,
განმომწერენ,განმოგწერენ,განმოწერენ,განმოგვწერენ,განმოგწერენ,განმოწერენ,
impf
,გწერდი,ვწერდი,,გწერდით,ვწერდი,
მწერდი,,წერდი,გვწერდი,,წერდი,
მწერდა,გწერდა,წერდა,გვწერდა,გწერდათ,წერდა,
,გწერდით,ვწერდით,,გწერდით,ვწერდით,
მწერდით,,წერდით,გვწერდით,,წერდით,
მწერდნენ,გწერდნენ,წერდნენ,გვწერდნენ,გწერდნენ,წერდნენ,
cond
,განმოგწერდი,განმოვწერდი,,განმოგწერდით,განმოვწერდი,
განმომწერდი,,განმოწერდი,განმოგვწერდი,,განმოწერდი,
განმომწერდა,განმოგწერდა,განმოწერდა,განმოგვწერდა,განმოგწერდათ,განმოწერდა,
,განმოგწერდით,განმოვწერდით,,განმოგწერდით,განმოვწერდით,
განმომწერდით,,განმოწერდით,განმოგვწერდით,,განმოწერდით,
განმომწერდნენ,განმოგწერდნენ,განმოწერდნენ,განმოგვწერდნენ,განმოგწერდნენ,განმოწერდნენ,
subj
,გწერდე,ვწერდე,,გწერდეთ,ვწერდე,
მწერდე,,წერდე,გვწერდე,,წერდე,
მწერდეს,გწერდეს,წერდეს,გვწერდეს,გწერდეთ,წერდეს,
,გწერდეთ,ვწერდეთ,,გწერდეთ,ვწერდეთ,
მწერდეთ,,წერდეთ,გვწერდეთ,,წერდეთ,
მწერდნენ,გწერდნენ,წერდნენ,გვწერდნენ,გწერდნენ,წერდნენ,
fut_subj
,განმოგწერდე,განმოვწერდე,,განმოგწერდეთ,განმოვწერდე,
განმომწერდე,,განმოწერდე,განმოგვწერდე,,განმოწერდე,
განმომწერდეს,განმოგწერდეს,განმოწერდეს,განმოგვწერდეს,განმოგწერდეთ,განმოწერდეს,
,განმოგწერდეთ,განმოვწერდეთ,,განმოგწერდეთ,განმოვწერდეთ,
განმომწერდეთ,,განმოწერდეთ,განმოგვწერდეთ,,განმოწერდეთ,
განმომწერდნენ,განმოგწერდნენ,განმოწერდნენ,განმოგვწერდნენ,განმოგწერდნენ,განმოწერდნენ,
aor
,გწერე,ვწერე,,გწერეთ,ვწერე,
მწერე,,წერე,გვწერე,,წერე,
მწერა,გწერა,წერა,გვწერა,გწერათ,წერა,
,გწერეთ,ვწერეთ,,გწერეთ,ვწერეთ,
მწერეთ,,წერეთ,გვწერეთ,,წერეთ,
მწერეს,გწერეს,წერეს,გვწერეს,გწერეს,წერეს,
aor_prfv
,განმოგწერე,განმოვწერე,,განმოგწერეთ,განმოვწერე,
განმომწერე,,განმოწერე,განმოგვწერე,,განმოწერე,
განმომწერა,განმოგწერა,განმოწერა,განმოგვწერა,განმოგწერათ,განმოწერა,
,განმოგწერეთ,განმოვწერეთ,,განმოგწერეთ,განმოვწერეთ,
განმომწერეთ,,განმოწერეთ,განმოგვწერეთ,,განმოწერეთ,
განმომწერეს,განმოგწერეს,განმოწერეს,განმოგვწერეს,განმოგწერეს,განმოწერეს,
IIsubj
,გწერო,ვწერო,,გწეროთ,ვწერო,
მწერო,,წერო,გვწერო,,წერო,
მწეროს,გწეროს,წეროს,გვწეროს,გწეროთ,წეროს,
,გწეროთ,ვწეროთ,,გწეროთ,ვწეროთ,
მწეროთ,,წეროთ,გვწეროთ,,წეროთ,
მწერონ,გწერონ,წერონ,გვწერონ,გწერონ,წერონ,
IIsubj_prfv
,განმოგწერო,განმოვწერო,,განმოგწეროთ,განმოვწერო,
განმომწერო,,განმოწერო,განმოგვწერო,,განმოწერო,
განმომწეროს,განმოგწეროს,განმოწეროს,განმოგვწეროს,განმოგწეროთ,განმოწეროს,
,განმოგწეროთ,განმოვწეროთ,,განმოგწეროთ,განმოვწეროთ,
განმომწეროთ,,განმოწეროთ,განმოგვწეროთ,,განმოწეროთ,
განმომწერონ,განმოგწერონ,განმოწერონ,განმოგვწერონ,განმოგწერონ,განმოწერონ,
Iturm
,მიწერიხარ,მიწერია,,მიწერიხართ,მიწერია,
გიწერივარ,,გიწერია,გიწერივართ,,გიწერია,
ვუწერივარ,უწერიხარ,უწერია,ვუწერივართ,უწერიხართ,უწერია,
,გვიწერიხარ,გვიწერია,,გვიწერიხართ,გვიწერია,
გიწერივართ,,გიწერიათ,გიწერივართ,,გიწერიათ,
ვუწერივარ,უწერიხარ,უწერიათ,ვუწერივართ,უწერიხართ,უწერიათ,
Iturm_prfv
,განმომიწერიხარ,განმომიწერია,,განმომიწერიხართ,განმომიწერია,
განმოგიწერივარ,,განმოგიწერია,განმოგიწერივართ,,განმოგიწერია,
განმოვუწერივარ,განმოუწერიხარ,განმოუწერია,განმოვუწერივართ,განმოუწერიხართ,განმოუწერია,
,განმოგვიწერიხარ,განმოგვიწერია,,განმოგვიწერიხართ,განმოგვიწერია,
განმოგიწერივართ,,განმოგიწერიათ,განმოგიწერივართ,,განმოგიწერიათ,
განმოვუწერივარ,განმოუწერიხარ,განმოუწერიათ,განმოვუწერივართ,განმოუწერიხართ,განმოუწერიათ,
IIturm
,მეწერე,მეწერა,,მეწერეთ,მეწერა,
გეწერე,,გეწერა,გეწერეთ,,გეწერა,
