pres
,გჭამ,ვჭამ,,გჭამთ,ვჭამ,
მჭამ,,ჭამ,გვჭამ,,ჭამ,
მჭამს,გჭამს,ჭამს,გვჭამს,გჭამთ,ჭამს,
,გჭამთ,ვჭამთ,,გჭამთ,ვჭამთ,
მჭამთ,,ჭამთ,გვჭამთ,,ჭამთ,
მჭამენ,გჭამენ,ჭამენ,გვჭამენ,გჭამენ,ჭამენ,
fut
,განმოგჭამ,განმოვჭამ,,განმოგჭამთ,განმოვჭამ,
განმომჭამ,,განმოჭამ,განმოგვჭამ,,განმოჭამ,
განმომჭამს,განმოგჭამს,განმოჭამს,განმოგვჭამს,განმოგჭამთ,განმოჭამს,
,განმოგჭამთ,განმოვჭამთ,,განმოგჭამთ,განმოვჭამთ,
განმომჭამთ,,განმოჭამთ,განმოგვჭამთ,,განმოჭამთ,
განმომჭამენ,განმოგჭამენ,განმოჭამენ,განმოგვჭამენ,განმოგჭამენ,განმოჭამენ,
impf
,გჭამდი,ვჭამდი,,გჭამდით,ვჭამდი,
მჭამდი,,ჭამდი,გვჭამდი,,ჭამდი,
მჭამდა,გჭამდა,ჭამდა,გვჭამდა,გჭამდათ,ჭამდა,
,გჭამდით,ვჭამდით,,გჭამდით,ვჭამდით,
მჭამდით,,ჭამდით,გვჭამდით,,ჭამდით,
მჭამდნენ,გჭამდნენ,ჭამდნენ,გვჭამდნენ,გჭამდნენ,ჭამდნენ,
cond
,განმოგჭამდი,განმოვჭამდი,,განმოგჭამდით,განმოვჭამდი,
განმომჭამდი,,განმოჭამდი,განმოგვჭამდი,,განმოჭამდი,
განმომჭამდა,განმოგჭამდა,განმოჭამდა,განმოგვჭამდა,განმოგჭამდათ,განმოჭამდა,
,განმოგჭამდით,განმოვჭამდით,,განმოგჭამდით,განმოვჭამდით,
განმომჭამდით,,განმოჭამდით,განმოგვჭამდით,,განმოჭამდით,
განმომჭამდნენ,განმოგჭამდნენ,განმოჭამდნენ,განმოგვჭამდნენ,განმოგჭამდნენ,განმოჭამდნენ,
subj
,გჭამდე,ვჭამდე,,გჭამდეთ,ვჭამდე,
მჭამდე,,ჭამდე,გვჭამდე,,ჭამდე,
მჭამდეს,გჭამდეს,ჭამდეს,გვჭამდეს,გჭამდეთ,ჭამდეს,
,გჭამდეთ,ვჭამდეთ,,გჭამდეთ,ვჭამდეთ,
მჭამდეთ,,ჭამდეთ,გვჭამდეთ,,ჭამდეთ,
მჭამდნენ,გჭამდნენ,ჭამდნენ,გვჭამდნენ,გჭამდნენ,ჭამდნენ,
fut_subj
,განმოგჭამდე,განმოვჭამდე,,განმოგჭამდეთ,განმოვჭამდე,
განმომჭამდე,,განმოჭამდე,განმოგვჭამდე,,განმოჭამდე,
განმომჭამდეს,განმოგჭამდეს,განმოჭამდეს,განმოგვჭამდეს,განმოგჭამდეთ,განმოჭამდეს,
,განმოგჭამდეთ,განმოვჭამდეთ,,განმოგჭამდეთ,განმოვჭამდეთ,
განმომჭამდეთ,,განმოჭამდეთ,განმოგვჭამდეთ,,განმოჭამდეთ,
განმომჭამდნენ,განმოგჭამდნენ,განმოჭამდნენ,განმოგვჭამდნენ,განმოგჭამდნენ,განმოჭამდნენ,
aor
,გჭამე,ვჭამე,,გჭამეთ,ვჭამე,
მჭამე,,ჭამე,გვჭამე,,ჭამე,
მჭამა,გჭამა,ჭამა,გვჭამა,გჭამათ,ჭამა,
,გჭამეთ,ვჭამეთ,,გჭამეთ,ვჭამეთ,
მჭამეთ,,ჭამეთ,გვჭამეთ,,ჭამეთ,
მჭამეს,გჭამეს,ჭამეს,გვჭამეს,გჭამეს,ჭამეს,
aor_prfv
,განმოგჭამე,განმოვჭამე,,განმოგჭამეთ,განმოვჭამე,
განმომჭამე,,განმოჭამე,განმოგვჭამე,,განმოჭამე,
განმომჭამა,განმოგჭამა,განმოჭამა,განმოგვჭამა,განმოგჭამათ,განმოჭამა,
,განმოგჭამეთ,განმოვჭამეთ,,განმოგჭამეთ,განმოვჭამეთ,
განმომჭამეთ,,განმოჭამეთ,განმოგვჭამეთ,,განმოჭამეთ,
განმომჭამეს,განმოგჭამეს,განმოჭამეს,განმოგვჭამეს,განმოგჭამეს,განმოჭამეს,
IIsubj
,გჭამო,ვჭამო,,გჭამოთ,ვჭამო,
მჭამო,,ჭამო,გვჭამო,,ჭამო,
მჭამოს,გჭამოს,ჭამოს,გვჭამოს,გჭამოთ,ჭამოს,
,გჭამოთ,ვჭამოთ,,გჭამოთ,ვჭამოთ,
მჭამოთ,,ჭამოთ,გვჭამოთ,,ჭამოთ,
მჭამონ,გჭამონ,ჭამონ,გვჭამონ,გჭამონ,ჭამონ,
IIsubj_prfv
,განმოგჭამო,განმოვჭამო,,განმოგჭამოთ,განმოვჭამო,
განმომჭამო,,განმოჭამო,განმოგვჭამო,,განმოჭამო,
განმომჭამოს,განმოგჭამოს,განმოჭამოს,განმოგვჭამოს,განმოგჭამოთ,განმოჭამოს,
,განმოგჭამოთ,განმოვჭამოთ,,განმოგჭამოთ,განმოვჭამოთ,
განმომჭამოთ,,განმოჭამოთ,განმოგვჭამოთ,,განმოჭამოთ,
განმომჭამონ,განმოგჭამონ,განმოჭამონ,განმოგვჭამონ,განმოგჭამონ,განმოჭამონ,
Iturm
,მიჭამიხარ,მიჭამია,,მიჭამიხართ,მიჭამია,
გიჭამივარ,,გიჭამია,გიჭამივართ,,გიჭამია,
ვუჭამივარ,უჭამიხარ,უჭამია,ვუჭამივართ,უჭამიხართ,უჭამია,
,გვიჭამიხარ,გვიჭამია,,გვიჭამიხართ,გვიჭამია,
გიჭამივართ,,გიჭამიათ,გიჭამივართ,,გიჭამიათ,
ვუჭამივარ,უჭამიხარ,უჭამიათ,ვუჭამივართ,უჭამიხართ,უჭამიათ,
Iturm_prfv
,განმომიჭამიხარ,განმომიჭამია,,განმომიჭამიხართ,განმომიჭამია,
განმოგიჭამივარ,,განმოგიჭამია,განმოგიჭამივართ,,განმოგიჭამია,
განმოვუჭამივარ,განმოუჭამიხარ,განმოუჭამია,განმოვუჭამივართ,განმოუჭამიხართ,განმოუჭამია,
,განმოგვიჭამიხარ,განმოგვიჭამია,,განმოგვიჭამიხართ,განმოგვიჭამია,
განმოგიჭამივართ,,განმოგიჭამიათ,განმოგიჭამივართ,,განმოგიჭამიათ,
განმოვუჭამივარ,განმოუჭამიხარ,განმოუჭამიათ,განმოვუჭამივართ,განმოუჭამიხართ,განმოუჭამიათ,
IIturm
,მეჭამე,მეჭამა,,მეჭამეთ,მეჭამა,
გეჭამე,,გეჭამა,გეჭამეთ,,გეჭამა,
ვეჭამე,ეჭამე,ეჭამა,ვეჭამეთ,ეჭამეთ,ეჭამა,
,გვეჭამე,გვეჭამა,,გვეჭამეთ,გვეჭამა,
გეჭამეთ,,გეჭამათ,გეჭამეთ,,გეჭამათ,
ვეჭამე,ეჭამე,ეჭამათ,ვეჭამეთ,ეჭამეთ,ეჭამათ,
IIturm_prfv
,განმომეჭამე,განმომეჭამა,,განმომეჭამეთ,განმომეჭამა,
განმოგეჭამე,,განმოგეჭამა,განმოგეჭამეთ,,განმოგეჭამა,
განმოვეჭამე,განმოეჭამე,განმოეჭამა,განმოვეჭამეთ,განმოეჭამეთ,განმოეჭამა,
,განმოგვეჭამე,განმოგვეჭამა,,განმოგვეჭამეთ,განმოგვეჭამა,
განმოგეჭამეთ,,განმოგეჭამათ,განმოგეჭამეთ,,განმოგეჭამათ,
