pres
,გხატავ,ვხატავ,,გხატავთ,ვხატავ,
მხატავ,,ხატავ,გვხატავ,,ხატავ,
მხატავს,გხატავს,ხატავს,გვხატავს,გხატავთ,ხატავს,
,გხატავთ,ვხატავთ,,გხატავთ,ვხატავთ,
მხატავთ,,ხატავთ,გვხატავთ,,ხატავთ,
მხატავენ,გხატავენ,ხატავენ,გვხატავენ,გხატავენ,ხატავენ,
fut
,განმოგხატავ,განმოვხატავ,,განმოგხატავთ,განმოვხატავ,
განმომხატავ,,განმოხატავ,განმოგვხატავ,,განმოხატავ,
განმომხატავს,განმოგხატავს,განმოხატავს,განმოგვხატავს,განმოგხატავთ,განმოხატავს,
,განმოგხატავთ,განმოვხატავთ,,განმოგხატავთ,განმოვხატავთ,
განმომხატავთ,,განმოხატავთ,განმოგვხატავთ,,განმოხატავთ,
განმომხატავენ,განმოგხატავენ,განმოხატავენ,განმოგვხატავენ,განმოგხატავენ,განმოხატავენ,
impf
,გხატავდი,ვხატავდი,,გხატავდით,ვხატავდი,
მხატავდი,,ხატავდი,გვხატავდი,,ხატავდი,
მხატავდა,გხატავდა,ხატავდა,გვხატავდა,გხატავდათ,ხატავდა,
,გხატავდით,ვხატავდით,,გხატავდით,ვხატავდით,
მხატავდით,,ხატავდით,გვხატავდით,,ხატავდით,
მხატავდნენ,გხატავდნენ,ხატავდნენ,გვხატავდნენ,გხატავდნენ,ხატავდნენ,
cond
,განმოგხატავდი,განმოვხატავდი,,განმოგხატავდით,განმოვხატავდი,
განმომხატავდი,,განმოხატავდი,განმოგვხატავდი,,განმოხატავდი,
განმომხატავდა,განმოგხატავდა,განმოხატავდა,განმოგვხატავდა,განმოგხატავდათ,განმოხატავდა,
,განმოგხატავდით,განმოვხატავდით,,განმოგხატავდით,განმოვხატავდით,
განმომხატავდით,,განმოხატავდით,განმოგვხატავდით,,განმოხატავდით,
განმომხატავდნენ,განმოგხატავდნენ,განმოხატავდნენ,განმოგვხატავდნენ,განმოგხატავდნენ,განმოხატავდნენ,
subj
,გხატავდე,ვხატავდე,,გხატავდეთ,ვხატავდე,
მხატავდე,,ხატავდე,გვხატავდე,,ხატავდე,
მხატავდეს,გხატავდეს,ხატავდეს,გვხატავდეს,გხატავდეთ,ხატავდეს,
,გხატავდეთ,ვხატავდეთ,,გხატავდეთ,ვხატავდეთ,
მხატავდეთ,,ხატავდეთ,გვხატავდეთ,,ხატავდეთ,
მხატავდნენ,გხატავდნენ,ხატავდნენ,გვხატავდნენ,გხატავდნენ,ხატავდნენ,
fut_subj
,განმოგხატავდე,განმოვხატავდე,,განმოგხატავდეთ,განმოვხატავდე,
განმომხატავდე,,განმოხატავდე,განმოგვხატავდე,,განმოხატავდე,
განმომხატავდეს,განმოგხატავდეს,განმოხატავდეს,განმოგვხატავდეს,განმოგხატავდეთ,განმოხატავდეს,
,განმოგხატავდეთ,განმოვხატავდეთ,,განმოგხატავდეთ,განმოვხატავდეთ,
განმომხატავდეთ,,განმოხატავდეთ,განმოგვხატავდეთ,,განმოხატავდეთ,
განმომხატავდნენ,განმოგხატავდნენ,განმოხატავდნენ,განმოგვხატავდნენ,განმოგხატავდნენ,განმოხატავდნენ,
aor
,გხატე,ვხატე,,გხატეთ,ვხატე,
მხატე,,ხატე,გვხატე,,ხატე,
მხატა,გხატა,ხატა,გვხატა,გხატათ,ხატა,
,გხატეთ,ვხატეთ,,გხატეთ,ვხატეთ,
მხატეთ,,ხატეთ,გვხატეთ,,ხატეთ,
მხატეს,გხატეს,ხატეს,გვხატეს,გხატეს,ხატეს,
aor_prfv
,განმოგხატე,განმოვხატე,,განმოგხატეთ,განმოვხატე,
განმომხატე,,განმოხატე,განმოგვხატე,,განმოხატე,
განმომხატა,განმოგხატა,განმოხატა,განმოგვხატა,განმოგხატათ,განმოხატა,
,განმოგხატეთ,განმოვხატეთ,,განმოგხატეთ,განმოვხატეთ,
განმომხატეთ,,განმოხატეთ,განმოგვხატეთ,,განმოხატეთ,
განმომხატეს,განმოგხატეს,განმოხატეს,განმოგვხატეს,განმოგხატეს,განმოხატეს,
IIsubj
,გხატო,ვხატო,,გხატოთ,ვხატო,
მხატო,,ხატო,გვხატო,,ხატო,
მხატოს,გხატოს,ხატოს,გვხატოს,გხატოთ,ხატოს,
,გხატოთ,ვხატოთ,,გხატოთ,ვხატოთ,
მხატოთ,,ხატოთ,გვხატოთ,,ხატოთ,
მხატონ,გხატონ,ხატონ,გვხატონ,გხატონ,ხატონ,
IIsubj_prfv
,განმოგხატო,განმოვხატო,,განმოგხატოთ,განმოვხატო,
განმომხატო,,განმოხატო,განმოგვხატო,,განმოხატო,
განმომხატოს,განმოგხატოს,განმოხატოს,განმოგვხატოს,განმოგხატოთ,განმოხატოს,
,განმოგხატოთ,განმოვხატოთ,,განმოგხატოთ,განმოვხატოთ,
განმომხატოთ,,განმოხატოთ,განმოგვხატოთ,,განმოხატოთ,
განმომხატონ,განმოგხატონ,განმოხატონ,განმოგვხატონ,განმოგხატონ,განმოხატონ,
Iturm
,მიხატიხარ,მიხატია,,მიხატიხართ,მიხატია,
გიხატივარ,,გიხატია,გიხატივართ,,გიხატია,
ვუხატივარ,უხატიხარ,უხატია,ვუხატივართ,უხატიხართ,უხატია,
,გვიხატიხარ,გვიხატია,,გვიხატიხართ,გვიხატია,
გიხატივართ,,გიხატიათ,გიხატივართ,,გიხატიათ,
ვუხატივარ,უხატიხარ,უხატიათ,ვუხატივართ,უხატიხართ,უხატიათ,
Iturm_prfv
,განმომიხატიხარ,განმომიხატია,,განმომიხატიხართ,განმომიხატია,
