fut
,განმოგკირკიტებ,განმოვკირკიტებ,,განმოგკირკიტებთ,განმოვკირკიტებ,
განმომკირკიტებ,,განმოჰკირკიტებ,განმოგვკირკიტებ,,განმოჰკირკიტებ,
განმომკირკიტებს,განმოგკირკიტებს,განმოჰკირკიტებს,განმოგვკირკიტებს,განმოგკირკიტებთ,განმოჰკირკიტებს,
,განმოგკირკიტებთ,განმოვკირკიტებთ,,განმოგკირკიტებთ,განმოვკირკიტებთ,
განმომკირკიტებთ,,განმოჰკირკიტებთ,განმოგვკირკიტებთ,,განმოჰკირკიტებთ,
განმომკირკიტებენ,განმოგკირკიტებენ,განმოჰკირკიტებენ,განმოგვკირკიტებენ,განმოგკირკიტებენ,განმოჰკირკიტებენ,
cond
,განმოგკირკიტებდი,განმოვკირკიტებდი,,განმოგკირკიტებდით,განმოვკირკიტებდი,
განმომკირკიტებდი,,განმოჰკირკიტებდი,განმოგვკირკიტებდი,,განმოჰკირკიტებდი,
განმომკირკიტებდა,განმოგკირკიტებდა,განმოჰკირკიტებდა,განმოგვკირკიტებდა,განმოგკირკიტებდათ,განმოჰკირკიტებდა,
,განმოგკირკიტებდით,განმოვკირკიტებდით,,განმოგკირკიტებდით,განმოვკირკიტებდით,
განმომკირკიტებდით,,განმოჰკირკიტებდით,განმოგვკირკიტებდით,,განმოჰკირკიტებდით,
განმომკირკიტებდნენ,განმოგკირკიტებდნენ,განმოჰკირკიტებდნენ,განმოგვკირკიტებდნენ,განმოგკირკიტებდნენ,განმოჰკირკიტებდნენ,
fut_subj
,განმოგკირკიტებდე,განმოვკირკიტებდე,,განმოგკირკიტებდეთ,განმოვკირკიტებდე,
განმომკირკიტებდე,,განმოჰკირკიტებდე,განმოგვკირკიტებდე,,განმოჰკირკიტებდე,
განმომკირკიტებდეს,განმოგკირკიტებდეს,განმოჰკირკიტებდეს,განმოგვკირკიტებდეს,განმოგკირკიტებდეთ,განმოჰკირკიტებდეს,
,განმოგკირკიტებდეთ,განმოვკირკიტებდეთ,,განმოგკირკიტებდეთ,განმოვკირკიტებდეთ,
განმომკირკიტებდეთ,,განმოჰკირკიტებდეთ,განმოგვკირკიტებდეთ,,განმოჰკირკიტებდეთ,
განმომკირკიტებდნენ,განმოგკირკიტებდნენ,განმოჰკირკიტებდნენ,განმოგვკირკიტებდნენ,განმოგკირკიტებდნენ,განმოჰკირკიტებდნენ,
