fut2
,გათბობ,ვათბობ,,გათბობთ,ვათბობ,
მათბობ,,ათბობ,გვათბობ,,ათბობ,
მათბობს,გათბობს,ათბობს,გვათბობს,გათბობთ,ათბობს,
,გათბობთ,ვათბობთ,,გათბობთ,ვათბობთ,
მათბობთ,,ათბობთ,გვათბობთ,,ათბობთ,
მათბობენ,გათბობენ,ათბობენ,გვათბობენ,გათბობენ,ათბობენ,
fut2_prfv
,გარდაგათბობ,გარდავათბობ,,გარდაგათბობთ,გარდავათბობ,
გარდამათბობ,,გარდაათბობ,გარდაგვათბობ,,გარდაათბობ,
გარდამათბობს,გარდაგათბობს,გარდაათბობს,გარდაგვათბობს,გარდაგათბობთ,გარდაათბობს,
,გარდაგათბობთ,გარდავათბობთ,,გარდაგათბობთ,გარდავათბობთ,
გარდამათბობთ,,გარდაათბობთ,გარდაგვათბობთ,,გარდაათბობთ,
გარდამათბობენ,გარდაგათბობენ,გარდაათბობენ,გარდაგვათბობენ,გარდაგათბობენ,გარდაათბობენ,
cond2
,გათბობდი,ვათბობდი,,გათბობდით,ვათბობდი,
მათბობდი,,ათბობდი,გვათბობდი,,ათბობდი,
მათბობდა,გათბობდა,ათბობდა,გვათბობდა,გათბობდათ,ათბობდა,
,გათბობდით,ვათბობდით,,გათბობდით,ვათბობდით,
მათბობდით,,ათბობდით,გვათბობდით,,ათბობდით,
მათბობდნენ,გათბობდნენ,ათბობდნენ,გვათბობდნენ,გათბობდნენ,ათბობდნენ,
cond2_prfv
,გარდაგათბობდი,გარდავათბობდი,,გარდაგათბობდით,გარდავათბობდი,
გარდამათბობდი,,გარდაათბობდი,გარდაგვათბობდი,,გარდაათბობდი,
გარდამათბობდა,გარდაგათბობდა,გარდაათბობდა,გარდაგვათბობდა,გარდაგათბობდათ,გარდაათბობდა,
,გარდაგათბობდით,გარდავათბობდით,,გარდაგათბობდით,გარდავათბობდით,
გარდამათბობდით,,გარდაათბობდით,გარდაგვათბობდით,,გარდაათბობდით,
გარდამათბობდნენ,გარდაგათბობდნენ,გარდაათბობდნენ,გარდაგვათბობდნენ,გარდაგათბობდნენ,გარდაათბობდნენ,
fut2_subj
,გათბობდე,ვათბობდე,,გათბობდეთ,ვათბობდე,
მათბობდე,,ათბობდე,გვათბობდე,,ათბობდე,
მათბობდეს,გათბობდეს,ათბობდეს,გვათბობდეს,გათბობდეთ,ათბობდეს,
,გათბობდეთ,ვათბობდეთ,,გათბობდეთ,ვათბობდეთ,
მათბობდეთ,,ათბობდეთ,გვათბობდეთ,,ათბობდეთ,
მათბობდნენ,გათბობდნენ,ათბობდნენ,გვათბობდნენ,გათბობდნენ,ათბობდნენ,
fut2_subj_prfv
,გარდაგათბობდე,გარდავათბობდე,,გარდაგათბობდეთ,გარდავათბობდე,
გარდამათბობდე,,გარდაათბობდე,გარდაგვათბობდე,,გარდაათბობდე,
გარდამათბობდეს,გარდაგათბობდეს,გარდაათბობდეს,გარდაგვათბობდეს,გარდაგათბობდეთ,გარდაათბობდეს,
,გარდაგათბობდეთ,გარდავათბობდეთ,,გარდაგათბობდეთ,გარდავათბობდეთ,
გარდამათბობდეთ,,გარდაათბობდეთ,გარდაგვათბობდეთ,,გარდაათბობდეთ,
გარდამათბობდნენ,გარდაგათბობდნენ,გარდაათბობდნენ,გარდაგვათბობდნენ,გარდაგათბობდნენ,გარდაათბობდნენ,
aor2
,გათბე,ვათბე,,გათბეთ,ვათბე,
მათბე,,ათბე,გვათბე,,ათბე,
მათბო,გათბო,ათბო,გვათბო,გათბოთ,ათბო,
,გათბეთ,ვათბეთ,,გათბეთ,ვათბეთ,
მათბეთ,,ათბეთ,გვათბეთ,,ათბეთ,
მათბეს,გათბეს,ათბეს,გვათბეს,გათბეს,ათბეს,
aor2_prfv
,გარდაგათბე,გარდავათბე,,გარდაგათბეთ,გარდავათბე,
გარდამათბე,,გარდაათბე,გარდაგვათბე,,გარდაათბე,
გარდამათბო,გარდაგათბო,გარდაათბო,გარდაგვათბო,გარდაგათბოთ,გარდაათბო,
,გარდაგათბეთ,გარდავათბეთ,,გარდაგათბეთ,გარდავათბეთ,
გარდამათბეთ,,გარდაათბეთ,გარდაგვათბეთ,,გარდაათბეთ,
გარდამათბეს,გარდაგათბეს,გარდაათბეს,გარდაგვათბეს,გარდაგათბეს,გარდაათბეს,
IIsubj2
,გათბო,ვათბო,,გათბოთ,ვათბო,
მათბო,,ათბო,გვათბო,,ათბო,
მათბოს,გათბოს,ათბოს,გვათბოს,გათბოთ,ათბოს,
,გათბოთ,ვათბოთ,,გათბოთ,ვათბოთ,
მათბოთ,,ათბოთ,გვათბოთ,,ათბოთ,
მათბონ,გათბონ,ათბონ,გვათბონ,გათბონ,ათბონ,
IIsubj2_prfv
,გარდაგათბო,გარდავათბო,,გარდაგათბოთ,გარდავათბო,
გარდამათბო,,გარდაათბო,გარდაგვათბო,,გარდაათბო,
გარდამათბოს,გარდაგათბოს,გარდაათბოს,გარდაგვათბოს,გარდაგათბოთ,გარდაათბოს,
,გარდაგათბოთ,გარდავათბოთ,,გარდაგათბოთ,გარდავათბოთ,
გარდამათბოთ,,გარდაათბოთ,გარდაგვათბოთ,,გარდაათბოთ,
გარდამათბონ,გარდაგათბონ,გარდაათბონ,გარდაგვათბონ,გარდაგათბონ,გარდაათბონ,
Iturm
,მითბიხარ,მითბია,,მითბიხართ,მითბია,
გითბივარ,,გითბია,გითბივართ,,გითბია,
ვუთბივარ,უთბიხარ,უთბია,ვუთბივართ,უთბიხართ,უთბია,
,გვითბიხარ,გვითბია,,გვითბიხართ,გვითბია,
გითბივართ,,გითბიათ,გითბივართ,,გითბიათ,
ვუთბივარ,უთბიხარ,უთბიათ,ვუთბივართ,უთბიხართ,უთბიათ,
Iturm_prfv
,გარდამითბიხარ,გარდამითბია,,გარდამითბიხართ,გარდამითბია,
გარდაგითბივარ,,გარდაგითბია,გარდაგითბივართ,,გარდაგითბია,
გარდავუთბივარ,გარდაუთბიხარ,გარდაუთბია,გარდავუთბივართ,გარდაუთბიხართ,გარდაუთბია,
,გარდაგვითბიხარ,გარდაგვითბია,,გარდაგვითბიხართ,გარდაგვითბია,
გარდაგითბივართ,,გარდაგითბიათ,გარდაგითბივართ,,გარდაგითბიათ,
გარდავუთბივარ,გარდაუთბიხარ,გარდაუთბიათ,გარდავუთბივართ,გარდაუთბიხართ,გარდაუთბიათ,
IIturm
,მეთბე,მეთბო,,მეთბეთ,მეთბოთ,
გეთბე,,გეთბო,გეთბეთ,,გეთბოთ,
ვეთბე,ეთბე,ეთბო,ვეთბეთ,ეთბეთ,ეთბოთ,
,გვეთბე,გვეთბო,,გვეთბეთ,გვეთბოთ,
გეთბეთ,,გეთბოთ,გეთბეთ,,გეთბოთ,
ვეთბე,ეთბე,ეთბოთ,ვეთბეთ,ეთბეთ,ეთბოთთ,
IIturm_prfv
,გარდამეთბე,გარდამეთბო,,გარდამეთბეთ,გარდამეთბოთ,
გარდაგეთბე,,გარდაგეთბო,გარდაგეთბეთ,,გარდაგეთბოთ,
გარდავეთბე,გარდაეთბე,გარდაეთბო,გარდავეთბეთ,გარდაეთბეთ,გარდაეთბოთ,
,გარდაგვეთბე,გარდაგვეთბო,,გარდაგვეთბეთ,გარდაგვეთბოთ,
გარდაგეთბეთ,,გარდაგეთბოთ,გარდაგეთბეთ,,გარდაგეთბოთ,
გარდავეთბე,გარდაეთბე,გარდაეთბოთ,გარდავეთბეთ,გარდაეთბეთ,გარდაეთბოთთ,
IIIsubj
,მეთბო,მეთბოს,,მეთბოთ,მეთბოს,
გეთბო,,გეთბოს,გეთბოთ,,გეთბოს,
ვეთბო,ეთბო,ეთბოს,ვეთბოთ,ეთბოთ,ეთბოს,
,გვეთბო,გვეთბოს,,გვეთბოთ,გვეთბოს,
გეთბოთ,,გეთბოთ,გეთბოთ,,გეთბოთ,
ვეთბო,ეთბო,ეთბოთ,ვეთბოთ,ეთბოთ,ეთბოთ,
IIIsubj_prfv
,გარდამეთბო,გარდამეთბოს,,გარდამეთბოთ,გარდამეთბოს,
გარდაგეთბო,,გარდაგეთბოს,გარდაგეთბოთ,,გარდაგეთბოს,
გარდავეთბო,გარდაეთბო,გარდაეთბოს,გარდავეთბოთ,გარდაეთბოთ,გარდაეთბოს,
,გარდაგვეთბო,გარდაგვეთბოს,,გარდაგვეთბოთ,გარდაგვეთბოს,
გარდაგეთბოთ,,გარდაგეთბოთ,გარდაგეთბოთ,,გარდაგეთბოთ,
გარდავეთბო,გარდაეთბო,გარდაეთბოთ,გარდავეთბოთ,გარდაეთბოთ,გარდაეთბოთ,
