fut2
,გაკლებ,ვაკლებ,,გაკლებთ,ვაკლებ,
მაკლებ,,აკლებ,გვაკლებ,,აკლებ,
მაკლებს,გაკლებს,აკლებს,გვაკლებს,გაკლებთ,აკლებს,
,გაკლებთ,ვაკლებთ,,გაკლებთ,ვაკლებთ,
მაკლებთ,,აკლებთ,გვაკლებთ,,აკლებთ,
მაკლებენ,გაკლებენ,აკლებენ,გვაკლებენ,გაკლებენ,აკლებენ,
fut2_prfv
,გარდაგაკლებ,გარდავაკლებ,,გარდაგაკლებთ,გარდავაკლებ,
გარდამაკლებ,,გარდააკლებ,გარდაგვაკლებ,,გარდააკლებ,
გარდამაკლებს,გარდაგაკლებს,გარდააკლებს,გარდაგვაკლებს,გარდაგაკლებთ,გარდააკლებს,
,გარდაგაკლებთ,გარდავაკლებთ,,გარდაგაკლებთ,გარდავაკლებთ,
გარდამაკლებთ,,გარდააკლებთ,გარდაგვაკლებთ,,გარდააკლებთ,
გარდამაკლებენ,გარდაგაკლებენ,გარდააკლებენ,გარდაგვაკლებენ,გარდაგაკლებენ,გარდააკლებენ,
cond2
,გაკლებდი,ვაკლებდი,,გაკლებდით,ვაკლებდი,
მაკლებდი,,აკლებდი,გვაკლებდი,,აკლებდი,
მაკლებდა,გაკლებდა,აკლებდა,გვაკლებდა,გაკლებდათ,აკლებდა,
,გაკლებდით,ვაკლებდით,,გაკლებდით,ვაკლებდით,
მაკლებდით,,აკლებდით,გვაკლებდით,,აკლებდით,
მაკლებდნენ,გაკლებდნენ,აკლებდნენ,გვაკლებდნენ,გაკლებდნენ,აკლებდნენ,
cond2_prfv
,გარდაგაკლებდი,გარდავაკლებდი,,გარდაგაკლებდით,გარდავაკლებდი,
გარდამაკლებდი,,გარდააკლებდი,გარდაგვაკლებდი,,გარდააკლებდი,
გარდამაკლებდა,გარდაგაკლებდა,გარდააკლებდა,გარდაგვაკლებდა,გარდაგაკლებდათ,გარდააკლებდა,
,გარდაგაკლებდით,გარდავაკლებდით,,გარდაგაკლებდით,გარდავაკლებდით,
გარდამაკლებდით,,გარდააკლებდით,გარდაგვაკლებდით,,გარდააკლებდით,
გარდამაკლებდნენ,გარდაგაკლებდნენ,გარდააკლებდნენ,გარდაგვაკლებდნენ,გარდაგაკლებდნენ,გარდააკლებდნენ,
fut2_subj
,გაკლებდე,ვაკლებდე,,გაკლებდეთ,ვაკლებდე,
მაკლებდე,,აკლებდე,გვაკლებდე,,აკლებდე,
მაკლებდეს,გაკლებდეს,აკლებდეს,გვაკლებდეს,გაკლებდეთ,აკლებდეს,
,გაკლებდეთ,ვაკლებდეთ,,გაკლებდეთ,ვაკლებდეთ,
მაკლებდეთ,,აკლებდეთ,გვაკლებდეთ,,აკლებდეთ,
მაკლებდნენ,გაკლებდნენ,აკლებდნენ,გვაკლებდნენ,გაკლებდნენ,აკლებდნენ,
fut2_subj_prfv
,გარდაგაკლებდე,გარდავაკლებდე,,გარდაგაკლებდეთ,გარდავაკლებდე,
გარდამაკლებდე,,გარდააკლებდე,გარდაგვაკლებდე,,გარდააკლებდე,
გარდამაკლებდეს,გარდაგაკლებდეს,გარდააკლებდეს,გარდაგვაკლებდეს,გარდაგაკლებდეთ,გარდააკლებდეს,
,გარდაგაკლებდეთ,გარდავაკლებდეთ,,გარდაგაკლებდეთ,გარდავაკლებდეთ,
გარდამაკლებდეთ,,გარდააკლებდეთ,გარდაგვაკლებდეთ,,გარდააკლებდეთ,
გარდამაკლებდნენ,გარდაგაკლებდნენ,გარდააკლებდნენ,გარდაგვაკლებდნენ,გარდაგაკლებდნენ,გარდააკლებდნენ,
aor2
,გაკელი,ვაკელი,,გაკელით,ვაკელი,
მაკელი,,აკელი,გვაკელი,,აკელი,
მაკლო,გაკლო,აკლო,გვაკლო,გაკლოთ,აკლო,
,გაკელით,ვაკელით,,გაკელით,ვაკელით,
მაკელით,,აკელით,გვაკელით,,აკელით,
მაკლეს,გაკლეს,აკლეს,გვაკლეს,გაკლეს,აკლეს,
aor2_prfv
