fut2
,გარტყამ,ვარტყამ,,გარტყამთ,ვარტყამ,
მარტყამ,,არტყამ,გვარტყამ,,არტყამ,
მარტყამს,გარტყამს,არტყამს,გვარტყამს,გარტყამთ,არტყამს,
,გარტყამთ,ვარტყამთ,,გარტყამთ,ვარტყამთ,
მარტყამთ,,არტყამთ,გვარტყამთ,,არტყამთ,
მარტყამენ,გარტყამენ,არტყამენ,გვარტყამენ,გარტყამენ,არტყამენ,
fut2_prfv
,გარდაგარტყამ,გარდავარტყამ,,გარდაგარტყამთ,გარდავარტყამ,
გარდამარტყამ,,გარდაარტყამ,გარდაგვარტყამ,,გარდაარტყამ,
გარდამარტყამს,გარდაგარტყამს,გარდაარტყამს,გარდაგვარტყამს,გარდაგარტყამთ,გარდაარტყამს,
,გარდაგარტყამთ,გარდავარტყამთ,,გარდაგარტყამთ,გარდავარტყამთ,
გარდამარტყამთ,,გარდაარტყამთ,გარდაგვარტყამთ,,გარდაარტყამთ,
გარდამარტყამენ,გარდაგარტყამენ,გარდაარტყამენ,გარდაგვარტყამენ,გარდაგარტყამენ,გარდაარტყამენ,
cond2
,გარტყამდი,ვარტყამდი,,გარტყამდით,ვარტყამდი,
მარტყამდი,,არტყამდი,გვარტყამდი,,არტყამდი,
მარტყამდა,გარტყამდა,არტყამდა,გვარტყამდა,გარტყამდათ,არტყამდა,
,გარტყამდით,ვარტყამდით,,გარტყამდით,ვარტყამდით,
მარტყამდით,,არტყამდით,გვარტყამდით,,არტყამდით,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
cond2_prfv
,გარდაგარტყამდი,გარდავარტყამდი,,გარდაგარტყამდით,გარდავარტყამდი,
გარდამარტყამდი,,გარდაარტყამდი,გარდაგვარტყამდი,,გარდაარტყამდი,
გარდამარტყამდა,გარდაგარტყამდა,გარდაარტყამდა,გარდაგვარტყამდა,გარდაგარტყამდათ,გარდაარტყამდა,
,გარდაგარტყამდით,გარდავარტყამდით,,გარდაგარტყამდით,გარდავარტყამდით,
გარდამარტყამდით,,გარდაარტყამდით,გარდაგვარტყამდით,,გარდაარტყამდით,
გარდამარტყამდნენ,გარდაგარტყამდნენ,გარდაარტყამდნენ,გარდაგვარტყამდნენ,გარდაგარტყამდნენ,გარდაარტყამდნენ,
fut2_subj
,გარტყამდე,ვარტყამდე,,გარტყამდეთ,ვარტყამდე,
მარტყამდე,,არტყამდე,გვარტყამდე,,არტყამდე,
მარტყამდეს,გარტყამდეს,არტყამდეს,გვარტყამდეს,გარტყამდეთ,არტყამდეს,
,გარტყამდეთ,ვარტყამდეთ,,გარტყამდეთ,ვარტყამდეთ,
მარტყამდეთ,,არტყამდეთ,გვარტყამდეთ,,არტყამდეთ,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
fut2_subj_prfv
,გარდაგარტყამდე,გარდავარტყამდე,,გარდაგარტყამდეთ,გარდავარტყამდე,
გარდამარტყამდე,,გარდაარტყამდე,გარდაგვარტყამდე,,გარდაარტყამდე,
გარდამარტყამდეს,გარდაგარტყამდეს,გარდაარტყამდეს,გარდაგვარტყამდეს,გარდაგარტყამდეთ,გარდაარტყამდეს,
,გარდაგარტყამდეთ,გარდავარტყამდეთ,,გარდაგარტყამდეთ,გარდავარტყამდეთ,
გარდამარტყამდეთ,,გარდაარტყამდეთ,გარდაგვარტყამდეთ,,გარდაარტყამდეთ,
გარდამარტყამდნენ,გარდაგარტყამდნენ,გარდაარტყამდნენ,გარდაგვარტყამდნენ,გარდაგარტყამდნენ,გარდაარტყამდნენ,
aor2
,გარტყი,ვარტყი,,გარტყით,ვარტყი,
მარტყი,,არტყი,გვარტყი,,არტყი,
მარტყა,გარტყა,არტყა,გვარტყა,გარტყათ,არტყა,
,გარტყით,ვარტყით,,გარტყით,ვარტყით,
მარტყით,,არტყით,გვარტყით,,არტყით,
მარტყეს,გარტყეს,არტყეს,გვარტყეს,გარტყეს,არტყეს,
aor2_prfv
,გარდაგარტყი,გარდავარტყი,,გარდაგარტყით,გარდავარტყი,
გარდამარტყი,,გარდაარტყი,გარდაგვარტყი,,გარდაარტყი,
გარდამარტყა,გარდაგარტყა,გარდაარტყა,გარდაგვარტყა,გარდაგარტყათ,გარდაარტყა,
,გარდაგარტყით,გარდავარტყით,,გარდაგარტყით,გარდავარტყით,
გარდამარტყით,,გარდაარტყით,გარდაგვარტყით,,გარდაარტყით,
გარდამარტყეს,გარდაგარტყეს,გარდაარტყეს,გარდაგვარტყეს,გარდაგარტყეს,გარდაარტყეს,
IIsubj2
,გარტყა,ვარტყა,,გარტყათ,ვარტყა,
მარტყა,,არტყა,გვარტყა,,არტყა,
მარტყას,გარტყას,არტყას,გვარტყას,გარტყათ,არტყას,
,გარტყათ,ვარტყათ,,გარტყათ,ვარტყათ,
მარტყათ,,არტყათ,გვარტყათ,,არტყათ,
მარტყან,გარტყან,არტყან,გვარტყან,გარტყან,არტყან,
IIsubj2_prfv
,გარდაგარტყა,გარდავარტყა,,გარდაგარტყათ,გარდავარტყა,
გარდამარტყა,,გარდაარტყა,გარდაგვარტყა,,გარდაარტყა,
გარდამარტყას,გარდაგარტყას,გარდაარტყას,გარდაგვარტყას,გარდაგარტყათ,გარდაარტყას,
,გარდაგარტყათ,გარდავარტყათ,,გარდაგარტყათ,გარდავარტყათ,
გარდამარტყათ,,გარდაარტყათ,გარდაგვარტყათ,,გარდაარტყათ,
გარდამარტყან,გარდაგარტყან,გარდაარტყან,გარდაგვარტყან,გარდაგარტყან,გარდაარტყან,
Iturm
,მირტყიხარ,მირტყია,,მირტყიხართ,მირტყია,
გირტყივარ,,გირტყია,გირტყივართ,,გირტყია,
ვურტყივარ,ურტყიხარ,ურტყია,ვურტყივართ,ურტყიხართ,ურტყია,
,გვირტყიხარ,გვირტყია,,გვირტყიხართ,გვირტყია,
გირტყივართ,,გირტყიათ,გირტყივართ,,გირტყიათ,
ვურტყივარ,ურტყიხარ,ურტყიათ,ვურტყივართ,ურტყიხართ,ურტყიათ,
Iturm_prfv
,გარდამირტყიხარ,გარდამირტყია,,გარდამირტყიხართ,გარდამირტყია,
გარდაგირტყივარ,,გარდაგირტყია,გარდაგირტყივართ,,გარდაგირტყია,
გარდავურტყივარ,გარდაურტყიხარ,გარდაურტყია,გარდავურტყივართ,გარდაურტყიხართ,გარდაურტყია,
,გარდაგვირტყიხარ,გარდაგვირტყია,,გარდაგვირტყიხართ,გარდაგვირტყია,
გარდაგირტყივართ,,გარდაგირტყიათ,გარდაგირტყივართ,,გარდაგირტყიათ,
გარდავურტყივარ,გარდაურტყიხარ,გარდაურტყიათ,გარდავურტყივართ,გარდაურტყიხართ,გარდაურტყიათ,
Iturm_th
,მირტყამხარ,მირტყამს,,მირტყამხართ,მირტყამს,
გირტყამვარ,,გირტყამს,გირტყამვართ,,გირტყამს,
ვურტყამვარ,ურტყამხარ,ურტყამს,ვურტყამვართ,ურტყამხართ,ურტყამს,
,გვირტყამხარ,გვირტყამს,,გვირტყამხართ,გვირტყამს,
გირტყამვართ,,გირტყამთ,გირტყამვართ,,გირტყამთ,
ვურტყამვარ,ურტყამხარ,ურტყამთ,ვურტყამვართ,ურტყამხართ,ურტყამთ,
Iturm_th_prfv
,გარდამირტყამხარ,გარდამირტყამს,,გარდამირტყამხართ,გარდამირტყამს,
გარდაგირტყამვარ,,გარდაგირტყამს,გარდაგირტყამვართ,,გარდაგირტყამს,
გარდავურტყამვარ,გარდაურტყამხარ,გარდაურტყამს,გარდავურტყამვართ,გარდაურტყამხართ,გარდაურტყამს,
,გარდაგვირტყამხარ,გარდაგვირტყამს,,გარდაგვირტყამხართ,გარდაგვირტყამს,
გარდაგირტყამვართ,,გარდაგირტყამთ,გარდაგირტყამვართ,,გარდაგირტყამთ,
გარდავურტყამვარ,გარდაურტყამხარ,გარდაურტყამთ,გარდავურტყამვართ,გარდაურტყამხართ,გარდაურტყამთ,
IIturm
