fut2
,გაქებ,ვაქებ,,გაქებთ,ვაქებ,
მაქებ,,აქებ,გვაქებ,,აქებ,
მაქებს,გაქებს,აქებს,გვაქებს,გაქებთ,აქებს,
,გაქებთ,ვაქებთ,,გაქებთ,ვაქებთ,
მაქებთ,,აქებთ,გვაქებთ,,აქებთ,
მაქებენ,გაქებენ,აქებენ,გვაქებენ,გაქებენ,აქებენ,
fut2_prfv
,გარდაგაქებ,გარდავაქებ,,გარდაგაქებთ,გარდავაქებ,
გარდამაქებ,,გარდააქებ,გარდაგვაქებ,,გარდააქებ,
გარდამაქებს,გარდაგაქებს,გარდააქებს,გარდაგვაქებს,გარდაგაქებთ,გარდააქებს,
,გარდაგაქებთ,გარდავაქებთ,,გარდაგაქებთ,გარდავაქებთ,
გარდამაქებთ,,გარდააქებთ,გარდაგვაქებთ,,გარდააქებთ,
გარდამაქებენ,გარდაგაქებენ,გარდააქებენ,გარდაგვაქებენ,გარდაგაქებენ,გარდააქებენ,
cond2
,გაქებდი,ვაქებდი,,გაქებდით,ვაქებდი,
მაქებდი,,აქებდი,გვაქებდი,,აქებდი,
მაქებდა,გაქებდა,აქებდა,გვაქებდა,გაქებდათ,აქებდა,
,გაქებდით,ვაქებდით,,გაქებდით,ვაქებდით,
მაქებდით,,აქებდით,გვაქებდით,,აქებდით,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
cond2_prfv
,გარდაგაქებდი,გარდავაქებდი,,გარდაგაქებდით,გარდავაქებდი,
გარდამაქებდი,,გარდააქებდი,გარდაგვაქებდი,,გარდააქებდი,
გარდამაქებდა,გარდაგაქებდა,გარდააქებდა,გარდაგვაქებდა,გარდაგაქებდათ,გარდააქებდა,
,გარდაგაქებდით,გარდავაქებდით,,გარდაგაქებდით,გარდავაქებდით,
გარდამაქებდით,,გარდააქებდით,გარდაგვაქებდით,,გარდააქებდით,
გარდამაქებდნენ,გარდაგაქებდნენ,გარდააქებდნენ,გარდაგვაქებდნენ,გარდაგაქებდნენ,გარდააქებდნენ,
fut2_subj
,გაქებდე,ვაქებდე,,გაქებდეთ,ვაქებდე,
მაქებდე,,აქებდე,გვაქებდე,,აქებდე,
მაქებდეს,გაქებდეს,აქებდეს,გვაქებდეს,გაქებდეთ,აქებდეს,
,გაქებდეთ,ვაქებდეთ,,გაქებდეთ,ვაქებდეთ,
მაქებდეთ,,აქებდეთ,გვაქებდეთ,,აქებდეთ,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
fut2_subj_prfv
,გარდაგაქებდე,გარდავაქებდე,,გარდაგაქებდეთ,გარდავაქებდე,
გარდამაქებდე,,გარდააქებდე,გარდაგვაქებდე,,გარდააქებდე,
გარდამაქებდეს,გარდაგაქებდეს,გარდააქებდეს,გარდაგვაქებდეს,გარდაგაქებდეთ,გარდააქებდეს,
,გარდაგაქებდეთ,გარდავაქებდეთ,,გარდაგაქებდეთ,გარდავაქებდეთ,
გარდამაქებდეთ,,გარდააქებდეთ,გარდაგვაქებდეთ,,გარდააქებდეთ,
გარდამაქებდნენ,გარდაგაქებდნენ,გარდააქებდნენ,გარდაგვაქებდნენ,გარდაგაქებდნენ,გარდააქებდნენ,
aor2
,გაქე,ვაქე,,გაქეთ,ვაქე,
მაქე,,აქე,გვაქე,,აქე,
მაქო,გაქო,აქო,გვაქო,გაქოთ,აქო,
,გაქეთ,ვაქეთ,,გაქეთ,ვაქეთ,
მაქეთ,,აქეთ,გვაქეთ,,აქეთ,
მაქეს,გაქეს,აქეს,გვაქეს,გაქეს,აქეს,
aor2_prfv
,გარდაგაქე,გარდავაქე,,გარდაგაქეთ,გარდავაქე,
გარდამაქე,,გარდააქე,გარდაგვაქე,,გარდააქე,
გარდამაქო,გარდაგაქო,გარდააქო,გარდაგვაქო,გარდაგაქოთ,გარდააქო,
,გარდაგაქეთ,გარდავაქეთ,,გარდაგაქეთ,გარდავაქეთ,
გარდამაქეთ,,გარდააქეთ,გარდაგვაქეთ,,გარდააქეთ,
გარდამაქეს,გარდაგაქეს,გარდააქეს,გარდაგვაქეს,გარდაგაქეს,გარდააქეს,
IIsubj2
,გაქო,ვაქო,,გაქოთ,ვაქო,
მაქო,,აქო,გვაქო,,აქო,
მაქოს,გაქოს,აქოს,გვაქოს,გაქოთ,აქოს,
,გაქოთ,ვაქოთ,,გაქოთ,ვაქოთ,
მაქოთ,,აქოთ,გვაქოთ,,აქოთ,
მაქონ,გაქონ,აქონ,გვაქონ,გაქონ,აქონ,
IIsubj2_prfv
,გარდაგაქო,გარდავაქო,,გარდაგაქოთ,გარდავაქო,
გარდამაქო,,გარდააქო,გარდაგვაქო,,გარდააქო,
გარდამაქოს,გარდაგაქოს,გარდააქოს,გარდაგვაქოს,გარდაგაქოთ,გარდააქოს,
,გარდაგაქოთ,გარდავაქოთ,,გარდაგაქოთ,გარდავაქოთ,
გარდამაქოთ,,გარდააქოთ,გარდაგვაქოთ,,გარდააქოთ,
გარდამაქონ,გარდაგაქონ,გარდააქონ,გარდაგვაქონ,გარდაგაქონ,გარდააქონ,
Iturm
,მიქიხარ,მიქია,,მიქიხართ,მიქია,
გიქივარ,,გიქია,გიქივართ,,გიქია,
ვუქივარ,უქიხარ,უქია,ვუქივართ,უქიხართ,უქია,
,გვიქიხარ,გვიქია,,გვიქიხართ,გვიქია,
გიქივართ,,გიქიათ,გიქივართ,,გიქიათ,
ვუქივარ,უქიხარ,უქიათ,ვუქივართ,უქიხართ,უქიათ,
Iturm_prfv
,გარდამიქიხარ,გარდამიქია,,გარდამიქიხართ,გარდამიქია,
გარდაგიქივარ,,გარდაგიქია,გარდაგიქივართ,,გარდაგიქია,
გარდავუქივარ,გარდაუქიხარ,გარდაუქია,გარდავუქივართ,გარდაუქიხართ,გარდაუქია,
,გარდაგვიქიხარ,გარდაგვიქია,,გარდაგვიქიხართ,გარდაგვიქია,
გარდაგიქივართ,,გარდაგიქიათ,გარდაგიქივართ,,გარდაგიქიათ,
გარდავუქივარ,გარდაუქიხარ,გარდაუქიათ,გარდავუქივართ,გარდაუქიხართ,გარდაუქიათ,
IIturm
,მექე,მექო,,მექეთ,მექოთ,
გექე,,გექო,გექეთ,,გექოთ,
ვექე,ექე,ექო,ვექეთ,ექეთ,ექოთ,
,გვექე,გვექო,,გვექეთ,გვექოთ,
გექეთ,,გექოთ,გექეთ,,გექოთ,
ვექე,ექე,ექოთ,ვექეთ,ექეთ,ექოთთ,
IIturm_prfv
,გარდამექე,გარდამექო,,გარდამექეთ,გარდამექოთ,
გარდაგექე,,გარდაგექო,გარდაგექეთ,,გარდაგექოთ,
გარდავექე,გარდაექე,გარდაექო,გარდავექეთ,გარდაექეთ,გარდაექოთ,
,გარდაგვექე,გარდაგვექო,,გარდაგვექეთ,გარდაგვექოთ,
გარდაგექეთ,,გარდაგექოთ,გარდაგექეთ,,გარდაგექოთ,
გარდავექე,გარდაექე,გარდაექოთ,გარდავექეთ,გარდაექეთ,გარდაექოთთ,
IIIsubj
,მექო,მექოს,,მექოთ,მექოს,
გექო,,გექოს,გექოთ,,გექოს,
ვექო,ექო,ექოს,ვექოთ,ექოთ,ექოს,
,გვექო,გვექოს,,გვექოთ,გვექოს,
გექოთ,,გექოთ,გექოთ,,გექოთ,
ვექო,ექო,ექოთ,ვექოთ,ექოთ,ექოთ,
IIIsubj_prfv
,გარდამექო,გარდამექოს,,გარდამექოთ,გარდამექოს,
გარდაგექო,,გარდაგექოს,გარდაგექოთ,,გარდაგექოს,
გარდავექო,გარდაექო,გარდაექოს,გარდავექოთ,გარდაექოთ,გარდაექოს,
,გარდაგვექო,გარდაგვექოს,,გარდაგვექოთ,გარდაგვექოს,
გარდაგექოთ,,გარდაგექოთ,გარდაგექოთ,,გარდაგექოთ,
გარდავექო,გარდაექო,გარდაექოთ,გარდავექოთ,გარდაექოთ,გარდაექოთ,
