fut2
,გაწვენ,ვაწვენ,,გაწვენთ,ვაწვენ,
მაწვენ,,აწვენ,გვაწვენ,,აწვენ,
მაწვენს,გაწვენს,აწვენს,გვაწვენს,გაწვენთ,აწვენს,
,გაწვენთ,ვაწვენთ,,გაწვენთ,ვაწვენთ,
მაწვენთ,,აწვენთ,გვაწვენთ,,აწვენთ,
მაწვენენ,გაწვენენ,აწვენენ,გვაწვენენ,გაწვენენ,აწვენენ,
fut2_prfv
,გარდაგაწვენ,გარდავაწვენ,,გარდაგაწვენთ,გარდავაწვენ,
გარდამაწვენ,,გარდააწვენ,გარდაგვაწვენ,,გარდააწვენ,
გარდამაწვენს,გარდაგაწვენს,გარდააწვენს,გარდაგვაწვენს,გარდაგაწვენთ,გარდააწვენს,
,გარდაგაწვენთ,გარდავაწვენთ,,გარდაგაწვენთ,გარდავაწვენთ,
გარდამაწვენთ,,გარდააწვენთ,გარდაგვაწვენთ,,გარდააწვენთ,
გარდამაწვენენ,გარდაგაწვენენ,გარდააწვენენ,გარდაგვაწვენენ,გარდაგაწვენენ,გარდააწვენენ,
cond2
,გაწვენდი,ვაწვენდი,,გაწვენდით,ვაწვენდი,
მაწვენდი,,აწვენდი,გვაწვენდი,,აწვენდი,
მაწვენდა,გაწვენდა,აწვენდა,გვაწვენდა,გაწვენდათ,აწვენდა,
,გაწვენდით,ვაწვენდით,,გაწვენდით,ვაწვენდით,
მაწვენდით,,აწვენდით,გვაწვენდით,,აწვენდით,
მაწვენდნენ,გაწვენდნენ,აწვენდნენ,გვაწვენდნენ,გაწვენდნენ,აწვენდნენ,
cond2_prfv
,გარდაგაწვენდი,გარდავაწვენდი,,გარდაგაწვენდით,გარდავაწვენდი,
გარდამაწვენდი,,გარდააწვენდი,გარდაგვაწვენდი,,გარდააწვენდი,
გარდამაწვენდა,გარდაგაწვენდა,გარდააწვენდა,გარდაგვაწვენდა,გარდაგაწვენდათ,გარდააწვენდა,
,გარდაგაწვენდით,გარდავაწვენდით,,გარდაგაწვენდით,გარდავაწვენდით,
გარდამაწვენდით,,გარდააწვენდით,გარდაგვაწვენდით,,გარდააწვენდით,
გარდამაწვენდნენ,გარდაგაწვენდნენ,გარდააწვენდნენ,გარდაგვაწვენდნენ,გარდაგაწვენდნენ,გარდააწვენდნენ,
fut2_subj
,გაწვენდე,ვაწვენდე,,გაწვენდეთ,ვაწვენდე,
მაწვენდე,,აწვენდე,გვაწვენდე,,აწვენდე,
მაწვენდეს,გაწვენდეს,აწვენდეს,გვაწვენდეს,გაწვენდეთ,აწვენდეს,
,გაწვენდეთ,ვაწვენდეთ,,გაწვენდეთ,ვაწვენდეთ,
მაწვენდეთ,,აწვენდეთ,გვაწვენდეთ,,აწვენდეთ,
მაწვენდნენ,გაწვენდნენ,აწვენდნენ,გვაწვენდნენ,გაწვენდნენ,აწვენდნენ,
fut2_subj_prfv
,გარდაგაწვენდე,გარდავაწვენდე,,გარდაგაწვენდეთ,გარდავაწვენდე,
გარდამაწვენდე,,გარდააწვენდე,გარდაგვაწვენდე,,გარდააწვენდე,
გარდამაწვენდეს,გარდაგაწვენდეს,გარდააწვენდეს,გარდაგვაწვენდეს,გარდაგაწვენდეთ,გარდააწვენდეს,
,გარდაგაწვენდეთ,გარდავაწვენდეთ,,გარდაგაწვენდეთ,გარდავაწვენდეთ,
გარდამაწვენდეთ,,გარდააწვენდეთ,გარდაგვაწვენდეთ,,გარდააწვენდეთ,
გარდამაწვენდნენ,გარდაგაწვენდნენ,გარდააწვენდნენ,გარდაგვაწვენდნენ,გარდაგაწვენდნენ,გარდააწვენდნენ,
aor2
,გაწვინე,ვაწვინე,,გაწვინეთ,ვაწვინე,
მაწვინე,,აწვინე,გვაწვინე,,აწვინე,
მაწვინა,გაწვინა,აწვინა,გვაწვინა,გაწვინათ,აწვინა,
,გაწვინეთ,ვაწვინეთ,,გაწვინეთ,ვაწვინეთ,
მაწვინეთ,,აწვინეთ,გვაწვინეთ,,აწვინეთ,
მაწვინეს,გაწვინეს,აწვინეს,გვაწვინეს,გაწვინეს,აწვინეს,
aor2_prfv
,გარდაგაწვინე,გარდავაწვინე,,გარდაგაწვინეთ,გარდავაწვინე,
გარდამაწვინე,,გარდააწვინე,გარდაგვაწვინე,,გარდააწვინე,
