pres
,გკრავ,ვკრავ,,გკრავთ,ვკრავ,
მკრავ,,კრავ,გვკრავ,,კრავ,
მკრავს,გკრავს,კრავს,გვკრავს,გკრავთ,კრავს,
,გკრავთ,ვკრავთ,,გკრავთ,ვკრავთ,
მკრავთ,,კრავთ,გვკრავთ,,კრავთ,
მკრავენ,გკრავენ,კრავენ,გვკრავენ,გკრავენ,კრავენ,
fut
,გარდაგკრავ,გარდავკრავ,,გარდაგკრავთ,გარდავკრავ,
გარდამკრავ,,გარდაკრავ,გარდაგვკრავ,,გარდაკრავ,
გარდამკრავს,გარდაგკრავს,გარდაკრავს,გარდაგვკრავს,გარდაგკრავთ,გარდაკრავს,
,გარდაგკრავთ,გარდავკრავთ,,გარდაგკრავთ,გარდავკრავთ,
გარდამკრავთ,,გარდაკრავთ,გარდაგვკრავთ,,გარდაკრავთ,
გარდამკრავენ,გარდაგკრავენ,გარდაკრავენ,გარდაგვკრავენ,გარდაგკრავენ,გარდაკრავენ,
impf
,გკრავდი,ვკრავდი,,გკრავდით,ვკრავდი,
მკრავდი,,კრავდი,გვკრავდი,,კრავდი,
მკრავდა,გკრავდა,კრავდა,გვკრავდა,გკრავდათ,კრავდა,
,გკრავდით,ვკრავდით,,გკრავდით,ვკრავდით,
მკრავდით,,კრავდით,გვკრავდით,,კრავდით,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
cond
,გარდაგკრავდი,გარდავკრავდი,,გარდაგკრავდით,გარდავკრავდი,
გარდამკრავდი,,გარდაკრავდი,გარდაგვკრავდი,,გარდაკრავდი,
გარდამკრავდა,გარდაგკრავდა,გარდაკრავდა,გარდაგვკრავდა,გარდაგკრავდათ,გარდაკრავდა,
,გარდაგკრავდით,გარდავკრავდით,,გარდაგკრავდით,გარდავკრავდით,
გარდამკრავდით,,გარდაკრავდით,გარდაგვკრავდით,,გარდაკრავდით,
გარდამკრავდნენ,გარდაგკრავდნენ,გარდაკრავდნენ,გარდაგვკრავდნენ,გარდაგკრავდნენ,გარდაკრავდნენ,
subj
,გკრავდე,ვკრავდე,,გკრავდეთ,ვკრავდე,
მკრავდე,,კრავდე,გვკრავდე,,კრავდე,
მკრავდეს,გკრავდეს,კრავდეს,გვკრავდეს,გკრავდეთ,კრავდეს,
,გკრავდეთ,ვკრავდეთ,,გკრავდეთ,ვკრავდეთ,
მკრავდეთ,,კრავდეთ,გვკრავდეთ,,კრავდეთ,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
fut_subj
,გარდაგკრავდე,გარდავკრავდე,,გარდაგკრავდეთ,გარდავკრავდე,
გარდამკრავდე,,გარდაკრავდე,გარდაგვკრავდე,,გარდაკრავდე,
გარდამკრავდეს,გარდაგკრავდეს,გარდაკრავდეს,გარდაგვკრავდეს,გარდაგკრავდეთ,გარდაკრავდეს,
,გარდაგკრავდეთ,გარდავკრავდეთ,,გარდაგკრავდეთ,გარდავკრავდეთ,
გარდამკრავდეთ,,გარდაკრავდეთ,გარდაგვკრავდეთ,,გარდაკრავდეთ,
გარდამკრავდნენ,გარდაგკრავდნენ,გარდაკრავდნენ,გარდაგვკრავდნენ,გარდაგკრავდნენ,გარდაკრავდნენ,
aor
