fut2
,გითმენ,ვუთმენ,,გითმენთ,ვუთმენ,
მითმენ,,უთმენ,გვითმენ,,უთმენ,
მითმენს,გითმენს,უთმენს,გვითმენს,გითმენთ,უთმენს,
,გითმენთ,ვუთმენთ,,გითმენთ,ვუთმენთ,
მითმენთ,,უთმენთ,გვითმენთ,,უთმენთ,
მითმენენ,გითმენენ,უთმენენ,გვითმენენ,გითმენენ,უთმენენ,
fut2_prfv
,გარდაგითმენ,გარდავუთმენ,,გარდაგითმენთ,გარდავუთმენ,
გარდამითმენ,,გარდაუთმენ,გარდაგვითმენ,,გარდაუთმენ,
გარდამითმენს,გარდაგითმენს,გარდაუთმენს,გარდაგვითმენს,გარდაგითმენთ,გარდაუთმენს,
,გარდაგითმენთ,გარდავუთმენთ,,გარდაგითმენთ,გარდავუთმენთ,
გარდამითმენთ,,გარდაუთმენთ,გარდაგვითმენთ,,გარდაუთმენთ,
გარდამითმენენ,გარდაგითმენენ,გარდაუთმენენ,გარდაგვითმენენ,გარდაგითმენენ,გარდაუთმენენ,
cond2
,გითმენდი,ვუთმენდი,,გითმენდით,ვუთმენდი,
მითმენდი,,უთმენდი,გვითმენდი,,უთმენდი,
მითმენდა,გითმენდა,უთმენდა,გვითმენდა,გითმენდათ,უთმენდა,
,გითმენდით,ვუთმენდით,,გითმენდით,ვუთმენდით,
მითმენდით,,უთმენდით,გვითმენდით,,უთმენდით,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
cond2_prfv
,გარდაგითმენდი,გარდავუთმენდი,,გარდაგითმენდით,გარდავუთმენდი,
გარდამითმენდი,,გარდაუთმენდი,გარდაგვითმენდი,,გარდაუთმენდი,
გარდამითმენდა,გარდაგითმენდა,გარდაუთმენდა,გარდაგვითმენდა,გარდაგითმენდათ,გარდაუთმენდა,
,გარდაგითმენდით,გარდავუთმენდით,,გარდაგითმენდით,გარდავუთმენდით,
გარდამითმენდით,,გარდაუთმენდით,გარდაგვითმენდით,,გარდაუთმენდით,
გარდამითმენდნენ,გარდაგითმენდნენ,გარდაუთმენდნენ,გარდაგვითმენდნენ,გარდაგითმენდნენ,გარდაუთმენდნენ,
fut2_subj
,გითმენდე,ვუთმენდე,,გითმენდეთ,ვუთმენდე,
მითმენდე,,უთმენდე,გვითმენდე,,უთმენდე,
მითმენდეს,გითმენდეს,უთმენდეს,გვითმენდეს,გითმენდეთ,უთმენდეს,
,გითმენდეთ,ვუთმენდეთ,,გითმენდეთ,ვუთმენდეთ,
მითმენდეთ,,უთმენდეთ,გვითმენდეთ,,უთმენდეთ,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
fut2_subj_prfv
,გარდაგითმენდე,გარდავუთმენდე,,გარდაგითმენდეთ,გარდავუთმენდე,
გარდამითმენდე,,გარდაუთმენდე,გარდაგვითმენდე,,გარდაუთმენდე,
გარდამითმენდეს,გარდაგითმენდეს,გარდაუთმენდეს,გარდაგვითმენდეს,გარდაგითმენდეთ,გარდაუთმენდეს,
,გარდაგითმენდეთ,გარდავუთმენდეთ,,გარდაგითმენდეთ,გარდავუთმენდეთ,
გარდამითმენდეთ,,გარდაუთმენდეთ,გარდაგვითმენდეთ,,გარდაუთმენდეთ,
გარდამითმენდნენ,გარდაგითმენდნენ,გარდაუთმენდნენ,გარდაგვითმენდნენ,გარდაგითმენდნენ,გარდაუთმენდნენ,
aor2
,გითმინე,ვუთმინე,,გითმინეთ,ვუთმინე,
მითმინე,,უთმინე,გვითმინე,,უთმინე,
მითმინა,გითმინა,უთმინა,გვითმინა,გითმინათ,უთმინა,
,გითმინეთ,ვუთმინეთ,,გითმინეთ,ვუთმინეთ,
მითმინეთ,,უთმინეთ,გვითმინეთ,,უთმინეთ,
მითმინეს,გითმინეს,უთმინეს,გვითმინეს,გითმინეს,უთმინეს,
aor2_prfv
,გარდაგითმინე,გარდავუთმინე,,გარდაგითმინეთ,გარდავუთმინე,
გარდამითმინე,,გარდაუთმინე,გარდაგვითმინე,,გარდაუთმინე,
გარდამითმინა,გარდაგითმინა,გარდაუთმინა,გარდაგვითმინა,გარდაგითმინათ,გარდაუთმინა,
,გარდაგითმინეთ,გარდავუთმინეთ,,გარდაგითმინეთ,გარდავუთმინეთ,
გარდამითმინეთ,,გარდაუთმინეთ,გარდაგვითმინეთ,,გარდაუთმინეთ,
გარდამითმინეს,გარდაგითმინეს,გარდაუთმინეს,გარდაგვითმინეს,გარდაგითმინეს,გარდაუთმინეს,
IIsubj2
,გითმინო,ვუთმინო,,გითმინოთ,ვუთმინო,
მითმინო,,უთმინო,გვითმინო,,უთმინო,
მითმინოს,გითმინოს,უთმინოს,გვითმინოს,გითმინოთ,უთმინოს,
,გითმინოთ,ვუთმინოთ,,გითმინოთ,ვუთმინოთ,
მითმინოთ,,უთმინოთ,გვითმინოთ,,უთმინოთ,
მითმინონ,გითმინონ,უთმინონ,გვითმინონ,გითმინონ,უთმინონ,
IIsubj2_prfv
,გარდაგითმინო,გარდავუთმინო,,გარდაგითმინოთ,გარდავუთმინო,
გარდამითმინო,,გარდაუთმინო,გარდაგვითმინო,,გარდაუთმინო,
გარდამითმინოს,გარდაგითმინოს,გარდაუთმინოს,გარდაგვითმინოს,გარდაგითმინოთ,გარდაუთმინოს,
