pres
,გცრი,ვცრი,,გცრით,ვცრი,
მცრი,,ცრი,გვცრი,,ცრი,
მცრის,გცრის,ცრის,გვცრის,გცრით,ცრის,
,გცრით,ვცრით,,გცრით,ვცრით,
მცრით,,ცრით,გვცრით,,ცრით,
მცრიან,გცრიან,ცრიან,გვცრიან,გცრიან,ცრიან,
fut
,გარდაგცრი,გარდავცრი,,გარდაგცრით,გარდავცრი,
გარდამცრი,,გარდაცრი,გარდაგვცრი,,გარდაცრი,
გარდამცრის,გარდაგცრის,გარდაცრის,გარდაგვცრის,გარდაგცრით,გარდაცრის,
,გარდაგცრით,გარდავცრით,,გარდაგცრით,გარდავცრით,
გარდამცრით,,გარდაცრით,გარდაგვცრით,,გარდაცრით,
გარდამცრიან,გარდაგცრიან,გარდაცრიან,გარდაგვცრიან,გარდაგცრიან,გარდაცრიან,
impf
,გცრიდი,ვცრიდი,,გცრიდით,ვცრიდი,
მცრიდი,,ცრიდი,გვცრიდი,,ცრიდი,
მცრიდა,გცრიდა,ცრიდა,გვცრიდა,გცრიდათ,ცრიდა,
,გცრიდით,ვცრიდით,,გცრიდით,ვცრიდით,
მცრიდით,,ცრიდით,გვცრიდით,,ცრიდით,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
cond
,გარდაგცრიდი,გარდავცრიდი,,გარდაგცრიდით,გარდავცრიდი,
გარდამცრიდი,,გარდაცრიდი,გარდაგვცრიდი,,გარდაცრიდი,
გარდამცრიდა,გარდაგცრიდა,გარდაცრიდა,გარდაგვცრიდა,გარდაგცრიდათ,გარდაცრიდა,
,გარდაგცრიდით,გარდავცრიდით,,გარდაგცრიდით,გარდავცრიდით,
გარდამცრიდით,,გარდაცრიდით,გარდაგვცრიდით,,გარდაცრიდით,
გარდამცრიდნენ,გარდაგცრიდნენ,გარდაცრიდნენ,გარდაგვცრიდნენ,გარდაგცრიდნენ,გარდაცრიდნენ,
subj
,გცრიდე,ვცრიდე,,გცრიდეთ,ვცრიდე,
მცრიდე,,ცრიდე,გვცრიდე,,ცრიდე,
მცრიდეს,გცრიდეს,ცრიდეს,გვცრიდეს,გცრიდეთ,ცრიდეს,
,გცრიდეთ,ვცრიდეთ,,გცრიდეთ,ვცრიდეთ,
მცრიდეთ,,ცრიდეთ,გვცრიდეთ,,ცრიდეთ,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
fut_subj
,გარდაგცრიდე,გარდავცრიდე,,გარდაგცრიდეთ,გარდავცრიდე,
გარდამცრიდე,,გარდაცრიდე,გარდაგვცრიდე,,გარდაცრიდე,
გარდამცრიდეს,გარდაგცრიდეს,გარდაცრიდეს,გარდაგვცრიდეს,გარდაგცრიდეთ,გარდაცრიდეს,
,გარდაგცრიდეთ,გარდავცრიდეთ,,გარდაგცრიდეთ,გარდავცრიდეთ,
გარდამცრიდეთ,,გარდაცრიდეთ,გარდაგვცრიდეთ,,გარდაცრიდეთ,
გარდამცრიდნენ,გარდაგცრიდნენ,გარდაცრიდნენ,გარდაგვცრიდნენ,გარდაგცრიდნენ,გარდაცრიდნენ,
aor
,გცერი,ვცერი,,გცერით,ვცერი,
მცერი,,ცერი,გვცერი,,ცერი,
მცრა,გცრა,ცრა,გვცრა,გცრათ,ცრა,
,გცერით,ვცერით,,გცერით,ვცერით,
მცერით,,ცერით,გვცერით,,ცერით,
მცრეს,გცრეს,ცრეს,გვცრეს,გცრეს,ცრეს,
aor_prfv
,გარდაგცერი,გარდავცერი,,გარდაგცერით,გარდავცერი,
გარდამცერი,,გარდაცერი,გარდაგვცერი,,გარდაცერი,
გარდამცრა,გარდაგცრა,გარდაცრა,გარდაგვცრა,გარდაგცრათ,გარდაცრა,
,გარდაგცერით,გარდავცერით,,გარდაგცერით,გარდავცერით,
გარდამცერით,,გარდაცერით,გარდაგვცერით,,გარდაცერით,
გარდამცრეს,გარდაგცრეს,გარდაცრეს,გარდაგვცრეს,გარდაგცრეს,გარდაცრეს,
IIsubj
,გცრა,ვცრა,,გცრათ,ვცრა,
მცრა,,ცრა,გვცრა,,ცრა,
მცრას,გცრას,ცრას,გვცრას,გცრათ,ცრას,
,გცრათ,ვცრათ,,გცრათ,ვცრათ,
მცრათ,,ცრათ,გვცრათ,,ცრათ,
მცრან,გცრან,ცრან,გვცრან,გცრან,ცრან,
IIsubj_prfv
,გარდაგცრა,გარდავცრა,,გარდაგცრათ,გარდავცრა,
გარდამცრა,,გარდაცრა,გარდაგვცრა,,გარდაცრა,
გარდამცრას,გარდაგცრას,გარდაცრას,გარდაგვცრას,გარდაგცრათ,გარდაცრას,
,გარდაგცრათ,გარდავცრათ,,გარდაგცრათ,გარდავცრათ,
გარდამცრათ,,გარდაცრათ,გარდაგვცრათ,,გარდაცრათ,
გარდამცრან,გარდაგცრან,გარდაცრან,გარდაგვცრან,გარდაგცრან,გარდაცრან,
Iturm
,მიცრიხარ,მიცრია,,მიცრიხართ,მიცრია,
გიცრივარ,,გიცრია,გიცრივართ,,გიცრია,
ვუცრივარ,უცრიხარ,უცრია,ვუცრივართ,უცრიხართ,უცრია,
,გვიცრიხარ,გვიცრია,,გვიცრიხართ,გვიცრია,
გიცრივართ,,გიცრიათ,გიცრივართ,,გიცრიათ,
ვუცრივარ,უცრიხარ,უცრიათ,ვუცრივართ,უცრიხართ,უცრიათ,
Iturm_prfv
,გარდამიცრიხარ,გარდამიცრია,,გარდამიცრიხართ,გარდამიცრია,
გარდაგიცრივარ,,გარდაგიცრია,გარდაგიცრივართ,,გარდაგიცრია,
გარდავუცრივარ,გარდაუცრიხარ,გარდაუცრია,გარდავუცრივართ,გარდაუცრიხართ,გარდაუცრია,
,გარდაგვიცრიხარ,გარდაგვიცრია,,გარდაგვიცრიხართ,გარდაგვიცრია,
გარდაგიცრივართ,,გარდაგიცრიათ,გარდაგიცრივართ,,გარდაგიცრიათ,
გარდავუცრივარ,გარდაუცრიხარ,გარდაუცრიათ,გარდავუცრივართ,გარდაუცრიხართ,გარდაუცრიათ,
IIturm
,მეცერი,მეცრა,,მეცერით,მეცრა,
გეცერი,,გეცრა,გეცერით,,გეცრა,
ვეცერი,ეცერი,ეცრა,ვეცერით,ეცერით,ეცრა,
,გვეცერი,გვეცრა,,გვეცერით,გვეცრა,
გეცერით,,გეცრათ,გეცერით,,გეცრათ,
ვეცერი,ეცერი,ეცრათ,ვეცერით,ეცერით,ეცრათ,
IIturm_prfv
,გარდამეცერი,გარდამეცრა,,გარდამეცერით,გარდამეცრა,
გარდაგეცერი,,გარდაგეცრა,გარდაგეცერით,,გარდაგეცრა,
გარდავეცერი,გარდაეცერი,გარდაეცრა,გარდავეცერით,გარდაეცერით,გარდაეცრა,
,გარდაგვეცერი,გარდაგვეცრა,,გარდაგვეცერით,გარდაგვეცრა,
გარდაგეცერით,,გარდაგეცრათ,გარდაგეცერით,,გარდაგეცრათ,
გარდავეცერი,გარდაეცერი,გარდაეცრათ,გარდავეცერით,გარდაეცერით,გარდაეცრათ,
IIIsubj
,მეცრა,მეცრას,,მეცრათ,მეცრას,
გეცრა,,გეცრას,გეცრათ,,გეცრას,
ვეცრა,ეცრა,ეცრას,ვეცრათ,ეცრათ,ეცრას,
,გვეცრა,გვეცრას,,გვეცრათ,გვეცრას,
გეცრათ,,გეცრათ,გეცრათ,,გეცრათ,
ვეცრა,ეცრა,ეცრათ,ვეცრათ,ეცრათ,ეცრათ,
IIIsubj_prfv
,გარდამეცრა,გარდამეცრას,,გარდამეცრათ,გარდამეცრას,
გარდაგეცრა,,გარდაგეცრას,გარდაგეცრათ,,გარდაგეცრას,
გარდავეცრა,გარდაეცრა,გარდაეცრას,გარდავეცრათ,გარდაეცრათ,გარდაეცრას,
,გარდაგვეცრა,გარდაგვეცრას,,გარდაგვეცრათ,გარდაგვეცრას,
გარდაგეცრათ,,გარდაგეცრათ,გარდაგეცრათ,,გარდაგეცრათ,
გარდავეცრა,გარდაეცრა,გარდაეცრათ,გარდავეცრათ,გარდაეცრათ,გარდაეცრათ,
