pres
,გჭამ,ვჭამ,,გჭამთ,ვჭამ,
მჭამ,,ჭამ,გვჭამ,,ჭამ,
მჭამს,გჭამს,ჭამს,გვჭამს,გჭამთ,ჭამს,
,გჭამთ,ვჭამთ,,გჭამთ,ვჭამთ,
მჭამთ,,ჭამთ,გვჭამთ,,ჭამთ,
მჭამენ,გჭამენ,ჭამენ,გვჭამენ,გჭამენ,ჭამენ,
fut
,გარდაგჭამ,გარდავჭამ,,გარდაგჭამთ,გარდავჭამ,
გარდამჭამ,,გარდაჭამ,გარდაგვჭამ,,გარდაჭამ,
გარდამჭამს,გარდაგჭამს,გარდაჭამს,გარდაგვჭამს,გარდაგჭამთ,გარდაჭამს,
,გარდაგჭამთ,გარდავჭამთ,,გარდაგჭამთ,გარდავჭამთ,
გარდამჭამთ,,გარდაჭამთ,გარდაგვჭამთ,,გარდაჭამთ,
გარდამჭამენ,გარდაგჭამენ,გარდაჭამენ,გარდაგვჭამენ,გარდაგჭამენ,გარდაჭამენ,
impf
,გჭამდი,ვჭამდი,,გჭამდით,ვჭამდი,
მჭამდი,,ჭამდი,გვჭამდი,,ჭამდი,
მჭამდა,გჭამდა,ჭამდა,გვჭამდა,გჭამდათ,ჭამდა,
,გჭამდით,ვჭამდით,,გჭამდით,ვჭამდით,
მჭამდით,,ჭამდით,გვჭამდით,,ჭამდით,
მჭამდნენ,გჭამდნენ,ჭამდნენ,გვჭამდნენ,გჭამდნენ,ჭამდნენ,
cond
,გარდაგჭამდი,გარდავჭამდი,,გარდაგჭამდით,გარდავჭამდი,
გარდამჭამდი,,გარდაჭამდი,გარდაგვჭამდი,,გარდაჭამდი,
გარდამჭამდა,გარდაგჭამდა,გარდაჭამდა,გარდაგვჭამდა,გარდაგჭამდათ,გარდაჭამდა,
,გარდაგჭამდით,გარდავჭამდით,,გარდაგჭამდით,გარდავჭამდით,
გარდამჭამდით,,გარდაჭამდით,გარდაგვჭამდით,,გარდაჭამდით,
გარდამჭამდნენ,გარდაგჭამდნენ,გარდაჭამდნენ,გარდაგვჭამდნენ,გარდაგჭამდნენ,გარდაჭამდნენ,
subj
,გჭამდე,ვჭამდე,,გჭამდეთ,ვჭამდე,
მჭამდე,,ჭამდე,გვჭამდე,,ჭამდე,
მჭამდეს,გჭამდეს,ჭამდეს,გვჭამდეს,გჭამდეთ,ჭამდეს,
,გჭამდეთ,ვჭამდეთ,,გჭამდეთ,ვჭამდეთ,
მჭამდეთ,,ჭამდეთ,გვჭამდეთ,,ჭამდეთ,
მჭამდნენ,გჭამდნენ,ჭამდნენ,გვჭამდნენ,გჭამდნენ,ჭამდნენ,
fut_subj
,გარდაგჭამდე,გარდავჭამდე,,გარდაგჭამდეთ,გარდავჭამდე,
გარდამჭამდე,,გარდაჭამდე,გარდაგვჭამდე,,გარდაჭამდე,
გარდამჭამდეს,გარდაგჭამდეს,გარდაჭამდეს,გარდაგვჭამდეს,გარდაგჭამდეთ,გარდაჭამდეს,
,გარდაგჭამდეთ,გარდავჭამდეთ,,გარდაგჭამდეთ,გარდავჭამდეთ,
გარდამჭამდეთ,,გარდაჭამდეთ,გარდაგვჭამდეთ,,გარდაჭამდეთ,
გარდამჭამდნენ,გარდაგჭამდნენ,გარდაჭამდნენ,გარდაგვჭამდნენ,გარდაგჭამდნენ,გარდაჭამდნენ,
aor
,გჭამე,ვჭამე,,გჭამეთ,ვჭამე,
მჭამე,,ჭამე,გვჭამე,,ჭამე,
მჭამა,გჭამა,ჭამა,გვჭამა,გჭამათ,ჭამა,
,გჭამეთ,ვჭამეთ,,გჭამეთ,ვჭამეთ,
მჭამეთ,,ჭამეთ,გვჭამეთ,,ჭამეთ,
მჭამეს,გჭამეს,ჭამეს,გვჭამეს,გჭამეს,ჭამეს,
aor_prfv
,გარდაგჭამე,გარდავჭამე,,გარდაგჭამეთ,გარდავჭამე,
გარდამჭამე,,გარდაჭამე,გარდაგვჭამე,,გარდაჭამე,
გარდამჭამა,გარდაგჭამა,გარდაჭამა,გარდაგვჭამა,გარდაგჭამათ,გარდაჭამა,
,გარდაგჭამეთ,გარდავჭამეთ,,გარდაგჭამეთ,გარდავჭამეთ,
გარდამჭამეთ,,გარდაჭამეთ,გარდაგვჭამეთ,,გარდაჭამეთ,
გარდამჭამეს,გარდაგჭამეს,გარდაჭამეს,გარდაგვჭამეს,გარდაგჭამეს,გარდაჭამეს,
IIsubj
,გჭამო,ვჭამო,,გჭამოთ,ვჭამო,
მჭამო,,ჭამო,გვჭამო,,ჭამო,
მჭამოს,გჭამოს,ჭამოს,გვჭამოს,გჭამოთ,ჭამოს,
,გჭამოთ,ვჭამოთ,,გჭამოთ,ვჭამოთ,
მჭამოთ,,ჭამოთ,გვჭამოთ,,ჭამოთ,
მჭამონ,გჭამონ,ჭამონ,გვჭამონ,გჭამონ,ჭამონ,
IIsubj_prfv
,გარდაგჭამო,გარდავჭამო,,გარდაგჭამოთ,გარდავჭამო,
გარდამჭამო,,გარდაჭამო,გარდაგვჭამო,,გარდაჭამო,
გარდამჭამოს,გარდაგჭამოს,გარდაჭამოს,გარდაგვჭამოს,გარდაგჭამოთ,გარდაჭამოს,
,გარდაგჭამოთ,გარდავჭამოთ,,გარდაგჭამოთ,გარდავჭამოთ,
გარდამჭამოთ,,გარდაჭამოთ,გარდაგვჭამოთ,,გარდაჭამოთ,
გარდამჭამონ,გარდაგჭამონ,გარდაჭამონ,გარდაგვჭამონ,გარდაგჭამონ,გარდაჭამონ,
Iturm
,მიჭამიხარ,მიჭამია,,მიჭამიხართ,მიჭამია,
გიჭამივარ,,გიჭამია,გიჭამივართ,,გიჭამია,
ვუჭამივარ,უჭამიხარ,უჭამია,ვუჭამივართ,უჭამიხართ,უჭამია,
,გვიჭამიხარ,გვიჭამია,,გვიჭამიხართ,გვიჭამია,
გიჭამივართ,,გიჭამიათ,გიჭამივართ,,გიჭამიათ,
ვუჭამივარ,უჭამიხარ,უჭამიათ,ვუჭამივართ,უჭამიხართ,უჭამიათ,
Iturm_prfv
,გარდამიჭამიხარ,გარდამიჭამია,,გარდამიჭამიხართ,გარდამიჭამია,
გარდაგიჭამივარ,,გარდაგიჭამია,გარდაგიჭამივართ,,გარდაგიჭამია,
გარდავუჭამივარ,გარდაუჭამიხარ,გარდაუჭამია,გარდავუჭამივართ,გარდაუჭამიხართ,გარდაუჭამია,
,გარდაგვიჭამიხარ,გარდაგვიჭამია,,გარდაგვიჭამიხართ,გარდაგვიჭამია,
გარდაგიჭამივართ,,გარდაგიჭამიათ,გარდაგიჭამივართ,,გარდაგიჭამიათ,
გარდავუჭამივარ,გარდაუჭამიხარ,გარდაუჭამიათ,გარდავუჭამივართ,გარდაუჭამიხართ,გარდაუჭამიათ,
IIturm
,მეჭამე,მეჭამა,,მეჭამეთ,მეჭამა,
გეჭამე,,გეჭამა,გეჭამეთ,,გეჭამა,
ვეჭამე,ეჭამე,ეჭამა,ვეჭამეთ,ეჭამეთ,ეჭამა,
,გვეჭამე,გვეჭამა,,გვეჭამეთ,გვეჭამა,
გეჭამეთ,,გეჭამათ,გეჭამეთ,,გეჭამათ,
ვეჭამე,ეჭამე,ეჭამათ,ვეჭამეთ,ეჭამეთ,ეჭამათ,
IIturm_prfv
,გარდამეჭამე,გარდამეჭამა,,გარდამეჭამეთ,გარდამეჭამა,
გარდაგეჭამე,,გარდაგეჭამა,გარდაგეჭამეთ,,გარდაგეჭამა,
