fut2
,გაგზავნი,ვაგზავნი,,გაგზავნით,ვაგზავნი,
მაგზავნი,,აგზავნი,გვაგზავნი,,აგზავნი,
მაგზავნის,გაგზავნის,აგზავნის,გვაგზავნის,გაგზავნით,აგზავნის,
,გაგზავნით,ვაგზავნით,,გაგზავნით,ვაგზავნით,
მაგზავნით,,აგზავნით,გვაგზავნით,,აგზავნით,
მაგზავნიან,გაგზავნიან,აგზავნიან,გვაგზავნიან,გაგზავნიან,აგზავნიან,
fut2_prfv
,გარდამოგაგზავნი,გარდამოვაგზავნი,,გარდამოგაგზავნით,გარდამოვაგზავნი,
გარდამომაგზავნი,,გარდამოაგზავნი,გარდამოგვაგზავნი,,გარდამოაგზავნი,
გარდამომაგზავნის,გარდამოგაგზავნის,გარდამოაგზავნის,გარდამოგვაგზავნის,გარდამოგაგზავნით,გარდამოაგზავნის,
,გარდამოგაგზავნით,გარდამოვაგზავნით,,გარდამოგაგზავნით,გარდამოვაგზავნით,
გარდამომაგზავნით,,გარდამოაგზავნით,გარდამოგვაგზავნით,,გარდამოაგზავნით,
გარდამომაგზავნიან,გარდამოგაგზავნიან,გარდამოაგზავნიან,გარდამოგვაგზავნიან,გარდამოგაგზავნიან,გარდამოაგზავნიან,
cond2
,გაგზავნიდი,ვაგზავნიდი,,გაგზავნიდით,ვაგზავნიდი,
მაგზავნიდი,,აგზავნიდი,გვაგზავნიდი,,აგზავნიდი,
მაგზავნიდა,გაგზავნიდა,აგზავნიდა,გვაგზავნიდა,გაგზავნიდათ,აგზავნიდა,
,გაგზავნიდით,ვაგზავნიდით,,გაგზავნიდით,ვაგზავნიდით,
მაგზავნიდით,,აგზავნიდით,გვაგზავნიდით,,აგზავნიდით,
მაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,გვაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,
cond2_prfv
,გარდამოგაგზავნიდი,გარდამოვაგზავნიდი,,გარდამოგაგზავნიდით,გარდამოვაგზავნიდი,
გარდამომაგზავნიდი,,გარდამოაგზავნიდი,გარდამოგვაგზავნიდი,,გარდამოაგზავნიდი,
გარდამომაგზავნიდა,გარდამოგაგზავნიდა,გარდამოაგზავნიდა,გარდამოგვაგზავნიდა,გარდამოგაგზავნიდათ,გარდამოაგზავნიდა,
,გარდამოგაგზავნიდით,გარდამოვაგზავნიდით,,გარდამოგაგზავნიდით,გარდამოვაგზავნიდით,
გარდამომაგზავნიდით,,გარდამოაგზავნიდით,გარდამოგვაგზავნიდით,,გარდამოაგზავნიდით,
გარდამომაგზავნიდნენ,გარდამოგაგზავნიდნენ,გარდამოაგზავნიდნენ,გარდამოგვაგზავნიდნენ,გარდამოგაგზავნიდნენ,გარდამოაგზავნიდნენ,
fut2_subj
,გაგზავნიდე,ვაგზავნიდე,,გაგზავნიდეთ,ვაგზავნიდე,
მაგზავნიდე,,აგზავნიდე,გვაგზავნიდე,,აგზავნიდე,
მაგზავნიდეს,გაგზავნიდეს,აგზავნიდეს,გვაგზავნიდეს,გაგზავნიდეთ,აგზავნიდეს,
,გაგზავნიდეთ,ვაგზავნიდეთ,,გაგზავნიდეთ,ვაგზავნიდეთ,
მაგზავნიდეთ,,აგზავნიდეთ,გვაგზავნიდეთ,,აგზავნიდეთ,
მაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,გვაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,
fut2_subj_prfv
,გარდამოგაგზავნიდე,გარდამოვაგზავნიდე,,გარდამოგაგზავნიდეთ,გარდამოვაგზავნიდე,
გარდამომაგზავნიდე,,გარდამოაგზავნიდე,გარდამოგვაგზავნიდე,,გარდამოაგზავნიდე,
გარდამომაგზავნიდეს,გარდამოგაგზავნიდეს,გარდამოაგზავნიდეს,გარდამოგვაგზავნიდეს,გარდამოგაგზავნიდეთ,გარდამოაგზავნიდეს,
,გარდამოგაგზავნიდეთ,გარდამოვაგზავნიდეთ,,გარდამოგაგზავნიდეთ,გარდამოვაგზავნიდეთ,
გარდამომაგზავნიდეთ,,გარდამოაგზავნიდეთ,გარდამოგვაგზავნიდეთ,,გარდამოაგზავნიდეთ,
გარდამომაგზავნიდნენ,გარდამოგაგზავნიდნენ,გარდამოაგზავნიდნენ,გარდამოგვაგზავნიდნენ,გარდამოგაგზავნიდნენ,გარდამოაგზავნიდნენ,
aor2
,გაგზავნე,ვაგზავნე,,გაგზავნეთ,ვაგზავნე,
მაგზავნე,,აგზავნე,გვაგზავნე,,აგზავნე,
მაგზავნა,გაგზავნა,აგზავნა,გვაგზავნა,გაგზავნათ,აგზავნა,
,გაგზავნეთ,ვაგზავნეთ,,გაგზავნეთ,ვაგზავნეთ,
მაგზავნეთ,,აგზავნეთ,გვაგზავნეთ,,აგზავნეთ,
მაგზავნეს,გაგზავნეს,აგზავნეს,გვაგზავნეს,გაგზავნეს,აგზავნეს,
aor2_prfv
,გარდამოგაგზავნე,გარდამოვაგზავნე,,გარდამოგაგზავნეთ,გარდამოვაგზავნე,
გარდამომაგზავნე,,გარდამოაგზავნე,გარდამოგვაგზავნე,,გარდამოაგზავნე,
გარდამომაგზავნა,გარდამოგაგზავნა,გარდამოაგზავნა,გარდამოგვაგზავნა,გარდამოგაგზავნათ,გარდამოაგზავნა,
,გარდამოგაგზავნეთ,გარდამოვაგზავნეთ,,გარდამოგაგზავნეთ,გარდამოვაგზავნეთ,
გარდამომაგზავნეთ,,გარდამოაგზავნეთ,გარდამოგვაგზავნეთ,,გარდამოაგზავნეთ,
გარდამომაგზავნეს,გარდამოგაგზავნეს,გარდამოაგზავნეს,გარდამოგვაგზავნეს,გარდამოგაგზავნეს,გარდამოაგზავნეს,
IIsubj2
,გაგზავნო,ვაგზავნო,,გაგზავნოთ,ვაგზავნო,
მაგზავნო,,აგზავნო,გვაგზავნო,,აგზავნო,
მაგზავნოს,გაგზავნოს,აგზავნოს,გვაგზავნოს,გაგზავნოთ,აგზავნოს,
,გაგზავნოთ,ვაგზავნოთ,,გაგზავნოთ,ვაგზავნოთ,
მაგზავნოთ,,აგზავნოთ,გვაგზავნოთ,,აგზავნოთ,
მაგზავნონ,გაგზავნონ,აგზავნონ,გვაგზავნონ,გაგზავნონ,აგზავნონ,
IIsubj2_prfv
,გარდამოგაგზავნო,გარდამოვაგზავნო,,გარდამოგაგზავნოთ,გარდამოვაგზავნო,
გარდამომაგზავნო,,გარდამოაგზავნო,გარდამოგვაგზავნო,,გარდამოაგზავნო,
გარდამომაგზავნოს,გარდამოგაგზავნოს,გარდამოაგზავნოს,გარდამოგვაგზავნოს,გარდამოგაგზავნოთ,გარდამოაგზავნოს,
,გარდამოგაგზავნოთ,გარდამოვაგზავნოთ,,გარდამოგაგზავნოთ,გარდამოვაგზავნოთ,
გარდამომაგზავნოთ,,გარდამოაგზავნოთ,გარდამოგვაგზავნოთ,,გარდამოაგზავნოთ,
გარდამომაგზავნონ,გარდამოგაგზავნონ,გარდამოაგზავნონ,გარდამოგვაგზავნონ,გარდამოგაგზავნონ,გარდამოაგზავნონ,
Iturm
,მიგზავნიხარ,მიგზავნია,,მიგზავნიხართ,მიგზავნია,
გიგზავნივარ,,გიგზავნია,გიგზავნივართ,,გიგზავნია,
ვუგზავნივარ,უგზავნიხარ,უგზავნია,ვუგზავნივართ,უგზავნიხართ,უგზავნია,
,გვიგზავნიხარ,გვიგზავნია,,გვიგზავნიხართ,გვიგზავნია,
