fut2
,გარტყამ,ვარტყამ,,გარტყამთ,ვარტყამ,
მარტყამ,,არტყამ,გვარტყამ,,არტყამ,
მარტყამს,გარტყამს,არტყამს,გვარტყამს,გარტყამთ,არტყამს,
,გარტყამთ,ვარტყამთ,,გარტყამთ,ვარტყამთ,
მარტყამთ,,არტყამთ,გვარტყამთ,,არტყამთ,
მარტყამენ,გარტყამენ,არტყამენ,გვარტყამენ,გარტყამენ,არტყამენ,
fut2_prfv
,გარდამოგარტყამ,გარდამოვარტყამ,,გარდამოგარტყამთ,გარდამოვარტყამ,
გარდამომარტყამ,,გარდამოარტყამ,გარდამოგვარტყამ,,გარდამოარტყამ,
გარდამომარტყამს,გარდამოგარტყამს,გარდამოარტყამს,გარდამოგვარტყამს,გარდამოგარტყამთ,გარდამოარტყამს,
,გარდამოგარტყამთ,გარდამოვარტყამთ,,გარდამოგარტყამთ,გარდამოვარტყამთ,
გარდამომარტყამთ,,გარდამოარტყამთ,გარდამოგვარტყამთ,,გარდამოარტყამთ,
გარდამომარტყამენ,გარდამოგარტყამენ,გარდამოარტყამენ,გარდამოგვარტყამენ,გარდამოგარტყამენ,გარდამოარტყამენ,
cond2
,გარტყამდი,ვარტყამდი,,გარტყამდით,ვარტყამდი,
მარტყამდი,,არტყამდი,გვარტყამდი,,არტყამდი,
მარტყამდა,გარტყამდა,არტყამდა,გვარტყამდა,გარტყამდათ,არტყამდა,
,გარტყამდით,ვარტყამდით,,გარტყამდით,ვარტყამდით,
მარტყამდით,,არტყამდით,გვარტყამდით,,არტყამდით,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
cond2_prfv
,გარდამოგარტყამდი,გარდამოვარტყამდი,,გარდამოგარტყამდით,გარდამოვარტყამდი,
გარდამომარტყამდი,,გარდამოარტყამდი,გარდამოგვარტყამდი,,გარდამოარტყამდი,
გარდამომარტყამდა,გარდამოგარტყამდა,გარდამოარტყამდა,გარდამოგვარტყამდა,გარდამოგარტყამდათ,გარდამოარტყამდა,
,გარდამოგარტყამდით,გარდამოვარტყამდით,,გარდამოგარტყამდით,გარდამოვარტყამდით,
გარდამომარტყამდით,,გარდამოარტყამდით,გარდამოგვარტყამდით,,გარდამოარტყამდით,
გარდამომარტყამდნენ,გარდამოგარტყამდნენ,გარდამოარტყამდნენ,გარდამოგვარტყამდნენ,გარდამოგარტყამდნენ,გარდამოარტყამდნენ,
fut2_subj
,გარტყამდე,ვარტყამდე,,გარტყამდეთ,ვარტყამდე,
მარტყამდე,,არტყამდე,გვარტყამდე,,არტყამდე,
მარტყამდეს,გარტყამდეს,არტყამდეს,გვარტყამდეს,გარტყამდეთ,არტყამდეს,
,გარტყამდეთ,ვარტყამდეთ,,გარტყამდეთ,ვარტყამდეთ,
მარტყამდეთ,,არტყამდეთ,გვარტყამდეთ,,არტყამდეთ,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
fut2_subj_prfv
,გარდამოგარტყამდე,გარდამოვარტყამდე,,გარდამოგარტყამდეთ,გარდამოვარტყამდე,
გარდამომარტყამდე,,გარდამოარტყამდე,გარდამოგვარტყამდე,,გარდამოარტყამდე,
გარდამომარტყამდეს,გარდამოგარტყამდეს,გარდამოარტყამდეს,გარდამოგვარტყამდეს,გარდამოგარტყამდეთ,გარდამოარტყამდეს,
,გარდამოგარტყამდეთ,გარდამოვარტყამდეთ,,გარდამოგარტყამდეთ,გარდამოვარტყამდეთ,
გარდამომარტყამდეთ,,გარდამოარტყამდეთ,გარდამოგვარტყამდეთ,,გარდამოარტყამდეთ,
გარდამომარტყამდნენ,გარდამოგარტყამდნენ,გარდამოარტყამდნენ,გარდამოგვარტყამდნენ,გარდამოგარტყამდნენ,გარდამოარტყამდნენ,
aor2
,გარტყი,ვარტყი,,გარტყით,ვარტყი,
მარტყი,,არტყი,გვარტყი,,არტყი,
მარტყა,გარტყა,არტყა,გვარტყა,გარტყათ,არტყა,
,გარტყით,ვარტყით,,გარტყით,ვარტყით,
მარტყით,,არტყით,გვარტყით,,არტყით,
მარტყეს,გარტყეს,არტყეს,გვარტყეს,გარტყეს,არტყეს,
aor2_prfv
,გარდამოგარტყი,გარდამოვარტყი,,გარდამოგარტყით,გარდამოვარტყი,
გარდამომარტყი,,გარდამოარტყი,გარდამოგვარტყი,,გარდამოარტყი,
გარდამომარტყა,გარდამოგარტყა,გარდამოარტყა,გარდამოგვარტყა,გარდამოგარტყათ,გარდამოარტყა,
,გარდამოგარტყით,გარდამოვარტყით,,გარდამოგარტყით,გარდამოვარტყით,
გარდამომარტყით,,გარდამოარტყით,გარდამოგვარტყით,,გარდამოარტყით,
გარდამომარტყეს,გარდამოგარტყეს,გარდამოარტყეს,გარდამოგვარტყეს,გარდამოგარტყეს,გარდამოარტყეს,
IIsubj2
,გარტყა,ვარტყა,,გარტყათ,ვარტყა,
მარტყა,,არტყა,გვარტყა,,არტყა,
მარტყას,გარტყას,არტყას,გვარტყას,გარტყათ,არტყას,
,გარტყათ,ვარტყათ,,გარტყათ,ვარტყათ,
მარტყათ,,არტყათ,გვარტყათ,,არტყათ,
მარტყან,გარტყან,არტყან,გვარტყან,გარტყან,არტყან,
IIsubj2_prfv
,გარდამოგარტყა,გარდამოვარტყა,,გარდამოგარტყათ,გარდამოვარტყა,
გარდამომარტყა,,გარდამოარტყა,გარდამოგვარტყა,,გარდამოარტყა,
გარდამომარტყას,გარდამოგარტყას,გარდამოარტყას,გარდამოგვარტყას,გარდამოგარტყათ,გარდამოარტყას,
,გარდამოგარტყათ,გარდამოვარტყათ,,გარდამოგარტყათ,გარდამოვარტყათ,
გარდამომარტყათ,,გარდამოარტყათ,გარდამოგვარტყათ,,გარდამოარტყათ,
გარდამომარტყან,გარდამოგარტყან,გარდამოარტყან,გარდამოგვარტყან,გარდამოგარტყან,გარდამოარტყან,
Iturm
,მირტყიხარ,მირტყია,,მირტყიხართ,მირტყია,
გირტყივარ,,გირტყია,გირტყივართ,,გირტყია,
ვურტყივარ,ურტყიხარ,ურტყია,ვურტყივართ,ურტყიხართ,ურტყია,
,გვირტყიხარ,გვირტყია,,გვირტყიხართ,გვირტყია,
გირტყივართ,,გირტყიათ,გირტყივართ,,გირტყიათ,
ვურტყივარ,ურტყიხარ,ურტყიათ,ვურტყივართ,ურტყიხართ,ურტყიათ,
Iturm_prfv
,გარდამომირტყიხარ,გარდამომირტყია,,გარდამომირტყიხართ,გარდამომირტყია,
გარდამოგირტყივარ,,გარდამოგირტყია,გარდამოგირტყივართ,,გარდამოგირტყია,
გარდამოვურტყივარ,გარდამოურტყიხარ,გარდამოურტყია,გარდამოვურტყივართ,გარდამოურტყიხართ,გარდამოურტყია,
,გარდამოგვირტყიხარ,გარდამოგვირტყია,,გარდამოგვირტყიხართ,გარდამოგვირტყია,
გარდამოგირტყივართ,,გარდამოგირტყიათ,გარდამოგირტყივართ,,გარდამოგირტყიათ,
გარდამოვურტყივარ,გარდამოურტყიხარ,გარდამოურტყიათ,გარდამოვურტყივართ,გარდამოურტყიხართ,გარდამოურტყიათ,
Iturm_th
,მირტყამხარ,მირტყამს,,მირტყამხართ,მირტყამს,
გირტყამვარ,,გირტყამს,გირტყამვართ,,გირტყამს,
ვურტყამვარ,ურტყამხარ,ურტყამს,ვურტყამვართ,ურტყამხართ,ურტყამს,
,გვირტყამხარ,გვირტყამს,,გვირტყამხართ,გვირტყამს,
გირტყამვართ,,გირტყამთ,გირტყამვართ,,გირტყამთ,
ვურტყამვარ,ურტყამხარ,ურტყამთ,ვურტყამვართ,ურტყამხართ,ურტყამთ,
Iturm_th_prfv
,გარდამომირტყამხარ,გარდამომირტყამს,,გარდამომირტყამხართ,გარდამომირტყამს,
გარდამოგირტყამვარ,,გარდამოგირტყამს,გარდამოგირტყამვართ,,გარდამოგირტყამს,
