fut2
,გაქებ,ვაქებ,,გაქებთ,ვაქებ,
მაქებ,,აქებ,გვაქებ,,აქებ,
მაქებს,გაქებს,აქებს,გვაქებს,გაქებთ,აქებს,
,გაქებთ,ვაქებთ,,გაქებთ,ვაქებთ,
მაქებთ,,აქებთ,გვაქებთ,,აქებთ,
მაქებენ,გაქებენ,აქებენ,გვაქებენ,გაქებენ,აქებენ,
fut2_prfv
,გარდამოგაქებ,გარდამოვაქებ,,გარდამოგაქებთ,გარდამოვაქებ,
გარდამომაქებ,,გარდამოაქებ,გარდამოგვაქებ,,გარდამოაქებ,
გარდამომაქებს,გარდამოგაქებს,გარდამოაქებს,გარდამოგვაქებს,გარდამოგაქებთ,გარდამოაქებს,
,გარდამოგაქებთ,გარდამოვაქებთ,,გარდამოგაქებთ,გარდამოვაქებთ,
გარდამომაქებთ,,გარდამოაქებთ,გარდამოგვაქებთ,,გარდამოაქებთ,
გარდამომაქებენ,გარდამოგაქებენ,გარდამოაქებენ,გარდამოგვაქებენ,გარდამოგაქებენ,გარდამოაქებენ,
cond2
,გაქებდი,ვაქებდი,,გაქებდით,ვაქებდი,
მაქებდი,,აქებდი,გვაქებდი,,აქებდი,
მაქებდა,გაქებდა,აქებდა,გვაქებდა,გაქებდათ,აქებდა,
,გაქებდით,ვაქებდით,,გაქებდით,ვაქებდით,
მაქებდით,,აქებდით,გვაქებდით,,აქებდით,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
cond2_prfv
,გარდამოგაქებდი,გარდამოვაქებდი,,გარდამოგაქებდით,გარდამოვაქებდი,
გარდამომაქებდი,,გარდამოაქებდი,გარდამოგვაქებდი,,გარდამოაქებდი,
გარდამომაქებდა,გარდამოგაქებდა,გარდამოაქებდა,გარდამოგვაქებდა,გარდამოგაქებდათ,გარდამოაქებდა,
,გარდამოგაქებდით,გარდამოვაქებდით,,გარდამოგაქებდით,გარდამოვაქებდით,
გარდამომაქებდით,,გარდამოაქებდით,გარდამოგვაქებდით,,გარდამოაქებდით,
გარდამომაქებდნენ,გარდამოგაქებდნენ,გარდამოაქებდნენ,გარდამოგვაქებდნენ,გარდამოგაქებდნენ,გარდამოაქებდნენ,
fut2_subj
,გაქებდე,ვაქებდე,,გაქებდეთ,ვაქებდე,
მაქებდე,,აქებდე,გვაქებდე,,აქებდე,
მაქებდეს,გაქებდეს,აქებდეს,გვაქებდეს,გაქებდეთ,აქებდეს,
,გაქებდეთ,ვაქებდეთ,,გაქებდეთ,ვაქებდეთ,
მაქებდეთ,,აქებდეთ,გვაქებდეთ,,აქებდეთ,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
fut2_subj_prfv
,გარდამოგაქებდე,გარდამოვაქებდე,,გარდამოგაქებდეთ,გარდამოვაქებდე,
გარდამომაქებდე,,გარდამოაქებდე,გარდამოგვაქებდე,,გარდამოაქებდე,
გარდამომაქებდეს,გარდამოგაქებდეს,გარდამოაქებდეს,გარდამოგვაქებდეს,გარდამოგაქებდეთ,გარდამოაქებდეს,
,გარდამოგაქებდეთ,გარდამოვაქებდეთ,,გარდამოგაქებდეთ,გარდამოვაქებდეთ,
გარდამომაქებდეთ,,გარდამოაქებდეთ,გარდამოგვაქებდეთ,,გარდამოაქებდეთ,
გარდამომაქებდნენ,გარდამოგაქებდნენ,გარდამოაქებდნენ,გარდამოგვაქებდნენ,გარდამოგაქებდნენ,გარდამოაქებდნენ,
aor2
,გაქე,ვაქე,,გაქეთ,ვაქე,
მაქე,,აქე,გვაქე,,აქე,
მაქო,გაქო,აქო,გვაქო,გაქოთ,აქო,
,გაქეთ,ვაქეთ,,გაქეთ,ვაქეთ,
მაქეთ,,აქეთ,გვაქეთ,,აქეთ,
მაქეს,გაქეს,აქეს,გვაქეს,გაქეს,აქეს,
aor2_prfv
,გარდამოგაქე,გარდამოვაქე,,გარდამოგაქეთ,გარდამოვაქე,
გარდამომაქე,,გარდამოაქე,გარდამოგვაქე,,გარდამოაქე,
გარდამომაქო,გარდამოგაქო,გარდამოაქო,გარდამოგვაქო,გარდამოგაქოთ,გარდამოაქო,
,გარდამოგაქეთ,გარდამოვაქეთ,,გარდამოგაქეთ,გარდამოვაქეთ,
გარდამომაქეთ,,გარდამოაქეთ,გარდამოგვაქეთ,,გარდამოაქეთ,
გარდამომაქეს,გარდამოგაქეს,გარდამოაქეს,გარდამოგვაქეს,გარდამოგაქეს,გარდამოაქეს,
IIsubj2
,გაქო,ვაქო,,გაქოთ,ვაქო,
მაქო,,აქო,გვაქო,,აქო,
მაქოს,გაქოს,აქოს,გვაქოს,გაქოთ,აქოს,
,გაქოთ,ვაქოთ,,გაქოთ,ვაქოთ,
მაქოთ,,აქოთ,გვაქოთ,,აქოთ,
მაქონ,გაქონ,აქონ,გვაქონ,გაქონ,აქონ,
IIsubj2_prfv
,გარდამოგაქო,გარდამოვაქო,,გარდამოგაქოთ,გარდამოვაქო,
გარდამომაქო,,გარდამოაქო,გარდამოგვაქო,,გარდამოაქო,
გარდამომაქოს,გარდამოგაქოს,გარდამოაქოს,გარდამოგვაქოს,გარდამოგაქოთ,გარდამოაქოს,
,გარდამოგაქოთ,გარდამოვაქოთ,,გარდამოგაქოთ,გარდამოვაქოთ,
გარდამომაქოთ,,გარდამოაქოთ,გარდამოგვაქოთ,,გარდამოაქოთ,
გარდამომაქონ,გარდამოგაქონ,გარდამოაქონ,გარდამოგვაქონ,გარდამოგაქონ,გარდამოაქონ,
Iturm
,მიქიხარ,მიქია,,მიქიხართ,მიქია,
გიქივარ,,გიქია,გიქივართ,,გიქია,
ვუქივარ,უქიხარ,უქია,ვუქივართ,უქიხართ,უქია,
,გვიქიხარ,გვიქია,,გვიქიხართ,გვიქია,
გიქივართ,,გიქიათ,გიქივართ,,გიქიათ,
ვუქივარ,უქიხარ,უქიათ,ვუქივართ,უქიხართ,უქიათ,
Iturm_prfv
,გარდამომიქიხარ,გარდამომიქია,,გარდამომიქიხართ,გარდამომიქია,
გარდამოგიქივარ,,გარდამოგიქია,გარდამოგიქივართ,,გარდამოგიქია,
გარდამოვუქივარ,გარდამოუქიხარ,გარდამოუქია,გარდამოვუქივართ,გარდამოუქიხართ,გარდამოუქია,
,გარდამოგვიქიხარ,გარდამოგვიქია,,გარდამოგვიქიხართ,გარდამოგვიქია,
გარდამოგიქივართ,,გარდამოგიქიათ,გარდამოგიქივართ,,გარდამოგიქიათ,
გარდამოვუქივარ,გარდამოუქიხარ,გარდამოუქიათ,გარდამოვუქივართ,გარდამოუქიხართ,გარდამოუქიათ,
IIturm
,მექე,მექო,,მექეთ,მექოთ,
გექე,,გექო,გექეთ,,გექოთ,
ვექე,ექე,ექო,ვექეთ,ექეთ,ექოთ,
,გვექე,გვექო,,გვექეთ,გვექოთ,
გექეთ,,გექოთ,გექეთ,,გექოთ,
ვექე,ექე,ექოთ,ვექეთ,ექეთ,ექოთთ,
IIturm_prfv
,გარდამომექე,გარდამომექო,,გარდამომექეთ,გარდამომექოთ,
გარდამოგექე,,გარდამოგექო,გარდამოგექეთ,,გარდამოგექოთ,
გარდამოვექე,გარდამოექე,გარდამოექო,გარდამოვექეთ,გარდამოექეთ,გარდამოექოთ,
,გარდამოგვექე,გარდამოგვექო,,გარდამოგვექეთ,გარდამოგვექოთ,
გარდამოგექეთ,,გარდამოგექოთ,გარდამოგექეთ,,გარდამოგექოთ,
გარდამოვექე,გარდამოექე,გარდამოექოთ,გარდამოვექეთ,გარდამოექეთ,გარდამოექოთთ,
IIIsubj
,მექო,მექოს,,მექოთ,მექოს,
გექო,,გექოს,გექოთ,,გექოს,
ვექო,ექო,ექოს,ვექოთ,ექოთ,ექოს,
,გვექო,გვექოს,,გვექოთ,გვექოს,
გექოთ,,გექოთ,გექოთ,,გექოთ,
ვექო,ექო,ექოთ,ვექოთ,ექოთ,ექოთ,
IIIsubj_prfv
,გარდამომექო,გარდამომექოს,,გარდამომექოთ,გარდამომექოს,
გარდამოგექო,,გარდამოგექოს,გარდამოგექოთ,,გარდამოგექოს,
გარდამოვექო,გარდამოექო,გარდამოექოს,გარდამოვექოთ,გარდამოექოთ,გარდამოექოს,
,გარდამოგვექო,გარდამოგვექოს,,გარდამოგვექოთ,გარდამოგვექოს,
გარდამოგექოთ,,გარდამოგექოთ,გარდამოგექოთ,,გარდამოგექოთ,
გარდამოვექო,გარდამოექო,გარდამოექოთ,გარდამოვექოთ,გარდამოექოთ,გარდამოექოთ,
