fut2
,გაშენებ,ვაშენებ,,გაშენებთ,ვაშენებ,
მაშენებ,,აშენებ,გვაშენებ,,აშენებ,
მაშენებს,გაშენებს,აშენებს,გვაშენებს,გაშენებთ,აშენებს,
,გაშენებთ,ვაშენებთ,,გაშენებთ,ვაშენებთ,
მაშენებთ,,აშენებთ,გვაშენებთ,,აშენებთ,
მაშენებენ,გაშენებენ,აშენებენ,გვაშენებენ,გაშენებენ,აშენებენ,
fut2_prfv
,გარდამოგაშენებ,გარდამოვაშენებ,,გარდამოგაშენებთ,გარდამოვაშენებ,
გარდამომაშენებ,,გარდამოაშენებ,გარდამოგვაშენებ,,გარდამოაშენებ,
გარდამომაშენებს,გარდამოგაშენებს,გარდამოაშენებს,გარდამოგვაშენებს,გარდამოგაშენებთ,გარდამოაშენებს,
,გარდამოგაშენებთ,გარდამოვაშენებთ,,გარდამოგაშენებთ,გარდამოვაშენებთ,
გარდამომაშენებთ,,გარდამოაშენებთ,გარდამოგვაშენებთ,,გარდამოაშენებთ,
გარდამომაშენებენ,გარდამოგაშენებენ,გარდამოაშენებენ,გარდამოგვაშენებენ,გარდამოგაშენებენ,გარდამოაშენებენ,
cond2
,გაშენებდი,ვაშენებდი,,გაშენებდით,ვაშენებდი,
მაშენებდი,,აშენებდი,გვაშენებდი,,აშენებდი,
მაშენებდა,გაშენებდა,აშენებდა,გვაშენებდა,გაშენებდათ,აშენებდა,
,გაშენებდით,ვაშენებდით,,გაშენებდით,ვაშენებდით,
მაშენებდით,,აშენებდით,გვაშენებდით,,აშენებდით,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
cond2_prfv
,გარდამოგაშენებდი,გარდამოვაშენებდი,,გარდამოგაშენებდით,გარდამოვაშენებდი,
გარდამომაშენებდი,,გარდამოაშენებდი,გარდამოგვაშენებდი,,გარდამოაშენებდი,
გარდამომაშენებდა,გარდამოგაშენებდა,გარდამოაშენებდა,გარდამოგვაშენებდა,გარდამოგაშენებდათ,გარდამოაშენებდა,
,გარდამოგაშენებდით,გარდამოვაშენებდით,,გარდამოგაშენებდით,გარდამოვაშენებდით,
გარდამომაშენებდით,,გარდამოაშენებდით,გარდამოგვაშენებდით,,გარდამოაშენებდით,
გარდამომაშენებდნენ,გარდამოგაშენებდნენ,გარდამოაშენებდნენ,გარდამოგვაშენებდნენ,გარდამოგაშენებდნენ,გარდამოაშენებდნენ,
fut2_subj
,გაშენებდე,ვაშენებდე,,გაშენებდეთ,ვაშენებდე,
მაშენებდე,,აშენებდე,გვაშენებდე,,აშენებდე,
მაშენებდეს,გაშენებდეს,აშენებდეს,გვაშენებდეს,გაშენებდეთ,აშენებდეს,
,გაშენებდეთ,ვაშენებდეთ,,გაშენებდეთ,ვაშენებდეთ,
მაშენებდეთ,,აშენებდეთ,გვაშენებდეთ,,აშენებდეთ,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
fut2_subj_prfv
,გარდამოგაშენებდე,გარდამოვაშენებდე,,გარდამოგაშენებდეთ,გარდამოვაშენებდე,
გარდამომაშენებდე,,გარდამოაშენებდე,გარდამოგვაშენებდე,,გარდამოაშენებდე,
გარდამომაშენებდეს,გარდამოგაშენებდეს,გარდამოაშენებდეს,გარდამოგვაშენებდეს,გარდამოგაშენებდეთ,გარდამოაშენებდეს,
,გარდამოგაშენებდეთ,გარდამოვაშენებდეთ,,გარდამოგაშენებდეთ,გარდამოვაშენებდეთ,
გარდამომაშენებდეთ,,გარდამოაშენებდეთ,გარდამოგვაშენებდეთ,,გარდამოაშენებდეთ,
გარდამომაშენებდნენ,გარდამოგაშენებდნენ,გარდამოაშენებდნენ,გარდამოგვაშენებდნენ,გარდამოგაშენებდნენ,გარდამოაშენებდნენ,
aor2
,გაშენე,ვაშენე,,გაშენეთ,ვაშენე,
მაშენე,,აშენე,გვაშენე,,აშენე,
მაშენა,გაშენა,აშენა,გვაშენა,გაშენათ,აშენა,
,გაშენეთ,ვაშენეთ,,გაშენეთ,ვაშენეთ,
მაშენეთ,,აშენეთ,გვაშენეთ,,აშენეთ,
მაშენეს,გაშენეს,აშენეს,გვაშენეს,გაშენეს,აშენეს,
aor2_prfv
,გარდამოგაშენე,გარდამოვაშენე,,გარდამოგაშენეთ,გარდამოვაშენე,
გარდამომაშენე,,გარდამოაშენე,გარდამოგვაშენე,,გარდამოაშენე,
გარდამომაშენა,გარდამოგაშენა,გარდამოაშენა,გარდამოგვაშენა,გარდამოგაშენათ,გარდამოაშენა,
,გარდამოგაშენეთ,გარდამოვაშენეთ,,გარდამოგაშენეთ,გარდამოვაშენეთ,
გარდამომაშენეთ,,გარდამოაშენეთ,გარდამოგვაშენეთ,,გარდამოაშენეთ,
გარდამომაშენეს,გარდამოგაშენეს,გარდამოაშენეს,გარდამოგვაშენეს,გარდამოგაშენეს,გარდამოაშენეს,
IIsubj2
,გაშენო,ვაშენო,,გაშენოთ,ვაშენო,
მაშენო,,აშენო,გვაშენო,,აშენო,
მაშენოს,გაშენოს,აშენოს,გვაშენოს,გაშენოთ,აშენოს,
,გაშენოთ,ვაშენოთ,,გაშენოთ,ვაშენოთ,
მაშენოთ,,აშენოთ,გვაშენოთ,,აშენოთ,
მაშენონ,გაშენონ,აშენონ,გვაშენონ,გაშენონ,აშენონ,
IIsubj2_prfv
,გარდამოგაშენო,გარდამოვაშენო,,გარდამოგაშენოთ,გარდამოვაშენო,
გარდამომაშენო,,გარდამოაშენო,გარდამოგვაშენო,,გარდამოაშენო,
გარდამომაშენოს,გარდამოგაშენოს,გარდამოაშენოს,გარდამოგვაშენოს,გარდამოგაშენოთ,გარდამოაშენოს,
,გარდამოგაშენოთ,გარდამოვაშენოთ,,გარდამოგაშენოთ,გარდამოვაშენოთ,
გარდამომაშენოთ,,გარდამოაშენოთ,გარდამოგვაშენოთ,,გარდამოაშენოთ,
გარდამომაშენონ,გარდამოგაშენონ,გარდამოაშენონ,გარდამოგვაშენონ,გარდამოგაშენონ,გარდამოაშენონ,
Iturm
,მიშენებიხარ,მიშენებია,,მიშენებიხართ,მიშენებია,
გიშენებივარ,,გიშენებია,გიშენებივართ,,გიშენებია,
ვუშენებივარ,უშენებიხარ,უშენებია,ვუშენებივართ,უშენებიხართ,უშენებია,
,გვიშენებიხარ,გვიშენებია,,გვიშენებიხართ,გვიშენებია,
გიშენებივართ,,გიშენებიათ,გიშენებივართ,,გიშენებიათ,
ვუშენებივარ,უშენებიხარ,უშენებიათ,ვუშენებივართ,უშენებიხართ,უშენებიათ,
Iturm_prfv
,გარდამომიშენებიხარ,გარდამომიშენებია,,გარდამომიშენებიხართ,გარდამომიშენებია,
გარდამოგიშენებივარ,,გარდამოგიშენებია,გარდამოგიშენებივართ,,გარდამოგიშენებია,
გარდამოვუშენებივარ,გარდამოუშენებიხარ,გარდამოუშენებია,გარდამოვუშენებივართ,გარდამოუშენებიხართ,გარდამოუშენებია,
,გარდამოგვიშენებიხარ,გარდამოგვიშენებია,,გარდამოგვიშენებიხართ,გარდამოგვიშენებია,
გარდამოგიშენებივართ,,გარდამოგიშენებიათ,გარდამოგიშენებივართ,,გარდამოგიშენებიათ,
გარდამოვუშენებივარ,გარდამოუშენებიხარ,გარდამოუშენებიათ,გარდამოვუშენებივართ,გარდამოუშენებიხართ,გარდამოუშენებიათ,
IIturm
,მეშენებინე,მეშენებინა,,მეშენებინეთ,მეშენებინა,
გეშენებინე,,გეშენებინა,გეშენებინეთ,,გეშენებინა,
ვეშენებინე,ეშენებინე,ეშენებინა,ვეშენებინეთ,ეშენებინეთ,ეშენებინა,
,გვეშენებინე,გვეშენებინა,,გვეშენებინეთ,გვეშენებინა,
გეშენებინეთ,,გეშენებინათ,გეშენებინეთ,,გეშენებინათ,
ვეშენებინე,ეშენებინე,ეშენებინათ,ვეშენებინეთ,ეშენებინეთ,ეშენებინათ,
IIturm_prfv
,გარდამომეშენებინე,გარდამომეშენებინა,,გარდამომეშენებინეთ,გარდამომეშენებინა,
გარდამოგეშენებინე,,გარდამოგეშენებინა,გარდამოგეშენებინეთ,,გარდამოგეშენებინა,
გარდამოვეშენებინე,გარდამოეშენებინე,გარდამოეშენებინა,გარდამოვეშენებინეთ,გარდამოეშენებინეთ,გარდამოეშენებინა,
,გარდამოგვეშენებინე,გარდამოგვეშენებინა,,გარდამოგვეშენებინეთ,გარდამოგვეშენებინა,
გარდამოგეშენებინეთ,,გარდამოგეშენებინათ,გარდამოგეშენებინეთ,,გარდამოგეშენებინათ,
გარდამოვეშენებინე,გარდამოეშენებინე,გარდამოეშენებინათ,გარდამოვეშენებინეთ,გარდამოეშენებინეთ,გარდამოეშენებინათ,
IIIsubj
,მეშენებინო,მეშენებინოს,,მეშენებინოთ,მეშენებინოს,
გეშენებინო,,გეშენებინოს,გეშენებინოთ,,გეშენებინოს,
ვეშენებინო,ეშენებინო,ეშენებინოს,ვეშენებინოთ,ეშენებინოთ,ეშენებინოს,
,გვეშენებინო,გვეშენებინოს,,გვეშენებინოთ,გვეშენებინოს,
გეშენებინოთ,,გეშენებინოთ,გეშენებინოთ,,გეშენებინოთ,
ვეშენებინო,ეშენებინო,ეშენებინოთ,ვეშენებინოთ,ეშენებინოთ,ეშენებინოთ,
IIIsubj_prfv
,გარდამომეშენებინო,გარდამომეშენებინოს,,გარდამომეშენებინოთ,გარდამომეშენებინოს,
გარდამოგეშენებინო,,გარდამოგეშენებინოს,გარდამოგეშენებინოთ,,გარდამოგეშენებინოს,
