fut2
,გაჭერ,ვაჭერ,,გაჭერთ,ვაჭერ,
მაჭერ,,აჭერ,გვაჭერ,,აჭერ,
მაჭერს,გაჭერს,აჭერს,გვაჭერს,გაჭერთ,აჭერს,
,გაჭერთ,ვაჭერთ,,გაჭერთ,ვაჭერთ,
მაჭერთ,,აჭერთ,გვაჭერთ,,აჭერთ,
მაჭერენ,გაჭერენ,აჭერენ,გვაჭერენ,გაჭერენ,აჭერენ,
fut2_prfv
,გარდამოგაჭერ,გარდამოვაჭერ,,გარდამოგაჭერთ,გარდამოვაჭერ,
გარდამომაჭერ,,გარდამოაჭერ,გარდამოგვაჭერ,,გარდამოაჭერ,
გარდამომაჭერს,გარდამოგაჭერს,გარდამოაჭერს,გარდამოგვაჭერს,გარდამოგაჭერთ,გარდამოაჭერს,
,გარდამოგაჭერთ,გარდამოვაჭერთ,,გარდამოგაჭერთ,გარდამოვაჭერთ,
გარდამომაჭერთ,,გარდამოაჭერთ,გარდამოგვაჭერთ,,გარდამოაჭერთ,
გარდამომაჭერენ,გარდამოგაჭერენ,გარდამოაჭერენ,გარდამოგვაჭერენ,გარდამოგაჭერენ,გარდამოაჭერენ,
cond2
,გაჭერდი,ვაჭერდი,,გაჭერდით,ვაჭერდი,
მაჭერდი,,აჭერდი,გვაჭერდი,,აჭერდი,
მაჭერდა,გაჭერდა,აჭერდა,გვაჭერდა,გაჭერდათ,აჭერდა,
,გაჭერდით,ვაჭერდით,,გაჭერდით,ვაჭერდით,
მაჭერდით,,აჭერდით,გვაჭერდით,,აჭერდით,
მაჭერდნენ,გაჭერდნენ,აჭერდნენ,გვაჭერდნენ,გაჭერდნენ,აჭერდნენ,
cond2_prfv
,გარდამოგაჭერდი,გარდამოვაჭერდი,,გარდამოგაჭერდით,გარდამოვაჭერდი,
გარდამომაჭერდი,,გარდამოაჭერდი,გარდამოგვაჭერდი,,გარდამოაჭერდი,
გარდამომაჭერდა,გარდამოგაჭერდა,გარდამოაჭერდა,გარდამოგვაჭერდა,გარდამოგაჭერდათ,გარდამოაჭერდა,
,გარდამოგაჭერდით,გარდამოვაჭერდით,,გარდამოგაჭერდით,გარდამოვაჭერდით,
გარდამომაჭერდით,,გარდამოაჭერდით,გარდამოგვაჭერდით,,გარდამოაჭერდით,
გარდამომაჭერდნენ,გარდამოგაჭერდნენ,გარდამოაჭერდნენ,გარდამოგვაჭერდნენ,გარდამოგაჭერდნენ,გარდამოაჭერდნენ,
fut2_subj
,გაჭერდე,ვაჭერდე,,გაჭერდეთ,ვაჭერდე,
მაჭერდე,,აჭერდე,გვაჭერდე,,აჭერდე,
მაჭერდეს,გაჭერდეს,აჭერდეს,გვაჭერდეს,გაჭერდეთ,აჭერდეს,
,გაჭერდეთ,ვაჭერდეთ,,გაჭერდეთ,ვაჭერდეთ,
მაჭერდეთ,,აჭერდეთ,გვაჭერდეთ,,აჭერდეთ,
მაჭერდნენ,გაჭერდნენ,აჭერდნენ,გვაჭერდნენ,გაჭერდნენ,აჭერდნენ,
fut2_subj_prfv
,გარდამოგაჭერდე,გარდამოვაჭერდე,,გარდამოგაჭერდეთ,გარდამოვაჭერდე,
გარდამომაჭერდე,,გარდამოაჭერდე,გარდამოგვაჭერდე,,გარდამოაჭერდე,
გარდამომაჭერდეს,გარდამოგაჭერდეს,გარდამოაჭერდეს,გარდამოგვაჭერდეს,გარდამოგაჭერდეთ,გარდამოაჭერდეს,
,გარდამოგაჭერდეთ,გარდამოვაჭერდეთ,,გარდამოგაჭერდეთ,გარდამოვაჭერდეთ,
გარდამომაჭერდეთ,,გარდამოაჭერდეთ,გარდამოგვაჭერდეთ,,გარდამოაჭერდეთ,
გარდამომაჭერდნენ,გარდამოგაჭერდნენ,გარდამოაჭერდნენ,გარდამოგვაჭერდნენ,გარდამოგაჭერდნენ,გარდამოაჭერდნენ,
aor2
,გაჭირე,ვაჭირე,,გაჭირეთ,ვაჭირე,
მაჭირე,,აჭირე,გვაჭირე,,აჭირე,
მაჭირა,გაჭირა,აჭირა,გვაჭირა,გაჭირათ,აჭირა,
,გაჭირეთ,ვაჭირეთ,,გაჭირეთ,ვაჭირეთ,
მაჭირეთ,,აჭირეთ,გვაჭირეთ,,აჭირეთ,
მაჭირეს,გაჭირეს,აჭირეს,გვაჭირეს,გაჭირეს,აჭირეს,
aor2_prfv
,გარდამოგაჭირე,გარდამოვაჭირე,,გარდამოგაჭირეთ,გარდამოვაჭირე,
გარდამომაჭირე,,გარდამოაჭირე,გარდამოგვაჭირე,,გარდამოაჭირე,
გარდამომაჭირა,გარდამოგაჭირა,გარდამოაჭირა,გარდამოგვაჭირა,გარდამოგაჭირათ,გარდამოაჭირა,
,გარდამოგაჭირეთ,გარდამოვაჭირეთ,,გარდამოგაჭირეთ,გარდამოვაჭირეთ,
გარდამომაჭირეთ,,გარდამოაჭირეთ,გარდამოგვაჭირეთ,,გარდამოაჭირეთ,
გარდამომაჭირეს,გარდამოგაჭირეს,გარდამოაჭირეს,გარდამოგვაჭირეს,გარდამოგაჭირეს,გარდამოაჭირეს,
IIsubj2
,გაჭირო,ვაჭირო,,გაჭიროთ,ვაჭირო,
მაჭირო,,აჭირო,გვაჭირო,,აჭირო,
მაჭიროს,გაჭიროს,აჭიროს,გვაჭიროს,გაჭიროთ,აჭიროს,
,გაჭიროთ,ვაჭიროთ,,გაჭიროთ,ვაჭიროთ,
მაჭიროთ,,აჭიროთ,გვაჭიროთ,,აჭიროთ,
მაჭირონ,გაჭირონ,აჭირონ,გვაჭირონ,გაჭირონ,აჭირონ,
IIsubj2_prfv
,გარდამოგაჭირო,გარდამოვაჭირო,,გარდამოგაჭიროთ,გარდამოვაჭირო,
გარდამომაჭირო,,გარდამოაჭირო,გარდამოგვაჭირო,,გარდამოაჭირო,
გარდამომაჭიროს,გარდამოგაჭიროს,გარდამოაჭიროს,გარდამოგვაჭიროს,გარდამოგაჭიროთ,გარდამოაჭიროს,
,გარდამოგაჭიროთ,გარდამოვაჭიროთ,,გარდამოგაჭიროთ,გარდამოვაჭიროთ,
გარდამომაჭიროთ,,გარდამოაჭიროთ,გარდამოგვაჭიროთ,,გარდამოაჭიროთ,
გარდამომაჭირონ,გარდამოგაჭირონ,გარდამოაჭირონ,გარდამოგვაჭირონ,გარდამოგაჭირონ,გარდამოაჭირონ,
Iturm
,მიჭერიხარ,მიჭერია,,მიჭერიხართ,მიჭერია,
გიჭერივარ,,გიჭერია,გიჭერივართ,,გიჭერია,
ვუჭერივარ,უჭერიხარ,უჭერია,ვუჭერივართ,უჭერიხართ,უჭერია,
,გვიჭერიხარ,გვიჭერია,,გვიჭერიხართ,გვიჭერია,
გიჭერივართ,,გიჭერიათ,გიჭერივართ,,გიჭერიათ,
ვუჭერივარ,უჭერიხარ,უჭერიათ,ვუჭერივართ,უჭერიხართ,უჭერიათ,
Iturm_prfv
,გარდამომიჭერიხარ,გარდამომიჭერია,,გარდამომიჭერიხართ,გარდამომიჭერია,
გარდამოგიჭერივარ,,გარდამოგიჭერია,გარდამოგიჭერივართ,,გარდამოგიჭერია,
გარდამოვუჭერივარ,გარდამოუჭერიხარ,გარდამოუჭერია,გარდამოვუჭერივართ,გარდამოუჭერიხართ,გარდამოუჭერია,
,გარდამოგვიჭერიხარ,გარდამოგვიჭერია,,გარდამოგვიჭერიხართ,გარდამოგვიჭერია,
გარდამოგიჭერივართ,,გარდამოგიჭერიათ,გარდამოგიჭერივართ,,გარდამოგიჭერიათ,
გარდამოვუჭერივარ,გარდამოუჭერიხარ,გარდამოუჭერიათ,გარდამოვუჭერივართ,გარდამოუჭერიხართ,გარდამოუჭერიათ,
IIturm
,მეჭირე,მეჭირა,,მეჭირეთ,მეჭირა,
გეჭირე,,გეჭირა,გეჭირეთ,,გეჭირა,
ვეჭირე,ეჭირე,ეჭირა,ვეჭირეთ,ეჭირეთ,ეჭირა,
,გვეჭირე,გვეჭირა,,გვეჭირეთ,გვეჭირა,
გეჭირეთ,,გეჭირათ,გეჭირეთ,,გეჭირათ,
ვეჭირე,ეჭირე,ეჭირათ,ვეჭირეთ,ეჭირეთ,ეჭირათ,
IIturm_prfv
,გარდამომეჭირე,გარდამომეჭირა,,გარდამომეჭირეთ,გარდამომეჭირა,
გარდამოგეჭირე,,გარდამოგეჭირა,გარდამოგეჭირეთ,,გარდამოგეჭირა,
გარდამოვეჭირე,გარდამოეჭირე,გარდამოეჭირა,გარდამოვეჭირეთ,გარდამოეჭირეთ,გარდამოეჭირა,
,გარდამოგვეჭირე,გარდამოგვეჭირა,,გარდამოგვეჭირეთ,გარდამოგვეჭირა,
გარდამოგეჭირეთ,,გარდამოგეჭირათ,გარდამოგეჭირეთ,,გარდამოგეჭირათ,
გარდამოვეჭირე,გარდამოეჭირე,გარდამოეჭირათ,გარდამოვეჭირეთ,გარდამოეჭირეთ,გარდამოეჭირათ,
IIIsubj
,მეჭირო,მეჭიროს,,მეჭიროთ,მეჭიროს,
გეჭირო,,გეჭიროს,გეჭიროთ,,გეჭიროს,
ვეჭირო,ეჭირო,ეჭიროს,ვეჭიროთ,ეჭიროთ,ეჭიროს,
,გვეჭირო,გვეჭიროს,,გვეჭიროთ,გვეჭიროს,
გეჭიროთ,,გეჭიროთ,გეჭიროთ,,გეჭიროთ,
ვეჭირო,ეჭირო,ეჭიროთ,ვეჭიროთ,ეჭიროთ,ეჭიროთ,
IIIsubj_prfv
,გარდამომეჭირო,გარდამომეჭიროს,,გარდამომეჭიროთ,გარდამომეჭიროს,
გარდამოგეჭირო,,გარდამოგეჭიროს,გარდამოგეჭიროთ,,გარდამოგეჭიროს,
გარდამოვეჭირო,გარდამოეჭირო,გარდამოეჭიროს,გარდამოვეჭიროთ,გარდამოეჭიროთ,გარდამოეჭიროს,
,გარდამოგვეჭირო,გარდამოგვეჭიროს,,გარდამოგვეჭიროთ,გარდამოგვეჭიროს,
გარდამოგეჭიროთ,,გარდამოგეჭიროთ,გარდამოგეჭიროთ,,გარდამოგეჭიროთ,
გარდამოვეჭირო,გარდამოეჭირო,გარდამოეჭიროთ,გარდამოვეჭიროთ,გარდამოეჭიროთ,გარდამოეჭიროთ,
