fut2
,გინახავ,ვინახავ,,გინახავთ,ვინახავ,
მინახავ,,ინახავ,გვინახავ,,ინახავ,
მინახავს,გინახავს,ინახავს,გვინახავს,გინახავთ,ინახავს,
,გინახავთ,ვინახავთ,,გინახავთ,ვინახავთ,
მინახავთ,,ინახავთ,გვინახავთ,,ინახავთ,
მინახავენ,გინახავენ,ინახავენ,გვინახავენ,გინახავენ,ინახავენ,
fut2_prfv
,გარდამოგინახავ,გარდამოვინახავ,,გარდამოგინახავთ,გარდამოვინახავ,
გარდამომინახავ,,გარდამოინახავ,გარდამოგვინახავ,,გარდამოინახავ,
გარდამომინახავს,გარდამოგინახავს,გარდამოინახავს,გარდამოგვინახავს,გარდამოგინახავთ,გარდამოინახავს,
,გარდამოგინახავთ,გარდამოვინახავთ,,გარდამოგინახავთ,გარდამოვინახავთ,
გარდამომინახავთ,,გარდამოინახავთ,გარდამოგვინახავთ,,გარდამოინახავთ,
გარდამომინახავენ,გარდამოგინახავენ,გარდამოინახავენ,გარდამოგვინახავენ,გარდამოგინახავენ,გარდამოინახავენ,
cond2
,გინახავდი,ვინახავდი,,გინახავდით,ვინახავდი,
მინახავდი,,ინახავდი,გვინახავდი,,ინახავდი,
მინახავდა,გინახავდა,ინახავდა,გვინახავდა,გინახავდათ,ინახავდა,
,გინახავდით,ვინახავდით,,გინახავდით,ვინახავდით,
მინახავდით,,ინახავდით,გვინახავდით,,ინახავდით,
მინახავდნენ,გინახავდნენ,ინახავდნენ,გვინახავდნენ,გინახავდნენ,ინახავდნენ,
cond2_prfv
,გარდამოგინახავდი,გარდამოვინახავდი,,გარდამოგინახავდით,გარდამოვინახავდი,
გარდამომინახავდი,,გარდამოინახავდი,გარდამოგვინახავდი,,გარდამოინახავდი,
გარდამომინახავდა,გარდამოგინახავდა,გარდამოინახავდა,გარდამოგვინახავდა,გარდამოგინახავდათ,გარდამოინახავდა,
,გარდამოგინახავდით,გარდამოვინახავდით,,გარდამოგინახავდით,გარდამოვინახავდით,
გარდამომინახავდით,,გარდამოინახავდით,გარდამოგვინახავდით,,გარდამოინახავდით,
გარდამომინახავდნენ,გარდამოგინახავდნენ,გარდამოინახავდნენ,გარდამოგვინახავდნენ,გარდამოგინახავდნენ,გარდამოინახავდნენ,
fut2_subj
,გინახავდე,ვინახავდე,,გინახავდეთ,ვინახავდე,
მინახავდე,,ინახავდე,გვინახავდე,,ინახავდე,
მინახავდეს,გინახავდეს,ინახავდეს,გვინახავდეს,გინახავდეთ,ინახავდეს,
,გინახავდეთ,ვინახავდეთ,,გინახავდეთ,ვინახავდეთ,
მინახავდეთ,,ინახავდეთ,გვინახავდეთ,,ინახავდეთ,
მინახავდნენ,გინახავდნენ,ინახავდნენ,გვინახავდნენ,გინახავდნენ,ინახავდნენ,
fut2_subj_prfv
,გარდამოგინახავდე,გარდამოვინახავდე,,გარდამოგინახავდეთ,გარდამოვინახავდე,
გარდამომინახავდე,,გარდამოინახავდე,გარდამოგვინახავდე,,გარდამოინახავდე,
გარდამომინახავდეს,გარდამოგინახავდეს,გარდამოინახავდეს,გარდამოგვინახავდეს,გარდამოგინახავდეთ,გარდამოინახავდეს,
,გარდამოგინახავდეთ,გარდამოვინახავდეთ,,გარდამოგინახავდეთ,გარდამოვინახავდეთ,
გარდამომინახავდეთ,,გარდამოინახავდეთ,გარდამოგვინახავდეთ,,გარდამოინახავდეთ,
გარდამომინახავდნენ,გარდამოგინახავდნენ,გარდამოინახავდნენ,გარდამოგვინახავდნენ,გარდამოგინახავდნენ,გარდამოინახავდნენ,
aor2
,გინახე,ვინახე,,გინახეთ,ვინახე,
მინახე,,ინახე,გვინახე,,ინახე,
მინახა,გინახა,ინახა,გვინახა,გინახათ,ინახა,
,გინახეთ,ვინახეთ,,გინახეთ,ვინახეთ,
მინახეთ,,ინახეთ,გვინახეთ,,ინახეთ,
მინახეს,გინახეს,ინახეს,გვინახეს,გინახეს,ინახეს,
aor2_prfv
,გარდამოგინახე,გარდამოვინახე,,გარდამოგინახეთ,გარდამოვინახე,
გარდამომინახე,,გარდამოინახე,გარდამოგვინახე,,გარდამოინახე,
გარდამომინახა,გარდამოგინახა,გარდამოინახა,გარდამოგვინახა,გარდამოგინახათ,გარდამოინახა,
,გარდამოგინახეთ,გარდამოვინახეთ,,გარდამოგინახეთ,გარდამოვინახეთ,
გარდამომინახეთ,,გარდამოინახეთ,გარდამოგვინახეთ,,გარდამოინახეთ,
გარდამომინახეს,გარდამოგინახეს,გარდამოინახეს,გარდამოგვინახეს,გარდამოგინახეს,გარდამოინახეს,
IIsubj2
,გინახო,ვინახო,,გინახოთ,ვინახო,
მინახო,,ინახო,გვინახო,,ინახო,
მინახოს,გინახოს,ინახოს,გვინახოს,გინახოთ,ინახოს,
,გინახოთ,ვინახოთ,,გინახოთ,ვინახოთ,
მინახოთ,,ინახოთ,გვინახოთ,,ინახოთ,
მინახონ,გინახონ,ინახონ,გვინახონ,გინახონ,ინახონ,
IIsubj2_prfv
,გარდამოგინახო,გარდამოვინახო,,გარდამოგინახოთ,გარდამოვინახო,
გარდამომინახო,,გარდამოინახო,გარდამოგვინახო,,გარდამოინახო,
გარდამომინახოს,გარდამოგინახოს,გარდამოინახოს,გარდამოგვინახოს,გარდამოგინახოთ,გარდამოინახოს,
,გარდამოგინახოთ,გარდამოვინახოთ,,გარდამოგინახოთ,გარდამოვინახოთ,
გარდამომინახოთ,,გარდამოინახოთ,გარდამოგვინახოთ,,გარდამოინახოთ,
გარდამომინახონ,გარდამოგინახონ,გარდამოინახონ,გარდამოგვინახონ,გარდამოგინახონ,გარდამოინახონ,
Iturm
,მინახიხარ,მინახია,,მინახიხართ,მინახია,
გინახივარ,,გინახია,გინახივართ,,გინახია,
ვუნახივარ,უნახიხარ,უნახია,ვუნახივართ,უნახიხართ,უნახია,
,გვინახიხარ,გვინახია,,გვინახიხართ,გვინახია,
გინახივართ,,გინახიათ,გინახივართ,,გინახიათ,
ვუნახივარ,უნახიხარ,უნახიათ,ვუნახივართ,უნახიხართ,უნახიათ,
Iturm_prfv
,გარდამომინახიხარ,გარდამომინახია,,გარდამომინახიხართ,გარდამომინახია,
გარდამოგინახივარ,,გარდამოგინახია,გარდამოგინახივართ,,გარდამოგინახია,
გარდამოვუნახივარ,გარდამოუნახიხარ,გარდამოუნახია,გარდამოვუნახივართ,გარდამოუნახიხართ,გარდამოუნახია,
,გარდამოგვინახიხარ,გარდამოგვინახია,,გარდამოგვინახიხართ,გარდამოგვინახია,
გარდამოგინახივართ,,გარდამოგინახიათ,გარდამოგინახივართ,,გარდამოგინახიათ,
გარდამოვუნახივარ,გარდამოუნახიხარ,გარდამოუნახიათ,გარდამოვუნახივართ,გარდამოუნახიხართ,გარდამოუნახიათ,
Iturm_th
,მინახავხარ,მინახავს,,მინახავხართ,მინახავს,
გინახავვარ,,გინახავს,გინახავვართ,,გინახავს,
ვუნახავვარ,უნახავხარ,უნახავს,ვუნახავვართ,უნახავხართ,უნახავს,
,გვინახავხარ,გვინახავს,,გვინახავხართ,გვინახავს,
გინახავვართ,,გინახავთ,გინახავვართ,,გინახავთ,
ვუნახავვარ,უნახავხარ,უნახავთ,ვუნახავვართ,უნახავხართ,უნახავთ,
