pres
,გკეცავ,ვკეცავ,,გკეცავთ,ვკეცავ,
მკეცავ,,კეცავ,გვკეცავ,,კეცავ,
მკეცავს,გკეცავს,კეცავს,გვკეცავს,გკეცავთ,კეცავს,
,გკეცავთ,ვკეცავთ,,გკეცავთ,ვკეცავთ,
მკეცავთ,,კეცავთ,გვკეცავთ,,კეცავთ,
მკეცავენ,გკეცავენ,კეცავენ,გვკეცავენ,გკეცავენ,კეცავენ,
fut
,გარდამოგკეცავ,გარდამოვკეცავ,,გარდამოგკეცავთ,გარდამოვკეცავ,
გარდამომკეცავ,,გარდამოკეცავ,გარდამოგვკეცავ,,გარდამოკეცავ,
გარდამომკეცავს,გარდამოგკეცავს,გარდამოკეცავს,გარდამოგვკეცავს,გარდამოგკეცავთ,გარდამოკეცავს,
,გარდამოგკეცავთ,გარდამოვკეცავთ,,გარდამოგკეცავთ,გარდამოვკეცავთ,
გარდამომკეცავთ,,გარდამოკეცავთ,გარდამოგვკეცავთ,,გარდამოკეცავთ,
გარდამომკეცავენ,გარდამოგკეცავენ,გარდამოკეცავენ,გარდამოგვკეცავენ,გარდამოგკეცავენ,გარდამოკეცავენ,
impf
,გკეცავდი,ვკეცავდი,,გკეცავდით,ვკეცავდი,
მკეცავდი,,კეცავდი,გვკეცავდი,,კეცავდი,
მკეცავდა,გკეცავდა,კეცავდა,გვკეცავდა,გკეცავდათ,კეცავდა,
,გკეცავდით,ვკეცავდით,,გკეცავდით,ვკეცავდით,
მკეცავდით,,კეცავდით,გვკეცავდით,,კეცავდით,
მკეცავდნენ,გკეცავდნენ,კეცავდნენ,გვკეცავდნენ,გკეცავდნენ,კეცავდნენ,
cond
,გარდამოგკეცავდი,გარდამოვკეცავდი,,გარდამოგკეცავდით,გარდამოვკეცავდი,
გარდამომკეცავდი,,გარდამოკეცავდი,გარდამოგვკეცავდი,,გარდამოკეცავდი,
გარდამომკეცავდა,გარდამოგკეცავდა,გარდამოკეცავდა,გარდამოგვკეცავდა,გარდამოგკეცავდათ,გარდამოკეცავდა,
,გარდამოგკეცავდით,გარდამოვკეცავდით,,გარდამოგკეცავდით,გარდამოვკეცავდით,
გარდამომკეცავდით,,გარდამოკეცავდით,გარდამოგვკეცავდით,,გარდამოკეცავდით,
გარდამომკეცავდნენ,გარდამოგკეცავდნენ,გარდამოკეცავდნენ,გარდამოგვკეცავდნენ,გარდამოგკეცავდნენ,გარდამოკეცავდნენ,
subj
,გკეცავდე,ვკეცავდე,,გკეცავდეთ,ვკეცავდე,
მკეცავდე,,კეცავდე,გვკეცავდე,,კეცავდე,
მკეცავდეს,გკეცავდეს,კეცავდეს,გვკეცავდეს,გკეცავდეთ,კეცავდეს,
,გკეცავდეთ,ვკეცავდეთ,,გკეცავდეთ,ვკეცავდეთ,
მკეცავდეთ,,კეცავდეთ,გვკეცავდეთ,,კეცავდეთ,
მკეცავდნენ,გკეცავდნენ,კეცავდნენ,გვკეცავდნენ,გკეცავდნენ,კეცავდნენ,
fut_subj
,გარდამოგკეცავდე,გარდამოვკეცავდე,,გარდამოგკეცავდეთ,გარდამოვკეცავდე,
გარდამომკეცავდე,,გარდამოკეცავდე,გარდამოგვკეცავდე,,გარდამოკეცავდე,
გარდამომკეცავდეს,გარდამოგკეცავდეს,გარდამოკეცავდეს,გარდამოგვკეცავდეს,გარდამოგკეცავდეთ,გარდამოკეცავდეს,
,გარდამოგკეცავდეთ,გარდამოვკეცავდეთ,,გარდამოგკეცავდეთ,გარდამოვკეცავდეთ,
გარდამომკეცავდეთ,,გარდამოკეცავდეთ,გარდამოგვკეცავდეთ,,გარდამოკეცავდეთ,
გარდამომკეცავდნენ,გარდამოგკეცავდნენ,გარდამოკეცავდნენ,გარდამოგვკეცავდნენ,გარდამოგკეცავდნენ,გარდამოკეცავდნენ,
aor
,გკეცე,ვკეცე,,გკეცეთ,ვკეცე,
მკეცე,,კეცე,გვკეცე,,კეცე,
მკეცა,გკეცა,კეცა,გვკეცა,გკეცათ,კეცა,
,გკეცეთ,ვკეცეთ,,გკეცეთ,ვკეცეთ,
მკეცეთ,,კეცეთ,გვკეცეთ,,კეცეთ,
მკეცეს,გკეცეს,კეცეს,გვკეცეს,გკეცეს,კეცეს,
aor_prfv
,გარდამოგკეცე,გარდამოვკეცე,,გარდამოგკეცეთ,გარდამოვკეცე,
გარდამომკეცე,,გარდამოკეცე,გარდამოგვკეცე,,გარდამოკეცე,
გარდამომკეცა,გარდამოგკეცა,გარდამოკეცა,გარდამოგვკეცა,გარდამოგკეცათ,გარდამოკეცა,
,გარდამოგკეცეთ,გარდამოვკეცეთ,,გარდამოგკეცეთ,გარდამოვკეცეთ,
გარდამომკეცეთ,,გარდამოკეცეთ,გარდამოგვკეცეთ,,გარდამოკეცეთ,
