fut2
,გითმენ,ვუთმენ,,გითმენთ,ვუთმენ,
მითმენ,,უთმენ,გვითმენ,,უთმენ,
მითმენს,გითმენს,უთმენს,გვითმენს,გითმენთ,უთმენს,
,გითმენთ,ვუთმენთ,,გითმენთ,ვუთმენთ,
მითმენთ,,უთმენთ,გვითმენთ,,უთმენთ,
მითმენენ,გითმენენ,უთმენენ,გვითმენენ,გითმენენ,უთმენენ,
fut2_prfv
,გარდამოგითმენ,გარდამოვუთმენ,,გარდამოგითმენთ,გარდამოვუთმენ,
გარდამომითმენ,,გარდამოუთმენ,გარდამოგვითმენ,,გარდამოუთმენ,
გარდამომითმენს,გარდამოგითმენს,გარდამოუთმენს,გარდამოგვითმენს,გარდამოგითმენთ,გარდამოუთმენს,
,გარდამოგითმენთ,გარდამოვუთმენთ,,გარდამოგითმენთ,გარდამოვუთმენთ,
გარდამომითმენთ,,გარდამოუთმენთ,გარდამოგვითმენთ,,გარდამოუთმენთ,
გარდამომითმენენ,გარდამოგითმენენ,გარდამოუთმენენ,გარდამოგვითმენენ,გარდამოგითმენენ,გარდამოუთმენენ,
cond2
,გითმენდი,ვუთმენდი,,გითმენდით,ვუთმენდი,
მითმენდი,,უთმენდი,გვითმენდი,,უთმენდი,
მითმენდა,გითმენდა,უთმენდა,გვითმენდა,გითმენდათ,უთმენდა,
,გითმენდით,ვუთმენდით,,გითმენდით,ვუთმენდით,
მითმენდით,,უთმენდით,გვითმენდით,,უთმენდით,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
cond2_prfv
,გარდამოგითმენდი,გარდამოვუთმენდი,,გარდამოგითმენდით,გარდამოვუთმენდი,
გარდამომითმენდი,,გარდამოუთმენდი,გარდამოგვითმენდი,,გარდამოუთმენდი,
გარდამომითმენდა,გარდამოგითმენდა,გარდამოუთმენდა,გარდამოგვითმენდა,გარდამოგითმენდათ,გარდამოუთმენდა,
,გარდამოგითმენდით,გარდამოვუთმენდით,,გარდამოგითმენდით,გარდამოვუთმენდით,
გარდამომითმენდით,,გარდამოუთმენდით,გარდამოგვითმენდით,,გარდამოუთმენდით,
გარდამომითმენდნენ,გარდამოგითმენდნენ,გარდამოუთმენდნენ,გარდამოგვითმენდნენ,გარდამოგითმენდნენ,გარდამოუთმენდნენ,
fut2_subj
,გითმენდე,ვუთმენდე,,გითმენდეთ,ვუთმენდე,
მითმენდე,,უთმენდე,გვითმენდე,,უთმენდე,
მითმენდეს,გითმენდეს,უთმენდეს,გვითმენდეს,გითმენდეთ,უთმენდეს,
,გითმენდეთ,ვუთმენდეთ,,გითმენდეთ,ვუთმენდეთ,
მითმენდეთ,,უთმენდეთ,გვითმენდეთ,,უთმენდეთ,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
fut2_subj_prfv
,გარდამოგითმენდე,გარდამოვუთმენდე,,გარდამოგითმენდეთ,გარდამოვუთმენდე,
გარდამომითმენდე,,გარდამოუთმენდე,გარდამოგვითმენდე,,გარდამოუთმენდე,
გარდამომითმენდეს,გარდამოგითმენდეს,გარდამოუთმენდეს,გარდამოგვითმენდეს,გარდამოგითმენდეთ,გარდამოუთმენდეს,
,გარდამოგითმენდეთ,გარდამოვუთმენდეთ,,გარდამოგითმენდეთ,გარდამოვუთმენდეთ,
გარდამომითმენდეთ,,გარდამოუთმენდეთ,გარდამოგვითმენდეთ,,გარდამოუთმენდეთ,
გარდამომითმენდნენ,გარდამოგითმენდნენ,გარდამოუთმენდნენ,გარდამოგვითმენდნენ,გარდამოგითმენდნენ,გარდამოუთმენდნენ,
aor2
,გითმინე,ვუთმინე,,გითმინეთ,ვუთმინე,
მითმინე,,უთმინე,გვითმინე,,უთმინე,
მითმინა,გითმინა,უთმინა,გვითმინა,გითმინათ,უთმინა,
,გითმინეთ,ვუთმინეთ,,გითმინეთ,ვუთმინეთ,
მითმინეთ,,უთმინეთ,გვითმინეთ,,უთმინეთ,
მითმინეს,გითმინეს,უთმინეს,გვითმინეს,გითმინეს,უთმინეს,
aor2_prfv
,გარდამოგითმინე,გარდამოვუთმინე,,გარდამოგითმინეთ,გარდამოვუთმინე,
გარდამომითმინე,,გარდამოუთმინე,გარდამოგვითმინე,,გარდამოუთმინე,
გარდამომითმინა,გარდამოგითმინა,გარდამოუთმინა,გარდამოგვითმინა,გარდამოგითმინათ,გარდამოუთმინა,
,გარდამოგითმინეთ,გარდამოვუთმინეთ,,გარდამოგითმინეთ,გარდამოვუთმინეთ,
გარდამომითმინეთ,,გარდამოუთმინეთ,გარდამოგვითმინეთ,,გარდამოუთმინეთ,
გარდამომითმინეს,გარდამოგითმინეს,გარდამოუთმინეს,გარდამოგვითმინეს,გარდამოგითმინეს,გარდამოუთმინეს,
IIsubj2
,გითმინო,ვუთმინო,,გითმინოთ,ვუთმინო,
მითმინო,,უთმინო,გვითმინო,,უთმინო,
მითმინოს,გითმინოს,უთმინოს,გვითმინოს,გითმინოთ,უთმინოს,
,გითმინოთ,ვუთმინოთ,,გითმინოთ,ვუთმინოთ,
მითმინოთ,,უთმინოთ,გვითმინოთ,,უთმინოთ,
მითმინონ,გითმინონ,უთმინონ,გვითმინონ,გითმინონ,უთმინონ,
IIsubj2_prfv
,გარდამოგითმინო,გარდამოვუთმინო,,გარდამოგითმინოთ,გარდამოვუთმინო,
