pres
,გჩქმეტ,ვჩქმეტ,,გჩქმეტთ,ვჩქმეტ,
მჩქმეტ,,ჩქმეტ,გვჩქმეტ,,ჩქმეტ,
მჩქმეტს,გჩქმეტს,ჩქმეტს,გვჩქმეტს,გჩქმეტთ,ჩქმეტს,
,გჩქმეტთ,ვჩქმეტთ,,გჩქმეტთ,ვჩქმეტთ,
მჩქმეტთ,,ჩქმეტთ,გვჩქმეტთ,,ჩქმეტთ,
მჩქმეტენ,გჩქმეტენ,ჩქმეტენ,გვჩქმეტენ,გჩქმეტენ,ჩქმეტენ,
fut
,გარდამოგჩქმეტ,გარდამოვჩქმეტ,,გარდამოგჩქმეტთ,გარდამოვჩქმეტ,
გარდამომჩქმეტ,,გარდამოჩქმეტ,გარდამოგვჩქმეტ,,გარდამოჩქმეტ,
გარდამომჩქმეტს,გარდამოგჩქმეტს,გარდამოჩქმეტს,გარდამოგვჩქმეტს,გარდამოგჩქმეტთ,გარდამოჩქმეტს,
,გარდამოგჩქმეტთ,გარდამოვჩქმეტთ,,გარდამოგჩქმეტთ,გარდამოვჩქმეტთ,
გარდამომჩქმეტთ,,გარდამოჩქმეტთ,გარდამოგვჩქმეტთ,,გარდამოჩქმეტთ,
გარდამომჩქმეტენ,გარდამოგჩქმეტენ,გარდამოჩქმეტენ,გარდამოგვჩქმეტენ,გარდამოგჩქმეტენ,გარდამოჩქმეტენ,
fut2
,გიჩქმეტ,ვუჩქმეტ,,გიჩქმეტთ,ვუჩქმეტ,
მიჩქმეტ,,უჩქმეტ,გვიჩქმეტ,,უჩქმეტ,
მიჩქმეტს,გიჩქმეტს,უჩქმეტს,გვიჩქმეტს,გიჩქმეტთ,უჩქმეტს,
,გიჩქმეტთ,ვუჩქმეტთ,,გიჩქმეტთ,ვუჩქმეტთ,
მიჩქმეტთ,,უჩქმეტთ,გვიჩქმეტთ,,უჩქმეტთ,
მიჩქმეტენ,გიჩქმეტენ,უჩქმეტენ,გვიჩქმეტენ,გიჩქმეტენ,უჩქმეტენ,
impf
,გჩქმეტდი,ვჩქმეტდი,,გჩქმეტდით,ვჩქმეტდი,
მჩქმეტდი,,ჩქმეტდი,გვჩქმეტდი,,ჩქმეტდი,
მჩქმეტდა,გჩქმეტდა,ჩქმეტდა,გვჩქმეტდა,გჩქმეტდათ,ჩქმეტდა,
,გჩქმეტდით,ვჩქმეტდით,,გჩქმეტდით,ვჩქმეტდით,
მჩქმეტდით,,ჩქმეტდით,გვჩქმეტდით,,ჩქმეტდით,
მჩქმეტდნენ,გჩქმეტდნენ,ჩქმეტდნენ,გვჩქმეტდნენ,გჩქმეტდნენ,ჩქმეტდნენ,
cond
,გარდამოგჩქმეტდი,გარდამოვჩქმეტდი,,გარდამოგჩქმეტდით,გარდამოვჩქმეტდი,
გარდამომჩქმეტდი,,გარდამოჩქმეტდი,გარდამოგვჩქმეტდი,,გარდამოჩქმეტდი,
გარდამომჩქმეტდა,გარდამოგჩქმეტდა,გარდამოჩქმეტდა,გარდამოგვჩქმეტდა,გარდამოგჩქმეტდათ,გარდამოჩქმეტდა,
,გარდამოგჩქმეტდით,გარდამოვჩქმეტდით,,გარდამოგჩქმეტდით,გარდამოვჩქმეტდით,
გარდამომჩქმეტდით,,გარდამოჩქმეტდით,გარდამოგვჩქმეტდით,,გარდამოჩქმეტდით,
გარდამომჩქმეტდნენ,გარდამოგჩქმეტდნენ,გარდამოჩქმეტდნენ,გარდამოგვჩქმეტდნენ,გარდამოგჩქმეტდნენ,გარდამოჩქმეტდნენ,
cond2
,გიჩქმეტდი,ვუჩქმეტდი,,გიჩქმეტდით,ვუჩქმეტდი,
მიჩქმეტდი,,უჩქმეტდი,გვიჩქმეტდი,,უჩქმეტდი,
მიჩქმეტდა,გიჩქმეტდა,უჩქმეტდა,გვიჩქმეტდა,გიჩქმეტდათ,უჩქმეტდა,
,გიჩქმეტდით,ვუჩქმეტდით,,გიჩქმეტდით,ვუჩქმეტდით,
მიჩქმეტდით,,უჩქმეტდით,გვიჩქმეტდით,,უჩქმეტდით,
