fut
,გარდამოგკირკიტებ,გარდამოვკირკიტებ,,გარდამოგკირკიტებთ,გარდამოვკირკიტებ,
გარდამომკირკიტებ,,გარდამოჰკირკიტებ,გარდამოგვკირკიტებ,,გარდამოჰკირკიტებ,
გარდამომკირკიტებს,გარდამოგკირკიტებს,გარდამოჰკირკიტებს,გარდამოგვკირკიტებს,გარდამოგკირკიტებთ,გარდამოჰკირკიტებს,
,გარდამოგკირკიტებთ,გარდამოვკირკიტებთ,,გარდამოგკირკიტებთ,გარდამოვკირკიტებთ,
გარდამომკირკიტებთ,,გარდამოჰკირკიტებთ,გარდამოგვკირკიტებთ,,გარდამოჰკირკიტებთ,
გარდამომკირკიტებენ,გარდამოგკირკიტებენ,გარდამოჰკირკიტებენ,გარდამოგვკირკიტებენ,გარდამოგკირკიტებენ,გარდამოჰკირკიტებენ,
cond
,გარდამოგკირკიტებდი,გარდამოვკირკიტებდი,,გარდამოგკირკიტებდით,გარდამოვკირკიტებდი,
გარდამომკირკიტებდი,,გარდამოჰკირკიტებდი,გარდამოგვკირკიტებდი,,გარდამოჰკირკიტებდი,
გარდამომკირკიტებდა,გარდამოგკირკიტებდა,გარდამოჰკირკიტებდა,გარდამოგვკირკიტებდა,გარდამოგკირკიტებდათ,გარდამოჰკირკიტებდა,
,გარდამოგკირკიტებდით,გარდამოვკირკიტებდით,,გარდამოგკირკიტებდით,გარდამოვკირკიტებდით,
გარდამომკირკიტებდით,,გარდამოჰკირკიტებდით,გარდამოგვკირკიტებდით,,გარდამოჰკირკიტებდით,
გარდამომკირკიტებდნენ,გარდამოგკირკიტებდნენ,გარდამოჰკირკიტებდნენ,გარდამოგვკირკიტებდნენ,გარდამოგკირკიტებდნენ,გარდამოჰკირკიტებდნენ,
fut_subj
,გარდამოგკირკიტებდე,გარდამოვკირკიტებდე,,გარდამოგკირკიტებდეთ,გარდამოვკირკიტებდე,
გარდამომკირკიტებდე,,გარდამოჰკირკიტებდე,გარდამოგვკირკიტებდე,,გარდამოჰკირკიტებდე,
გარდამომკირკიტებდეს,გარდამოგკირკიტებდეს,გარდამოჰკირკიტებდეს,გარდამოგვკირკიტებდეს,გარდამოგკირკიტებდეთ,გარდამოჰკირკიტებდეს,
,გარდამოგკირკიტებდეთ,გარდამოვკირკიტებდეთ,,გარდამოგკირკიტებდეთ,გარდამოვკირკიტებდეთ,
გარდამომკირკიტებდეთ,,გარდამოჰკირკიტებდეთ,გარდამოგვკირკიტებდეთ,,გარდამოჰკირკიტებდეთ,
გარდამომკირკიტებდნენ,გარდამოგკირკიტებდნენ,გარდამოჰკირკიტებდნენ,გარდამოგვკირკიტებდნენ,გარდამოგკირკიტებდნენ,გარდამოჰკირკიტებდნენ,
