fut2
,გარტყამ,ვარტყამ,,გარტყამთ,ვარტყამ,
მარტყამ,,არტყამ,გვარტყამ,,არტყამ,
მარტყამს,გარტყამს,არტყამს,გვარტყამს,გარტყამთ,არტყამს,
,გარტყამთ,ვარტყამთ,,გარტყამთ,ვარტყამთ,
მარტყამთ,,არტყამთ,გვარტყამთ,,არტყამთ,
მარტყამენ,გარტყამენ,არტყამენ,გვარტყამენ,გარტყამენ,არტყამენ,
fut2_prfv
,დაგარტყამ,დავარტყამ,,დაგარტყამთ,დავარტყამ,
დამარტყამ,,დაარტყამ,დაგვარტყამ,,დაარტყამ,
დამარტყამს,დაგარტყამს,დაარტყამს,დაგვარტყამს,დაგარტყამთ,დაარტყამს,
,დაგარტყამთ,დავარტყამთ,,დაგარტყამთ,დავარტყამთ,
დამარტყამთ,,დაარტყამთ,დაგვარტყამთ,,დაარტყამთ,
დამარტყამენ,დაგარტყამენ,დაარტყამენ,დაგვარტყამენ,დაგარტყამენ,დაარტყამენ,
cond2
,გარტყამდი,ვარტყამდი,,გარტყამდით,ვარტყამდი,
მარტყამდი,,არტყამდი,გვარტყამდი,,არტყამდი,
მარტყამდა,გარტყამდა,არტყამდა,გვარტყამდა,გარტყამდათ,არტყამდა,
,გარტყამდით,ვარტყამდით,,გარტყამდით,ვარტყამდით,
მარტყამდით,,არტყამდით,გვარტყამდით,,არტყამდით,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
cond2_prfv
,დაგარტყამდი,დავარტყამდი,,დაგარტყამდით,დავარტყამდი,
დამარტყამდი,,დაარტყამდი,დაგვარტყამდი,,დაარტყამდი,
დამარტყამდა,დაგარტყამდა,დაარტყამდა,დაგვარტყამდა,დაგარტყამდათ,დაარტყამდა,
,დაგარტყამდით,დავარტყამდით,,დაგარტყამდით,დავარტყამდით,
დამარტყამდით,,დაარტყამდით,დაგვარტყამდით,,დაარტყამდით,
დამარტყამდნენ,დაგარტყამდნენ,დაარტყამდნენ,დაგვარტყამდნენ,დაგარტყამდნენ,დაარტყამდნენ,
fut2_subj
,გარტყამდე,ვარტყამდე,,გარტყამდეთ,ვარტყამდე,
მარტყამდე,,არტყამდე,გვარტყამდე,,არტყამდე,
მარტყამდეს,გარტყამდეს,არტყამდეს,გვარტყამდეს,გარტყამდეთ,არტყამდეს,
,გარტყამდეთ,ვარტყამდეთ,,გარტყამდეთ,ვარტყამდეთ,
მარტყამდეთ,,არტყამდეთ,გვარტყამდეთ,,არტყამდეთ,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
fut2_subj_prfv
,დაგარტყამდე,დავარტყამდე,,დაგარტყამდეთ,დავარტყამდე,
დამარტყამდე,,დაარტყამდე,დაგვარტყამდე,,დაარტყამდე,
დამარტყამდეს,დაგარტყამდეს,დაარტყამდეს,დაგვარტყამდეს,დაგარტყამდეთ,დაარტყამდეს,
,დაგარტყამდეთ,დავარტყამდეთ,,დაგარტყამდეთ,დავარტყამდეთ,
დამარტყამდეთ,,დაარტყამდეთ,დაგვარტყამდეთ,,დაარტყამდეთ,
დამარტყამდნენ,დაგარტყამდნენ,დაარტყამდნენ,დაგვარტყამდნენ,დაგარტყამდნენ,დაარტყამდნენ,
aor2
,გარტყი,ვარტყი,,გარტყით,ვარტყი,
მარტყი,,არტყი,გვარტყი,,არტყი,
მარტყა,გარტყა,არტყა,გვარტყა,გარტყათ,არტყა,
,გარტყით,ვარტყით,,გარტყით,ვარტყით,
მარტყით,,არტყით,გვარტყით,,არტყით,
მარტყეს,გარტყეს,არტყეს,გვარტყეს,გარტყეს,არტყეს,
aor2_prfv
,დაგარტყი,დავარტყი,,დაგარტყით,დავარტყი,
დამარტყი,,დაარტყი,დაგვარტყი,,დაარტყი,
დამარტყა,დაგარტყა,დაარტყა,დაგვარტყა,დაგარტყათ,დაარტყა,
,დაგარტყით,დავარტყით,,დაგარტყით,დავარტყით,
დამარტყით,,დაარტყით,დაგვარტყით,,დაარტყით,
დამარტყეს,დაგარტყეს,დაარტყეს,დაგვარტყეს,დაგარტყეს,დაარტყეს,
IIsubj2
,გარტყა,ვარტყა,,გარტყათ,ვარტყა,
მარტყა,,არტყა,გვარტყა,,არტყა,
მარტყას,გარტყას,არტყას,გვარტყას,გარტყათ,არტყას,
,გარტყათ,ვარტყათ,,გარტყათ,ვარტყათ,
მარტყათ,,არტყათ,გვარტყათ,,არტყათ,
მარტყან,გარტყან,არტყან,გვარტყან,გარტყან,არტყან,
IIsubj2_prfv
,დაგარტყა,დავარტყა,,დაგარტყათ,დავარტყა,
დამარტყა,,დაარტყა,დაგვარტყა,,დაარტყა,
დამარტყას,დაგარტყას,დაარტყას,დაგვარტყას,დაგარტყათ,დაარტყას,
,დაგარტყათ,დავარტყათ,,დაგარტყათ,დავარტყათ,
დამარტყათ,,დაარტყათ,დაგვარტყათ,,დაარტყათ,
დამარტყან,დაგარტყან,დაარტყან,დაგვარტყან,დაგარტყან,დაარტყან,
Iturm
,მირტყიხარ,მირტყია,,მირტყიხართ,მირტყია,
გირტყივარ,,გირტყია,გირტყივართ,,გირტყია,
ვურტყივარ,ურტყიხარ,ურტყია,ვურტყივართ,ურტყიხართ,ურტყია,
,გვირტყიხარ,გვირტყია,,გვირტყიხართ,გვირტყია,
გირტყივართ,,გირტყიათ,გირტყივართ,,გირტყიათ,
ვურტყივარ,ურტყიხარ,ურტყიათ,ვურტყივართ,ურტყიხართ,ურტყიათ,
Iturm_prfv
,დამირტყიხარ,დამირტყია,,დამირტყიხართ,დამირტყია,
დაგირტყივარ,,დაგირტყია,დაგირტყივართ,,დაგირტყია,
დავურტყივარ,დაურტყიხარ,დაურტყია,დავურტყივართ,დაურტყიხართ,დაურტყია,
,დაგვირტყიხარ,დაგვირტყია,,დაგვირტყიხართ,დაგვირტყია,
დაგირტყივართ,,დაგირტყიათ,დაგირტყივართ,,დაგირტყიათ,
დავურტყივარ,დაურტყიხარ,დაურტყიათ,დავურტყივართ,დაურტყიხართ,დაურტყიათ,
Iturm_th
,მირტყამხარ,მირტყამს,,მირტყამხართ,მირტყამს,
გირტყამვარ,,გირტყამს,გირტყამვართ,,გირტყამს,
ვურტყამვარ,ურტყამხარ,ურტყამს,ვურტყამვართ,ურტყამხართ,ურტყამს,
,გვირტყამხარ,გვირტყამს,,გვირტყამხართ,გვირტყამს,
გირტყამვართ,,გირტყამთ,გირტყამვართ,,გირტყამთ,
ვურტყამვარ,ურტყამხარ,ურტყამთ,ვურტყამვართ,ურტყამხართ,ურტყამთ,
Iturm_th_prfv
,დამირტყამხარ,დამირტყამს,,დამირტყამხართ,დამირტყამს,
დაგირტყამვარ,,დაგირტყამს,დაგირტყამვართ,,დაგირტყამს,
დავურტყამვარ,დაურტყამხარ,დაურტყამს,დავურტყამვართ,დაურტყამხართ,დაურტყამს,
,დაგვირტყამხარ,დაგვირტყამს,,დაგვირტყამხართ,დაგვირტყამს,
დაგირტყამვართ,,დაგირტყამთ,დაგირტყამვართ,,დაგირტყამთ,
დავურტყამვარ,დაურტყამხარ,დაურტყამთ,დავურტყამვართ,დაურტყამხართ,დაურტყამთ,
IIturm
,მერტყი,მერტყა,,მერტყით,მერტყა,
გერტყი,,გერტყა,გერტყით,,გერტყა,
ვერტყი,ერტყი,ერტყა,ვერტყით,ერტყით,ერტყა,
,გვერტყი,გვერტყა,,გვერტყით,გვერტყა,
გერტყით,,გერტყათ,გერტყით,,გერტყათ,
ვერტყი,ერტყი,ერტყათ,ვერტყით,ერტყით,ერტყათ,
IIturm_prfv
,დამერტყი,დამერტყა,,დამერტყით,დამერტყა,
დაგერტყი,,დაგერტყა,დაგერტყით,,დაგერტყა,
დავერტყი,დაერტყი,დაერტყა,დავერტყით,დაერტყით,დაერტყა,
,დაგვერტყი,დაგვერტყა,,დაგვერტყით,დაგვერტყა,
დაგერტყით,,დაგერტყათ,დაგერტყით,,დაგერტყათ,
