fut2
,გარწევ,ვარწევ,,გარწევთ,ვარწევ,
მარწევ,,არწევ,გვარწევ,,არწევ,
მარწევს,გარწევს,არწევს,გვარწევს,გარწევთ,არწევს,
,გარწევთ,ვარწევთ,,გარწევთ,ვარწევთ,
მარწევთ,,არწევთ,გვარწევთ,,არწევთ,
მარწევენ,გარწევენ,არწევენ,გვარწევენ,გარწევენ,არწევენ,
fut2_prfv
,დაგარწევ,დავარწევ,,დაგარწევთ,დავარწევ,
დამარწევ,,დაარწევ,დაგვარწევ,,დაარწევ,
დამარწევს,დაგარწევს,დაარწევს,დაგვარწევს,დაგარწევთ,დაარწევს,
,დაგარწევთ,დავარწევთ,,დაგარწევთ,დავარწევთ,
დამარწევთ,,დაარწევთ,დაგვარწევთ,,დაარწევთ,
დამარწევენ,დაგარწევენ,დაარწევენ,დაგვარწევენ,დაგარწევენ,დაარწევენ,
cond2
,გარწევდი,ვარწევდი,,გარწევდით,ვარწევდი,
მარწევდი,,არწევდი,გვარწევდი,,არწევდი,
მარწევდა,გარწევდა,არწევდა,გვარწევდა,გარწევდათ,არწევდა,
,გარწევდით,ვარწევდით,,გარწევდით,ვარწევდით,
მარწევდით,,არწევდით,გვარწევდით,,არწევდით,
მარწევდნენ,გარწევდნენ,არწევდნენ,გვარწევდნენ,გარწევდნენ,არწევდნენ,
cond2_prfv
,დაგარწევდი,დავარწევდი,,დაგარწევდით,დავარწევდი,
დამარწევდი,,დაარწევდი,დაგვარწევდი,,დაარწევდი,
დამარწევდა,დაგარწევდა,დაარწევდა,დაგვარწევდა,დაგარწევდათ,დაარწევდა,
,დაგარწევდით,დავარწევდით,,დაგარწევდით,დავარწევდით,
დამარწევდით,,დაარწევდით,დაგვარწევდით,,დაარწევდით,
დამარწევდნენ,დაგარწევდნენ,დაარწევდნენ,დაგვარწევდნენ,დაგარწევდნენ,დაარწევდნენ,
fut2_subj
,გარწევდე,ვარწევდე,,გარწევდეთ,ვარწევდე,
მარწევდე,,არწევდე,გვარწევდე,,არწევდე,
მარწევდეს,გარწევდეს,არწევდეს,გვარწევდეს,გარწევდეთ,არწევდეს,
,გარწევდეთ,ვარწევდეთ,,გარწევდეთ,ვარწევდეთ,
მარწევდეთ,,არწევდეთ,გვარწევდეთ,,არწევდეთ,
მარწევდნენ,გარწევდნენ,არწევდნენ,გვარწევდნენ,გარწევდნენ,არწევდნენ,
fut2_subj_prfv
,დაგარწევდე,დავარწევდე,,დაგარწევდეთ,დავარწევდე,
დამარწევდე,,დაარწევდე,დაგვარწევდე,,დაარწევდე,
დამარწევდეს,დაგარწევდეს,დაარწევდეს,დაგვარწევდეს,დაგარწევდეთ,დაარწევდეს,
,დაგარწევდეთ,დავარწევდეთ,,დაგარწევდეთ,დავარწევდეთ,
დამარწევდეთ,,დაარწევდეთ,დაგვარწევდეთ,,დაარწევდეთ,
დამარწევდნენ,დაგარწევდნენ,დაარწევდნენ,დაგვარწევდნენ,დაგარწევდნენ,დაარწევდნენ,
aor2
,გარწიე,ვარწიე,,გარწიეთ,ვარწიე,
მარწიე,,არწიე,გვარწიე,,არწიე,
მარწია,გარწია,არწია,გვარწია,გარწიათ,არწია,
,გარწიეთ,ვარწიეთ,,გარწიეთ,ვარწიეთ,
მარწიეთ,,არწიეთ,გვარწიეთ,,არწიეთ,
მარწიეს,გარწიეს,არწიეს,გვარწიეს,გარწიეს,არწიეს,
aor2_prfv
,დაგარწიე,დავარწიე,,დაგარწიეთ,დავარწიე,
დამარწიე,,დაარწიე,დაგვარწიე,,დაარწიე,
დამარწია,დაგარწია,დაარწია,დაგვარწია,დაგარწიათ,დაარწია,
,დაგარწიეთ,დავარწიეთ,,დაგარწიეთ,დავარწიეთ,
დამარწიეთ,,დაარწიეთ,დაგვარწიეთ,,დაარწიეთ,
