fut2
,გენძრევი,ვენძრევი,,გენძრევით,ვენძრევი,
მენძრევი,,ენძრევი,გვენძრევი,,ენძრევი,
მენძრევა,გენძრევა,ენძრევა,გვენძრევა,გენძრევათ,ენძრევა,
,გენძრევით,ვენძრევით,,გენძრევით,ვენძრევით,
მენძრევით,,ენძრევით,გვენძრევით,,ენძრევით,
მენძრევიან,გენძრევიან,ენძრევიან,გვენძრევიან,გენძრევიან,ენძრევიან,
fut2_prfv
,დაგენძრევი,დავენძრევი,,დაგენძრევით,დავენძრევი,
დამენძრევი,,დაენძრევი,დაგვენძრევი,,დაენძრევი,
დამენძრევა,დაგენძრევა,დაენძრევა,დაგვენძრევა,დაგენძრევათ,დაენძრევა,
,დაგენძრევით,დავენძრევით,,დაგენძრევით,დავენძრევით,
დამენძრევით,,დაენძრევით,დაგვენძრევით,,დაენძრევით,
დამენძრევიან,დაგენძრევიან,დაენძრევიან,დაგვენძრევიან,დაგენძრევიან,დაენძრევიან,
cond2
,გენძრეოდი,ვენძრეოდი,,გენძრეოდით,ვენძრეოდი,
მენძრეოდი,,ენძრეოდი,გვენძრეოდი,,ენძრეოდი,
მენძრეოდა,გენძრეოდა,ენძრეოდა,გვენძრეოდა,გენძრეოდათ,ენძრეოდა,
,გენძრეოდით,ვენძრეოდით,,გენძრეოდით,ვენძრეოდით,
მენძრეოდით,,ენძრეოდით,გვენძრეოდით,,ენძრეოდით,
მენძრეოდნენ,გენძრეოდნენ,ენძრეოდნენ,გვენძრეოდნენ,გენძრეოდნენ,ენძრეოდნენ,
cond2_prfv
,დაგენძრეოდი,დავენძრეოდი,,დაგენძრეოდით,დავენძრეოდი,
დამენძრეოდი,,დაენძრეოდი,დაგვენძრეოდი,,დაენძრეოდი,
დამენძრეოდა,დაგენძრეოდა,დაენძრეოდა,დაგვენძრეოდა,დაგენძრეოდათ,დაენძრეოდა,
,დაგენძრეოდით,დავენძრეოდით,,დაგენძრეოდით,დავენძრეოდით,
დამენძრეოდით,,დაენძრეოდით,დაგვენძრეოდით,,დაენძრეოდით,
დამენძრეოდნენ,დაგენძრეოდნენ,დაენძრეოდნენ,დაგვენძრეოდნენ,დაგენძრეოდნენ,დაენძრეოდნენ,
fut2_subj
,გენძრეოდე,ვენძრეოდე,,გენძრეოდეთ,ვენძრეოდე,
მენძრეოდე,,ენძრეოდე,გვენძრეოდე,,ენძრეოდე,
მენძრეოდეს,გენძრეოდეს,ენძრეოდეს,გვენძრეოდეს,გენძრეოდეთ,ენძრეოდეს,
,გენძრეოდეთ,ვენძრეოდეთ,,გენძრეოდეთ,ვენძრეოდეთ,
მენძრეოდეთ,,ენძრეოდეთ,გვენძრეოდეთ,,ენძრეოდეთ,
მენძრეოდნენ,გენძრეოდნენ,ენძრეოდნენ,გვენძრეოდნენ,გენძრეოდნენ,ენძრეოდნენ,
fut2_subj_prfv
,დაგენძრეოდე,დავენძრეოდე,,დაგენძრეოდეთ,დავენძრეოდე,
დამენძრეოდე,,დაენძრეოდე,დაგვენძრეოდე,,დაენძრეოდე,
დამენძრეოდეს,დაგენძრეოდეს,დაენძრეოდეს,დაგვენძრეოდეს,დაგენძრეოდეთ,დაენძრეოდეს,
,დაგენძრეოდეთ,დავენძრეოდეთ,,დაგენძრეოდეთ,დავენძრეოდეთ,
დამენძრეოდეთ,,დაენძრეოდეთ,დაგვენძრეოდეთ,,დაენძრეოდეთ,
დამენძრეოდნენ,დაგენძრეოდნენ,დაენძრეოდნენ,დაგვენძრეოდნენ,დაგენძრეოდნენ,დაენძრეოდნენ,
aor2
,გენძერი,ვენძერი,,გენძერით,ვენძერი,
მენძერი,,ენძერი,გვენძერი,,ენძერი,
მენძრა,გენძრა,ენძრა,გვენძრა,გენძრათ,ენძრა,
,გენძერით,ვენძერით,,გენძერით,ვენძერით,
მენძერით,,ენძერით,გვენძერით,,ენძერით,
მენძრნენ,გენძრნენ,ენძრნენ,გვენძრნენ,გენძრნენ,ენძრნენ,
aor2_prfv
,დაგენძერი,დავენძერი,,დაგენძერით,დავენძერი,
დამენძერი,,დაენძერი,დაგვენძერი,,დაენძერი,
დამენძრა,დაგენძრა,დაენძრა,დაგვენძრა,დაგენძრათ,დაენძრა,
,დაგენძერით,დავენძერით,,დაგენძერით,დავენძერით,
დამენძერით,,დაენძერით,დაგვენძერით,,დაენძერით,
დამენძრნენ,დაგენძრნენ,დაენძრნენ,დაგვენძრნენ,დაგენძრნენ,დაენძრნენ,
IIsubj2
,გენძრა,ვენძრა,,გენძრათ,ვენძრა,
მენძრა,,ენძრა,გვენძრა,,ენძრა,
მენძრას,გენძრას,ენძრას,გვენძრას,გენძრათ,ენძრას,
,გენძრათ,ვენძრათ,,გენძრათ,ვენძრათ,
მენძრათ,,ენძრათ,გვენძრათ,,ენძრათ,
მენძრნენ,გენძრნენ,ენძრნენ,გვენძრნენ,გენძრნენ,ენძრნენ,
IIsubj2_prfv
,დაგენძრა,დავენძრა,,დაგენძრათ,დავენძრა,
დამენძრა,,დაენძრა,დაგვენძრა,,დაენძრა,
დამენძრას,დაგენძრას,დაენძრას,დაგვენძრას,დაგენძრათ,დაენძრას,
,დაგენძრათ,დავენძრათ,,დაგენძრათ,დავენძრათ,
დამენძრათ,,დაენძრათ,დაგვენძრათ,,დაენძრათ,
დამენძრნენ,დაგენძრნენ,დაენძრნენ,დაგვენძრნენ,დაგენძრნენ,დაენძრნენ,
Iturm
,გნძრევივარ,ვნძრევივარ,,გნძრევივართ,ვნძრევივარ,
მნძრევიხარ,,ნძრევიხარ,გვნძრევიხარ,,ნძრევიხარ,
მნძრევია,გნძრევია,ნძრევია,გვნძრევია,გნძრევიათ,ნძრევია,
,გნძრევივართ,ვნძრევივართ,,გნძრევივართ,ვნძრევივართ,
მნძრევიხართ,,ნძრევიხართ,გვნძრევიხართ,,ნძრევიხართ,
მნძრევიან,გნძრევიან,ნძრევიან,გვნძრევიან,გნძრევიან,ნძრევიან,
Iturm_prfv
,დაგნძრევივარ,დავნძრევივარ,,დაგნძრევივართ,დავნძრევივარ,
დამნძრევიხარ,,დანძრევიხარ,დაგვნძრევიხარ,,დანძრევიხარ,
დამნძრევია,დაგნძრევია,დანძრევია,დაგვნძრევია,დაგნძრევიათ,დანძრევია,
,დაგნძრევივართ,დავნძრევივართ,,დაგნძრევივართ,დავნძრევივართ,
დამნძრევიხართ,,დანძრევიხართ,დაგვნძრევიხართ,,დანძრევიხართ,
დამნძრევიან,დაგნძრევიან,დანძრევიან,დაგვნძრევიან,დაგნძრევიან,დანძრევიან,
IIturm_impf
,გნძრეოდი,ვნძრეოდი,,გნძრეოდით,ვნძრეოდი,
მნძრეოდი,,ნძრეოდი,გვნძრეოდი,,ნძრეოდი,
მნძრეოდა,გნძრეოდა,ნძრეოდა,გვნძრეოდა,გნძრეოდათ,ნძრეოდა,
,გნძრეოდით,ვნძრეოდით,,გნძრეოდით,ვნძრეოდით,
მნძრეოდით,,ნძრეოდით,გვნძრეოდით,,ნძრეოდით,
მნძრეოდნენ,გნძრეოდნენ,ნძრეოდნენ,გვნძრეოდნენ,გნძრეოდნენ,ნძრეოდნენ,
IIturm_impf_pv
,დაგნძრეოდი,დავნძრეოდი,,დაგნძრეოდით,დავნძრეოდი,
დამნძრეოდი,,დანძრეოდი,დაგვნძრეოდი,,დანძრეოდი,
დამნძრეოდა,დაგნძრეოდა,დანძრეოდა,დაგვნძრეოდა,დაგნძრეოდათ,დანძრეოდა,
,დაგნძრეოდით,დავნძრეოდით,,დაგნძრეოდით,დავნძრეოდით,
დამნძრეოდით,,დანძრეოდით,დაგვნძრეოდით,,დანძრეოდით,
დამნძრეოდნენ,დაგნძრეოდნენ,დანძრეოდნენ,დაგვნძრეოდნენ,დაგნძრეოდნენ,დანძრეოდნენ,
IIIsubj_impf
,გნძრეოდე,ვნძრეოდე,,გნძრეოდეთ,ვნძრეოდე,
მნძრეოდე,,ნძრეოდე,გვნძრეოდე,,ნძრეოდე,
მნძრეოდა,გნძრეოდა,ნძრეოდა,გვნძრეოდა,გნძრეოდათ,ნძრეოდა,
,გნძრეოდეთ,ვნძრეოდეთ,,გნძრეოდეთ,ვნძრეოდეთ,
მნძრეოდეთ,,ნძრეოდეთ,გვნძრეოდეთ,,ნძრეოდეთ,
მნძრეოდნენ,გნძრეოდნენ,ნძრეოდნენ,გვნძრეოდნენ,გნძრეოდნენ,ნძრეოდნენ,
IIIsubj_impf_pv
,დაგნძრეოდე,დავნძრეოდე,,დაგნძრეოდეთ,დავნძრეოდე,
დამნძრეოდე,,დანძრეოდე,დაგვნძრეოდე,,დანძრეოდე,
დამნძრეოდა,დაგნძრეოდა,დანძრეოდა,დაგვნძრეოდა,დაგნძრეოდათ,დანძრეოდა,
,დაგნძრეოდეთ,დავნძრეოდეთ,,დაგნძრეოდეთ,დავნძრეოდეთ,
დამნძრეოდეთ,,დანძრეოდეთ,დაგვნძრეოდეთ,,დანძრეოდეთ,
