fut2
,გეწერები,ვეწერები,,გეწერებით,ვეწერები,
მეწერები,,ეწერები,გვეწერები,,ეწერები,
მეწერება,გეწერება,ეწერება,გვეწერება,გეწერებათ,ეწერება,
,გეწერებით,ვეწერებით,,გეწერებით,ვეწერებით,
მეწერებით,,ეწერებით,გვეწერებით,,ეწერებით,
მეწერებიან,გეწერებიან,ეწერებიან,გვეწერებიან,გეწერებიან,ეწერებიან,
fut2_prfv
,დაგეწერები,დავეწერები,,დაგეწერებით,დავეწერები,
დამეწერები,,დაეწერები,დაგვეწერები,,დაეწერები,
დამეწერება,დაგეწერება,დაეწერება,დაგვეწერება,დაგეწერებათ,დაეწერება,
,დაგეწერებით,დავეწერებით,,დაგეწერებით,დავეწერებით,
დამეწერებით,,დაეწერებით,დაგვეწერებით,,დაეწერებით,
დამეწერებიან,დაგეწერებიან,დაეწერებიან,დაგვეწერებიან,დაგეწერებიან,დაეწერებიან,
cond2
,გეწერებოდი,ვეწერებოდი,,გეწერებოდით,ვეწერებოდი,
მეწერებოდი,,ეწერებოდი,გვეწერებოდი,,ეწერებოდი,
მეწერებოდა,გეწერებოდა,ეწერებოდა,გვეწერებოდა,გეწერებოდათ,ეწერებოდა,
,გეწერებოდით,ვეწერებოდით,,გეწერებოდით,ვეწერებოდით,
მეწერებოდით,,ეწერებოდით,გვეწერებოდით,,ეწერებოდით,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
cond2_prfv
,დაგეწერებოდი,დავეწერებოდი,,დაგეწერებოდით,დავეწერებოდი,
დამეწერებოდი,,დაეწერებოდი,დაგვეწერებოდი,,დაეწერებოდი,
დამეწერებოდა,დაგეწერებოდა,დაეწერებოდა,დაგვეწერებოდა,დაგეწერებოდათ,დაეწერებოდა,
,დაგეწერებოდით,დავეწერებოდით,,დაგეწერებოდით,დავეწერებოდით,
დამეწერებოდით,,დაეწერებოდით,დაგვეწერებოდით,,დაეწერებოდით,
დამეწერებოდნენ,დაგეწერებოდნენ,დაეწერებოდნენ,დაგვეწერებოდნენ,დაგეწერებოდნენ,დაეწერებოდნენ,
fut2_subj
,გეწერებოდე,ვეწერებოდე,,გეწერებოდეთ,ვეწერებოდე,
მეწერებოდე,,ეწერებოდე,გვეწერებოდე,,ეწერებოდე,
მეწერებოდეს,გეწერებოდეს,ეწერებოდეს,გვეწერებოდეს,გეწერებოდეთ,ეწერებოდეს,
,გეწერებოდეთ,ვეწერებოდეთ,,გეწერებოდეთ,ვეწერებოდეთ,
მეწერებოდეთ,,ეწერებოდეთ,გვეწერებოდეთ,,ეწერებოდეთ,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
fut2_subj_prfv
,დაგეწერებოდე,დავეწერებოდე,,დაგეწერებოდეთ,დავეწერებოდე,
დამეწერებოდე,,დაეწერებოდე,დაგვეწერებოდე,,დაეწერებოდე,
დამეწერებოდეს,დაგეწერებოდეს,დაეწერებოდეს,დაგვეწერებოდეს,დაგეწერებოდეთ,დაეწერებოდეს,
,დაგეწერებოდეთ,დავეწერებოდეთ,,დაგეწერებოდეთ,დავეწერებოდეთ,
დამეწერებოდეთ,,დაეწერებოდეთ,დაგვეწერებოდეთ,,დაეწერებოდეთ,
დამეწერებოდნენ,დაგეწერებოდნენ,დაეწერებოდნენ,დაგვეწერებოდნენ,დაგეწერებოდნენ,დაეწერებოდნენ,
aor2
,გეწერე,ვეწერე,,გეწერეთ,ვეწერე,
მეწერე,,ეწერე,გვეწერე,,ეწერე,
მეწერა,გეწერა,ეწერა,გვეწერა,გეწერათ,ეწერა,
,გეწერეთ,ვეწერეთ,,გეწერეთ,ვეწერეთ,
მეწერეთ,,ეწერეთ,გვეწერეთ,,ეწერეთ,
